oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.61685,0.43138,13.2831,0.56862,0.367650244,1.41577424,X,0.00613,R5.45,0.49896,R10.9,0.49491,R21.45,0,RAI,0,2h2d2c
4.81485,0.45638,11.0852,0.54362,0.6393993511,1.235848802,X,0.18761,R5.45,0.01136,R10.9,0.80103,R21.45,0,RAI,0,3h2h2d
4.22345,0.45113,11.6767,0.54887,0.5673900567,1.289332129,X,0.2092,R5.45,0.0088,R10.9,0.782,R21.45,0,RAI,0,3h2d2c
5.042,0.45782,10.8578,0.54218,0.6674582754,1.21371294,X,0.19842,R5.45,0.0119,R10.9,0.78968,R21.45,0,RAI,0,3h3d2h
4.46941,0.45247,11.4307,0.54753,0.5986547774,1.265267928,X,0.21121,R5.45,0.01149,R10.9,0.7773,R21.45,0,RAI,0,3d3c2h
2.75363,0.4321,13.1465,0.5679,0.3862223161,1.402992429,X,0.0002,R5.45,0.55749,R10.9,0.44231,R21.45,0,RAI,0,3h3d3c
4.81606,0.45783,11.084,0.54217,0.6375345012,1.239017659,X,0.18378,R5.45,0.01459,R10.9,0.80163,R21.45,0,RAI,0,4h2h2d
4.2857,0.45302,11.6145,0.54698,0.5733508031,1.286895422,X,0.20253,R5.45,0.01745,R10.9,0.78002,R21.45,0,RAI,0,4h2d2c
7.07163,0.48144,8.8284,0.51856,0.8902119259,1.03180834,X,0.62785,R5.45,0.36674,R10.9,0.00541,R21.45,0,RAI,0,4h3h2h
7.64623,0.48268,8.25365,0.51732,0.9600727169,0.9669473761,X,0.60187,R5.45,0.38114,R10.9,0.01699,R21.45,0,RAI,0,4h3h2d
7.65837,0.48295,8.24166,0.51705,0.9610593966,0.9660468537,X,0.60849,R5.45,0.37639,R10.9,0.01512,R21.45,0,RAI,0,4h3d2h
7.6695,0.48316,8.2305,0.51684,0.9620378025,0.9651308209,X,0.61758,R5.45,0.37013,R10.9,0.01229,R21.45,0,RAI,0,4d3h2h
7.80653,0.48056,8.09372,0.51944,0.9845243582,0.9443410514,X,0.51366,R5.45,0.268,R10.9,0.21834,R21.45,0,RAI,0,4h3d2c
5.08938,0.45966,10.8107,0.54034,0.671033512,1.212557503,X,0.18683,R5.45,0.0136,R10.9,0.79957,R21.45,0,RAI,0,4h3h3d
4.62907,0.45542,11.271,0.54458,0.616024094,1.254341205,X,0.20934,R5.45,0.01481,R10.9,0.77585,R21.45,0,RAI,0,4h3d3c
