oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.70245,0.43362,13.1975,0.56638,0.3777151619,1.41221599,X,0.00255,R5.45,0.45242,R10.9,0.54503,R21.45,0,RAI,0,2h2d2c
4.5388,0.45581,11.3611,0.54419,0.6034943665,1.265273365,X,0.15733,R5.45,0.01611,R10.9,0.82656,R21.45,0,RAI,0,3h2h2d
3.93122,0.45161,11.9686,0.54839,0.5275697204,1.322729341,X,0.1652,R5.45,0.01629,R10.9,0.81851,R21.45,0,RAI,0,3h2d2c
4.82699,0.4578,11.073,0.5422,0.6390232757,1.237718315,X,0.17738,R5.45,0.01569,R10.9,0.80693,R21.45,0,RAI,0,3h3d2h
4.24133,0.45349,11.6592,0.54651,0.5668268719,1.292961514,X,0.17281,R5.45,0.01749,R10.9,0.8097,R21.45,0,RAI,0,3d3c2h
2.87015,0.43474,13.0304,0.56526,0.4001207331,1.397094817,X,0.00478,R5.45,0.48071,R10.9,0.51451,R21.45,0,RAI,0,3h3d3c
4.52696,0.45723,11.3732,0.54277,0.6000507508,1.269939087,X,0.1491,R5.45,0.02056,R10.9,0.83034,R21.45,0,RAI,0,4h2h2d
4.00135,0.45348,11.899,0.54652,0.5347668107,1.319529212,X,0.15521,R5.45,0.04456,R10.9,0.80024,R21.45,0,RAI,0,4h2d2c
6.90708,0.47853,8.99298,0.52147,0.8747851307,1.045178208,X,0.56657,R5.45,0.42815,R10.9,0.00528,R21.45,0,RAI,0,4h3h2h
7.26166,0.4791,8.63827,0.5209,0.9185986688,1.005051885,X,0.43907,R5.45,0.53782,R10.9,0.02311,R21.45,0,RAI,0,4h3h2d
7.27844,0.47942,8.62145,0.52058,0.9201067329,1.003711539,X,0.44977,R5.45,0.52968,R10.9,0.02055,R21.45,0,RAI,0,4h3d2h
7.29486,0.47964,8.60516,0.52036,0.9217594736,1.002238529,X,0.4609,R5.45,0.5222,R10.9,0.0169,R21.45,0,RAI,0,4d3h2h
7.33208,0.47779,8.56798,0.52221,0.9300497705,0.994372957,X,0.36039,R5.45,0.31736,R10.9,0.32224,R21.45,0,RAI,0,4h3d2c
4.80783,0.4598,11.0924,0.5402,0.6337181917,1.244475073,X,0.1549,R5.45,0.01692,R10.9,0.82818,R21.45,0,RAI,0,4h3h3d
4.3508,0.45669,11.5493,0.54331,0.5773825637,1.288325325,X,0.16622,R5.45,0.01886,R10.9,0.81492,R21.45,0,RAI,0,4h3d3c
5.36699,0.45977,10.5332,0.54023,0.7074670615,1.181671858,X,0.19224,R5.45,0.02682,R10.9,0.78094,R21.45,0,RAI,0,4h4d2h
4.90638,0.45567,10.9934,0.54433,0.6525695677,1.22401235,X,0.12888,R5.45,0.1772,R10.9,0.69392,R21.45,0,RAI,0,4d4c2h
5.2882,0.46019,10.6117,0.53981,0.6964448706,1.191405678,X,0.17253,R5.45,0.02569,R10.9,0.80178,R21.45,0,RAI,0,4h4d3h
4.8711,0.45689,11.0293,0.54311,0.6461471845,1.230770205,X,0.13437,R5.45,0.06876,R10.9,0.79687,R21.45,0,RAI,0,4d4c3h
3.17932,0.43608,12.7212,0.56392,0.4418594355,1.367183939,X,0.00005,R5.45,0.52557,R10.9,0.47437,R21.45,0,RAI,0,4h4d4c
4.64279,0.45923,11.2573,0.54077,0.6127239051,1.261649921,X,0.15674,R5.45,0.02792,R10.9,0.81534,R21.45,0,RAI,0,5h2h2d
4.14567,0.45582,11.7541,0.54418,0.5512104047,1.309074473,X,0.14708,R5.45,0.10981,R10.9,0.74311,R21.45,0,RAI,0,5h2d2c
6.7427,0.47607,9.15722,0.52393,0.8583790246,1.059269386,X,0.52685,R5.45,0.46893,R10.9,0.00422,R21.45,0,RAI,0,5h3h2h
6.86143,0.47709,9.03841,0.52291,0.8716264261,1.047565426,X,0.30963,R5.45,0.45766,R10.9,0.23271,R21.45,0,RAI,0,5d3h2h
6.78106,0.47633,9.11884,0.52367,0.8627912081,1.055353494,X,0.31264,R5.45,0.3401,R10.9,0.34726,R21.45,0,RAI,0,5h3h2d
6.80988,0.47668,9.09027,0.52332,0.8658218879,1.052750586,X,0.31344,R5.45,0.3545,R10.9,0.33206,R21.45,0,RAI,0,5h3d2h
6.66382,0.47488,9.23633,0.52512,0.8504629752,1.065999308,X,0.33455,R5.45,0.04176,R10.9,0.62369,R21.45,0,RAI,0,5h3d2c
4.83297,0.4605,11.0672,0.5395,0.6360635834,1.243256628,X,0.16215,R5.45,0.02214,R10.9,0.81571,R21.45,0,RAI,0,5h3h3d
4.39428,0.45759,11.5058,0.54241,0.5820057025,1.285596819,X,0.17011,R5.45,0.03585,R10.9,0.79404,R21.45,0,RAI,0,5h3d3c
6.92033,0.48122,8.97956,0.51878,0.8715638091,1.049029952,X,0.57097,R5.45,0.42416,R10.9,0.00487,R21.45,0,RAI,0,5h4h2h
7.17405,0.48269,8.72593,0.51731,0.9007663188,1.022296556,X,0.42637,R5.45,0.14489,R10.9,0.42874,R21.45,0,RAI,0,5h4h2d
