flop,Check,B33,B66,B130,AI,oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr
2h2d2c,0.00799,0.40624,0.58576,0,0,2.73614,0.43421,13.1641,0.56579,0.3819043009,1.410105603
3h2h2d,0.14888,0.01865,0.83247,0,0,4.46006,0.45495,11.4401,0.54505,0.5941458865,1.272062294
3h2d2c,0.14728,0.01408,0.83864,0,0,3.87949,0.45085,12.0208,0.54915,0.5215051453,1.326654121
3h3d2h,0.16191,0.01598,0.82211,0,0,4.69421,0.45642,11.206,0.54358,0.6233240792,1.249403776
3d3c2h,0.15428,0.01459,0.83112,0,0,4.1361,0.45225,11.7638,0.54775,0.5542790801,1.301613463
3h3d3c,0.00873,0.42957,0.5617,0,0,2.85148,0.43471,13.0492,0.56529,0.3975454251,1.399034142
4h2h2d,0.14659,0.02219,0.83122,0,0,4.43762,0.45624,11.4622,0.54376,0.5894850901,1.277548936
4h2d2c,0.14672,0.03487,0.81841,0,0,3.93322,0.45253,11.9666,0.54747,0.5267650012,1.324726304
4h3h2h,0.52899,0.46594,0.00507,0,0,6.75605,0.47433,9.14399,0.52567,0.863233562,1.054237819
4h3h2d,0.32922,0.63947,0.03131,0,0,6.96865,0.47319,8.9313,0.52681,0.8925429689,1.027487954
4h3d2h,0.33562,0.63834,0.02604,0,0,6.98018,0.4734,8.91984,0.5266,0.8936231561,1.026578716
4d3h2h,0.34733,0.63054,0.02213,0,0,6.99567,0.47354,8.90464,0.52646,0.8953414351,1.025101948
4h3d2c,0.27693,0.40133,0.32174,0,0,6.97332,0.47138,8.92705,0.52862,0.8965706206,1.023482476
4h3h3d,0.15082,0.01998,0.8292,0,0,4.6517,0.45775,11.2486,0.54225,0.6158846922,1.257229661
4h3d3c,0.14461,0.01911,0.83628,0,0,4.20132,0.45455,11.6987,0.54545,0.5601704236,1.299863164
4h4d2h,0.16341,0.04133,0.79526,0,0,5.21557,0.45771,10.6845,0.54229,0.6906013662,1.194092198
4d4c2h,0.11643,0.14634,0.73723,0,0,4.77751,0.45371,11.1224,0.54629,0.6381743343,1.233933383
4h4d3h,0.14032,0.04919,0.81049,0,0,5.12724,0.45761,10.7726,0.54239,0.6790538266,1.203721795
4d4c3h,0.12002,0.06509,0.8149,0,0,4.71546,0.45424,11.1849,0.54576,0.6291507737,1.242074476
4h4d4c,0.00009,0.48801,0.5119,0,0,3.13273,0.43521,12.7674,0.56479,0.4362547488,1.370032361
5h2h2d,0.15746,0.02701,0.81553,0,0,4.55753,0.45779,11.3427,0.54221,0.6033638624,1.267842651
5h2d2c,0.13651,0.09776,0.76573,0,0,4.07786,0.45426,11.8223,0.54574,0.5440563278,1.312904003
5h3h2h,0.48971,0.5054,0.00489,0,0,6.6218,0.47271,9.27831,0.52729,0.8489797074,1.066437485
5d3h2h,0.25593,0.4852,0.25888,0,0,6.60483,0.47182,9.29553,0.52818,0.8484013334,1.066616439
5h3h2d,0.25815,0.36691,0.37494,0,0,6.53513,0.47134,9.36485,0.52866,0.840303148,1.073594881
5h3d2h,0.25776,0.3808,0.36144,0,0,6.55604,0.47157,9.34419,0.52843,0.8425806531,1.071692636
5h3d2c,0.26948,0.1906,0.53992,0,0,6.40536,0.46941,9.49467,0.53059,0.8270033616,1.084518258
5h3h3d,0.16239,0.02361,0.814,0,0,4.6882,0.45824,11.2117,0.54176,0.6200535345,1.254239815
5h3d3c,0.14888,0.03654,0.81458,0,0,4.24998,0.45511,11.6497,0.54489,0.565961056,1.295748871
5h4h2h,0.53753,0.45685,0.00562,0,0,6.80611,0.47786,9.09369,0.52214,0.8632057636,1.055526669
5h4h2d,0.3769,0.16672,0.45638,0,0,6.92198,0.47756,8.97832,0.52244,0.8784528053,1.041537012
5h4d2h,0.35644,0.1916,0.45196,0,0,6.81567,0.47629,9.08468,0.52371,0.8672676745,1.05131968
5d4h2h,0.35479,0.20867,0.43655,0,0,6.82797,0.47635,9.07213,0.52365,0.8687233277,1.049987745
5h4d2c,0.34226,0.01528,0.64246,0,0,6.68057,0.47445,9.21929,0.52555,0.8533734737,1.063162072
5h4h3h,0.58451,0.41092,0.00457,0,0,6.9925,0.48246,8.90757,0.51754,0.8783896598,1.04311308
5d4h3h,0.43967,0.31548,0.24485,0,0,7.32272,0.4828,8.57713,0.5172,0.9192237135,1.005077507
5h4h3d,0.46638,0.28136,0.25227,0,0,7.42514,0.48419,8.4749,0.51581,0.9294047604,0.9957742292
5h4d3h,0.43791,0.27489,0.2872,0,0,7.3175,0.48278,8.58259,0.51722,0.9186065013,1.005678349
5h4d3c,0.41484,0.01511,0.57005,0,0,7.3484,0.48177,8.55157,0.51823,0.9244194837,1.000090587
5h4h4d,0.15386,0.08153,0.7646,0,0,5.53961,0.46164,10.3601,0.53836,0.7272635249,1.166294023
5h4d4c,0.11555,0.08085,0.8036,0,0,4.83928,0.45608,11.0611,0.54392,0.643066373,1.23248076
5h5d2h,0.1439,0.23006,0.62604,0,0,5.65343,0.45938,10.2467,0.54062,0.7458577206,1.14870685
5d5c2h,0.07733,0.29588,0.62679,0,0,5.23452,0.45544,10.6658,0.54456,0.6965651319,1.187032208
5h5d3h,0.11384,0.20265,0.68351,0,0,5.4755,0.45806,10.4249,0.54194,0.7244651224,1.165830729
5d5c3h,0.08168,0.19665,0.72167,0,0,5.08722,0.45463,10.813,0.54537,0.6781699047,1.201628479
5h5d4h,0.12915,0.18313,0.68772,0,0,5.74131,0.46091,10.1591,0.53909,0.7549373951,1.142113221
5d5c4h,0.08432,0.14028,0.77539,0,0,5.0611,0.45523,10.8392,0.54477,0.673798597,1.205874435
5h5d5c,0.00002,0.53245,0.46753,0,0,3.32274,0.43519,12.5779,0.56481,0.4627362535,1.349651064
6h2h2d,0.16359,0.02193,0.81447,0,0,4.86218,0.46048,11.0375,0.53952,0.6399356909,1.239876505
