oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.17913,0.43101,24.6202,0.56899,0.3064162946,1.579197224,F,0.50919,C,0.20684,R24.3,0.12605,R31.95,0.15793,R42.7,0,R56.85,0,RAI,0,2h2d2c
4.26378,0.44335,22.5365,0.55665,0.5828598705,1.477588505,F,0.4368,C,0.44024,R24.3,0.07945,R31.95,0.00033,R42.7,0,R56.85,0,RAI,0.04317,3h2h2d
3.3643,0.43553,23.4362,0.56447,0.4681582606,1.515291975,F,0.45306,C,0.34696,R24.3,0.11973,R31.95,0.08025,R42.7,0,R56.85,0,RAI,0,3h2d2c
4.45814,0.44354,22.3419,0.55646,0.6091678148,1.465333684,F,0.43587,C,0.44711,R24.3,0.06613,R31.95,0.00449,R42.7,0,R56.85,0,RAI,0.04641,3h3d2h
3.61672,0.43628,23.1839,0.56372,0.5024184997,1.500972351,F,0.45045,C,0.36192,R24.3,0.12213,R31.95,0.06551,R42.7,0,R56.85,0,RAI,0,3d3c2h
2.31769,0.43231,24.4822,0.56769,0.3249197546,1.573939098,F,0.52176,C,0.2214,R24.3,0.11494,R31.95,0.1419,R42.7,0,R56.85,0,RAI,0,3h3d3c
4.40928,0.44603,22.39,0.55397,0.5991280534,1.475083937,F,0.4399,C,0.43272,R24.3,0.08131,R31.95,0.00052,R42.7,0,R56.85,0,RAI,0.04556,4h2h2d
3.62946,0.43927,23.1707,0.56073,0.5007564453,1.508116858,F,0.46551,C,0.32427,R24.3,0.1235,R31.95,0.08672,R42.7,0,R56.85,0,RAI,0,4h2d2c
5.1338,0.47599,21.7164,0.52401,0.6536679288,1.512506591,F,0.49983,C,0.40907,R24.3,0.06926,R31.95,0.00664,R42.7,0.00564,R56.85,0.00544,RAI,0.00412,4h3h2h
6.14042,0.45856,20.6404,0.54144,0.8115550253,1.391289158,F,0.46837,C,0.37371,R24.3,0.10799,R31.95,0.01182,R42.7,0.01298,R56.85,0.013,RAI,0.01214,4h3h2d
6.09704,0.4589,20.6891,0.5411,0.80522463,1.395450798,F,0.47023,C,0.36718,R24.3,0.11133,R31.95,0.01163,R42.7,0.01286,R56.85,0.01342,RAI,0.01335,4h3d2h
6.14034,0.45859,20.6719,0.54141,0.8114913288,1.393486259,F,0.47235,C,0.35543,R24.3,0.11707,R31.95,0.01093,R42.7,0.01407,R56.85,0.01546,RAI,0.01469,4d3h2h
7.06847,0.45616,19.7273,0.54384,0.9391268698,1.323869841,F,0.42886,C,0.48012,R24.3,0.09097,R31.95,0.00006,R42.7,0,R56.85,0,RAI,0,4h3d2c
4.84001,0.44731,21.9594,0.55269,0.6557732871,1.450064431,F,0.42941,C,0.45707,R24.3,0.06973,R31.95,0.0008,R42.7,0,R56.85,0,RAI,0.04299,4h3h3d
4.13584,0.44066,22.6641,0.55934,0.5688216904,1.478808131,F,0.43853,C,0.38184,R24.3,0.10661,R31.95,0.07303,R42.7,0,R56.85,0,RAI,0,4h3d3c
5.04986,0.44629,21.7504,0.55371,0.6857696354,1.43361832,F,0.45204,C,0.41507,R24.3,0.09688,R31.95,0.0001,R42.7,0,R56.85,0,RAI,0.03591,4h4d2h
4.54786,0.44237,22.252,0.55763,0.6230709342,1.456372172,F,0.4641,C,0.33355,R24.3,0.19137,R31.95,0.01099,R42.7,0,R56.85,0,RAI,0,4d4c2h
5.15159,0.44754,21.6484,0.55246,0.6976305542,1.430128263,F,0.44266,C,0.43251,R24.3,0.08503,R31.95,0.00033,R42.7,0,R56.85,0,RAI,0.03948,4h4d3h
4.58073,0.44188,22.2194,0.55812,0.6282701308,1.452963732,F,0.45305,C,0.35037,R24.3,0.17758,R31.95,0.01901,R42.7,0,R56.85,0,RAI,0,4d4c3h
2.40812,0.43279,24.3932,0.56721,0.3372228052,1.569548942,F,0.57965,C,0.17526,R24.3,0.17021,R31.95,0.07488,R42.7,0,R56.85,0,RAI,0,4h4d4c
4.30836,0.44943,22.4918,0.55057,0.580986449,1.490945874,F,0.44403,C,0.41648,R24.3,0.10084,R31.95,0.00138,R42.7,0,R56.85,0,RAI,0.03727,5h2h2d
3.55688,0.44339,23.2432,0.55661,0.4861825457,1.524030984,F,0.47017,C,0.30825,R24.3,0.1261,R31.95,0.09548,R42.7,0,R56.85,0,RAI,0,5h2d2c
5.0615,0.47638,21.7439,0.52362,0.6439346451,1.515550669,F,0.50098,C,0.40083,R24.3,0.07537,R31.95,0.00682,R42.7,0.00566,R56.85,0.00569,RAI,0.00464,5h3h2h
