oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.9904,0.42856,18.3594,0.57144,0.4228961476,1.463708196,F,0.32187,C,0.45043,R15.05,0,R20.5,0.11135,R28.2,0.11634,R38.35,0,RAI,0,2h2d2c
4.93449,0.44905,16.3981,0.55095,0.6659837573,1.355955727,F,0.26263,C,0.55062,R15.05,0.06459,R20.5,0.07915,R28.2,0.01616,R38.35,0.01241,RAI,0.01445,3h2h2d
3.96468,0.4343,17.35,0.5657,0.5532664764,1.397261035,F,0.28008,C,0.51784,R15.05,0.0108,R20.5,0.09639,R28.2,0.08234,R38.35,0.0059,RAI,0.00666,3h2d2c
4.95722,0.44809,16.4012,0.55191,0.670484923,1.353857118,F,0.26464,C,0.5464,R15.05,0.06661,R20.5,0.08518,R28.2,0.01184,R38.35,0.01204,RAI,0.01328,3h3d2h
4.09634,0.43581,17.2369,0.56419,0.5696588911,1.391871185,F,0.28251,C,0.51574,R15.05,0.01752,R20.5,0.10048,R28.2,0.07184,R38.35,0.00598,RAI,0.00594,3d3c2h
3.11099,0.42988,18.238,0.57012,0.4385988051,1.457391311,F,0.34789,C,0.4232,R15.05,0,R20.5,0.14417,R28.2,0.08474,R38.35,0,RAI,0,3h3d3c
4.68072,0.44925,16.6706,0.55075,0.631452383,1.378996785,F,0.2675,C,0.54295,R15.05,0.06296,R20.5,0.09616,R28.2,0.01115,R38.35,0.0099,RAI,0.00937,4h2h2d
3.78467,0.43549,17.5651,0.56451,0.5267031159,1.417571534,F,0.29381,C,0.49796,R15.05,0.00602,R20.5,0.10104,R28.2,0.09201,R38.35,0.00575,RAI,0.00342,4h2d2c
5.70604,0.46364,15.6438,0.53636,0.7458817122,1.328772911,F,0.33029,C,0.60997,R15.05,0.05623,R20.5,0.00351,R28.2,0,R38.35,0,RAI,0,4h3h2h
6.17377,0.44895,15.1761,0.55105,0.8334288494,1.254684798,F,0.28956,C,0.53526,R15.05,0.16466,R20.5,0.01053,R28.2,0,R38.35,0,RAI,0,4h3h2d
