oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.21202,0.43521,24.5892,0.56479,0.3080393754,1.58893503,F,0.53679,C,0.15416,R24.3,0.23451,R31.95,0.07453,R42.7,0,R56.85,0,RAI,0,2h2d2c
3.96882,0.44656,22.8313,0.55344,0.538638825,1.505602506,F,0.45116,C,0.39997,R24.3,0.10292,R31.95,0.00459,R42.7,0,R56.85,0.00022,RAI,0.04114,3h2h2d
3.21879,0.44082,23.5812,0.55918,0.4425347791,1.539091444,F,0.48782,C,0.27676,R24.3,0.17569,R31.95,0.05974,R42.7,0,R56.85,0,RAI,0,3h2d2c
4.15721,0.44724,22.643,0.55276,0.5633487978,1.495018621,F,0.45041,C,0.40332,R24.3,0.10276,R31.95,0.00204,R42.7,0,R56.85,0.00029,RAI,0.04118,3h3d2h
3.43329,0.44182,23.3663,0.55818,0.4709569149,1.527797083,F,0.48684,C,0.28339,R24.3,0.17852,R31.95,0.05125,R42.7,0,R56.85,0,RAI,0,3d3c2h
2.29036,0.43553,24.5113,0.56447,0.3187144243,1.58480039,F,0.55387,C,0.14451,R24.3,0.2572,R31.95,0.04441,R42.7,0,R56.85,0,RAI,0,3h3d3c
3.97315,0.44849,22.8268,0.55151,0.5369060044,1.510570804,F,0.45435,C,0.38873,R24.3,0.12567,R31.95,0.00048,R42.7,0,R56.85,0.0001,RAI,0.03066,4h2h2d
3.34848,0.44415,23.4522,0.55584,0.4569136116,1.539869019,F,0.51052,C,0.21972,R24.3,0.22596,R31.95,0.0438,R42.7,0,R56.85,0,RAI,0,4h2d2c
5.06723,0.47431,21.687,0.52568,0.6474770829,1.505662571,F,0.50359,C,0.42595,R24.3,0.04372,R31.95,0.00695,R42.7,0.00656,R56.85,0.00672,RAI,0.00651,4h3h2h
6.10035,0.4576,20.6942,0.5424,0.8079505637,1.39244884,F,0.46198,C,0.39113,R24.3,0.1153,R31.95,0.00916,R42.7,0.00975,R56.85,0.00687,RAI,0.00582,4h3h2d
6.12053,0.45849,20.6812,0.54151,0.8090497252,1.393855847,F,0.46391,C,0.38605,R24.3,0.11675,R31.95,0.00939,R42.7,0.01026,R56.85,0.00753,RAI,0.00612,4h3d2h
6.17205,0.45949,20.6304,0.54051,0.8140843878,1.393009216,F,0.46764,C,0.37199,R24.3,0.12248,R31.95,0.00895,R42.7,0.01037,R56.85,0.0102,RAI,0.00837,4d3h2h
6.88472,0.46128,19.9156,0.53872,0.9045606985,1.349212591,F,0.42757,C,0.45472,R24.3,0.11771,R31.95,0,R42.7,0,R56.85,0,RAI,0,4h3d2c
4.22022,0.44855,22.5791,0.55145,0.5702171944,1.494339645,F,0.43798,C,0.41588,R24.3,0.1119,R31.95,0.00347,R42.7,0,R56.85,0.00007,RAI,0.03071,4h3h3d
3.62493,0.44402,23.1751,0.55598,0.494781136,1.521288882,F,0.47601,C,0.29554,R24.3,0.16418,R31.95,0.06427,R42.7,0,R56.85,0,RAI,0,4h3d3c
