oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
3.09492,0.42601,18.2544,0.57399,0.4402969383,1.448869203,F,0.32281,C,0.46157,R15.05,0.00389,R20.5,0.17821,R28.2,0.03352,R38.35,0,RAI,0,2h2d2c
4.70295,0.44392,16.6523,0.55608,0.6420690247,1.364277399,F,0.27111,C,0.52863,R15.05,0.04749,R20.5,0.10902,R28.2,0.01711,R38.35,0.01397,RAI,0.01267,3h2h2d
3.83468,0.42922,17.5116,0.57078,0.5414585952,1.397730938,F,0.28461,C,0.49559,R15.05,0.00779,R20.5,0.11867,R28.2,0.08437,R38.35,0.00479,RAI,0.00418,3h2d2c
4.89927,0.4471,16.4511,0.5529,0.6641141782,1.355547862,F,0.26978,C,0.53108,R15.05,0.04088,R20.5,0.1185,R28.2,0.01454,R38.35,0.01256,RAI,0.01266,3h3d2h
3.96143,0.43058,17.3892,0.56942,0.5575890115,1.3912714,F,0.28735,C,0.49252,R15.05,0.00809,R20.5,0.13674,R28.2,0.06835,R38.35,0.0045,RAI,0.00245,3d3c2h
3.22837,0.42793,18.1223,0.57207,0.4572214757,1.443210222,F,0.33672,C,0.44427,R15.05,0.00509,R20.5,0.192,R28.2,0.02192,R38.35,0,RAI,0,3h3d3c
4.52893,0.44308,16.8237,0.55692,0.6194831914,1.376235959,F,0.28023,C,0.51284,R15.05,0.04187,R20.5,0.14151,R28.2,0.01036,R38.35,0.00795,RAI,0.00523,4h2h2d
3.7737,0.42724,17.5824,0.57276,0.535317581,1.398528203,F,0.29177,C,0.48269,R15.05,0.00132,R20.5,0.15371,R28.2,0.07039,R38.35,0.00012,RAI,0,4h2d2c
5.70931,0.46405,15.6404,0.53595,0.7456498114,1.329506384,F,0.33646,C,0.599,R15.05,0.06054,R20.5,0.004,R28.2,0,R38.35,0,RAI,0,4h3h2h
6.15913,0.45463,15.1909,0.54537,0.8210646508,1.268986999,F,0.28467,C,0.54172,R15.05,0.15277,R20.5,0.02083,R28.2,0,R38.35,0,RAI,0.00001,4h3h2d
6.15395,0.45459,15.1956,0.54541,0.8204463046,1.269289857,F,0.28644,C,0.538,R15.05,0.15574,R20.5,0.0198,R28.2,0,R38.35,0,RAI,0.00002,4h3d2h
6.16829,0.45525,15.1812,0.54475,0.821165887,1.269624237,F,0.2931,C,0.51936,R15.05,0.16479,R20.5,0.02274,R28.2,0,R38.35,0,RAI,0.00001,4d3h2h
6.20992,0.45213,15.1398,0.54787,0.832412784,1.258945593,F,0.25604,C,0.57108,R15.05,0.1606,R20.5,0.01227,R28.2,0.00001,R38.35,0,RAI,0,4h3d2c
4.65099,0.44583,16.6992,0.55417,0.6322548735,1.372830193,F,0.26821,C,0.52859,R15.05,0.04231,R20.5,0.13238,R28.2,0.01059,R38.35,0.00929,RAI,0.00863,4h3h3d
4.02779,0.43646,17.3048,0.56354,0.5592917921,1.398969006,F,0.28236,C,0.49334,R15.05,0.00801,R20.5,0.15187,R28.2,0.0577,R38.35,0.00463,RAI,0.0021,4h3d3c
5.20776,0.4444,16.1462,0.5556,0.7102200735,1.323953585,F,0.2902,C,0.50381,R15.05,0.01658,R20.5,0.18225,R28.2,0.00518,R38.35,0.00177,RAI,0.00022,4h4d2h
4.82035,0.43918,16.5271,0.56082,0.6651997891,1.342571231,F,0.28719,C,0.49306,R15.05,0.0033,R20.5,0.20745,R28.2,0.009,R38.35,0,RAI,0,4d4c2h
5.1561,0.44489,16.1955,0.55511,0.7024003732,1.329167497,F,0.28279,C,0.50859,R15.05,0.02944,R20.5,0.16904,R28.2,0.00645,R38.35,0.00332,RAI,0.00037,4h4d3h
4.75821,0.43951,16.5925,0.56049,0.6561315617,1.348682404,F,0.2792,C,0.49921,R15.05,0.00259,R20.5,0.19935,R28.2,0.01963,R38.35,0.00002,RAI,0,4d4c3h
3.48295,0.42851,17.8683,0.57149,0.4926089754,1.424426585,F,0.3462,C,0.46133,R15.05,0.00571,R20.5,0.17991,R28.2,0.00685,R38.35,0,RAI,0,4h4d4c
4.67859,0.44244,16.6811,0.55756,0.6408798848,1.363005192,F,0.28547,C,0.50354,R15.05,0.03338,R20.5,0.16455,R28.2,0.00766,R38.35,0.00449,RAI,0.00091,5h2h2d
3.95959,0.43195,17.3895,0.56805,0.5555623275,1.394649183,F,0.28598,C,0.49216,R15.05,0,R20.5,0.16705,R28.2,0.05481,R38.35,0,RAI,0,5h2d2c
5.51974,0.46012,15.8306,0.53988,0.7270488324,1.335873584,F,0.33561,C,0.56629,R15.05,0.0981,R20.5,0,R28.2,0,R38.35,0,RAI,0,5h3h2h
5.99999,0.45551,15.3496,0.54449,0.7983046791,1.284319091,F,0.25612,C,0.59108,R15.05,0.09067,R20.5,0.04439,R28.2,0,R38.35,0,RAI,0.01773,5d3h2h
5.89331,0.45426,15.4574,0.54574,0.7862684671,1.290374708,F,0.24939,C,0.60597,R15.05,0.07849,R20.5,0.04969,R28.2,0,R38.35,0,RAI,0.01646,5h3h2d
5.92547,0.45473,15.4246,0.54527,0.7897420077,1.288750596,F,0.2492,C,0.60459,R15.05,0.08247,R20.5,0.04738,R28.2,0,R38.35,0,RAI,0.01635,5h3d2h
5.39321,0.44618,15.9574,0.55382,0.7325770281,1.312677795,F,0.24423,C,0.58566,R15.05,0.06503,R20.5,0.10113,R28.2,0.00339,R38.35,0.00055,RAI,0,5h3d2c
4.73288,0.44515,16.5833,0.55485,0.6443698234,1.361631369,F,0.27843,C,0.51273,R15.05,0.03458,R20.5,0.15543,R28.2,0.0082,R38.35,0.00715,RAI,0.00347,5h3h3d
4.12582,0.43495,17.233,0.56505,0.5748929993,1.389442966,F,0.2829,C,0.49443,R15.05,0.00326,R20.5,0.15178,R28.2,0.06683,R38.35,0.00079,RAI,0,5h3d3c
5.54544,0.46093,15.8042,0.53907,0.7291503961,1.335654674,F,0.33036,C,0.56701,R15.05,0.10166,R20.5,0.00097,R28.2,0,R38.35,0,RAI,0,5h4h2h
6.03796,0.45383,15.3112,0.54617,0.8063304979,1.277166264,F,0.24204,C,0.61109,R15.05,0.03814,R20.5,0.09692,R28.2,0.00023,R38.35,0,RAI,0.01157,5h4h2d
6.03015,0.45388,15.3206,0.54612,0.8051987813,1.278064861,F,0.24066,C,0.61178,R15.05,0.04777,R20.5,0.07849,R28.2,0.00028,R38.35,0,RAI,0.02102,5h4d2h
6.06763,0.45376,15.281,0.54624,0.8104177138,1.274485551,F,0.24275,C,0.60535,R15.05,0.05928,R20.5,0.07318,R28.2,0.00047,R38.35,0,RAI,0.01898,5d4h2h
5.83936,0.4566,15.4825,0.5434,0.7750779947,1.298040764,F,0.23302,C,0.59581,R15.05,0.09308,R20.5,0.05279,R28.2,0.00687,R38.35,0.01024,RAI,0.0082,5h4d2c
5.65797,0.46336,15.6904,0.53664,0.7400450216,1.332034134,F,0.32691,C,0.58022,R15.05,0.09242,R20.5,0.00045,R28.2,0,R38.35,0,RAI,0,5h4h3h
