oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
3.23114,0.42632,18.1188,0.57368,0.4593419653,1.438881279,F,0.31059,C,0.47587,R15.05,0.00365,R20.5,0.20374,R28.2,0.00614,R38.35,0,RAI,0,2h2d2c
4.73783,0.44304,16.6264,0.55696,0.6481157758,1.360003273,F,0.27512,C,0.52716,R15.05,0.02307,R20.5,0.13045,R28.2,0.01951,R38.35,0.01438,RAI,0.01031,3h2h2d
3.90722,0.43091,17.4682,0.56909,0.5495375138,1.398405622,F,0.2789,C,0.50198,R15.05,0.01071,R20.5,0.10583,R28.2,0.09195,R38.35,0.00504,RAI,0.00559,3h2d2c
4.83131,0.44486,16.5002,0.55514,0.6581995387,1.354101132,F,0.27671,C,0.52323,R15.05,0.01949,R20.5,0.14617,R28.2,0.01354,R38.35,0.01096,RAI,0.00989,3h3d2h
4.10536,0.4342,17.2488,0.5658,0.5730301825,1.388865432,F,0.27947,C,0.5056,R15.05,0.01231,R20.5,0.11305,R28.2,0.07955,R38.35,0.00476,RAI,0.00526,3d3c2h
3.32517,0.42768,18.025,0.57232,0.4712061908,1.434838507,F,0.32594,C,0.46151,R15.05,0.00605,R20.5,0.20117,R28.2,0.00532,R38.35,0,RAI,0,3h3d3c
4.56117,0.44165,16.7882,0.55835,0.6259131656,1.369820218,F,0.2899,C,0.50355,R15.05,0.01979,R20.5,0.16752,R28.2,0.00958,R38.35,0.00663,RAI,0.00303,4h2h2d
3.85504,0.42862,17.4905,0.57138,0.5450953911,1.39457745,F,0.29251,C,0.47902,R15.05,0.00331,R20.5,0.13787,R28.2,0.08697,R38.35,0.00032,RAI,0,4h2d2c
5.64156,0.46157,15.7089,0.53843,0.7407603092,1.329175405,F,0.34066,C,0.58592,R15.05,0.06895,R20.5,0.00446,R28.2,0,R38.35,0,RAI,0,4h3h2h
6.12902,0.45444,15.2216,0.54556,0.8173923344,1.271112872,F,0.28245,C,0.54578,R15.05,0.14918,R20.5,0.02257,R28.2,0.00001,R38.35,0,RAI,0.00002,4h3h2d
6.12937,0.45449,15.2209,0.54551,0.8173490675,1.271170938,F,0.28454,C,0.54053,R15.05,0.15557,R20.5,0.01934,R28.2,0,R38.35,0,RAI,0.00002,4h3d2h
6.14232,0.4552,15.2082,0.5448,0.817798415,1.271761419,F,0.2931,C,0.52011,R15.05,0.16548,R20.5,0.02116,R28.2,0.00014,R38.35,0,RAI,0.00001,4d3h2h
6.12151,0.45218,15.2289,0.54782,0.820471072,1.266474491,F,0.25756,C,0.56957,R15.05,0.1511,R20.5,0.02176,R28.2,0.00001,R38.35,0,RAI,0,4h3d2c
4.6089,0.44224,16.7527,0.55776,0.6316192048,1.368366389,F,0.28101,C,0.51264,R15.05,0.0179,R20.5,0.16692,R28.2,0.00992,R38.35,0.00714,RAI,0.00449,4h3h3d
4.11464,0.43528,17.2323,0.56472,0.5729005198,1.390191274,F,0.28244,C,0.49629,R15.05,0.00808,R20.5,0.12233,R28.2,0.083,R38.35,0.0049,RAI,0.00294,4h3d3c
5.20056,0.44056,16.1511,0.55944,0.7154200355,1.315266628,F,0.30236,C,0.48866,R15.05,0.00278,R20.5,0.20442,R28.2,0.00166,R38.35,0.00012,RAI,0,4h4d2h
4.84779,0.4384,16.5047,0.5616,0.6701766424,1.338897361,F,0.28714,C,0.49901,R15.05,0.00169,R20.5,0.20262,R28.2,0.00953,R38.35,0,RAI,0,4d4c2h
5.1343,0.44155,16.215,0.55845,0.704721369,1.322809583,F,0.29642,C,0.49137,R15.05,0.00335,R20.5,0.20798,R28.2,0.00083,R38.35,0.00004,RAI,0,4h4d3h
4.76766,0.43744,16.5925,0.56256,0.6605456616,1.343719759,F,0.28537,C,0.49804,R15.05,0.00117,R20.5,0.18571,R28.2,0.02971,R38.35,0,RAI,0,4d4c3h
3.59228,0.42831,17.7578,0.57169,0.5083092398,1.415122388,F,0.36081,C,0.44508,R15.05,0.00867,R20.5,0.18095,R28.2,0.00449,R38.35,0,RAI,0,4h4d4c
4.63234,0.43985,16.7298,0.56015,0.6382809467,1.360666975,F,0.29727,C,0.49266,R15.05,0.01164,R20.5,0.18918,R28.2,0.0059,R38.35,0.00291,RAI,0.00045,5h2h2d
4.0392,0.43145,17.3129,0.56855,0.5673890007,1.387290367,F,0.28617,C,0.48928,R15.05,0,R20.5,0.15606,R28.2,0.06849,R38.35,0,RAI,0,5h2d2c
5.50494,0.45863,15.8461,0.54137,0.7274550999,1.333504651,F,0.3388,C,0.5597,R15.05,0.1015,R20.5,0,R28.2,0,R38.35,0,RAI,0,5h3h2h
5.88968,0.45379,15.4607,0.54621,0.7865979647,1.289544647,F,0.26046,C,0.58049,R15.05,0.09359,R20.5,0.05143,R28.2,0,R38.35,0,RAI,0.01403,5d3h2h
5.8081,0.45352,15.5422,0.54648,0.77616439,1.295694393,F,0.2552,C,0.5909,R15.05,0.07525,R20.5,0.06987,R28.2,0,R38.35,0,RAI,0.00878,5h3h2d
5.83233,0.45381,15.5183,0.54619,0.7789042865,1.294395452,F,0.25562,C,0.58905,R15.05,0.08258,R20.5,0.06298,R28.2,0,R38.35,0,RAI,0.00977,5h3d2h
5.46978,0.44868,15.8796,0.55132,0.7388379387,1.312203712,F,0.24633,C,0.58405,R15.05,0.05165,R20.5,0.11797,R28.2,0,R38.35,0,RAI,0,5h3d2c
4.66224,0.44042,16.6955,0.55958,0.6415694124,1.359262171,F,0.28878,C,0.50016,R15.05,0.00974,R20.5,0.18916,R28.2,0.00671,R38.35,0.00442,RAI,0.00103,5h3h3d
4.14588,0.43149,17.203,0.56851,0.582320484,1.378579532,F,0.28187,C,0.49714,R15.05,0.0033,R20.5,0.12663,R28.2,0.09048,R38.35,0.00058,RAI,0,5h3d3c
5.52668,0.45969,15.8234,0.54031,0.728643867,1.33420659,F,0.33595,C,0.54983,R15.05,0.11232,R20.5,0.0019,R28.2,0,R38.35,0,RAI,0,5h4h2h
5.88845,0.45207,15.4629,0.54793,0.7894259034,1.285672105,F,0.24449,C,0.60329,R15.05,0.03179,R20.5,0.11223,R28.2,0.00035,R38.35,0,RAI,0.00786,5h4h2d
5.88818,0.45242,15.4637,0.54758,0.7887789742,1.286561236,F,0.24501,C,0.60109,R15.05,0.0389,R20.5,0.09842,R28.2,0.00029,R38.35,0.00003,RAI,0.01625,5h4d2h
5.91776,0.45212,15.4318,0.54788,0.7932675176,1.283206693,F,0.2467,C,0.59596,R15.05,0.05064,R20.5,0.09206,R28.2,0.00002,R38.35,0,RAI,0.01463,5d4h2h
5.47385,0.44935,15.8774,0.55065,0.7382852376,1.313620073,F,0.23794,C,0.58771,R15.05,0.07431,R20.5,0.0804,R28.2,0.00662,R38.35,0.00751,RAI,0.00551,5h4d2c
5.60811,0.46148,15.7423,0.53852,0.7365117832,1.331780515,F,0.33312,C,0.56276,R15.05,0.1025,R20.5,0.00162,R28.2,0,R38.35,0,RAI,0,5h4h3h
6.15054,0.45214,15.1985,0.54786,0.8244348865,1.263850589,F,0.25195,C,0.59107,R15.05,0.12819,R20.5,0.02026,R28.2,0,R38.35,0,RAI,0.00852,5d4h3h
6.18824,0.45165,15.1622,0.54835,0.8303882583,1.259707939,F,0.25093,C,0.59681,R15.05,0.1195,R20.5,0.02786,R28.2,0,R38.35,0,RAI,0.0049,5h4h3d
6.13424,0.4518,15.2159,0.5482,0.8228688349,1.264512776,F,0.24833,C,0.6012,R15.05,0.11841,R20.5,0.02192,R28.2,0,R38.35,0,RAI,0.01015,5h4d3h
5.99926,0.4502,15.3624,0.5498,0.80762221,1.272971542,F,0.22491,C,0.61355,R15.05,0.12782,R20.5,0.01741,R28.2,0.00668,R38.35,0.00619,RAI,0.00344,5h4d3c
5.23017,0.44583,16.1224,0.55417,0.7109884824,1.325419124,F,0.28171,C,0.51518,R15.05,0.0076,R20.5,0.19543,R28.2,0.00009,R38.35,0,RAI,0,5h4h4d
4.70307,0.44051,16.6465,0.55949,0.6470558042,1.355489173,F,0.28434,C,0.49935,R15.05,0.00248,R20.5,0.17651,R28.2,0.03732,R38.35,0,RAI,0,5h4d4c
5.59704,0.44691,15.7537,0.55309,0.7590220867,1.297635797,F,0.29856,C,0.50698,R15.05,0.00534,R20.5,0.18912,R28.2,0,R38.35,0,RAI,0,5h5d2h
5.30273,0.44467,16.0478,0.55533,0.7227327834,1.316528842,F,0.27507,C,0.52579,R15.05,0.00833,R20.5,0.18594,R28.2,0.00487,R38.35,0,RAI,0,5d5c2h
