oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
14.0605,0.49459,11.8395,0.50541,1.07277877,0.8839854034,X,0.62595,R8.75,0.36117,R17.5,0.01288,R34.45,0,RAI,0,2h2d2c
13.3188,0.4841,12.581,0.5159,1.038207418,0.9202448516,X,0.6799,R8.75,0.0669,R17.5,0.2532,R34.45,0,RAI,0,3h2h2d
13.5631,0.48594,12.3375,0.51406,1.053249033,0.9056632476,X,0.76231,R8.75,0.08737,R17.5,0.15032,R34.45,0,RAI,0,3h2d2c
13.4351,0.48533,12.4648,0.51467,1.044617374,0.9139250271,X,0.6526,R8.75,0.08551,R17.5,0.26189,R34.45,0,RAI,0,3h3d2h
13.6995,0.48713,12.2013,0.51287,1.061242456,0.897747074,X,0.71989,R8.75,0.13433,R17.5,0.14578,R34.45,0,RAI,0,3d3c2h
14.1819,0.49641,11.7181,0.50359,1.078074135,0.8780795655,X,0.5886,R8.75,0.39997,R17.5,0.01143,R34.45,0,RAI,0,3h3d3c
13.3328,0.48378,12.5673,0.51622,1.039985466,0.9186708045,X,0.68221,R8.75,0.07129,R17.5,0.2465,R34.45,0,RAI,0,4h2h2d
13.5605,0.48547,12.3399,0.51453,1.054066669,0.9050142101,X,0.77459,R8.75,0.07409,R17.5,0.15132,R34.45,0,RAI,0,4h2d2c
12.0565,0.49084,13.8449,0.50916,0.9269039523,1.026101492,X,0.79036,R8.75,0.2092,R17.5,0.00044,R34.45,0,RAI,0,4h3h2h
12.405,0.48515,13.4951,0.51485,0.9648842302,0.9891204066,X,0.47048,R8.75,0.31257,R17.5,0.21695,R34.45,0,RAI,0,4h3h2d
12.4082,0.4853,13.4921,0.5147,0.9648324998,0.9891895172,X,0.468,R8.75,0.32016,R17.5,0.21183,R34.45,0,RAI,0,4h3d2h
12.3393,0.48497,13.5605,0.51503,0.9601278619,0.993567288,X,0.47246,R8.75,0.32717,R17.5,0.20037,R34.45,0,RAI,0,4d3h2h
12.7536,0.48683,13.147,0.51317,0.9885764819,0.9667640961,X,0.52069,R8.75,0.19977,R17.5,0.27954,R34.45,0,RAI,0,4h3d2c
13.3441,0.48501,12.5567,0.51499,1.038231823,0.920091171,X,0.66805,R8.75,0.0493,R17.5,0.28265,R34.45,0,RAI,0,4h3h3d
13.6104,0.48696,12.2897,0.51304,1.054708333,0.9039524272,X,0.75102,R8.75,0.04607,R17.5,0.20291,R34.45,0,RAI,0,4h3d3c
13.1945,0.48491,12.706,0.51509,1.026799381,0.9308510763,X,0.57539,R8.75,0.14492,R17.5,0.27969,R34.45,0,RAI,0,4h4d2h
