oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
13.7154,0.49474,10.185,0.50526,1.131528989,0.8227714307,X,0.53754,R8.1,0.42628,R16.15,0.03618,R31.85,0,RAI,0,2h2d2c
12.9978,0.48726,10.9022,0.51274,1.088790509,0.8678615703,X,0.55171,R8.1,0.02502,R16.15,0.42309,R31.85,0.00018,RAI,0,3h2h2d
13.0691,0.4852,10.831,0.5148,1.099411205,0.8587451921,X,0.69036,R8.1,0.03935,R16.15,0.27029,R31.85,0,RAI,0,3h2d2c
13.1429,0.48889,10.7576,0.51111,1.097269546,0.8590786261,X,0.53014,R8.1,0.02235,R16.15,0.44709,R31.85,0.00042,RAI,0,3h3d2h
13.2362,0.48679,10.664,0.51321,1.109828597,0.8481215717,X,0.66138,R8.1,0.04673,R16.15,0.2919,R31.85,0,RAI,0,3d3c2h
13.8336,0.49688,10.0667,0.50312,1.136368472,0.8166753644,X,0.49283,R8.1,0.46851,R16.15,0.03866,R31.85,0,RAI,0,3h3d3c
13.0972,0.48716,10.8029,0.51284,1.097339683,0.8597884574,X,0.55159,R8.1,0.03152,R16.15,0.4169,R31.85,0,RAI,0,4h2h2d
13.1299,0.48482,10.7703,0.51518,1.105385646,0.8533003371,X,0.68508,R8.1,0.04226,R16.15,0.27266,R31.85,0,RAI,0,4h2d2c
11.6574,0.49229,12.2427,0.50771,0.9665275174,0.9842281485,X,0.66535,R8.1,0.33183,R16.15,0.00282,R31.85,0,RAI,0,4h3h2h
11.5198,0.48338,12.3802,0.51662,0.9727235682,0.9781176457,X,0.48795,R8.1,0.31305,R16.15,0.199,R31.85,0,RAI,0,4h3h2d
11.507,0.48326,12.393,0.51674,0.9718848515,0.9788959103,X,0.48851,R8.1,0.31843,R16.15,0.19306,R31.85,0,RAI,0,4h3d2h
11.4363,0.48293,12.4634,0.51707,0.9665751791,0.9838339517,X,0.49121,R8.1,0.34672,R16.15,0.16207,R31.85,0,RAI,0,4d3h2h
11.4405,0.47988,12.4601,0.52012,0.973079131,0.9778033242,X,0.54598,R8.1,0.15314,R16.15,0.30087,R31.85,0,RAI,0,4h3d2c
13.0543,0.48798,10.8464,0.51202,1.091904909,0.8646337908,X,0.53264,R8.1,0.02339,R16.15,0.44396,R31.85,0.00001,RAI,0,4h3h3d
13.061,0.48544,10.839,0.51456,1.098180711,0.8597811412,X,0.65555,R8.1,0.0322,R16.15,0.31225,R31.85,0,RAI,0,4h3d3c
12.8719,0.48871,11.0285,0.51129,1.075037646,0.8804092857,X,0.47869,R8.1,0.02545,R16.15,0.49583,R31.85,0.00003,RAI,0,4h4d2h
13.0056,0.48649,10.8948,0.51351,1.091164081,0.8659736341,X,0.56843,R8.1,0.05035,R16.15,0.38122,R31.85,0,RAI,0,4d4c2h
12.6834,0.48767,11.217,0.51233,1.061556728,0.8936371639,X,0.48705,R8.1,0.02354,R16.15,0.48937,R31.85,0.00004,RAI,0,4h4d3h
12.7655,0.48526,11.1351,0.51474,1.073735335,0.8829613707,X,0.57385,R8.1,0.04108,R16.15,0.38508,R31.85,0,RAI,0,4d4c3h
13.7028,0.4957,10.1977,0.5043,1.128300921,0.8253703566,X,0.43282,R8.1,0.45216,R16.15,0.11503,R31.85,0,RAI,0,4h4d4c
13.1068,0.48743,10.7939,0.51257,1.097539029,0.8595285588,X,0.54511,R8.1,0.04066,R16.15,0.41423,R31.85,0,RAI,0,5h2h2d
13.1658,0.48527,10.7346,0.51473,1.107386871,0.851218656,X,0.67676,R8.1,0.04336,R16.15,0.27988,R31.85,0,RAI,0,5h2d2c
11.8808,0.49583,12.0196,0.50417,0.9780212124,0.9730763717,X,0.57727,R8.1,0.41712,R16.15,0.00562,R31.85,0,RAI,0,5h3h2h
11.9811,0.48809,11.9189,0.51191,1.001918721,0.9503368184,X,0.47085,R8.1,0.23637,R16.15,0.29278,R31.85,0,RAI,0,5d3h2h
12.1003,0.48843,11.7994,0.51157,1.01117746,0.9414316683,X,0.48168,R8.1,0.19705,R16.15,0.32127,R31.85,0,RAI,0,5h3h2d
12.0847,0.48832,11.8156,0.51168,1.010102968,0.9425222533,X,0.48152,R8.1,0.20051,R16.15,0.31797,R31.85,0,RAI,0,5h3d2h
12.0801,0.48565,11.82,0.51435,1.015266262,0.9379811505,X,0.56524,R8.1,0.07632,R16.15,0.35844,R31.85,0,RAI,0,5h3d2c
13.0924,0.48853,10.807,0.51147,1.093863797,0.8624233389,X,0.53281,R8.1,0.02713,R16.15,0.44006,R31.85,0,RAI,0,5h3h3d
13.1263,0.48625,10.7734,0.51375,1.1018368,0.8559272693,X,0.65363,R8.1,0.03619,R16.15,0.31018,R31.85,0,RAI,0,5h3d3c
11.9731,0.49755,11.9274,0.50245,0.9822086962,0.9689135723,X,0.52452,R8.1,0.46784,R16.15,0.00764,R31.85,0,RAI,0,5h4h2h
