oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
15.2133,0.54591,9.18697,0.45409,1.114712664,0.8092642228,X,0.23148,R8.25,0.71165,R16.5,0.05687,R32.5,0,RAI,0,2h2d2c
13.6556,0.5291,10.7445,0.4709,1.032365874,0.9126803775,X,0.51081,R8.25,0.05785,R16.5,0.43134,R32.5,0,RAI,0,3h2h2d
14.2036,0.53503,10.1966,0.46497,1.061890339,0.8771834847,X,0.53305,R8.25,0.05294,R16.5,0.41401,R32.5,0,RAI,0,3h2d2c
13.7505,0.52998,10.6501,0.47002,1.037814231,0.9063563164,X,0.49819,R8.25,0.06194,R16.5,0.43986,R32.5,0,RAI,0,3h3d2h
14.3082,0.53589,10.0917,0.46411,1.067993116,0.8697671109,X,0.51925,R8.25,0.06096,R16.5,0.41979,R32.5,0,RAI,0,3d3c2h
15.3149,0.54653,9.08536,0.45347,1.120880438,0.8014077879,X,0.18462,R8.25,0.76889,R16.5,0.04649,R32.5,0,RAI,0,3h3d3c
13.7349,0.52726,10.6653,0.47274,1.041981588,0.9024233196,X,0.49775,R8.25,0.07295,R16.5,0.4293,R32.5,0,RAI,0,4h2h2d
14.2667,0.53252,10.1333,0.46748,1.071636022,0.8670600036,X,0.54004,R8.25,0.04547,R16.5,0.41449,R32.5,0,RAI,0,4h2d2c
11.6189,0.51318,12.7818,0.48682,0.9056377783,1.05022879,X,0.8976,R8.25,0.10155,R16.5,0.00086,R32.5,0,RAI,0,4h3h2h
11.8219,0.51488,12.5781,0.48512,0.9184190368,1.037113274,X,0.47806,R8.25,0.26279,R16.5,0.25915,R32.5,0,RAI,0,4h3h2d
11.8372,0.51502,12.5628,0.48498,0.9193615723,1.036153309,X,0.47471,R8.25,0.26948,R16.5,0.2558,R32.5,0,RAI,0,4h3d2h
11.7773,0.51463,12.6229,0.48537,0.9153993689,1.040273589,X,0.47361,R8.25,0.30386,R16.5,0.22253,R32.5,0,RAI,0,4d3h2h
12.1691,0.51932,12.2306,0.48068,0.9373072088,1.017777332,X,0.45172,R8.25,0.19838,R16.5,0.34991,R32.5,0,RAI,0,4h3d2c
13.6023,0.52582,10.7974,0.47418,1.034750275,0.9108237484,X,0.49872,R8.25,0.04397,R16.5,0.45731,R32.5,0,RAI,0,4h3h3d
14.1228,0.53099,10.2772,0.46901,1.063881406,0.8764981378,X,0.5265,R8.25,0.03143,R16.5,0.44206,R32.5,0,RAI,0,4h3d3c
13.2544,0.52588,11.1462,0.47412,1.008169223,0.9403720538,X,0.43085,R8.25,0.21459,R16.5,0.35456,R32.5,0,RAI,0,4h4d2h
13.7966,0.53136,10.6038,0.46864,1.038591591,0.9050699751,X,0.47176,R8.25,0.13803,R16.5,0.3902,R32.5,0,RAI,0,4d4c2h
13.0407,0.52341,11.3595,0.47659,0.9965915678,0.9533980781,X,0.46867,R8.25,0.14029,R16.5,0.39103,R32.5,0,RAI,0,4h4d3h
13.5602,0.52879,10.8397,0.47121,1.025753914,0.9201579034,X,0.50332,R8.25,0.05334,R16.5,0.44335,R32.5,0,RAI,0,4d4c3h
14.9316,0.54115,9.46884,0.45885,1.10369401,0.8254409695,X,0.19299,R8.25,0.75551,R16.5,0.0515,R32.5,0,RAI,0,4h4d4c
13.7654,0.52546,10.6351,0.47454,1.047870454,0.8964589309,X,0.47488,R8.25,0.11413,R16.5,0.41099,R32.5,0,RAI,0,5h2h2d
