oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
14.9122,0.54017,9.48796,0.45983,1.104263412,0.8253450317,X,0.27589,R8.25,0.61458,R16.5,0.10953,R32.5,0,RAI,0,2h2d2c
13.9247,0.53052,10.4754,0.46948,1.049892915,0.8925083268,X,0.45223,R8.25,0.1124,R16.5,0.43538,R32.5,0,RAI,0,3h2h2d
14.3567,0.53419,10.0434,0.46581,1.075026523,0.8624469446,X,0.45418,R8.25,0.11909,R16.5,0.42673,R32.5,0,RAI,0,3h2d2c
14.1128,0.53206,10.2874,0.46794,1.060991535,0.879376002,X,0.43325,R8.25,0.11416,R16.5,0.45259,R32.5,0,RAI,0,3h3d2h
14.5604,0.53568,9.83996,0.46432,1.087243918,0.8476878027,X,0.43292,R8.25,0.12889,R16.5,0.43819,R32.5,0,RAI,0,3d3c2h
15.0704,0.54152,9.33019,0.45848,1.113192514,0.8140106172,X,0.23912,R8.25,0.67215,R16.5,0.08873,R32.5,0,RAI,0,3h3d3c
13.9922,0.52919,10.4079,0.47081,1.057632973,0.8842539798,X,0.44038,R8.25,0.11684,R16.5,0.44278,R32.5,0,RAI,0,4h2h2d
14.4168,0.53244,9.98337,0.46756,1.083072668,0.8540824682,X,0.46521,R8.25,0.07398,R16.5,0.46081,R32.5,0,RAI,0,4h2d2c
12.0121,0.51755,12.3882,0.48245,0.9283841158,1.027104117,X,0.77573,R8.25,0.22263,R16.5,0.00164,R32.5,0,RAI,0,4h3h2h
12.5234,0.52118,11.8766,0.47882,0.961159714,0.99215487,X,0.45808,R8.25,0.18944,R16.5,0.35248,R32.5,0,RAI,0,4h3h2d
12.5554,0.52148,11.8445,0.47852,0.9630597385,0.9900960853,X,0.45344,R8.25,0.19335,R16.5,0.35321,R32.5,0,RAI,0,4h3d2h
12.5026,0.52125,11.8975,0.47875,0.9594290212,0.9940478172,X,0.4495,R8.25,0.2206,R16.5,0.3299,R32.5,0,RAI,0,4d3h2h
12.8101,0.524,11.5904,0.476,0.9778679623,0.9739806648,X,0.35434,R8.25,0.30773,R16.5,0.33793,R32.5,0,RAI,0,4h3d2c
