oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
14.2578,0.54752,8.14236,0.45248,1.132206418,0.7823896078,X,0.17369,R7.6,0.42085,R15.2,0.40546,R29.9,0,RAI,0,2h2d2c
12.9189,0.53484,9.48141,0.46516,1.050201176,0.8862223916,X,0.3993,R7.6,0.04772,R15.2,0.55282,R29.9,0.00015,RAI,0,3h2h2d
13.4336,0.53799,8.9663,0.46201,1.085648191,0.8437893858,X,0.32668,R7.6,0.03656,R15.2,0.63676,R29.9,0,RAI,0,3h2d2c
12.7835,0.53395,9.61717,0.46605,1.04092798,0.8971952398,X,0.41423,R7.6,0.05073,R15.2,0.5349,R29.9,0.00014,RAI,0,3h3d2h
13.2824,0.53716,9.11792,0.46284,1.075089776,0.8565191185,X,0.33727,R7.6,0.04088,R15.2,0.62185,R29.9,0,RAI,0,3d3c2h
14.147,0.54648,8.2533,0.45352,1.12554661,0.7912310769,X,0.17233,R7.6,0.48455,R15.2,0.34312,R29.9,0,RAI,0,3h3d3c
12.9334,0.53367,9.46664,0.46633,1.053692157,0.8826219013,X,0.38222,R7.6,0.04637,R15.2,0.57141,R29.9,0,RAI,0,4h2h2d
13.4099,0.5364,8.99007,0.4636,1.086944332,0.8431247098,X,0.32432,R7.6,0.03109,R15.2,0.64459,R29.9,0,RAI,0,4h2d2c
11.1209,0.51988,11.2789,0.48012,0.9300591338,1.02138234,X,0.81623,R7.6,0.18199,R15.2,0.00178,R29.9,0,RAI,0,4h3h2h
11.2274,0.52196,11.1724,0.47804,0.9352173697,1.016145579,X,0.46348,R7.6,0.26025,R15.2,0.27627,R29.9,0,RAI,0,4h3h2d
11.2072,0.52174,11.1926,0.47826,0.9339317464,1.017513629,X,0.46496,R7.6,0.26901,R15.2,0.26603,R29.9,0,RAI,0,4h3d2h
11.1622,0.52144,11.2379,0.47856,0.9307144251,1.020989622,X,0.46447,R7.6,0.31735,R15.2,0.21818,R29.9,0,RAI,0,4d3h2h
11.3627,0.52343,11.0372,0.47657,0.9438329184,1.006941791,X,0.43557,R7.6,0.18041,R15.2,0.38402,R29.9,0,RAI,0,4h3d2c
12.6899,0.53114,9.71065,0.46886,1.038773014,0.9004866973,X,0.40181,R7.6,0.03182,R15.2,0.56634,R29.9,0.00003,RAI,0,4h3h3d
13.0916,0.5335,9.30886,0.4665,1.066914959,0.867594906,X,0.34827,R7.6,0.02062,R15.2,0.63111,R29.9,0,RAI,0,4h3d3c
12.3787,0.5316,10.0215,0.4684,1.012422695,0.9302203626,X,0.42127,R7.6,0.10664,R15.2,0.4721,R29.9,0,RAI,0,4h4d2h
12.7887,0.53456,9.61131,0.46544,1.040162165,0.8978236489,X,0.33573,R7.6,0.08484,R15.2,0.57943,R29.9,0,RAI,0,4d4c2h
12.3039,0.53008,10.0964,0.46992,1.009194621,0.9341506464,X,0.4344,R7.6,0.06054,R15.2,0.50506,R29.9,0,RAI,0,4h4d3h
12.6648,0.53259,9.73533,0.46741,1.033894276,0.9055758389,X,0.36042,R7.6,0.03455,R15.2,0.60504,R29.9,0,RAI,0,4d4c3h
13.8921,0.54443,8.50852,0.45557,1.109428364,0.8120281135,X,0.15164,R7.6,0.52093,R15.2,0.32742,R29.9,0,RAI,0,4h4d4c
13.0847,0.53419,9.31535,0.46581,1.064973593,0.8694858382,X,0.34787,R7.6,0.06735,R15.2,0.58478,R29.9,0,RAI,0,5h2h2d
13.5834,0.53677,8.81706,0.46323,1.100255893,0.8275596222,X,0.29618,R7.6,0.0301,R15.2,0.67372,R29.9,0,RAI,0,5h2d2c
11.2463,0.52096,11.1548,0.47904,0.9385966688,1.012420672,X,0.7194,R7.6,0.27544,R15.2,0.00516,R29.9,0,RAI,0,5h3h2h
11.5505,0.52266,10.8497,0.47734,0.9608440696,0.9882418372,X,0.49443,R7.6,0.1186,R15.2,0.38697,R29.9,0,RAI,0,5d3h2h
11.6624,0.52318,10.7378,0.47682,0.9691942136,0.9791170743,X,0.51207,R7.6,0.04627,R15.2,0.44153,R29.9,0.00014,RAI,0,5h3h2d
11.6381,0.52296,10.7623,0.47704,0.9675733716,0.9808957949,X,0.51631,R7.6,0.0456,R15.2,0.43801,R29.9,0.00008,RAI,0,5h3d2h
11.8191,0.52468,10.5813,0.47532,0.9794044208,0.9678889114,X,0.45495,R7.6,0.05512,R15.2,0.48992,R29.9,0,RAI,0,5h3d2c
12.899,0.5322,9.50159,0.4678,1.053787412,0.8830966365,X,0.36781,R7.6,0.03575,R15.2,0.59644,R29.9,0,RAI,0,5h3h3d
13.3232,0.53448,9.07707,0.46552,1.083800332,0.8477728826,X,0.32685,R7.6,0.02004,R15.2,0.65311,R29.9,0,RAI,0,5h3d3c
11.1264,0.51832,11.2749,0.48168,0.9333170893,1.01771339,X,0.71774,R7.6,0.27689,R15.2,0.00537,R29.9,0,RAI,0,5h4h2h
11.4683,0.51974,10.933,0.48026,0.9593685368,0.9897745422,X,0.54528,R7.6,0.01783,R15.2,0.40235,R29.9,0.01357,RAI,0.02097,5h4h2d
11.5252,0.52033,10.8751,0.47967,0.9630376443,0.9857401886,X,0.53427,R7.6,0.01943,R15.2,0.42215,R29.9,0.01419,RAI,0.00997,5h4d2h
11.4977,0.52034,10.9029,0.47966,0.9607171263,0.9882833375,X,0.53286,R7.6,0.02442,R15.2,0.42857,R29.9,0.00692,RAI,0.00722,5d4h2h
11.6827,0.52192,10.7181,0.47808,0.973220042,0.9747440861,X,0.47219,R7.6,0.0209,R15.2,0.5069,R29.9,0.00002,RAI,0,5h4d2c
10.9298,0.51489,11.4708,0.48511,0.9229366259,1.028073418,X,0.78742,R7.6,0.20959,R15.2,0.00299,R29.9,0,RAI,0,5h4h3h
10.9804,0.51543,11.4202,0.48457,0.926232181,1.024679018,X,0.56327,R7.6,0.06331,R15.2,0.37339,R29.9,0.00004,RAI,0,5d4h3h
10.9274,0.51464,11.4728,0.48536,0.9231746751,1.027730236,X,0.57118,R7.6,0.03909,R15.2,0.38937,R29.9,0.00036,RAI,0,5h4h3d
10.9984,0.51538,11.4015,0.48462,0.9278438054,1.022901866,X,0.56448,R7.6,0.0475,R15.2,0.38772,R29.9,0.0003,RAI,0,5h4d3h
11.0322,0.51635,11.3682,0.48365,0.9289435836,1.021959816,X,0.5286,R7.6,0.03159,R15.2,0.43981,R29.9,0,RAI,0,5h4d3c
12.2201,0.5277,10.1797,0.47229,1.006841856,0.9371286917,X,0.42611,R7.6,0.04217,R15.2,0.53172,R29.9,0,RAI,0,5h4h4d
12.7761,0.53136,9.6239,0.46864,1.045401212,0.892861158,X,0.35447,R7.6,0.02211,R15.2,0.62342,R29.9,0,RAI,0,5h4d4c
12.2198,0.53124,10.1805,0.46876,1.000106423,0.9442553501,X,0.37502,R7.6,0.21417,R15.2,0.41079,R29.9,0.00002,RAI,0,5h5d2h
12.6013,0.53409,9.79877,0.46591,1.025826963,0.9144115546,X,0.28262,R7.6,0.19884,R15.2,0.51854,R29.9,0,RAI,0,5d5c2h
12.2054,0.53036,10.195,0.46964,1.000581257,0.943826575,X,0.40665,R7.6,0.11941,R15.2,0.47394,R29.9,0,RAI,0,5h5d3h
12.5473,0.53283,9.85292,0.46717,1.023842364,0.91698484,X,0.32899,R7.6,0.06463,R15.2,0.60638,R29.9,0,RAI,0,5d5c3h
11.9779,0.52726,10.4224,0.47274,0.9877042646,0.9585525034,X,0.43681,R7.6,0.07266,R15.2,0.49053,R29.9,0,RAI,0,5h5d4h
12.4992,0.53096,9.90104,0.46904,1.02350945,0.9177895222,X,0.34846,R7.6,0.03288,R15.2,0.61866,R29.9,0,RAI,0,5d5c4h
13.8726,0.54465,8.52754,0.45535,1.107422769,0.8142365395,X,0.09055,R7.6,0.67474,R15.2,0.23471,R29.9,0,RAI,0,5h5d5c
12.84,0.53171,9.56033,0.46829,1.04993233,0.8876263378,X,0.34966,R7.6,0.14861,R15.2,0.50173,R29.9,0,RAI,0,6h2h2d
