oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
5.52663,0.49306,13.8735,0.50694,0.5604419346,1.368356229,X,0.349,R6.6,0.42229,R13.2,0.22863,R26,0.00008,RAI,0,2h2d2c
6.75385,0.50197,12.6458,0.49803,0.6727344339,1.269585164,X,0.37864,R6.6,0.31147,R13.2,0.30989,R26,0,RAI,0,3h2h2d
5.62605,0.49383,13.774,0.50617,0.569634292,1.360615055,X,0.3975,R6.6,0.24313,R13.2,0.35896,R26,0.00041,RAI,0,3h2d2c
7.04327,0.50418,12.3567,0.49582,0.6984876347,1.246082319,X,0.39328,R6.6,0.3064,R13.2,0.30032,R26,0,RAI,0,3h3d2h
5.95159,0.49602,13.4488,0.50398,0.5999344976,1.334264275,X,0.40862,R6.6,0.2244,R13.2,0.36695,R26,0.00004,RAI,0,3d3c2h
5.78776,0.49282,13.6125,0.50718,0.5872082954,1.341981237,X,0.35414,R6.6,0.44018,R13.2,0.20567,R26,0,RAI,0,3h3d3c
7.20183,0.50454,12.1978,0.49546,0.7137025346,1.230953007,X,0.39197,R6.6,0.30292,R13.2,0.30511,R26,0,RAI,0,4h2h2d
6.06641,0.49589,13.3336,0.50411,0.6116689355,1.322486173,X,0.3857,R6.6,0.25865,R13.2,0.35565,R26,0,RAI,0,4h2d2c
9.60279,0.5087,9.79714,0.4913,0.9438558709,0.9970629334,X,0.91241,R6.6,0.08695,R13.2,0.00059,R26,0.00005,RAI,0,4h3h2h
8.5793,0.5081,10.8205,0.4919,0.8442531371,1.099872945,X,0.47657,R6.6,0.46646,R13.2,0.05697,R26,0,RAI,0,4h3h2d
8.59294,0.50824,10.8071,0.49176,0.8453624855,1.098821597,X,0.47777,R6.6,0.46815,R13.2,0.05408,R26,0,RAI,0,4h3d2h
8.60136,0.50827,10.7986,0.49173,0.8461408202,1.098026324,X,0.48027,R6.6,0.46131,R13.2,0.05842,R26,0,RAI,0,4d3h2h
7.63738,0.49892,11.7625,0.50108,0.7653912672,1.17371386,X,0.41593,R6.6,0.38537,R13.2,0.19871,R26,0,RAI,0,4h3d2c
7.59841,0.50558,11.8016,0.49442,0.7514547657,1.193477268,X,0.4242,R6.6,0.28322,R13.2,0.29257,R26,0,RAI,0,4h3h3d
6.51776,0.49668,12.8826,0.50332,0.6561327124,1.279766394,X,0.41392,R6.6,0.2359,R13.2,0.35018,R26,0,RAI,0,4h3d3c
7.40549,0.50497,11.9947,0.49503,0.7332603635,1.211512512,X,0.39358,R6.6,0.33145,R13.2,0.27497,R26,0,RAI,0,4h4d2h
6.29971,0.4962,13.1004,0.5038,0.634795431,1.300157909,X,0.38176,R6.6,0.26545,R13.2,0.35277,R26,0.00002,RAI,0,4d4c2h
7.52685,0.50424,11.8732,0.49576,0.746355959,1.197478681,X,0.41215,R6.6,0.31482,R13.2,0.27302,R26,0,RAI,0,4h4d3h
6.45033,0.4953,12.9499,0.5047,0.6511538306,1.282929464,X,0.40437,R6.6,0.24928,R13.2,0.34634,R26,0.00001,RAI,0,4d4c3h
5.87257,0.49107,13.5277,0.50893,0.5979361405,1.329030434,X,0.31379,R6.6,0.5062,R13.2,0.18001,R26,0.00001,RAI,0,4h4d4c
7.43797,0.50629,11.9621,0.49371,0.734556271,1.211453011,X,0.36466,R6.6,0.35898,R13.2,0.27636,R26,0,RAI,0,5h2h2d
6.27184,0.49764,13.1285,0.50236,0.6301583397,1.306677557,X,0.35363,R6.6,0.28692,R13.2,0.35941,R26,0.00004,RAI,0,5h2d2c
9.6984,0.50947,9.70174,0.49053,0.9518126495,0.9889038374,X,0.90264,R6.6,0.09567,R13.2,0.00167,R26,0.00002,RAI,0,5h3h2h
8.60838,0.50957,10.792,0.49043,0.8446710241,1.100258943,X,0.50422,R6.6,0.40452,R13.2,0.09127,R26,0,RAI,0,5d3h2h
8.59437,0.50935,10.8057,0.49065,0.8436605338,1.101162731,X,0.49906,R6.6,0.41459,R13.2,0.08635,R26,0,RAI,0,5h3h2d
8.6028,0.50943,10.7973,0.49057,0.8443555069,1.100484096,X,0.49785,R6.6,0.42474,R13.2,0.07741,R26,0,RAI,0,5h3d2h
7.61439,0.50039,11.7858,0.49961,0.7608455405,1.179504955,X,0.47561,R6.6,0.25772,R13.2,0.26667,R26,0,RAI,0,5h3d2c
7.82174,0.50717,11.5784,0.49283,0.7711161759,1.174681929,X,0.40841,R6.6,0.33401,R13.2,0.25759,R26,0,RAI,0,5h3h3d
6.70343,0.49816,12.6966,0.50184,0.6728189852,1.264999849,X,0.38733,R6.6,0.2707,R13.2,0.34192,R26,0.00005,RAI,0,5h3d3c
9.64129,0.5049,9.75878,0.4951,0.9547722439,0.9855362242,X,0.93248,R6.6,0.06707,R13.2,0.00045,R26,0.00001,RAI,0,5h4h2h
8.4256,0.50264,10.9746,0.49736,0.8381346393,1.103282378,X,0.43905,R6.6,0.4912,R13.2,0.06974,R26,0,RAI,0,5h4h2d
8.42367,0.50286,10.9763,0.49714,0.8375760304,1.10394058,X,0.43743,R6.6,0.50393,R13.2,0.05863,R26,0,RAI,0,5h4d2h
8.42801,0.50297,10.9717,0.49703,0.8378243551,1.103722097,X,0.44728,R6.6,0.47516,R13.2,0.07756,R26,0,RAI,0,5d4h2h
7.33178,0.49289,12.0685,0.50711,0.7437541796,1.189928224,X,0.36861,R6.6,0.39884,R13.2,0.23255,R26,0,RAI,0,5h4d2c
9.448,0.49589,9.95191,0.50411,0.9526306354,0.9870772688,X,0.96845,R6.6,0.02978,R13.2,0.00172,R26,0.00005,RAI,0,5h4h3h
8.18165,0.49035,11.2184,0.50965,0.8342663432,1.100595567,X,0.42836,R6.6,0.54757,R13.2,0.02407,R26,0,RAI,0,5d4h3h
8.19508,0.49022,11.2049,0.50978,0.8358573326,1.09899275,X,0.42465,R6.6,0.55203,R13.2,0.02333,R26,0,RAI,0,5h4h3d
8.18447,0.4903,11.2155,0.5097,0.834639015,1.100203091,X,0.42413,R6.6,0.55255,R13.2,0.02332,R26,0,RAI,0,5h4d3h
7.05798,0.47917,12.3424,0.52083,0.7364797609,1.184875162,X,0.28638,R6.6,0.6679,R13.2,0.04572,R26,0.00001,RAI,0,5h4d3c
8.24833,0.50692,11.1517,0.49308,0.8135731911,1.130824643,X,0.43186,R6.6,0.36956,R13.2,0.19858,R26,0,RAI,0,5h4h4d
7.11476,0.49728,12.2855,0.50272,0.7153675895,1.22189987,X,0.39476,R6.6,0.2974,R13.2,0.3078,R26,0.00004,RAI,0,5h4d4c
7.45854,0.50379,11.9415,0.49621,0.7402429239,1.203268724,X,0.32849,R6.6,0.42451,R13.2,0.24699,R26,0,RAI,0,5h5d2h
6.29412,0.4949,13.1063,0.5051,0.6358981598,1.297398542,X,0.30673,R6.6,0.34487,R13.2,0.3484,R26,0,RAI,0,5d5c2h
7.5601,0.50273,11.8397,0.49727,0.7519045908,1.190473037,X,0.35753,R6.6,0.39641,R13.2,0.24606,R26,0,RAI,0,5h5d3h
6.41482,0.49353,12.9855,0.50647,0.6498916101,1.281964309,X,0.32507,R6.6,0.34292,R13.2,0.33201,R26,0,RAI,0,5d5c3h
8.00448,0.50394,11.3954,0.49606,0.7941898421,1.148592888,X,0.38416,R6.6,0.41428,R13.2,0.20156,R26,0,RAI,0,5h5d4h
6.83339,0.49421,12.5672,0.50579,0.6913447896,1.242332815,X,0.33447,R6.6,0.35447,R13.2,0.31105,R26,0,RAI,0,5d5c4h
5.61705,0.48998,13.7833,0.51002,0.5731917661,1.35124896,X,0.2528,R6.6,0.57775,R13.2,0.16944,R26,0,RAI,0,5h5d5c
7.0795,0.4941,12.3208,0.5059,0.7164035757,1.217712911,X,0.25574,R6.6,0.53478,R13.2,0.20948,R26,0,RAI,0,6h2h2d
