oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
3.44948,0.55932,2.04764,0.44068,1.027879158,0.7744244116,X,0.02178,R2,0.05952,R3.95,0.83255,R7.8,0.08615,RAI,0,2h2d2c
2.67992,0.53559,2.84516,0.46441,0.8339463623,1.021066143,X,0.64271,R2,0.3515,R3.95,0.00517,R7.8,0.00063,RAI,0,3h2h2d
2.66582,0.53633,2.85398,0.46367,0.8284140857,1.025866152,X,0.59423,R2,0.35553,R3.95,0.04655,R7.8,0.00369,RAI,0,3h2d2c
2.6215,0.53556,2.90625,0.46444,0.8158127185,1.042922686,X,0.72855,R2,0.27101,R3.95,0.00043,R7.8,0.00001,RAI,0,3h3d2h
2.59793,0.53649,2.92351,0.46351,0.8070761936,1.051221488,X,0.69179,R2,0.30155,R3.95,0.00598,R7.8,0.00068,RAI,0,3d3c2h
3.28334,0.55583,2.20918,0.44417,0.9845156392,0.8289544265,X,0.04822,R2,0.12315,R3.95,0.8047,R7.8,0.02392,RAI,0,3h3d3c
2.69706,0.53638,2.82672,0.46362,0.8380439687,1.016177026,X,0.61183,R2,0.38204,R3.95,0.00613,R7.8,0.00001,RAI,0,4h2h2d
2.69422,0.53777,2.82426,0.46223,0.8349976756,1.018345851,X,0.54815,R2,0.38152,R3.95,0.06712,R7.8,0.00322,RAI,0,4h2d2c
2.793,0.5214,2.7442,0.4786,0.8927886836,0.9556344957,X,0.66796,R2,0.32741,R3.95,0.00332,R7.8,0.00131,RAI,0,4h3h2h
2.51211,0.51682,3.02491,0.48318,0.8101176197,1.043403444,X,0.87831,R2,0.11812,R3.95,0.00285,R7.8,0.00071,RAI,0,4h3h2d
2.50732,0.51645,3.02986,0.48355,0.8091522206,1.044311151,X,0.88542,R2,0.11035,R3.95,0.0032,R7.8,0.00103,RAI,0,4h3d2h
2.5209,0.51692,3.0158,0.48308,0.8127950666,1.040476388,X,0.8678,R2,0.12805,R3.95,0.00321,R7.8,0.00095,RAI,0,4d3h2h
2.42562,0.51527,3.11045,0.48473,0.7845789922,1.06947854,X,0.92611,R2,0.07028,R3.95,0.00232,R7.8,0.00129,RAI,0,4h3d2c
2.53508,0.52748,2.99614,0.47252,0.8010034902,1.056794789,X,0.83123,R2,0.16703,R3.95,0.00171,R7.8,0.00003,RAI,0,4h3h3d
2.48785,0.52808,3.03843,0.47192,0.7851872235,1.073073787,X,0.80466,R2,0.1918,R3.95,0.00354,R7.8,0,RAI,0,4h3d3c
2.72217,0.53817,2.80444,0.46183,0.8430329374,1.01207518,X,0.68256,R2,0.3164,R3.95,0.00102,R7.8,0.00001,RAI,0,4h4d2h
2.72087,0.53959,2.80068,0.46041,0.8404127864,1.013835469,X,0.6477,R2,0.3476,R3.95,0.00464,R7.8,0.00007,RAI,0,4d4c2h
2.63888,0.53072,2.88955,0.46928,0.8287106939,1.026235205,X,0.75634,R2,0.24309,R3.95,0.00053,R7.8,0.00004,RAI,0,4h4d3h
2.61386,0.53124,2.91185,0.46876,0.8200499331,1.035302319,X,0.75747,R2,0.23863,R3.95,0.00389,R7.8,0.00001,RAI,0,4d4c3h
3.37145,0.5578,2.12497,0.4422,1.007365238,0.8009083126,X,0.00888,R2,0.15626,R3.95,0.81641,R7.8,0.01845,RAI,0,4h4d4c
