oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
1.45256,0.45435,3.60259,0.54565,0.5812739338,1.200433194,X,0.05682,R1.8,0.14284,R3.65,0.78774,R7.15,0.01259,RAI,0,2h2d2c
2.16332,0.48051,2.90235,0.51949,0.8185696942,1.015803937,X,0.52292,R1.8,0.31616,R3.65,0.15677,R7.15,0.00415,RAI,0,3h2h2d
2.13391,0.47967,2.92622,0.52033,0.808855328,1.022504905,X,0.48736,R1.8,0.23711,R3.65,0.26966,R7.15,0.00586,RAI,0,3h2d2c
2.22991,0.4813,2.84063,0.5187,0.8423813965,0.9957165763,X,0.61626,R1.8,0.30181,R3.65,0.07875,R7.15,0.00319,RAI,0,3h3d2h
2.21354,0.4802,2.85266,0.5198,0.8381129496,0.9978173075,X,0.60249,R1.8,0.24864,R3.65,0.14543,R7.15,0.00343,RAI,0,3d3c2h
1.61216,0.46107,3.43978,0.53893,0.6357385936,1.160474544,X,0.11864,R1.8,0.16092,R3.65,0.71177,R7.15,0.00867,RAI,0,3h3d3c
2.17855,0.48025,2.88732,0.51975,0.8247787613,1.010038059,X,0.53838,R1.8,0.31772,R3.65,0.14039,R7.15,0.00351,RAI,0,4h2h2d
2.11555,0.47822,2.94337,0.52178,0.8043274504,1.025639515,X,0.46243,R1.8,0.2317,R3.65,0.29964,R7.15,0.00624,RAI,0,4h2d2c
2.19194,0.48874,2.87636,0.51126,0.8154326643,1.022913121,X,0.51781,R1.8,0.46178,R3.65,0.01864,R7.15,0.00177,RAI,0,4h3h2h
2.3341,0.49657,2.73563,0.50343,0.8546263915,0.9879968822,X,0.6742,R1.8,0.21541,R3.65,0.10806,R7.15,0.00233,RAI,0,4h3h2d
2.33667,0.49662,2.73333,0.50338,0.8554812074,0.9872642783,X,0.67851,R1.8,0.21237,R3.65,0.10698,R7.15,0.00214,RAI,0,4h3d2h
2.31747,0.49576,2.75199,0.50424,0.8499237544,0.9923089325,X,0.66247,R1.8,0.21821,R3.65,0.11697,R7.15,0.00235,RAI,0,4d3h2h
2.34964,0.49691,2.71832,0.50309,0.8597276131,0.9824086286,X,0.68771,R1.8,0.19307,R3.65,0.11596,R7.15,0.00325,RAI,0,4h3d2c
2.28758,0.48649,2.78368,0.51351,0.854947952,0.9856159384,X,0.67858,R1.8,0.23941,R3.65,0.07965,R7.15,0.00236,RAI,0,4h3h3d
2.23697,0.48442,2.82922,0.51558,0.8396057294,0.9977183912,X,0.63583,R1.8,0.19826,R3.65,0.16211,R7.15,0.00381,RAI,0,4h3d3c
2.19477,0.47948,2.87602,0.52052,0.832253921,1.00459684,X,0.58885,R1.8,0.3417,R3.65,0.06652,R7.15,0.00294,RAI,0,4h4d2h
2.1444,0.47729,2.92276,0.52271,0.8168846694,1.016645722,X,0.56443,R1.8,0.29497,R3.65,0.13752,R7.15,0.00308,RAI,0,4d4c2h
2.22378,0.48367,2.84679,0.51633,0.8359493546,1.002456165,X,0.61178,R1.8,0.30036,R3.65,0.08468,R7.15,0.00318,RAI,0,4h4d3h
2.16396,0.48163,2.90258,0.51837,0.8169077324,1.018079461,X,0.5733,R1.8,0.26216,R3.65,0.16141,R7.15,0.00314,RAI,0,4d4c3h
1.54953,0.45891,3.5002,0.54109,0.6139171945,1.176144435,X,0.02779,R1.8,0.25048,R3.65,0.71484,R7.15,0.0069,RAI,0,4h4d4c
2.21274,0.48065,2.85405,0.51935,0.8370255843,0.9991685283,X,0.56937,R1.8,0.31231,R3.65,0.11517,R7.15,0.00314,RAI,0,5h2h2d
2.11695,0.47743,2.94095,0.52257,0.8061915206,1.023246938,X,0.45064,R1.8,0.22272,R3.65,0.32007,R7.15,0.00657,RAI,0,5h2d2c
2.24884,0.49106,2.82176,0.50894,0.8326477954,1.008070264,X,0.58211,R1.8,0.40058,R3.65,0.0157,R7.15,0.00161,RAI,0,5h3h2h
2.34328,0.4972,2.72623,0.5028,0.8569004679,0.9858356738,X,0.67464,R1.8,0.20631,R3.65,0.11647,R7.15,0.00258,RAI,0,5d3h2h
2.36981,0.49826,2.70069,0.50174,0.8647585033,0.9786633951,X,0.69823,R1.8,0.19682,R3.65,0.10258,R7.15,0.00237,RAI,0,5h3h2d
2.37877,0.49878,2.6921,0.50122,0.8671230731,0.9765626828,X,0.70633,R1.8,0.1942,R3.65,0.09732,R7.15,0.00216,RAI,0,5h3d2h
2.38902,0.49873,2.67962,0.50127,0.8709467312,0.9719385662,X,0.71125,R1.8,0.17127,R3.65,0.11401,R7.15,0.00347,RAI,0,5h3d2c
2.32994,0.48925,2.7412,0.51075,0.8658670731,0.9758198703,X,0.70763,R1.8,0.22576,R3.65,0.06478,R7.15,0.00183,RAI,0,5h3h3d
2.28166,0.48711,2.78495,0.51289,0.8516501338,0.9872576326,X,0.67097,R1.8,0.16321,R3.65,0.16238,R7.15,0.00345,RAI,0,5h3d3c
2.28749,0.49568,2.78062,0.50432,0.8390640116,1.002473162,X,0.59524,R1.8,0.38252,R3.65,0.02057,R7.15,0.00168,RAI,0,5h4h2h
2.44706,0.50373,2.62455,0.49627,0.8832509886,0.961555055,X,0.77808,R1.8,0.13878,R3.65,0.08081,R7.15,0.00234,RAI,0,5h4h2d
2.47012,0.50522,2.60196,0.49478,0.8889448603,0.9561494448,X,0.7936,R1.8,0.12777,R3.65,0.07659,R7.15,0.00204,RAI,0,5h4d2h
2.454,0.50448,2.61764,0.49552,0.8844390534,0.9604749616,X,0.78064,R1.8,0.13068,R3.65,0.08616,R7.15,0.00252,RAI,0,5d4h2h
2.50515,0.50569,2.5671,0.49431,0.9007135833,0.9442363521,X,0.82933,R1.8,0.07921,R3.65,0.08771,R7.15,0.00375,RAI,0,5h4d2c
2.25066,0.49645,2.81381,0.50355,0.8242741322,1.01599016,X,0.56569,R1.8,0.38049,R3.65,0.05228,R7.15,0.00154,RAI,0,5h4h3h
2.42974,0.50671,2.63991,0.49329,0.8718416976,0.9730252515,X,0.74394,R1.8,0.13672,R3.65,0.11665,R7.15,0.00268,RAI,0,5d4h3h
