oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
1.41075,0.43595,3.64708,0.56405,0.5883702242,1.175614613,X,0.00179,R1.8,0.29541,R3.65,0.64871,R7.15,0.0541,RAI,0,2h2d2c
2.20418,0.46791,2.86985,0.53209,0.8564895118,0.9806440386,X,0.60826,R1.8,0.30335,R3.65,0.08349,R7.15,0.0049,RAI,0,3h2h2d
2.12793,0.46309,2.93784,0.53691,0.8354668597,0.9948645528,X,0.46979,R1.8,0.31151,R3.65,0.21375,R7.15,0.00495,RAI,0,3h2d2c
2.22626,0.4676,2.85186,0.5324,0.8656427421,0.9739293703,X,0.65946,R1.8,0.31641,R3.65,0.02088,R7.15,0.00325,RAI,0,3h3d2h
2.16227,0.46261,2.9102,0.53739,0.8498303262,0.9846243894,X,0.57789,R1.8,0.35095,R3.65,0.06755,R7.15,0.00362,RAI,0,3d3c2h
1.48879,0.44067,3.56951,0.55933,0.6142671139,1.160320081,X,0.00182,R1.8,0.3039,R3.65,0.68268,R7.15,0.01159,RAI,0,3h3d3c
2.21957,0.47189,2.85275,0.52811,0.8551954172,0.9821472852,X,0.61084,R1.8,0.28419,R3.65,0.09969,R7.15,0.00527,RAI,0,4h2h2d
2.12787,0.46701,2.93458,0.53299,0.8284308189,1.001069508,X,0.45892,R1.8,0.2889,R3.65,0.24629,R7.15,0.0059,RAI,0,4h2d2c
2.24672,0.48403,2.83235,0.51597,0.843944698,0.9980672101,X,0.622,R1.8,0.36976,R3.65,0.00696,R7.15,0.00128,RAI,0,4h3h2h
2.38321,0.48952,2.69278,0.51048,0.885175043,0.9590902282,X,0.73229,R1.8,0.17223,R3.65,0.0929,R7.15,0.00258,RAI,0,4h3h2d
2.37801,0.48931,2.69791,0.51069,0.8836227832,0.9605222911,X,0.72744,R1.8,0.17468,R3.65,0.09537,R7.15,0.00251,RAI,0,4h3d2h
2.37303,0.48916,2.70271,0.51084,0.8820426635,0.9619485624,X,0.72327,R1.8,0.17631,R3.65,0.09788,R7.15,0.00254,RAI,0,4d3h2h
2.38882,0.48757,2.6857,0.51243,0.8908072847,0.9529283381,X,0.7332,R1.8,0.17065,R3.65,0.09277,R7.15,0.00338,RAI,0,4h3d2c
2.28016,0.47637,2.79629,0.52363,0.8702784191,0.9709457573,X,0.70357,R1.8,0.23822,R3.65,0.05465,R7.15,0.00355,RAI,0,4h3h3d
2.20337,0.47162,2.86684,0.52838,0.8494396972,0.9864938842,X,0.62073,R1.8,0.26448,R3.65,0.11118,R7.15,0.00361,RAI,0,4h3d3c
2.31043,0.47352,2.77016,0.52648,0.8871392579,0.9566658353,X,0.75046,R1.8,0.23625,R3.65,0.01042,R7.15,0.00287,RAI,0,4h4d2h
2.24546,0.4683,2.8301,0.5317,0.8718032197,0.9677706086,X,0.68984,R1.8,0.28579,R3.65,0.02213,R7.15,0.00225,RAI,0,4d4c2h
2.33466,0.47736,2.74549,0.52264,0.8892316847,0.9551125501,X,0.76718,R1.8,0.21713,R3.65,0.01282,R7.15,0.00287,RAI,0,4h4d3h
2.26591,0.47237,2.8092,0.52763,0.872162968,0.9680337978,X,0.70408,R1.8,0.26194,R3.65,0.03192,R7.15,0.00205,RAI,0,4d4c3h
1.59244,0.44508,3.46346,0.55492,0.6505224662,1.134794158,X,0.00301,R1.8,0.38464,R3.65,0.60413,R7.15,0.00823,RAI,0,4h4d4c
2.21944,0.47266,2.85159,0.52734,0.8537522491,0.9831814374,X,0.59913,R1.8,0.29505,R3.65,0.10116,R7.15,0.00466,RAI,0,5h2h2d
2.12123,0.46761,2.94002,0.53239,0.8247859541,1.0040555,X,0.45004,R1.8,0.28008,R3.65,0.26274,R7.15,0.00713,RAI,0,5h2d2c
2.32258,0.48988,2.75682,0.51012,0.8620219126,0.9825923671,X,0.68522,R1.8,0.30718,R3.65,0.0063,R7.15,0.0013,RAI,0,5h3h2h
2.49788,0.49606,2.58267,0.50394,0.9155343791,0.9318100798,X,0.84668,R1.8,0.10604,R3.65,0.04524,R7.15,0.00204,RAI,0,5d3h2h
2.51734,0.49671,2.56391,0.50329,0.9214595429,0.9262362816,X,0.86566,R1.8,0.09811,R3.65,0.03394,R7.15,0.0023,RAI,0,5h3h2d
2.51199,0.49655,2.56917,0.50345,0.9197975493,0.9278415726,X,0.86093,R1.8,0.10269,R3.65,0.03429,R7.15,0.00209,RAI,0,5h3d2h
2.54898,0.49523,2.53204,0.50477,0.9358296522,0.912041025,X,0.89057,R1.8,0.07251,R3.65,0.03226,R7.15,0.00466,RAI,0,5h3d2c
2.29252,0.47824,2.78292,0.52176,0.8715745549,0.9697666478,X,0.70093,R1.8,0.2418,R3.65,0.05429,R7.15,0.00298,RAI,0,5h3h3d
2.21597,0.47354,2.85338,0.52646,0.8508333755,0.9854430825,X,0.62512,R1.8,0.24937,R3.65,0.12146,R7.15,0.00406,RAI,0,5h3d3c
2.30401,0.49155,2.7728,0.50845,0.8522243816,0.9915340288,X,0.64588,R1.8,0.34357,R3.65,0.00912,R7.15,0.00143,RAI,0,5h4h2h
2.50589,0.50018,2.57359,0.49982,0.9109047515,0.9361879627,X,0.84226,R1.8,0.1072,R3.65,0.04805,R7.15,0.00248,RAI,0,5h4h2d
2.52296,0.50157,2.55709,0.49843,0.9145682616,0.9327798283,X,0.85636,R1.8,0.09695,R3.65,0.04451,R7.15,0.00218,RAI,0,5h4d2h
2.51398,0.50126,2.56586,0.49874,0.9118766161,0.9353972362,X,0.84851,R1.8,0.09909,R3.65,0.04926,R7.15,0.00314,RAI,0,5d4h2h
2.56426,0.50088,2.51617,0.49912,0.9308199354,0.9165841116,X,0.89458,R1.8,0.06359,R3.65,0.03683,R7.15,0.005,RAI,0,5h4d2c
2.29513,0.4938,2.77709,0.5062,0.8450715962,0.9974821261,X,0.61639,R1.8,0.36737,R3.65,0.0145,R7.15,0.00173,RAI,0,5h4h3h
2.50108,0.50415,2.57411,0.49585,0.9019971214,0.943874173,X,0.80716,R1.8,0.10554,R3.65,0.08447,R7.15,0.00284,RAI,0,5d4h3h
2.48812,0.5029,2.58663,0.4971,0.8995535195,0.9460800383,X,0.79787,R1.8,0.11292,R3.65,0.08624,R7.15,0.00297,RAI,0,5h4h3d
2.51028,0.50438,2.56516,0.49562,0.9049021319,0.9410288573,X,0.81568,R1.8,0.1038,R3.65,0.07758,R7.15,0.00293,RAI,0,5h4d3h
2.53909,0.50377,2.53696,0.49623,0.9163958118,0.9295395847,X,0.84582,R1.8,0.05504,R3.65,0.09297,R7.15,0.00617,RAI,0,5h4d3c
2.31486,0.48431,2.7589,0.51569,0.8690377125,0.9727125612,X,0.69622,R1.8,0.23276,R3.65,0.06829,R7.15,0.00273,RAI,0,5h4h4d
2.3031,0.48245,2.76795,0.51755,0.8679561967,0.9723962034,X,0.70279,R1.8,0.20784,R3.65,0.08661,R7.15,0.00275,RAI,0,5h4d4c
2.28045,0.47298,2.79829,0.52702,0.8766275496,0.9653903538,X,0.68945,R1.8,0.29518,R3.65,0.01222,R7.15,0.00314,RAI,0,5h5d2h
2.20586,0.46765,2.86779,0.53235,0.8576188164,0.9794615517,X,0.61978,R1.8,0.33757,R3.65,0.04025,R7.15,0.0024,RAI,0,5d5c2h
2.31587,0.47788,2.76272,0.52212,0.8811150922,0.9620637937,X,0.71662,R1.8,0.26859,R3.65,0.01185,R7.15,0.00294,RAI,0,5h5d3h
2.24235,0.47301,2.831,0.52699,0.8619268417,0.9767306638,X,0.65031,R1.8,0.30428,R3.65,0.04308,R7.15,0.00232,RAI,0,5d5c3h
2.27492,0.48163,2.79852,0.51837,0.8587957933,0.9815804561,X,0.64191,R1.8,0.3093,R3.65,0.04497,R7.15,0.00383,RAI,0,5h5d4h
2.25735,0.47976,2.8135,0.52024,0.8554845641,0.9832873917,X,0.64591,R1.8,0.2694,R3.65,0.08173,R7.15,0.00296,RAI,0,5d5c4h
1.57658,0.44369,3.48649,0.55631,0.646061251,1.139485677,X,0.00081,R1.8,0.33973,R3.65,0.65074,R7.15,0.00873,RAI,0,5h5d5c
2.2015,0.47558,2.86467,0.52442,0.8416516893,0.9931907156,X,0.54353,R1.8,0.3152,R3.65,0.13492,R7.15,0.00635,RAI,0,6h2h2d
2.1684,0.47295,2.8925,0.52705,0.8336072414,0.9978352315,X,0.48974,R1.8,0.29029,R3.65,0.20971,R7.15,0.01026,RAI,0,6h2d2c
2.22758,0.48665,2.84491,0.51335,0.8322502138,1.0076095,X,0.54807,R1.8,0.44189,R3.65,0.00832,R7.15,0.00172,RAI,0,6h3h2h
2.39617,0.49447,2.67289,0.50553,0.8810792454,0.9613276972,X,0.72209,R1.8,0.17776,R3.65,0.0979,R7.15,0.00225,RAI,0,6d3h2h
2.41204,0.49514,2.65749,0.50486,0.8857146232,0.9570574379,X,0.7387,R1.8,0.16293,R3.65,0.09561,R7.15,0.00277,RAI,0,6h3h2d
2.38271,0.49354,2.68586,0.50646,0.8777809418,0.9642186084,X,0.71224,R1.8,0.1779,R3.65,0.10687,R7.15,0.00298,RAI,0,6h3d2h
2.41291,0.49335,2.65309,0.50665,0.8892488234,0.952097163,X,0.74029,R1.8,0.1071,R3.65,0.14617,R7.15,0.00644,RAI,0,6h3d2c
2.28963,0.47848,2.78299,0.52152,0.8700391704,0.9702373062,X,0.68317,R1.8,0.25827,R3.65,0.05481,R7.15,0.00375,RAI,0,6h3h3d
2.20898,0.47382,2.8569,0.52618,0.8476483511,0.987183722,X,0.59703,R1.8,0.26346,R3.65,0.13486,R7.15,0.00464,RAI,0,6h3d3c
2.29313,0.49405,2.77851,0.50595,0.8439079368,0.9984853825,X,0.59622,R1.8,0.38749,R3.65,0.01458,R7.15,0.0017,RAI,0,6h4h2h
2.52361,0.50527,2.54936,0.49473,0.9081049713,0.9369151066,X,0.82416,R1.8,0.13413,R3.65,0.03959,R7.15,0.00212,RAI,0,6d4h2h
2.52883,0.50514,2.54431,0.49486,0.9102175162,0.9348135658,X,0.82859,R1.8,0.12832,R3.65,0.03974,R7.15,0.00335,RAI,0,6h4h2d
2.50621,0.50403,2.56621,0.49597,0.9040623997,0.9407497066,X,0.81078,R1.8,0.14022,R3.65,0.04588,R7.15,0.00312,RAI,0,6h4d2h
2.57056,0.50507,2.5013,0.49493,0.9253659261,0.9188811277,X,0.8624,R1.8,0.07893,R3.65,0.05477,R7.15,0.0039,RAI,0,6h4d2c
2.41263,0.50234,2.66201,0.49766,0.8732332651,0.9725551564,X,0.72105,R1.8,0.27234,R3.65,0.00526,R7.15,0.00135,RAI,0,6h4h3h
2.63209,0.51346,2.44418,0.48654,0.9320333678,0.9133809659,X,0.91875,R1.8,0.07091,R3.65,0.00843,R7.15,0.00191,RAI,0,6d4h3h
2.63236,0.51304,2.44393,0.48696,0.9328919772,0.9124997915,X,0.91878,R1.8,0.07188,R3.65,0.00771,R7.15,0.00163,RAI,0,6h4h3d
2.635,0.5135,2.44117,0.4865,0.9329911012,0.912331123,X,0.92125,R1.8,0.06832,R3.65,0.00873,R7.15,0.00171,RAI,0,6h4d3h
2.6921,0.51372,2.38424,0.48628,0.9528006675,0.891457948,X,0.96515,R1.8,0.0255,R3.65,0.00806,R7.15,0.00129,RAI,0,6h4d3c
2.37156,0.48596,2.70296,0.51404,0.8873008867,0.9560487156,X,0.75048,R1.8,0.20813,R3.65,0.03851,R7.15,0.00288,RAI,0,6h4h4d
2.32379,0.48261,2.74657,0.51739,0.8754632047,0.9651836553,X,0.72083,R1.8,0.19319,R3.65,0.08332,R7.15,0.00266,RAI,0,6h4d4c
2.27855,0.4942,2.79128,0.5058,0.8382877562,1.00337179,X,0.57882,R1.8,0.39962,R3.65,0.01942,R7.15,0.00214,RAI,0,6h5h2h
2.483,0.50522,2.58798,0.49478,0.893580136,0.9510122078,X,0.79093,R1.8,0.13535,R3.65,0.07015,R7.15,0.00357,RAI,0,6h5d2h
2.49565,0.50557,2.5757,0.49443,0.8975108493,0.9471696575,X,0.80112,R1.8,0.12976,R3.65,0.0658,R7.15,0.00333,RAI,0,6h5h2d
2.50955,0.50679,2.56225,0.49321,0.9003371245,0.9445543063,X,0.81111,R1.8,0.13039,R3.65,0.0555,R7.15,0.003,RAI,0,6d5h2h
2.54435,0.50654,2.52603,0.49346,0.913272543,0.9307303404,X,0.84013,R1.8,0.08297,R3.65,0.07136,R7.15,0.00554,RAI,0,6h5d2c
2.4074,0.5034,2.66555,0.4966,0.8695054575,0.9759272077,X,0.7027,R1.8,0.28963,R3.65,0.00634,R7.15,0.00133,RAI,0,6h5h3h
2.62175,0.51478,2.45393,0.48522,0.9259914007,0.9195191593,X,0.91019,R1.8,0.07789,R3.65,0.01012,R7.15,0.0018,RAI,0,6h5h3d
2.63255,0.51593,2.44334,0.48407,0.9277333312,0.9177260418,X,0.91884,R1.8,0.06818,R3.65,0.01102,R7.15,0.00196,RAI,0,6h5d3h
2.63761,0.51615,2.43841,0.48385,0.9291203122,0.9162907483,X,0.9239,R1.8,0.06421,R3.65,0.00978,R7.15,0.00211,RAI,0,6d5h3h
2.69089,0.51654,2.38555,0.48346,0.9471730153,0.8971504561,X,0.9668,R1.8,0.02396,R3.65,0.00778,R7.15,0.00147,RAI,0,6h5d3c
2.26926,0.49744,2.79518,0.50256,0.8294321042,1.011251474,X,0.55423,R1.8,0.41897,R3.65,0.02428,R7.15,0.00252,RAI,0,6h5h4h
2.47799,0.51107,2.5886,0.48893,0.881569274,0.9626215277,X,0.75082,R1.8,0.13235,R3.65,0.1133,R7.15,0.00353,RAI,0,6d5h4h
2.48152,0.51118,2.58503,0.48882,0.8826351924,0.9615103347,X,0.75332,R1.8,0.13169,R3.65,0.11106,R7.15,0.00393,RAI,0,6h5h4d
2.48841,0.51179,2.57839,0.48821,0.884030952,0.9602387653,X,0.75872,R1.8,0.12489,R3.65,0.11277,R7.15,0.00362,RAI,0,6h5d4h
2.51962,0.51265,2.54548,0.48735,0.8936169025,0.9496554019,X,0.77405,R1.8,0.11453,R3.65,0.10607,R7.15,0.00535,RAI,0,6h5d4c
2.30881,0.48541,2.76263,0.51459,0.8648021907,0.9761097897,X,0.6563,R1.8,0.2824,R3.65,0.05807,R7.15,0.00322,RAI,0,6h5h5d
2.2905,0.48369,2.77829,0.51631,0.8609947227,0.9783728096,X,0.657,R1.8,0.23457,R3.65,0.10571,R7.15,0.00272,RAI,0,6h5d5c
2.28441,0.47535,2.79099,0.52465,0.8737714931,0.9672215184,X,0.68002,R1.8,0.30051,R3.65,0.01621,R7.15,0.00326,RAI,0,6h6d2h
2.26299,0.47235,2.80857,0.52765,0.8710759516,0.9677799213,X,0.66385,R1.8,0.29458,R3.65,0.03872,R7.15,0.00285,RAI,0,6d6c2h
2.34014,0.47833,2.73702,0.52167,0.8895114902,0.9539364316,X,0.74234,R1.8,0.24366,R3.65,0.01137,R7.15,0.00263,RAI,0,6h6d3h
2.26585,0.4734,2.80554,0.5266,0.8702423792,0.9686634905,X,0.67141,R1.8,0.27555,R3.65,0.05053,R7.15,0.00251,RAI,0,6d6c3h
2.35796,0.4838,2.71718,0.5162,0.8861513078,0.9570568074,X,0.73424,R1.8,0.2403,R3.65,0.02251,R7.15,0.00295,RAI,0,6h6d4h
2.30415,0.48032,2.76644,0.51968,0.8722026501,0.9678822601,X,0.69341,R1.8,0.23307,R3.65,0.07125,R7.15,0.00227,RAI,0,6d6c4h
2.32412,0.48475,2.74826,0.51525,0.8717220806,0.9697886732,X,0.68692,R1.8,0.27306,R3.65,0.03718,R7.15,0.00285,RAI,0,6h6d5h
2.3062,0.48284,2.76369,0.51716,0.8684224475,0.9716317803,X,0.68514,R1.8,0.22459,R3.65,0.08787,R7.15,0.0024,RAI,0,6d6c5h
1.58893,0.44435,3.47341,0.55565,0.6501549744,1.136559122,X,0.00207,R1.8,0.36634,R3.65,0.62414,R7.15,0.00745,RAI,0,6h6d6c
2.11109,0.46457,2.95687,0.53543,0.8262146654,1.004076588,X,0.45655,R1.8,0.44062,R3.65,0.09784,R7.15,0.005,RAI,0,7h2h2d
2.05039,0.46015,3.0128,0.53985,0.8101666412,1.014692633,X,0.3679,R1.8,0.43814,R3.65,0.18796,R7.15,0.00599,RAI,0,7h2d2c
2.10904,0.47597,2.96469,0.52403,0.8056428391,1.028632921,X,0.45166,R1.8,0.51836,R3.65,0.02721,R7.15,0.00277,RAI,0,7h3h2h
2.19121,0.48135,2.87262,0.51865,0.8276759531,1.007027031,X,0.5356,R1.8,0.25335,R3.65,0.20248,R7.15,0.00857,RAI,0,7h3d2h
2.2008,0.48162,2.86366,0.51838,0.8308322591,1.004408901,X,0.54392,R1.8,0.26096,R3.65,0.18902,R7.15,0.0061,RAI,0,7d3h2h
2.19191,0.48119,2.87188,0.51881,0.8282156724,1.006457154,X,0.5376,R1.8,0.24545,R3.65,0.20679,R7.15,0.01016,RAI,0,7h3h2d
2.16369,0.47951,2.89721,0.52049,0.8204170728,1.012056798,X,0.50603,R1.8,0.14139,R3.65,0.27676,R7.15,0.07582,RAI,0,7h3d2c
2.19648,0.47121,2.87468,0.52879,0.8475202225,0.9884247082,X,0.59783,R1.8,0.32931,R3.65,0.06944,R7.15,0.00342,RAI,0,7h3h3d
2.1602,0.46758,2.90754,0.53242,0.8399924417,0.9929072381,X,0.56805,R1.8,0.33728,R3.65,0.09073,R7.15,0.00395,RAI,0,7h3d3c
2.1731,0.48076,2.89987,0.51924,0.8218426726,1.015424571,X,0.51636,R1.8,0.46075,R3.65,0.02074,R7.15,0.00215,RAI,0,7h4h2h
2.3026,0.48587,2.76645,0.51413,0.8616595496,0.9783340783,X,0.65128,R1.8,0.21418,R3.65,0.13057,R7.15,0.00398,RAI,0,7h4h2d
2.28717,0.48521,2.7814,0.51479,0.8570496847,0.9823599643,X,0.6339,R1.8,0.2265,R3.65,0.13513,R7.15,0.00447,RAI,0,7d4h2h
2.27206,0.48452,2.79566,0.51548,0.8526001262,0.986074803,X,0.61988,R1.8,0.23232,R3.65,0.14354,R7.15,0.00426,RAI,0,7h4d2h
2.2705,0.48285,2.79373,0.51715,0.8549615497,0.9822119844,X,0.62314,R1.8,0.1355,R3.65,0.2349,R7.15,0.00645,RAI,0,7h4d2c
2.22883,0.48689,2.84197,0.51311,0.8323067757,1.007039095,X,0.54086,R1.8,0.44654,R3.65,0.01102,R7.15,0.00159,RAI,0,7h4h3h
2.3698,0.49343,2.69919,0.50657,0.8732196131,0.9687936871,X,0.69882,R1.8,0.19631,R3.65,0.10246,R7.15,0.00241,RAI,0,7d4h3h
2.38002,0.49391,2.68929,0.50609,0.876133058,0.9661559027,X,0.70904,R1.8,0.18686,R3.65,0.10178,R7.15,0.00232,RAI,0,7h4h3d
2.35603,0.49258,2.71245,0.50742,0.8696436956,0.9719221334,X,0.68897,R1.8,0.19935,R3.65,0.10896,R7.15,0.00273,RAI,0,7h4d3h
2.37312,0.49175,2.69293,0.50825,0.87743035,0.9633519629,X,0.70346,R1.8,0.15504,R3.65,0.13729,R7.15,0.00421,RAI,0,7h4d3c
2.28645,0.47477,2.78809,0.52523,0.8756201044,0.9651494812,X,0.69626,R1.8,0.28084,R3.65,0.01978,R7.15,0.00312,RAI,0,7h4h4d
2.20788,0.46929,2.86195,0.53071,0.8554044215,0.9804875521,X,0.63411,R1.8,0.28957,R3.65,0.07415,R7.15,0.00217,RAI,0,7h4d4c
2.20177,0.48341,2.86915,0.51659,0.8281207045,1.009821373,X,0.53549,R1.8,0.44123,R3.65,0.02107,R7.15,0.00221,RAI,0,7h5h2h
2.33536,0.48809,2.73384,0.51191,0.869943885,0.9709945018,X,0.67222,R1.8,0.20667,R3.65,0.11767,R7.15,0.00345,RAI,0,7d5h2h
2.31189,0.48706,2.75661,0.51294,0.8630222289,0.9771158678,X,0.65477,R1.8,0.20499,R3.65,0.13665,R7.15,0.00359,RAI,0,7h5d2h
2.35304,0.48879,2.71693,0.51121,0.8752745476,0.9663098009,X,0.69197,R1.8,0.18877,R3.65,0.11567,R7.15,0.00358,RAI,0,7h5h2d
2.32745,0.48577,2.73863,0.51423,0.8711380802,0.9683074209,X,0.66829,R1.8,0.11251,R3.65,0.21373,R7.15,0.00548,RAI,0,7h5d2c
2.31339,0.4934,2.75834,0.5066,0.8524855295,0.9899651008,X,0.62001,R1.8,0.36607,R3.65,0.01218,R7.15,0.00173,RAI,0,7h5h3h
2.5004,0.50145,2.57295,0.49855,0.9066072228,0.9383393287,X,0.81011,R1.8,0.14937,R3.65,0.03869,R7.15,0.00183,RAI,0,7d5h3h
2.48127,0.50037,2.59146,0.49963,0.9016127875,0.943046934,X,0.79534,R1.8,0.15512,R3.65,0.04778,R7.15,0.00177,RAI,0,7h5d3h
2.51393,0.50205,2.55988,0.49795,0.9104236882,0.934697745,X,0.82277,R1.8,0.1387,R3.65,0.03669,R7.15,0.00184,RAI,0,7h5h3d
2.53432,0.50047,2.53868,0.49953,0.9207055201,0.924024998,X,0.84561,R1.8,0.094,R3.65,0.05736,R7.15,0.00303,RAI,0,7h5d3c
2.365,0.49837,2.70615,0.50163,0.8628127873,0.9808569556,X,0.66476,R1.8,0.32526,R3.65,0.00859,R7.15,0.00139,RAI,0,7h5h4h
2.54529,0.50749,2.52924,0.49251,0.9118997767,0.9337105992,X,0.83653,R1.8,0.1445,R3.65,0.01649,R7.15,0.00249,RAI,0,7d5h4h
