oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
1.26882,0.42132,3.81379,0.57868,0.5475518817,1.198272627,X,0.00043,R1.8,0.20923,R3.65,0.53869,R7.15,0.25165,RAI,0,2h2d2c
2.19081,0.45859,2.88559,0.54141,0.8685952241,0.9690488043,X,0.6232,R1.8,0.28653,R3.65,0.08528,R7.15,0.00499,RAI,0,3h2h2d
2.10387,0.45223,2.96263,0.54777,0.8458567483,0.9833689014,X,0.43386,R1.8,0.40834,R3.65,0.15314,R7.15,0.00466,RAI,0,3h2d2c
2.24541,0.45962,2.83735,0.54038,0.8882475922,0.9546648608,X,0.73205,R1.8,0.24713,R3.65,0.0169,R7.15,0.00391,RAI,0,3h3d2h
2.17562,0.45298,2.90005,0.54702,0.8732555011,0.963916835,X,0.60465,R1.8,0.37877,R3.65,0.0124,R7.15,0.00418,RAI,0,3d3c2h
1.40009,0.42793,3.67132,0.57207,0.5948678894,1.16683748,X,0.00024,R1.8,0.04315,R3.65,0.93541,R7.15,0.0212,RAI,0,3h3d3c
2.22893,0.46293,2.84734,0.53707,0.8754239404,0.9639306312,X,0.65935,R1.8,0.246,R3.65,0.08934,R7.15,0.00531,RAI,0,4h2h2d
2.12335,0.45635,2.9402,0.54365,0.8459814182,0.9833198982,X,0.43705,R1.8,0.33593,R3.65,0.22051,R7.15,0.00651,RAI,0,4h2d2c
2.28148,0.48237,2.79979,0.51763,0.859951009,0.9834297254,X,0.671,R1.8,0.31978,R3.65,0.00766,R7.15,0.00156,RAI,0,4h3h2h
2.49614,0.48777,2.58705,0.51223,0.9304459995,0.9182842462,X,0.86866,R1.8,0.06541,R3.65,0.06372,R7.15,0.00221,RAI,0,4h3h2d
2.49716,0.48792,2.586,0.51208,0.9305400395,0.9181803611,X,0.87002,R1.8,0.06655,R3.65,0.0613,R7.15,0.00213,RAI,0,4h3d2h
2.49065,0.48769,2.59221,0.51231,0.9285518296,0.9199720738,X,0.86316,R1.8,0.07079,R3.65,0.06404,R7.15,0.00201,RAI,0,4d3h2h
2.53234,0.4851,2.55058,0.5149,0.9491351526,0.9006443908,X,0.89367,R1.8,0.05758,R3.65,0.04494,R7.15,0.00382,RAI,0,4h3d2c
2.34207,0.47009,2.74057,0.52991,0.9058497864,0.9403208859,X,0.81542,R1.8,0.15766,R3.65,0.02311,R7.15,0.00381,RAI,0,4h3h3d
2.26813,0.46391,2.80688,0.53609,0.8889380967,0.951970382,X,0.7121,R1.8,0.243,R3.65,0.04145,R7.15,0.00345,RAI,0,4h3d3c
2.32806,0.46519,2.75751,0.53481,0.909915575,0.9374645924,X,0.81817,R1.8,0.17159,R3.65,0.00733,R7.15,0.00292,RAI,0,4h4d2h
2.25649,0.45816,2.82293,0.54184,0.8954751529,0.9472538052,X,0.72815,R1.8,0.26554,R3.65,0.00522,R7.15,0.00109,RAI,0,4d4c2h
2.3682,0.47024,2.7172,0.52976,0.9156639856,0.9325663851,X,0.85,R1.8,0.13911,R3.65,0.00832,R7.15,0.00257,RAI,0,4h4d3h
2.29885,0.46383,2.77984,0.53617,0.9011334828,0.9426589472,X,0.76089,R1.8,0.23111,R3.65,0.007,R7.15,0.001,RAI,0,4d4c3h
1.48882,0.43174,3.58224,0.56826,0.6269850985,1.146159094,X,0.0005,R1.8,0.14155,R3.65,0.8455,R7.15,0.01245,RAI,0,4h4d4c
2.19962,0.46394,2.87312,0.53606,0.8620315457,0.9744907117,X,0.61038,R1.8,0.2598,R3.65,0.12507,R7.15,0.00475,RAI,0,5h2h2d
2.0878,0.45745,2.97315,0.54255,0.8298174723,0.9963555483,X,0.39988,R1.8,0.32959,R3.65,0.26086,R7.15,0.00967,RAI,0,5h2d2c
2.32893,0.4866,2.75278,0.5134,0.8702050763,0.9748839689,X,0.70578,R1.8,0.28622,R3.65,0.00648,R7.15,0.00152,RAI,0,5h3h2h
2.56372,0.49283,2.52244,0.50717,0.9458249276,0.90428343,X,0.92778,R1.8,0.03515,R3.65,0.03511,R7.15,0.00196,RAI,0,5d3h2h
2.5763,0.49307,2.51045,0.50693,0.9500033639,0.9004111803,X,0.94047,R1.8,0.02955,R3.65,0.02794,R7.15,0.00203,RAI,0,5h3h2d
2.57728,0.49329,2.50951,0.50671,0.9499409373,0.9004648797,X,0.9425,R1.8,0.02876,R3.65,0.0269,R7.15,0.00183,RAI,0,5h3d2h
2.63049,0.49092,2.45686,0.50908,0.9742339155,0.8774688387,X,0.97525,R1.8,0.0118,R3.65,0.00893,R7.15,0.00401,RAI,0,5h3d2c
2.32824,0.47241,2.75125,0.52759,0.8960783103,0.9481364316,X,0.76786,R1.8,0.18932,R3.65,0.03922,R7.15,0.0036,RAI,0,5h3h3d
2.25411,0.4666,2.81771,0.5334,0.8783501904,0.9604628719,X,0.67745,R1.8,0.25012,R3.65,0.06946,R7.15,0.00298,RAI,0,5h3d3c
2.31989,0.48901,2.75985,0.51099,0.8625553272,0.9819974764,X,0.68079,R1.8,0.30675,R3.65,0.01076,R7.15,0.0017,RAI,0,5h4h2h
2.58031,0.4974,2.50513,0.5026,0.943199247,0.9062438888,X,0.93231,R1.8,0.03117,R3.65,0.03348,R7.15,0.00304,RAI,0,5h4h2d
2.60067,0.49911,2.48509,0.50089,0.9473845373,0.9020633945,X,0.94645,R1.8,0.02273,R3.65,0.02855,R7.15,0.00227,RAI,0,5h4d2h
2.59353,0.49888,2.49222,0.50112,0.945219089,0.9042363534,X,0.9411,R1.8,0.0229,R3.65,0.03381,R7.15,0.0022,RAI,0,5d4h2h
2.65891,0.49744,2.42736,0.50256,0.9718522402,0.8781800685,X,0.98173,R1.8,0.00706,R3.65,0.00723,R7.15,0.00399,RAI,0,5h4d2c
2.31652,0.49256,2.75835,0.50744,0.8550947109,0.9883300321,X,0.64458,R1.8,0.33802,R3.65,0.01563,R7.15,0.00177,RAI,0,5h4h3h
2.5993,0.50463,2.48196,0.49537,0.9365276656,0.9109664788,X,0.89201,R1.8,0.03875,R3.65,0.06642,R7.15,0.00282,RAI,0,5d4h3h
2.58696,0.50337,2.4937,0.49663,0.9344148237,0.9129532915,X,0.8833,R1.8,0.04281,R3.65,0.07095,R7.15,0.00294,RAI,0,5h4h3d
2.60629,0.50476,2.47498,0.49524,0.9388043869,0.908643046,X,0.89871,R1.8,0.03414,R3.65,0.06435,R7.15,0.00279,RAI,0,5h4d3h
2.66358,0.50395,2.41937,0.49605,0.9609827605,0.8867764192,X,0.93931,R1.8,0.00633,R3.65,0.04877,R7.15,0.00559,RAI,0,5h4d3c
2.3607,0.47879,2.71744,0.52121,0.8964643695,0.9479479786,X,0.76803,R1.8,0.18901,R3.65,0.03946,R7.15,0.00349,RAI,0,5h4h4d
