oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
1.19283,0.40808,3.90211,0.59192,0.5314599333,1.198598699,X,0.00075,R1.8,0.17008,R3.65,0.40697,R7.15,0.42219,RAI,0,2h2d2c
2.14861,0.44668,2.93074,0.55332,0.8745777209,0.9630265464,X,0.61319,R1.8,0.28895,R3.65,0.09221,R7.15,0.00566,RAI,0,3h2h2d
2.03143,0.43845,3.03544,0.56155,0.8424014207,0.9828121364,X,0.31544,R1.8,0.57153,R3.65,0.10735,R7.15,0.00568,RAI,0,3h2d2c
2.18583,0.44704,2.90064,0.55296,0.8890114195,0.9537563536,X,0.72199,R1.8,0.25334,R3.65,0.02012,R7.15,0.00455,RAI,0,3h3d2h
2.09165,0.43857,2.98783,0.56143,0.8671363931,0.967603844,X,0.52891,R1.8,0.45724,R3.65,0.00952,R7.15,0.00433,RAI,0,3d3c2h
1.32318,0.41394,3.76599,0.58606,0.581190915,1.168353876,X,0.0002,R1.8,0.1294,R3.65,0.65025,R7.15,0.22015,RAI,0,3h3d3c
2.19074,0.45139,2.88824,0.54861,0.8824218192,0.957209293,X,0.66042,R1.8,0.23587,R3.65,0.09761,R7.15,0.0061,RAI,0,4h2h2d
2.06663,0.44328,2.99745,0.55672,0.8476603474,0.9789318,X,0.34785,R1.8,0.45486,R3.65,0.19009,R7.15,0.0072,RAI,0,4h2d2c
2.2588,0.47453,2.82477,0.52547,0.8654687894,0.9774002754,X,0.68016,R1.8,0.31433,R3.65,0.00435,R7.15,0.00116,RAI,0,4h3h2h
2.46542,0.4761,2.62205,0.5239,0.9415210782,0.9099759444,X,0.88412,R1.8,0.05299,R3.65,0.06078,R7.15,0.00211,RAI,0,4h3h2d
2.45901,0.4759,2.62826,0.5241,0.9394677701,0.9117829245,X,0.88032,R1.8,0.05594,R3.65,0.06171,R7.15,0.00203,RAI,0,4h3d2h
2.45648,0.47595,2.6306,0.52405,0.9384026254,0.9126818187,X,0.87619,R1.8,0.06088,R3.65,0.06095,R7.15,0.00198,RAI,0,4d3h2h
2.49173,0.47146,2.59691,0.52854,0.9609336944,0.8933390868,X,0.90533,R1.8,0.04359,R3.65,0.04652,R7.15,0.00456,RAI,0,4h3d2c
2.29149,0.45766,2.79465,0.54234,0.9103582771,0.9368997569,X,0.81597,R1.8,0.15653,R3.65,0.02309,R7.15,0.00441,RAI,0,4h3h3d
2.19502,0.4496,2.88338,0.5504,0.887665766,0.9524906971,X,0.66012,R1.8,0.32108,R3.65,0.0141,R7.15,0.0047,RAI,0,4h3d3c
2.28392,0.45334,2.80599,0.54666,0.9159972568,0.9332674621,X,0.83012,R1.8,0.15809,R3.65,0.00784,R7.15,0.00395,RAI,0,4h4d2h
2.20162,0.44477,2.88315,0.55523,0.9000034995,0.9441296201,X,0.71713,R1.8,0.2782,R3.65,0.0036,R7.15,0.00107,RAI,0,4d4c2h
2.32772,0.45826,2.76194,0.54174,0.9235407959,0.9269592596,X,0.86712,R1.8,0.12139,R3.65,0.00827,R7.15,0.00322,RAI,0,4h4d3h
2.24133,0.44992,2.84225,0.55008,0.9057488665,0.9394501632,X,0.74993,R1.8,0.24496,R3.65,0.00393,R7.15,0.00118,RAI,0,4d4c3h
1.43072,0.41761,3.65311,0.58239,0.6229039304,1.140475989,X,0.00022,R1.8,0.06184,R3.65,0.92567,R7.15,0.01228,RAI,0,4h4d4c
2.19385,0.45336,2.88287,0.54664,0.8798346417,0.95887274,X,0.64473,R1.8,0.22428,R3.65,0.12447,R7.15,0.00652,RAI,0,5h2h2d
2.06995,0.44546,2.99183,0.55454,0.8448672638,0.9809375917,X,0.35149,R1.8,0.39404,R3.65,0.2399,R7.15,0.01457,RAI,0,5h2d2c
2.31894,0.47949,2.76589,0.52051,0.8793205912,0.9661467645,X,0.73621,R1.8,0.25782,R3.65,0.00457,R7.15,0.0014,RAI,0,5h3h2h
2.55655,0.48276,2.53456,0.51724,0.962853728,0.8909386269,X,0.96264,R1.8,0.01124,R3.65,0.02396,R7.15,0.00216,RAI,0,5d3h2h
2.56882,0.48282,2.52263,0.51718,0.9673546615,0.8868478538,X,0.972,R1.8,0.00989,R3.65,0.0161,R7.15,0.00202,RAI,0,5h3h2d
2.56359,0.48277,2.5277,0.51723,0.9654851911,0.8885444222,X,0.97046,R1.8,0.01092,R3.65,0.01676,R7.15,0.00185,RAI,0,5h3d2h
2.6188,0.47907,2.47318,0.52093,0.9938953245,0.8632044761,X,0.98784,R1.8,0.00464,R3.65,0.00503,R7.15,0.00249,RAI,0,5h3d2c
2.30552,0.46085,2.7785,0.53915,0.9095919815,0.9369968156,X,0.80135,R1.8,0.16143,R3.65,0.03339,R7.15,0.00384,RAI,0,5h3h3d
2.21917,0.45343,2.85811,0.54658,0.8898517395,0.9507415912,X,0.68129,R1.8,0.2905,R3.65,0.02408,R7.15,0.00414,RAI,0,5h3d3c
2.29491,0.48108,2.78683,0.51892,0.8673325831,0.9764440569,X,0.6897,R1.8,0.30128,R3.65,0.00725,R7.15,0.00176,RAI,0,5h4h2h
2.56181,0.48687,2.5275,0.51313,0.9566899751,0.8955731115,X,0.95443,R1.8,0.01497,R3.65,0.02821,R7.15,0.00239,RAI,0,5h4h2d
2.5796,0.48856,2.51009,0.51144,0.960001244,0.8923432644,X,0.9654,R1.8,0.01051,R3.65,0.02198,R7.15,0.00211,RAI,0,5h4d2h
2.57466,0.48849,2.51496,0.51151,0.9583001194,0.8939521236,X,0.96075,R1.8,0.01062,R3.65,0.0266,R7.15,0.00203,RAI,0,5d4h2h
2.63736,0.48555,2.45291,0.51445,0.9875811573,0.8669134314,X,0.9879,R1.8,0.00429,R3.65,0.00548,R7.15,0.00232,RAI,0,5h4d2c
2.33384,0.48756,2.74392,0.51244,0.8703226733,0.9735667323,X,0.68673,R1.8,0.30153,R3.65,0.01009,R7.15,0.00165,RAI,0,5h4h3h
2.6381,0.49746,2.44844,0.50254,0.9642072156,0.8858417828,X,0.95132,R1.8,0.01079,R3.65,0.03524,R7.15,0.00264,RAI,0,5d4h3h
2.61912,0.49571,2.46681,0.50429,0.9606496317,0.8893908674,X,0.94043,R1.8,0.01343,R3.65,0.04314,R7.15,0.003,RAI,0,5h4h3d
2.6416,0.49735,2.44488,0.50265,0.9656999753,0.8843601274,X,0.95425,R1.8,0.00966,R3.65,0.03361,R7.15,0.00248,RAI,0,5h4d3h
2.70362,0.49526,2.38437,0.50474,0.992543845,0.8589012848,X,0.98248,R1.8,0.00441,R3.65,0.00919,R7.15,0.00392,RAI,0,5h4d3c
2.3518,0.46816,2.73047,0.53184,0.9133629325,0.9334556554,X,0.79992,R1.8,0.17355,R3.65,0.02299,R7.15,0.00353,RAI,0,5h4h4d
2.33467,0.46389,2.74387,0.53611,0.9150563264,0.9305655055,X,0.77699,R1.8,0.2132,R3.65,0.00854,R7.15,0.00127,RAI,0,5h4d4c
2.29864,0.45527,2.79035,0.54473,0.9179927401,0.9313537887,X,0.81766,R1.8,0.17154,R3.65,0.00752,R7.15,0.00328,RAI,0,5h5d2h
2.21873,0.44685,2.8655,0.55315,0.9027759829,0.9418783275,X,0.71968,R1.8,0.27445,R3.65,0.00396,R7.15,0.00191,RAI,0,5d5c2h
2.3505,0.46137,2.73817,0.53863,0.9262927018,0.9242876673,X,0.85751,R1.8,0.13226,R3.65,0.00742,R7.15,0.00281,RAI,0,5h5d3h
2.27344,0.45361,2.80983,0.54639,0.9112513029,0.9350064525,X,0.76485,R1.8,0.2289,R3.65,0.00468,R7.15,0.00157,RAI,0,5d5c3h
2.33812,0.46655,2.7454,0.53345,0.9111836482,0.9357270984,X,0.79512,R1.8,0.18741,R3.65,0.01393,R7.15,0.00354,RAI,0,5h5d4h
2.31933,0.46215,2.76048,0.53785,0.9124664127,0.9331698809,X,0.76559,R1.8,0.22699,R3.65,0.00596,R7.15,0.00146,RAI,0,5d5c4h
1.45045,0.4178,3.6323,0.5822,0.6312067154,1.13434932,X,0.00016,R1.8,0.26101,R3.65,0.7292,R7.15,0.00964,RAI,0,5h5d5c
2.11446,0.45462,2.95236,0.54538,0.8456453039,0.9842544931,X,0.49017,R1.8,0.27745,R3.65,0.20763,R7.15,0.02475,RAI,0,6h2h2d
2.05539,0.44954,3.00276,0.55046,0.8313103618,0.9918184254,X,0.33517,R1.8,0.39616,R3.65,0.24718,R7.15,0.02149,RAI,0,6h2d2c
2.21924,0.47618,2.85894,0.52382,0.8473648276,0.9923394847,X,0.59254,R1.8,0.3952,R3.65,0.01062,R7.15,0.00164,RAI,0,6h3h2h
2.45217,0.48153,2.62557,0.51847,0.9259009033,0.9207406102,X,0.83308,R1.8,0.09514,R3.65,0.06938,R7.15,0.00239,RAI,0,6d3h2h
2.46148,0.48152,2.61667,0.51848,0.9294355439,0.9176017585,X,0.84136,R1.8,0.08578,R3.65,0.06993,R7.15,0.00293,RAI,0,6h3h2d
2.43578,0.48007,2.64148,0.51993,0.9225094348,0.9237187325,X,0.81984,R1.8,0.10178,R3.65,0.07562,R7.15,0.00276,RAI,0,6h3d2h
2.49072,0.47791,2.58423,0.52209,0.9475804577,0.8999597276,X,0.84508,R1.8,0.07628,R3.65,0.07479,R7.15,0.00386,RAI,0,6h3d2c
2.25081,0.45972,2.82757,0.54028,0.8901900674,0.951550389,X,0.71281,R1.8,0.21233,R3.65,0.07074,R7.15,0.00412,RAI,0,6h3h3d
2.15974,0.45284,2.90931,0.54716,0.8671495328,0.9667472855,X,0.5613,R1.8,0.36112,R3.65,0.0723,R7.15,0.00528,RAI,0,6h3d3c
2.3092,0.48557,2.76898,0.51443,0.864663267,0.9786577904,X,0.66653,R1.8,0.31723,R3.65,0.01443,R7.15,0.00181,RAI,0,6h4h2h
2.61486,0.49487,2.46888,0.50513,0.9607151265,0.8886569155,X,0.97323,R1.8,0.01322,R3.65,0.01054,R7.15,0.00301,RAI,0,6d4h2h
2.62129,0.49442,2.46257,0.50558,0.9639540954,0.8855967091,X,0.97766,R1.8,0.01012,R3.65,0.00913,R7.15,0.00309,RAI,0,6h4h2d
2.59854,0.49331,2.48515,0.50669,0.9577381894,0.8917591623,X,0.9679,R1.8,0.01569,R3.65,0.0133,R7.15,0.00311,RAI,0,6h4d2h
2.68884,0.49259,2.39304,0.50741,0.9924683286,0.8574883821,X,0.99234,R1.8,0.00349,R3.65,0.00301,R7.15,0.00116,RAI,0,6h4d2c
2.45842,0.49763,2.62236,0.50237,0.898228526,0.9490867802,X,0.79009,R1.8,0.2042,R3.65,0.0045,R7.15,0.00122,RAI,0,6h4h3h
2.76594,0.50838,2.31703,0.49162,0.9892170759,0.8569182899,X,0.99605,R1.8,0.0021,R3.65,0.00139,R7.15,0.00046,RAI,0,6d4h3h
2.76596,0.50764,2.31704,0.49236,0.99066624,0.8556340838,X,0.99711,R1.8,0.00173,R3.65,0.00092,R7.15,0.00024,RAI,0,6h4h3d
