oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
2.58659,0.42998,13.3135,0.57002,0.364582143,1.415526031,X,0.00963,R5.45,0.60173,R10.9,0.38864,R21.45,0,RAI,0,2h2d2c
5.48332,0.46037,10.4169,0.53963,0.7218594512,1.169927347,X,0.26901,R5.45,0.01051,R10.9,0.72048,R21.45,0,RAI,0,3h2h2d
4.87224,0.45417,11.028,0.54583,0.6501690648,1.224488213,X,0.28747,R5.45,0.00901,R10.9,0.70351,R21.45,0,RAI,0,3h2d2c
5.69175,0.46164,10.2085,0.53836,0.7472371289,1.149222031,X,0.28554,R5.45,0.01091,R10.9,0.70354,R21.45,0,RAI,0,3h3d2h
5.10765,0.45528,10.7926,0.54472,0.6799212122,1.200789308,X,0.29524,R5.45,0.01193,R10.9,0.69283,R21.45,0,RAI,0,3d3c2h
2.75618,0.43081,13.144,0.56919,0.3877375486,1.399541128,X,0.00046,R5.45,0.67383,R10.9,0.32571,R21.45,0,RAI,0,3h3d3c
5.64595,0.46301,10.254,0.53699,0.7390310545,1.157293765,X,0.27992,R5.45,0.01323,R10.9,0.70685,R21.45,0,RAI,0,4h2h2d
5.06305,0.45696,10.8371,0.54304,0.6715062753,1.209475053,X,0.28783,R5.45,0.01426,R10.9,0.69791,R21.45,0,RAI,0,4h2d2c
7.49001,0.48926,8.41038,0.51074,0.9278093407,0.9980029758,X,0.75491,R5.45,0.24007,R10.9,0.00502,R21.45,0,RAI,0,4h3h2h
8.30245,0.49296,7.59767,0.50704,1.020729456,0.9081430096,X,0.9265,R5.45,0.06424,R10.9,0.00926,R21.45,0,RAI,0,4h3h2d
8.31787,0.49338,7.58212,0.50662,1.021754695,0.907035707,X,0.93819,R5.45,0.05341,R10.9,0.0084,R21.45,0,RAI,0,4h3d2h
8.30868,0.49335,7.59132,0.50665,1.020687826,0.9080825592,X,0.93679,R5.45,0.05549,R10.9,0.00771,R21.45,0,RAI,0,4d3h2h
8.5234,0.4903,7.37654,0.5097,1.053578862,0.8771101456,X,0.89831,R5.45,0.05604,R10.9,0.04565,R21.45,0,RAI,0,4h3d2c
6.03103,0.46522,9.86916,0.53478,0.7856862927,1.11846154,X,0.29475,R5.45,0.01264,R10.9,0.69261,R21.45,0,RAI,0,4h3h3d
5.53727,0.45981,10.3627,0.54019,0.7298495762,1.162631367,X,0.30108,R5.45,0.013,R10.9,0.68593,R21.45,0,RAI,0,4h3d3c
6.12444,0.46255,9.77586,0.53745,0.8024606682,1.102384103,X,0.29647,R5.45,0.01955,R10.9,0.68399,R21.45,0,RAI,0,4h4d2h
5.59855,0.45608,10.3014,0.54392,0.7439617145,1.147827056,X,0.2306,R5.45,0.12677,R10.9,0.64263,R21.45,0,RAI,0,4d4c2h
6.17275,0.46361,9.72759,0.53639,0.8069413206,1.09910863,X,0.28169,R5.45,0.01816,R10.9,0.70015,R21.45,0,RAI,0,4h4d3h
5.70685,0.45802,10.1932,0.54198,0.7551410394,1.139842982,X,0.26179,R5.45,0.03199,R10.9,0.70622,R21.45,0,RAI,0,4d4c3h
2.9089,0.43094,12.9911,0.56906,0.4090986452,1.383583106,X,0,R5.45,0.73154,R10.9,0.26846,R21.45,0,RAI,0,4h4d4c
5.46409,0.46437,10.4358,0.53563,0.7131316689,1.180803785,X,0.25634,R5.45,0.01589,R10.9,0.72778,R21.45,0,RAI,0,5h2h2d
4.90179,0.45929,10.9982,0.54071,0.6468205096,1.232748473,X,0.26629,R5.45,0.01717,R10.9,0.71654,R21.45,0,RAI,0,5h2d2c
7.26655,0.48526,8.63383,0.51474,0.907548458,1.016556783,X,0.69114,R5.45,0.30337,R10.9,0.00549,R21.45,0,RAI,0,5h3h2h
8.00792,0.48998,7.89197,0.51002,0.9905067326,0.9378087235,X,0.71608,R5.45,0.26584,R10.9,0.01809,R21.45,0,RAI,0,5d3h2h
7.97119,0.48906,7.9287,0.51094,0.9878182809,0.9404768789,X,0.69565,R5.45,0.27336,R10.9,0.03098,R21.45,0,RAI,0,5h3h2d
7.99333,0.4895,7.90654,0.5105,0.9896716164,0.938656659,X,0.70458,R5.45,0.27053,R10.9,0.02489,R21.45,0,RAI,0,5h3d2h
8.06925,0.48665,7.83093,0.51335,1.004922369,0.9245189893,X,0.59065,R5.45,0.01249,R10.9,0.39687,R21.45,0,RAI,0,5h3d2c
5.77885,0.46526,10.1215,0.53474,0.7527690728,1.147143735,X,0.26866,R5.45,0.01468,R10.9,0.71666,R21.45,0,RAI,0,5h3h3d
5.30079,0.46067,10.5991,0.53933,0.6973755483,1.191051299,X,0.28348,R5.45,0.0154,R10.9,0.70112,R21.45,0,RAI,0,5h3d3c
7.55775,0.49328,8.34253,0.50672,0.9285709418,0.9978052722,X,0.75394,R5.45,0.24041,R10.9,0.00565,R21.45,0,RAI,0,5h4h2h
8.48987,0.49887,7.41007,0.50113,1.031406168,0.8961649903,X,0.86686,R5.45,0.11396,R10.9,0.01918,R21.45,0,RAI,0,5h4h2d
8.42128,0.49774,7.47872,0.50226,1.02539599,0.9024324902,X,0.83303,R5.45,0.14478,R10.9,0.02219,R21.45,0,RAI,0,5h4d2h
8.43749,0.49819,7.46239,0.50181,1.026441866,0.9012694934,X,0.84278,R5.45,0.13841,R10.9,0.0188,R21.45,0,RAI,0,5d4h2h
8.59709,0.49556,7.30294,0.50444,1.05140801,0.8774133877,X,0.672,R5.45,0.00685,R10.9,0.32116,R21.45,0,RAI,0,5h4d2c
7.74157,0.49867,8.15854,0.50133,0.9408748256,0.9862903439,X,0.77933,R5.45,0.21528,R10.9,0.00539,R21.45,0,RAI,0,5h4h3h
8.68908,0.50614,7.21097,0.49386,1.040445193,0.8849238138,X,0.98127,R5.45,0.01254,R10.9,0.00619,R21.45,0,RAI,0,5d4h3h
