oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.62894,0.43269,13.2715,0.56731,0.3682306163,1.417799006,X,0.00799,R5.45,0.44751,R10.9,0.54449,R21.45,0,RAI,0,2h2d2c
4.74054,0.45619,11.1596,0.54381,0.6297934249,1.243709797,X,0.16496,R5.45,0.0121,R10.9,0.82293,R21.45,0,RAI,0,3h2h2d
4.16217,0.45124,11.7381,0.54876,0.5590211894,1.296375088,X,0.18263,R5.45,0.01037,R10.9,0.80701,R21.45,0,RAI,0,3h2d2c
4.91021,0.45696,10.9901,0.54304,0.6512353328,1.226550734,X,0.16986,R5.45,0.01246,R10.9,0.81768,R21.45,0,RAI,0,3h3d2h
4.34248,0.45195,11.5574,0.54805,0.5823224011,1.278071843,X,0.18253,R5.45,0.01334,R10.9,0.80413,R21.45,0,RAI,0,3d3c2h
2.70425,0.43251,13.1962,0.56749,0.3789367867,1.409306451,X,0.00063,R5.45,0.49319,R10.9,0.50618,R21.45,0,RAI,0,3h3d3c
4.7272,0.45733,11.1731,0.54267,0.6264556858,1.247830099,X,0.16174,R5.45,0.01429,R10.9,0.82397,R21.45,0,RAI,0,4h2h2d
4.21173,0.45274,11.6886,0.54726,0.5638034107,1.294446477,X,0.17348,R5.45,0.02103,R10.9,0.80549,R21.45,0,RAI,0,4h2d2c
6.99553,0.47913,8.90444,0.52087,0.8848778474,1.036080129,X,0.61348,R5.45,0.38137,R10.9,0.00515,R21.45,0,RAI,0,4h3h2h
7.47454,0.47904,8.42574,0.52096,0.9456463789,0.9802114364,X,0.54384,R5.45,0.44021,R10.9,0.01595,R21.45,0,RAI,0,4h3h2d
7.47685,0.47915,8.42286,0.52085,0.9457214418,0.9800832673,X,0.54798,R5.45,0.43632,R10.9,0.0157,R21.45,0,RAI,0,4h3d2h
7.48509,0.47927,8.4149,0.52073,0.9465265804,0.9793826179,X,0.55698,R5.45,0.43018,R10.9,0.01285,R21.45,0,RAI,0,4d3h2h
7.59184,0.47668,8.30822,0.52332,0.9652418651,0.9621808088,X,0.44581,R5.45,0.36828,R10.9,0.18591,R21.45,0,RAI,0,4h3d2c
4.93058,0.45792,10.9693,0.54208,0.6525660138,1.226400732,X,0.15821,R5.45,0.01352,R10.9,0.82826,R21.45,0,RAI,0,4h3h3d
4.46759,0.45374,11.4323,0.54626,0.5967360627,1.268384758,X,0.17362,R5.45,0.01681,R10.9,0.80957,R21.45,0,RAI,0,4h3d3c
5.38363,0.45786,10.5165,0.54214,0.712620886,1.175641796,X,0.17467,R5.45,0.0186,R10.9,0.80673,R21.45,0,RAI,0,4h4d2h
4.91865,0.45297,10.9816,0.54703,0.6581010008,1.21666147,X,0.12245,R5.45,0.15342,R10.9,0.72412,R21.45,0,RAI,0,4d4c2h
5.32687,0.4577,10.5728,0.5423,0.7053541489,1.181590247,X,0.15747,R5.45,0.01905,R10.9,0.82348,R21.45,0,RAI,0,4h4d3h
4.89313,0.45334,11.0069,0.54666,0.6541521302,1.220287571,X,0.13301,R5.45,0.06869,R10.9,0.7983,R21.45,0,RAI,0,4d4c3h
2.96001,0.43264,12.9407,0.56736,0.4146508744,1.382342884,X,0.00005,R5.45,0.53125,R10.9,0.4687,R21.45,0,RAI,0,4h4d4c
4.81308,0.45894,11.0869,0.54106,0.6355990076,1.24187877,X,0.16347,R5.45,0.01811,R10.9,0.81842,R21.45,0,RAI,0,5h2h2d
4.33824,0.4548,11.5618,0.5452,0.5781082666,1.285238736,X,0.16709,R5.45,0.04678,R10.9,0.78613,R21.45,0,RAI,0,5h2d2c
6.81388,0.47583,9.08604,0.52417,0.867878091,1.050554367,X,0.56823,R5.45,0.42624,R10.9,0.00553,R21.45,0,RAI,0,5h3h2h
7.0589,0.47595,8.84047,0.52405,0.8988593581,1.022394967,X,0.36019,R5.45,0.46798,R10.9,0.17183,R21.45,0,RAI,0,5d3h2h
7.00144,0.47535,8.89894,0.52465,0.8926679427,1.027980035,X,0.35534,R5.45,0.3373,R10.9,0.30736,R21.45,0,RAI,0,5h3h2d
7.01307,0.47548,8.88731,0.52452,0.8939062855,1.026891007,X,0.35704,R5.45,0.35271,R10.9,0.29025,R21.45,0,RAI,0,5h3d2h
6.92975,0.47291,8.97021,0.52709,0.8880862278,1.031416043,X,0.35015,R5.45,0.06191,R10.9,0.58794,R21.45,0,RAI,0,5h3d2c
4.94194,0.45851,10.9583,0.54149,0.6532278411,1.226505685,X,0.16201,R5.45,0.01677,R10.9,0.82123,R21.45,0,RAI,0,5h3h3d
4.50486,0.45467,11.3953,0.54533,0.6004834416,1.266437023,X,0.16856,R5.45,0.02915,R10.9,0.80229,R21.45,0,RAI,0,5h3d3c
6.98607,0.48076,8.91447,0.51924,0.8806851322,1.040503177,X,0.6089,R5.45,0.38594,R10.9,0.00516,R21.45,0,RAI,0,5h4h2h
7.36973,0.48145,8.53037,0.51855,0.9277189961,0.9969957146,X,0.46028,R5.45,0.17312,R10.9,0.3666,R21.45,0,RAI,0,5h4h2d
7.27186,0.48022,8.62811,0.51978,0.9177435435,1.006032886,X,0.43216,R5.45,0.19973,R10.9,0.3681,R21.45,0,RAI,0,5h4d2h
7.29553,0.48051,8.60439,0.51949,0.9201750787,1.00382719,X,0.43624,R5.45,0.24617,R10.9,0.31759,R21.45,0,RAI,0,5d4h2h
7.21531,0.47801,8.68445,0.52199,0.9148166819,1.008314931,X,0.38329,R5.45,0.01155,R10.9,0.60516,R21.45,0,RAI,0,5h4d2c
7.21154,0.48685,8.689,0.51315,0.8977365711,1.026222532,X,0.64972,R5.45,0.34448,R10.9,0.0058,R21.45,0,RAI,0,5h4h3h
7.80546,0.48878,8.09442,0.51122,0.9678345846,0.959608302,X,0.59515,R5.45,0.27327,R10.9,0.13158,R21.45,0,RAI,0,5d4h3h
7.87826,0.4898,8.02181,0.5102,0.974827083,0.9529013228,X,0.62794,R5.45,0.24235,R10.9,0.12971,R21.45,0,RAI,0,5h4h3d
7.79094,0.48854,8.10889,0.51146,0.9665087326,0.960872497,X,0.58901,R5.45,0.24052,R10.9,0.17048,R21.45,0,RAI,0,5h4d3h
7.92879,0.48727,7.97135,0.51273,0.9861734464,0.9422349592,X,0.4995,R5.45,0.00995,R10.9,0.49055,R21.45,0,RAI,0,5h4d3c
5.73096,0.46156,10.169,0.53844,0.7525151537,1.144605213,X,0.17121,R5.45,0.02648,R10.9,0.80231,R21.45,0,RAI,0,5h4h4d
5.06235,0.45554,10.8372,0.54446,0.6735063389,1.206333963,X,0.13609,R5.45,0.07443,R10.9,0.78948,R21.45,0,RAI,0,5h4d4c
5.87326,0.46046,10.0269,0.53954,0.773042495,1.126315285,X,0.17722,R5.45,0.1311,R10.9,0.69168,R21.45,0,RAI,0,5h5d2h
