oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.74466,0.43588,13.1554,0.56412,0.3816257278,1.413345313,X,0.00926,R5.45,0.41508,R10.9,0.57567,R21.45,0,RAI,0,2h2d2c
4.50683,0.45721,11.3929,0.54279,0.59740868,1.27209531,X,0.14626,R5.45,0.01534,R10.9,0.8384,R21.45,0,RAI,0,3h2h2d
3.92572,0.45343,11.9743,0.54657,0.5247169892,1.327762539,X,0.15453,R5.45,0.01318,R10.9,0.83229,R21.45,0,RAI,0,3h2d2c
4.77677,0.45886,11.1235,0.54114,0.6309140322,1.245796409,X,0.1654,R5.45,0.01406,R10.9,0.82054,R21.45,0,RAI,0,3h3d2h
4.21939,0.45499,11.6807,0.54501,0.5620356518,1.298913108,X,0.15873,R5.45,0.01392,R10.9,0.82735,R21.45,0,RAI,0,3d3c2h
2.88528,0.43657,13.0149,0.56343,0.4005439051,1.399969509,X,0.00998,R5.45,0.44276,R10.9,0.54726,R21.45,0,RAI,0,3h3d3c
4.49627,0.4587,11.4039,0.5413,0.594072863,1.276821754,X,0.14207,R5.45,0.01802,R10.9,0.83991,R21.45,0,RAI,0,4h2h2d
3.99452,0.45536,11.9056,0.54464,0.5316499486,1.324823957,X,0.15911,R5.45,0.02283,R10.9,0.81806,R21.45,0,RAI,0,4h2d2c
6.82974,0.47764,9.07033,0.52236,0.8666017014,1.052371777,X,0.53205,R5.45,0.46248,R10.9,0.00546,R21.45,0,RAI,0,4h3h2h
7.14747,0.47805,8.75245,0.52195,0.9061395371,1.016287974,X,0.3848,R5.45,0.58969,R10.9,0.02551,R21.45,0,RAI,0,4h3h2d
7.16058,0.47831,8.73972,0.52169,0.907308158,1.015315627,X,0.39489,R5.45,0.58043,R10.9,0.02468,R21.45,0,RAI,0,4h3d2h
7.17901,0.47852,8.72133,0.52148,0.9092441373,1.01358712,X,0.40556,R5.45,0.57589,R10.9,0.01855,R21.45,0,RAI,0,4d3h2h
7.2098,0.47693,8.69024,0.52307,0.9161880539,1.006903911,X,0.32907,R5.45,0.34235,R10.9,0.32858,R21.45,0,RAI,0,4h3d2c
4.75068,0.46063,11.1497,0.53937,0.6250569837,1.252830902,X,0.14677,R5.45,0.01584,R10.9,0.83739,R21.45,0,RAI,0,4h3h3d
4.31163,0.45786,11.5882,0.54214,0.5707222716,1.295451973,X,0.15357,R5.45,0.01587,R10.9,0.83056,R21.45,0,RAI,0,4h3d3c
5.30497,0.46073,10.5954,0.53927,0.6978345884,1.190771441,X,0.1758,R5.45,0.02232,R10.9,0.80188,R21.45,0,RAI,0,4h4d2h
4.87092,0.45707,11.0293,0.54293,0.6458688783,1.23117049,X,0.13865,R5.45,0.10327,R10.9,0.75808,R21.45,0,RAI,0,4d4c2h
5.21557,0.46085,10.6839,0.53915,0.6858959523,1.20098133,X,0.15536,R5.45,0.02406,R10.9,0.82059,R21.45,0,RAI,0,4h4d3h
4.81815,0.4579,11.0819,0.5421,0.637713696,1.238942819,X,0.13859,R5.45,0.0288,R10.9,0.83262,R21.45,0,RAI,0,4d4c3h
3.17935,0.43781,12.721,0.56219,0.4401175648,1.37137184,X,0.00025,R5.45,0.49217,R10.9,0.50757,R21.45,0,RAI,0,4h4d4c
4.60436,0.46044,11.2957,0.53956,0.6060553417,1.268789121,X,0.15174,R5.45,0.02419,R10.9,0.82407,R21.45,0,RAI,0,5h2h2d
4.1324,0.45737,11.7678,0.54263,0.547583969,1.314343891,X,0.1517,R5.45,0.06778,R10.9,0.78052,R21.45,0,RAI,0,5h2d2c
6.67483,0.47563,9.22564,0.52437,0.8505249071,1.066288497,X,0.4908,R5.45,0.50447,R10.9,0.00473,R21.45,0,RAI,0,5h3h2h
6.75277,0.47639,9.14726,0.52361,0.8590834843,1.058763929,X,0.28531,R5.45,0.44126,R10.9,0.27343,R21.45,0,RAI,0,5d3h2h
6.67487,0.47577,9.22514,0.52423,0.8502797139,1.066515398,X,0.28937,R5.45,0.33287,R10.9,0.37775,R21.45,0,RAI,0,5h3h2d
6.70004,0.47604,9.20004,0.52396,0.8530018847,1.064161729,X,0.28942,R5.45,0.34743,R10.9,0.36315,R21.45,0,RAI,0,5h3d2h
6.57115,0.47451,9.32865,0.52549,0.8392899893,1.075896347,X,0.30812,R5.45,0.09407,R10.9,0.59781,R21.45,0,RAI,0,5h3d2c
4.77015,0.46114,11.13,0.53886,0.6269245933,1.251805404,X,0.15716,R5.45,0.02127,R10.9,0.82157,R21.45,0,RAI,0,5h3h3d
4.34641,0.45852,11.5538,0.54148,0.5744979027,1.293175154,X,0.16022,R5.45,0.02478,R10.9,0.81501,R21.45,0,RAI,0,5h3d3c
6.85137,0.48051,9.04893,0.51949,0.8641537948,1.055689246,X,0.53745,R5.45,0.45788,R10.9,0.00467,R21.45,0,RAI,0,5h4h2h
7.07409,0.48176,8.82593,0.51824,0.8899301141,1.032156631,X,0.39746,R5.45,0.16619,R10.9,0.43635,R21.45,0,RAI,0,5h4h2d
6.97763,0.48062,8.92249,0.51938,0.8798774039,1.041158698,X,0.37825,R5.45,0.19082,R10.9,0.43094,R21.45,0,RAI,0,5h4d2h
6.99081,0.4807,8.90952,0.5193,0.8813926809,1.039805382,X,0.37464,R5.45,0.21764,R10.9,0.40772,R21.45,0,RAI,0,5d4h2h
6.87012,0.47937,9.02997,0.52063,0.8685794142,1.051170538,X,0.35003,R5.45,0.01299,R10.9,0.63698,R21.45,0,RAI,0,5h4d2c
7.02023,0.48481,8.8799,0.51519,0.877598396,1.044616065,X,0.57618,R5.45,0.41882,R10.9,0.00499,R21.45,0,RAI,0,5h4h3h
7.43287,0.48683,8.46708,0.51317,0.9253270503,0.9999734334,X,0.46188,R5.45,0.30611,R10.9,0.23201,R21.45,0,RAI,0,5d4h3h
7.5293,0.48812,8.37071,0.51188,0.9348546151,0.991083456,X,0.4905,R5.45,0.26847,R10.9,0.24104,R21.45,0,RAI,0,5h4h3d
7.42664,0.48679,8.47334,0.51321,0.9246274465,1.000634752,X,0.4593,R5.45,0.26131,R10.9,0.27939,R21.45,0,RAI,0,5h4d3h
7.48774,0.4864,8.41246,0.5136,0.932981947,0.9926909824,X,0.42213,R5.45,0.01221,R10.9,0.56565,R21.45,0,RAI,0,5h4d3c
5.6276,0.46517,10.2721,0.53483,0.7332086792,1.164022104,X,0.1739,R5.45,0.03315,R10.9,0.79295,R21.45,0,RAI,0,5h4h4d
4.94042,0.46017,10.9593,0.53983,0.6506712792,1.230388353,X,0.13624,R5.45,0.04248,R10.9,0.82128,R21.45,0,RAI,0,5h4d4c
5.78371,0.46294,10.1164,0.53706,0.7571777624,1.141609288,X,0.16116,R5.45,0.1747,R10.9,0.66414,R21.45,0,RAI,0,5h5d2h
5.38312,0.45942,10.5171,0.54058,0.7101338726,1.179099528,X,0.09471,R5.45,0.26348,R10.9,0.64182,R21.45,0,RAI,0,5d5c2h
5.59908,0.46164,10.301,0.53836,0.7350710224,1.159636294,X,0.1343,R5.45,0.13997,R10.9,0.72573,R21.45,0,RAI,0,5h5d3h
5.23545,0.4587,10.665,0.5413,0.6917374896,1.194099507,X,0.10035,R5.45,0.15785,R10.9,0.7418,R21.45,0,RAI,0,5d5c3h
5.88052,0.4648,10.0197,0.5352,0.7667709624,1.13463107,X,0.15006,R5.45,0.12662,R10.9,0.72332,R21.45,0,RAI,0,5h5d4h
5.22095,0.45966,10.6792,0.54034,0.6883810298,1.197808064,X,0.10627,R5.45,0.08986,R10.9,0.80387,R21.45,0,RAI,0,5d5c4h
3.39193,0.4384,12.5076,0.5616,0.4689131416,1.349781922,X,0.00008,R5.45,0.51013,R10.9,0.48979,R21.45,0,RAI,0,5h5d5c
4.87624,0.46266,11.0238,0.53734,0.6387621019,1.24336498,X,0.16001,R5.45,0.02134,R10.9,0.81865,R21.45,0,RAI,0,6h2h2d
4.31348,0.45977,11.5867,0.54023,0.5685952273,1.299861726,X,0.12708,R5.45,0.09831,R10.9,0.77461,R21.45,0,RAI,0,6h2d2c
6.93702,0.48274,8.96281,0.51726,0.8709148425,1.050149951,X,0.54824,R5.45,0.44644,R10.9,0.00532,R21.45,0,RAI,0,6h3h2h
