oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.17997,0.43367,24.6197,0.56633,0.3046542099,1.586584265,F,0.53277,C,0.17263,R24.3,0.18634,R31.95,0.10825,R42.7,0,R56.85,0,RAI,0,2h2d2c
3.9248,0.44506,22.8751,0.55494,0.5344597445,1.504408035,F,0.45025,C,0.40418,R24.3,0.09629,R31.95,0.00848,R42.7,0,R56.85,0.0002,RAI,0.04059,3h2h2d
3.11567,0.43812,23.6847,0.56188,0.4309971687,1.538415892,F,0.4848,C,0.27923,R24.3,0.18218,R31.95,0.05379,R42.7,0,R56.85,0,RAI,0,3h2d2c
4.1508,0.44592,22.6495,0.55408,0.5641452627,1.491883136,F,0.44942,C,0.4078,R24.3,0.09866,R31.95,0.00526,R42.7,0,R56.85,0.00016,RAI,0.0387,3h3d2h
3.39318,0.43937,23.4074,0.56063,0.4680503068,1.523794018,F,0.47906,C,0.29402,R24.3,0.18608,R31.95,0.04084,R42.7,0,R56.85,0,RAI,0,3d3c2h
2.30023,0.43488,24.5015,0.56512,0.3205663265,1.58234469,F,0.54438,C,0.17085,R24.3,0.19554,R31.95,0.08924,R42.7,0,R56.85,0,RAI,0,3h3d3c
3.94357,0.44718,22.856,0.55282,0.5344698661,1.508918199,F,0.45255,C,0.3917,R24.3,0.1237,R31.95,0.00076,R42.7,0,R56.85,0.00003,RAI,0.03126,4h2h2d
3.23665,0.44167,23.5634,0.55833,0.4441338674,1.540265884,F,0.50151,C,0.2387,R24.3,0.1985,R31.95,0.0613,R42.7,0,R56.85,0,RAI,0,4h2d2c
5.20296,0.47988,21.57,0.52012,0.6571036647,1.513544503,F,0.50205,C,0.41789,R24.3,0.05588,R31.95,0.00626,R42.7,0.00574,R56.85,0.00628,RAI,0.0059,4h3h2h
6.04316,0.45527,20.7524,0.54473,0.8044723462,1.390389423,F,0.45673,C,0.40526,R24.3,0.10721,R31.95,0.00937,R42.7,0.01048,R56.85,0.00566,RAI,0.00529,4h3h2d
6.04609,0.45539,20.7609,0.54461,0.8046502987,1.39126543,F,0.45833,C,0.40045,R24.3,0.10863,R31.95,0.00906,R42.7,0.01097,R56.85,0.00704,RAI,0.00551,4h3d2h
6.16431,0.45805,20.6404,0.54195,0.8156195478,1.389976609,F,0.46195,C,0.388,R24.3,0.11238,R31.95,0.00873,R42.7,0.01106,R56.85,0.00959,RAI,0.00828,4d3h2h
6.87194,0.46084,19.9282,0.53916,0.9037436687,1.348960289,F,0.42384,C,0.47033,R24.3,0.10583,R31.95,0,R42.7,0,R56.85,0,RAI,0,4h3d2c
4.24615,0.44818,22.554,0.55182,0.574194366,1.491679043,F,0.43878,C,0.41658,R24.3,0.10684,R31.95,0.00918,R42.7,0,R56.85,0.00015,RAI,0.02847,4h3h3d
3.58357,0.44248,23.2166,0.55752,0.4908381438,1.519800931,F,0.46434,C,0.3185,R24.3,0.13821,R31.95,0.07894,R42.7,0,R56.85,0,RAI,0,4h3d3c
4.76929,0.44909,22.031,0.55091,0.6436301731,1.459493013,F,0.45427,C,0.40126,R24.3,0.1199,R31.95,0.00002,R42.7,0,R56.85,0,RAI,0.02454,4h4d2h
4.30385,0.44632,22.4965,0.55368,0.5844224011,1.482879083,F,0.48929,C,0.26942,R24.3,0.23911,R31.95,0.00218,R42.7,0,R56.85,0,RAI,0,4d4c2h
4.76957,0.44927,22.0309,0.55073,0.6434100528,1.459966003,F,0.44418,C,0.41816,R24.3,0.10675,R31.95,0.00025,R42.7,0,R56.85,0,RAI,0.03066,4h4d3h
4.28508,0.44571,22.5146,0.55429,0.5826699279,1.482441004,F,0.47223,C,0.31076,R24.3,0.18109,R31.95,0.03592,R42.7,0,R56.85,0,RAI,0,4d4c3h
2.65023,0.43798,24.1485,0.56202,0.366729068,1.568149463,F,0.5837,C,0.11718,R24.3,0.2954,R31.95,0.00373,R42.7,0,R56.85,0,RAI,0,4h4d4c
4.06155,0.44972,22.7386,0.55028,0.5473506995,1.50809759,F,0.45479,C,0.38732,R24.3,0.13059,R31.95,0.0006,R42.7,0,R56.85,0,RAI,0.02671,5h2h2d
3.46084,0.44599,23.3386,0.55401,0.4702972707,1.537473292,F,0.5142,C,0.20947,R24.3,0.23991,R31.95,0.03641,R42.7,0,R56.85,0,RAI,0,5h2d2c
4.97899,0.47251,21.7955,0.52749,0.6386255699,1.507998933,F,0.50348,C,0.39247,R24.3,0.07903,R31.95,0.00664,R42.7,0.00614,R56.85,0.00644,RAI,0.0058,5h3h2h
5.95623,0.45471,20.8429,0.54529,0.7938766267,1.395020139,F,0.43063,C,0.45807,R24.3,0.07919,R31.95,0,R42.7,0,R56.85,0,RAI,0.03211,5d3h2h
5.94527,0.45332,20.8556,0.54668,0.7948455845,1.392317664,F,0.42712,C,0.46524,R24.3,0.0751,R31.95,0,R42.7,0,R56.85,0,RAI,0.03254,5h3h2d
5.9547,0.4535,20.8457,0.5465,0.7957903122,1.392114265,F,0.42761,C,0.46485,R24.3,0.07453,R31.95,0,R42.7,0,R56.85,0,RAI,0.03302,5h3d2h
6.02169,0.45313,20.7786,0.54687,0.8053999891,1.386698478,F,0.4155,C,0.45427,R24.3,0.1302,R31.95,0.00003,R42.7,0,R56.85,0,RAI,0,5h3d2c
