oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
2.35503,0.43976,24.4457,0.56024,0.3245613396,1.592492809,F,0.55024,C,0.14395,R24.3,0.29823,R31.95,0.00758,R42.7,0,R56.85,0,RAI,0,2h2d2c
3.8116,0.44814,22.9879,0.55186,0.5154774427,1.520268902,F,0.46145,C,0.38588,R24.3,0.08573,R31.95,0.00814,R42.7,0,R56.85,0.00016,RAI,0.05865,3h2h2d
3.0719,0.4438,23.7282,0.5562,0.4195037179,1.556981372,F,0.50545,C,0.23776,R24.3,0.24484,R31.95,0.01195,R42.7,0,R56.85,0,RAI,0,3h2d2c
4.05208,0.44902,22.7476,0.55098,0.5469257858,1.506777818,F,0.45733,C,0.39282,R24.3,0.07865,R31.95,0.01288,R42.7,0,R56.85,0.00013,RAI,0.05819,3h3d2h
3.39506,0.44562,23.4056,0.55438,0.4617414293,1.540855964,F,0.49968,C,0.25531,R24.3,0.23537,R31.95,0.00961,R42.7,0,R56.85,0,RAI,0.00003,3d3c2h
2.49494,0.44078,24.3059,0.55922,0.3430475128,1.586276124,F,0.55038,C,0.1566,R24.3,0.28823,R31.95,0.00478,R42.7,0,R56.85,0,RAI,0,3h3d3c
3.84193,0.45097,22.9582,0.54903,0.5163186912,1.526126814,F,0.47005,C,0.36384,R24.3,0.12502,R31.95,0.00078,R42.7,0,R56.85,0.00013,RAI,0.04018,4h2h2d
3.20596,0.44794,23.5944,0.55206,0.433764816,1.559813435,F,0.52302,C,0.19506,R24.3,0.27698,R31.95,0.00493,R42.7,0,R56.85,0,RAI,0,4h2d2c
5.2648,0.48247,21.5176,0.51753,0.6613443083,1.517425949,F,0.50354,C,0.42673,R24.3,0.04347,R31.95,0.0065,R42.7,0.00641,R56.85,0.00671,RAI,0.00666,4h3h2h
6.18759,0.46333,20.6117,0.53667,0.8093701281,1.401702696,F,0.45772,C,0.39944,R24.3,0.11068,R31.95,0.00891,R42.7,0.00744,R56.85,0.006,RAI,0.00982,4h3h2d
6.1709,0.46367,20.6432,0.53633,0.806595085,1.404736995,F,0.46005,C,0.39238,R24.3,0.1132,R31.95,0.00894,R42.7,0.00816,R56.85,0.00649,RAI,0.01077,4h3d2h
6.15615,0.46486,20.6574,0.53514,0.8026072322,1.408825687,F,0.46463,C,0.37658,R24.3,0.11783,R31.95,0.00923,R42.7,0.00951,R56.85,0.00846,RAI,0.01375,4d3h2h
6.6545,0.46473,20.1458,0.53527,0.8678222527,1.373600392,F,0.42508,C,0.44585,R24.3,0.12906,R31.95,0,R42.7,0,R56.85,0,RAI,0,4h3d2c
4.13774,0.45272,22.6623,0.54728,0.553923257,1.511279481,F,0.45787,C,0.37906,R24.3,0.11731,R31.95,0.00551,R42.7,0.0001,R56.85,0.00064,RAI,0.0395,4h3h3d
3.54491,0.44872,23.2551,0.55128,0.4787908353,1.539558328,F,0.48927,C,0.26223,R24.3,0.23521,R31.95,0.01329,R42.7,0,R56.85,0,RAI,0,4h3d3c
4.67513,0.45315,22.1251,0.54685,0.6252702259,1.476612113,F,0.47068,C,0.36217,R24.3,0.14655,R31.95,0.00032,R42.7,0,R56.85,0.00003,RAI,0.02025,4h4d2h
4.30387,0.45325,22.4951,0.54675,0.5754895167,1.501582991,F,0.48823,C,0.27411,R24.3,0.23766,R31.95,0,R42.7,0,R56.85,0,RAI,0,4d4c2h
4.65231,0.45359,22.1479,0.54641,0.6216146121,1.479322039,F,0.46843,C,0.36548,R24.3,0.13647,R31.95,0.00106,R42.7,0,R56.85,0.0001,RAI,0.02846,4h4d3h
4.29961,0.45201,22.5011,0.54799,0.576497045,1.498580717,F,0.47918,C,0.2965,R24.3,0.2104,R31.95,0.0139,R42.7,0,R56.85,0.00001,RAI,0,4d4c3h
2.84159,0.44447,23.9583,0.55553,0.3874672664,1.573974639,F,0.55922,C,0.16554,R24.3,0.27523,R31.95,0,R42.7,0,R56.85,0,RAI,0,4h4d4c
3.94801,0.45367,22.8519,0.54633,0.5274171402,1.526567966,F,0.47495,C,0.3567,R24.3,0.13241,R31.95,0.00008,R42.7,0,R56.85,0.00008,RAI,0.03577,5h2h2d
3.3744,0.45214,23.4257,0.54786,0.452313627,1.560528281,F,0.51636,C,0.20201,R24.3,0.28138,R31.95,0.00025,R42.7,0,R56.85,0,RAI,0,5h2d2c
5.18667,0.47642,21.6825,0.52358,0.6598036093,1.511389223,F,0.50369,C,0.40657,R24.3,0.06575,R31.95,0.00628,R42.7,0.00594,R56.85,0.00589,RAI,0.00588,5h3h2h
5.8366,0.45988,20.9632,0.54012,0.7691861511,1.416499893,F,0.43362,C,0.44493,R24.3,0.07962,R31.95,0,R42.7,0,R56.85,0,RAI,0.04184,5d3h2h
5.75466,0.45771,21.0458,0.54229,0.7619830945,1.416394115,F,0.43022,C,0.45425,R24.3,0.06818,R31.95,0,R42.7,0,R56.85,0,RAI,0.04735,5h3h2d
5.78036,0.45794,21.0195,0.54206,0.7650016434,1.415222275,F,0.43023,C,0.45423,R24.3,0.06807,R31.95,0,R42.7,0,R56.85,0,RAI,0.04747,5h3d2h
5.62204,0.45761,21.1777,0.54239,0.7445852938,1.425002243,F,0.42404,C,0.42344,R24.3,0.1519,R31.95,0.00004,R42.7,0,R56.85,0.00004,RAI,0.00054,5h3d2c
4.1435,0.45386,22.6564,0.54614,0.5533010069,1.514039214,F,0.47134,C,0.35588,R24.3,0.14408,R31.95,0.00035,R42.7,0,R56.85,0.0001,RAI,0.02826,5h3h3d
3.57425,0.4504,23.2264,0.5496,0.4809529608,1.542355964,F,0.50574,C,0.22467,R24.3,0.26091,R31.95,0.00868,R42.7,0,R56.85,0,RAI,0,5h3d3c
5.20143,0.47781,21.5418,0.52219,0.659756337,1.505580175,F,0.50057,C,0.40384,R24.3,0.07043,R31.95,0.00661,R42.7,0.00642,R56.85,0.00645,RAI,0.00568,5h4h2h
5.93825,0.45797,20.8617,0.54203,0.7858461221,1.404672223,F,0.42991,C,0.44109,R24.3,0.07874,R31.95,0,R42.7,0.00008,R56.85,0.00032,RAI,0.04985,5h4h2d
5.83937,0.45812,20.9605,0.54188,0.772507656,1.411719306,F,0.42921,C,0.44481,R24.3,0.06807,R31.95,0,R42.7,0.00008,R56.85,0.00013,RAI,0.0577,5h4d2h
5.85715,0.45915,20.9429,0.54085,0.7731216444,1.413217587,F,0.43183,C,0.4389,R24.3,0.07866,R31.95,0,R42.7,0.00004,R56.85,0.00012,RAI,0.05045,5d4h2h
5.78942,0.45847,21.011,0.54153,0.7653149762,1.416031107,F,0.40268,C,0.45347,R24.3,0.1394,R31.95,0.00178,R42.7,0,R56.85,0.00001,RAI,0.00265,5h4d2c
5.21311,0.47747,21.6187,0.52253,0.6617086976,1.509971545,F,0.49893,C,0.40851,R24.3,0.06663,R31.95,0.0066,R42.7,0.00656,R56.85,0.00711,RAI,0.00565,5h4h3h
6.16617,0.46167,20.6338,0.53833,0.8094683884,1.39887873,F,0.43141,C,0.4503,R24.3,0.08151,R31.95,0.00008,R42.7,0.00007,R56.85,0.00028,RAI,0.03634,5d4h3h
6.21173,0.46072,20.5882,0.53928,0.8171307581,1.39332984,F,0.43149,C,0.45324,R24.3,0.08233,R31.95,0.00004,R42.7,0.00013,R56.85,0.00021,RAI,0.03255,5h4h3d
6.1392,0.46021,20.6617,0.53979,0.8084846997,1.396981515,F,0.42846,C,0.46063,R24.3,0.07183,R31.95,0,R42.7,0.00001,R56.85,0.00009,RAI,0.03897,5h4d3h
6.31486,0.46046,20.4852,0.53954,0.8311661683,1.385691743,F,0.39616,C,0.4964,R24.3,0.10743,R31.95,0,R42.7,0.00001,R56.85,0.00001,RAI,0,5h4d3c
5.04735,0.457,21.7533,0.543,0.6693654359,1.462089523,F,0.45697,C,0.37736,R24.3,0.15561,R31.95,0.00022,R42.7,0,R56.85,0.00006,RAI,0.00978,5h4h4d
4.39698,0.45341,22.4038,0.54659,0.5877321299,1.49592639,F,0.47378,C,0.28946,R24.3,0.23157,R31.95,0.00519,R42.7,0,R56.85,0,RAI,0,5h4d4c
5.20989,0.45686,21.59,0.54314,0.6911327284,1.450741743,F,0.46618,C,0.36463,R24.3,0.16909,R31.95,0,R42.7,0,R56.85,0,RAI,0.0001,5h5d2h
5.03302,0.45926,21.7668,0.54074,0.6641804752,1.469114704,F,0.46737,C,0.32374,R24.3,0.2089,R31.95,0,R42.7,0,R56.85,0,RAI,0,5d5c2h
5.10693,0.45652,21.6922,0.54348,0.6779788436,1.456700547,F,0.47,C,0.35923,R24.3,0.16815,R31.95,0.00002,R42.7,0,R56.85,0,RAI,0.00261,5h5d3h
4.87791,0.45584,21.922,0.54416,0.6485409856,1.470288604,F,0.47047,C,0.30776,R24.3,0.22176,R31.95,0,R42.7,0,R56.85,0,RAI,0,5d5c3h
5.41526,0.45794,21.3848,0.54206,0.7166824413,1.439818913,F,0.45213,C,0.38731,R24.3,0.15451,R31.95,0.00008,R42.7,0,R56.85,0.00001,RAI,0.00595,5h5d4h
4.86145,0.4554,21.9383,0.5446,0.6469770566,1.470197026,F,0.46652,C,0.31281,R24.3,0.21782,R31.95,0.00285,R42.7,0,R56.85,0,RAI,0,5d5c4h
3.01621,0.44458,23.7835,0.55542,0.4111759762,1.56280376,F,0.55998,C,0.19565,R24.3,0.24437,R31.95,0,R42.7,0,R56.85,0,RAI,0,5h5d5c
4.21101,0.45528,22.5887,0.54472,0.5605621215,1.513447449,F,0.47175,C,0.39362,R24.3,0.07922,R31.95,0.00315,R42.7,0,R56.85,0.00011,RAI,0.05215,6h2h2d
3.68859,0.45599,23.1122,0.54401,0.4902539938,1.550544535,F,0.50721,C,0.24504,R24.3,0.22636,R31.95,0.02139,R42.7,0,R56.85,0,RAI,0,6h2d2c
5.15585,0.47889,21.6492,0.52111,0.6525000572,1.516218186,F,0.50449,C,0.4194,R24.3,0.05096,R31.95,0.0063,R42.7,0.00632,R56.85,0.00658,RAI,0.00596,6h3h2h
6.06609,0.46471,20.7344,0.53529,0.791120972,1.413680065,F,0.44254,C,0.41338,R24.3,0.13413,R31.95,0,R42.7,0,R56.85,0,RAI,0.00996,6d3h2h
6.058,0.46444,20.741,0.53556,0.7905252128,1.413419926,F,0.43723,C,0.42597,R24.3,0.13663,R31.95,0,R42.7,0,R56.85,0,RAI,0.00017,6h3h2d
6.0628,0.46474,20.7369,0.53526,0.7906408177,1.413928445,F,0.43868,C,0.42397,R24.3,0.13652,R31.95,0,R42.7,0,R56.85,0,RAI,0.00084,6h3d2h
6.02355,0.4664,20.7767,0.5336,0.7827265017,1.4210548,F,0.41035,C,0.45996,R24.3,0.12964,R31.95,0.00005,R42.7,0,R56.85,0,RAI,0,6h3d2c
4.4718,0.45572,22.3288,0.54428,0.5947032571,1.497246888,F,0.45616,C,0.40943,R24.3,0.09033,R31.95,0.00741,R42.7,0,R56.85,0,RAI,0.03667,6h3h3d
4.0652,0.45707,22.735,0.54293,0.5390328667,1.528270258,F,0.48833,C,0.27638,R24.3,0.22013,R31.95,0.01516,R42.7,0,R56.85,0,RAI,0,6h3d3c
5.06839,0.47354,21.7747,0.52646,0.6486783371,1.509512203,F,0.50419,C,0.39427,R24.3,0.07821,R31.95,0.00605,R42.7,0.00601,R56.85,0.00606,RAI,0.00521,6h4h2h
5.40227,0.46267,21.3971,0.53733,0.7076540395,1.453328144,F,0.42709,C,0.44278,R24.3,0.10092,R31.95,0,R42.7,0,R56.85,0,RAI,0.02921,6d4h2h
5.34389,0.46193,21.4561,0.53807,0.7011281536,1.455332556,F,0.41966,C,0.45889,R24.3,0.093,R31.95,0.00004,R42.7,0,R56.85,0,RAI,0.02841,6h4h2d
5.41805,0.46267,21.3819,0.53733,0.7097210894,1.452294463,F,0.42657,C,0.4451,R24.3,0.09733,R31.95,0,R42.7,0,R56.85,0,RAI,0.031,6h4d2h
5.11221,0.46189,21.6873,0.53811,0.670789341,1.470899633,F,0.39429,C,0.46176,R24.3,0.13705,R31.95,0.0069,R42.7,0,R56.85,0,RAI,0,6h4d2c
4.96513,0.47704,21.7472,0.52296,0.6308002794,1.517695648,F,0.49616,C,0.42258,R24.3,0.05986,R31.95,0.00585,R42.7,0.00554,R56.85,0.00523,RAI,0.00478,6h4h3h
5.5078,0.45899,21.2918,0.54101,0.7272621653,1.436340833,F,0.41424,C,0.49533,R24.3,0.02856,R31.95,0.00019,R42.7,0,R56.85,0.00001,RAI,0.06168,6d4h3h
5.43713,0.45775,21.3629,0.54225,0.7198755523,1.437835769,F,0.40823,C,0.51203,R24.3,0.02132,R31.95,0,R42.7,0,R56.85,0.0006,RAI,0.05783,6h4h3d
