oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
3.17699,0.42893,18.1728,0.57107,0.4488957265,1.449765425,F,0.31093,C,0.47159,R15.05,0.00507,R20.5,0.19795,R28.2,0.01447,R38.35,0,RAI,0,2h2d2c
4.75265,0.44598,16.6307,0.55402,0.6458571524,1.367575609,F,0.26616,C,0.53867,R15.05,0.03544,R20.5,0.1104,R28.2,0.02079,R38.35,0.01548,RAI,0.01305,3h2h2d
3.90572,0.43349,17.4878,0.56651,0.5460571139,1.406352099,F,0.27489,C,0.50563,R15.05,0.01309,R20.5,0.11778,R28.2,0.07694,R38.35,0.00556,RAI,0.0061,3h2d2c
4.91666,0.44923,16.4314,0.55077,0.6633114293,1.359160027,F,0.26727,C,0.53698,R15.05,0.02785,R20.5,0.12727,R28.2,0.01521,R38.35,0.01294,RAI,0.01248,3h3d2h
4.10494,0.43606,17.2363,0.56394,0.5705275241,1.392442098,F,0.27514,C,0.50992,R15.05,0.01536,R20.5,0.12098,R28.2,0.06783,R38.35,0.00515,RAI,0.00563,3d3c2h
3.28482,0.4304,18.0659,0.5696,0.4625464647,1.44496088,F,0.32555,C,0.45792,R15.05,0.00549,R20.5,0.20339,R28.2,0.00764,R38.35,0,RAI,0,3h3d3c
4.57189,0.44526,16.8001,0.55474,0.6222976289,1.379712657,F,0.2784,C,0.51727,R15.05,0.03655,R20.5,0.14189,R28.2,0.01089,R38.35,0.00827,RAI,0.00673,4h2h2d
3.81928,0.43184,17.5234,0.56816,0.5360121996,1.405116947,F,0.28614,C,0.48877,R15.05,0.00523,R20.5,0.13613,R28.2,0.08071,R38.35,0.00295,RAI,0.00006,4h2d2c
5.70176,0.4639,15.6483,0.5361,0.7449045075,1.329801629,F,0.33612,C,0.59567,R15.05,0.06388,R20.5,0.00433,R28.2,0,R38.35,0,RAI,0,4h3h2h
6.16904,0.4561,15.1806,0.5439,0.8197352227,1.271557257,F,0.28127,C,0.54634,R15.05,0.15169,R20.5,0.02069,R28.2,0,R38.35,0,RAI,0.00001,4h3h2d
6.16135,0.45603,15.189,0.54397,0.818838955,1.272097192,F,0.28394,C,0.5413,R15.05,0.15406,R20.5,0.01943,R28.2,0.00127,R38.35,0,RAI,0.00001,4h3d2h
6.17933,0.45674,15.1709,0.54326,0.8199519363,1.272242693,F,0.29128,C,0.52108,R15.05,0.1651,R20.5,0.02253,R28.2,0,R38.35,0,RAI,0.00001,4d3h2h
6.19445,0.45348,15.156,0.54652,0.8278671646,1.263406614,F,0.25411,C,0.57439,R15.05,0.15679,R20.5,0.01471,R28.2,0,R38.35,0,RAI,0,4h3d2c
4.67186,0.44697,16.6797,0.55303,0.6334721624,1.374056163,F,0.26851,C,0.53039,R15.05,0.03073,R20.5,0.14335,R28.2,0.01013,R38.35,0.00866,RAI,0.00824,4h3h3d
4.14723,0.43992,17.1884,0.56008,0.5713476929,1.398140692,F,0.27162,C,0.50856,R15.05,0.01409,R20.5,0.12955,R28.2,0.06589,R38.35,0.00544,RAI,0.00485,4h3d3c
5.22355,0.44632,16.1243,0.55368,0.7093089717,1.326746714,F,0.29,C,0.50586,R15.05,0.01022,R20.5,0.18342,R28.2,0.00635,R38.35,0.00349,RAI,0.00066,4h4d2h
4.86137,0.44034,16.4861,0.55966,0.6690931595,1.342018028,F,0.28111,C,0.50468,R15.05,0.00149,R20.5,0.19738,R28.2,0.01535,R38.35,0,RAI,0,4d4c2h
5.10192,0.44485,16.2527,0.55515,0.6950821221,1.333770793,F,0.28372,C,0.50827,R15.05,0.01839,R20.5,0.17815,R28.2,0.00673,R38.35,0.00429,RAI,0.00045,4h4d3h
4.77936,0.44076,16.5709,0.55924,0.6571789172,1.349939038,F,0.27394,C,0.51112,R15.05,0.00662,R20.5,0.16893,R28.2,0.03662,R38.35,0.00252,RAI,0.00024,4d4c3h
3.58839,0.43145,17.762,0.56855,0.5040634694,1.423273719,F,0.34052,C,0.46176,R15.05,0.00707,R20.5,0.18707,R28.2,0.00357,R38.35,0,RAI,0,4h4d4c
4.71424,0.44458,16.6346,0.55542,0.6426549258,1.364444364,F,0.28646,C,0.50515,R15.05,0.02786,R20.5,0.16347,R28.2,0.00856,R38.35,0.00631,RAI,0.00219,5h2h2d
4.00335,0.4329,17.3468,0.5671,0.5604695149,1.393560185,F,0.28133,C,0.49528,R15.05,0.0003,R20.5,0.16016,R28.2,0.06294,R38.35,0,RAI,0,5h2d2c
5.54098,0.46074,15.8089,0.53926,0.7288643516,1.335576076,F,0.33393,C,0.56671,R15.05,0.09936,R20.5,0,R28.2,0,R38.35,0,RAI,0,5h3h2h
5.95325,0.45609,15.3967,0.54391,0.7910785669,1.289633636,F,0.25503,C,0.59151,R15.05,0.08378,R20.5,0.05295,R28.2,0,R38.35,0,RAI,0.01673,5d3h2h
5.85828,0.45553,15.4923,0.54447,0.7794158305,1.296306435,F,0.2494,C,0.60397,R15.05,0.0705,R20.5,0.06154,R28.2,0,R38.35,0,RAI,0.01459,5h3h2d
5.88586,0.45587,15.464,0.54413,0.7825011163,1.294747792,F,0.24996,C,0.60172,R15.05,0.0759,R20.5,0.05789,R28.2,0,R38.35,0,RAI,0.01454,5h3d2h
5.43892,0.44943,15.9141,0.55057,0.7334435276,1.316844369,F,0.24052,C,0.592,R15.05,0.05665,R20.5,0.1108,R28.2,0.00003,R38.35,0,RAI,0,5h3d2c
4.72609,0.44418,16.6419,0.55582,0.6448504809,1.364063217,F,0.27958,C,0.51363,R15.05,0.02258,R20.5,0.16601,R28.2,0.00796,R38.35,0.00651,RAI,0.00374,5h3h3d
