oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
14.9868,0.50387,10.9139,0.49613,1.122391137,0.8301149093,X,0.47986,R8.75,0.22508,R17.5,0.29506,R34.45,0,RAI,0,2h2d2c
13.919,0.49555,11.9809,0.50445,1.059923849,0.8962407579,X,0.52895,R8.75,0.33074,R17.5,0.14031,R34.45,0,RAI,0,3h2h2d
14.4352,0.49781,11.4651,0.50219,1.094242598,0.8615156484,X,0.5579,R8.75,0.17559,R17.5,0.2665,R34.45,0,RAI,0,3h2d2c
13.8763,0.49532,12.0237,0.50468,1.057164501,0.8990364008,X,0.52238,R8.75,0.33626,R17.5,0.14136,R34.45,0,RAI,0,3h3d2h
14.3982,0.49761,11.502,0.50239,1.091877285,0.863944249,X,0.55144,R8.75,0.18671,R17.5,0.26185,R34.45,0,RAI,0,3d3c2h
14.9418,0.50374,10.9586,0.49626,1.119309056,0.8332994868,X,0.48325,R8.75,0.22988,R17.5,0.28687,R34.45,0,RAI,0,3h3d3c
13.6979,0.49474,12.2022,0.50526,1.044794984,0.911333538,X,0.53702,R8.75,0.35034,R17.5,0.11264,R34.45,0,RAI,0,4h2h2d
14.1912,0.49719,11.7091,0.50281,1.077084898,0.8787677575,X,0.57588,R8.75,0.20656,R17.5,0.21756,R34.45,0,RAI,0,4h2d2c
12.2056,0.49906,13.6958,0.50094,0.922910173,1.031701876,X,0.75119,R8.75,0.24288,R17.5,0.00592,R34.45,0,RAI,0,4h3h2h
13.2776,0.49776,12.6228,0.50224,1.00659258,0.9484122275,X,0.44625,R8.75,0.32369,R17.5,0.23005,R34.45,0,RAI,0.00002,4h3h2d
13.2612,0.49767,12.6389,0.50233,1.005533378,0.9494547614,X,0.44934,R8.75,0.32111,R17.5,0.22953,R34.45,0,RAI,0.00002,4h3d2h
13.2105,0.49746,12.6895,0.50254,1.00211259,0.9528560964,X,0.44604,R8.75,0.32915,R17.5,0.2248,R34.45,0,RAI,0.00001,4d3h2h
13.812,0.50049,12.0885,0.49951,1.041396038,0.9132308658,X,0.47722,R8.75,0.28431,R17.5,0.23846,R34.45,0,RAI,0,4h3d2c
13.6337,0.49505,12.2665,0.50495,1.039244711,0.9166997565,X,0.56504,R8.75,0.30021,R17.5,0.13476,R34.45,0,RAI,0,4h3h3d
