oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
13.8546,0.49166,10.0452,0.50834,1.150170971,0.806565258,X,0.50052,R8.1,0.25945,R16.15,0.24003,R31.85,0,RAI,0,2h2d2c
13.5787,0.49076,10.3213,0.50924,1.129335434,0.8272656091,X,0.47536,R8.1,0.01793,R16.15,0.50561,R31.85,0.0011,RAI,0,3h2h2d
13.623,0.4869,10.2774,0.5131,1.142001216,0.817547589,X,0.59982,R8.1,0.03523,R16.15,0.36496,R31.85,0,RAI,0,3h2d2c
13.6967,0.492,10.2035,0.508,1.136282504,0.8198224296,X,0.46078,R8.1,0.01729,R16.15,0.52031,R31.85,0.00161,RAI,0,3h3d2h
13.7528,0.4881,10.1479,0.5119,1.150052874,0.809144802,X,0.58042,R8.1,0.03532,R16.15,0.38426,R31.85,0,RAI,0,3d3c2h
13.9407,0.49327,9.95983,0.50673,1.153542958,0.8022490655,X,0.47841,R8.1,0.27251,R16.15,0.24908,R31.85,0,RAI,0,3h3d3c
13.6734,0.49118,10.2269,0.50882,1.136237501,0.820376691,X,0.47238,R8.1,0.02106,R16.15,0.50652,R31.85,0.00003,RAI,0,4h2h2d
13.6935,0.48727,10.2064,0.51273,1.14704203,0.8124919459,X,0.59666,R8.1,0.03116,R16.15,0.37218,R31.85,0,RAI,0,4h2d2c
12.032,0.49752,11.8689,0.50248,0.9870984218,0.9641054232,X,0.56761,R8.1,0.42978,R16.15,0.00261,R31.85,0,RAI,0,4h3h2h
12.3706,0.49137,11.5291,0.50863,1.027584267,0.9251824468,X,0.36701,R8.1,0.30198,R16.15,0.33101,R31.85,0,RAI,0,4h3h2d
12.3739,0.49145,11.5259,0.50855,1.027687756,0.9250671125,X,0.3651,R8.1,0.30641,R16.15,0.32849,R31.85,0,RAI,0,4h3d2h
12.3133,0.4913,11.587,0.5087,1.022971131,0.92969996,X,0.35996,R8.1,0.34303,R16.15,0.29701,R31.85,0,RAI,0,4d3h2h
12.3702,0.48689,11.5302,0.51311,1.037006645,0.9171881287,X,0.45279,R8.1,0.05406,R16.15,0.49316,R31.85,0,RAI,0,4h3d2c
13.643,0.49179,10.2576,0.50821,1.132304288,0.8238294381,X,0.45695,R8.1,0.0162,R16.15,0.52678,R31.85,0.00007,RAI,0,4h3h3d
13.6587,0.48804,10.2409,0.51196,1.142321892,0.8164659738,X,0.57022,R8.1,0.0268,R16.15,0.40298,R31.85,0,RAI,0,4h3d3c
13.5556,0.49333,10.3451,0.50667,1.121538433,0.8333774699,X,0.40316,R8.1,0.01875,R16.15,0.57785,R31.85,0.00024,RAI,0,4h4d2h
