oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
26.6649,0.54988,7.98373,0.45012,1.375664653,0.6693166773,F,0.14847,C,0.67544,R24.15,0.17425,R32.95,0.00183,RAI,0,2h2d2c
25.1945,0.54523,9.45425,0.45477,1.310894544,0.7844936222,F,0.16797,C,0.70314,R24.15,0.1261,R32.95,0.00279,RAI,0,3h2h2d
26.8882,0.55158,7.76321,0.44842,1.382909016,0.6532967345,F,0.13913,C,0.67271,R24.15,0.15654,R32.95,0.03161,RAI,0,3h2d2c
25.1362,0.54502,9.51473,0.45498,1.308364543,0.78914775,F,0.16857,C,0.7087,R24.15,0.11803,R32.95,0.0047,RAI,0,3h3d2h
26.8056,0.55109,7.84422,0.44891,1.379889662,0.6593934404,F,0.13974,C,0.67607,R24.15,0.15124,R32.95,0.03294,RAI,0,3d3c2h
26.7155,0.55017,7.93515,0.44983,1.377547137,0.6656728788,F,0.14936,C,0.6758,R24.15,0.17009,R32.95,0.00475,RAI,0,3h3d3c
25.0308,0.54575,9.61919,0.45425,1.301131872,0.7990936791,F,0.16928,C,0.69722,R24.15,0.13289,R32.95,0.00061,RAI,0,4h2h2d
26.4626,0.55171,8.18905,0.44829,1.360699895,0.689332242,F,0.13953,C,0.67543,R24.15,0.14342,R32.95,0.04163,RAI,0,4h2d2c
24.1119,0.52265,10.5403,0.47735,1.30876137,0.8332369857,F,0.26026,C,0.73939,R24.15,0.00034,R32.95,0,RAI,0,4h3h2h
24.7035,0.54465,9.94666,0.45535,1.286714495,0.8243014218,F,0.19634,C,0.7049,R24.15,0.07139,R32.95,0.01807,RAI,0.0093,4h3h2d
24.6987,0.5446,9.95254,0.4554,1.286580582,0.8246982221,F,0.1962,C,0.70679,R24.15,0.07071,R32.95,0.01697,RAI,0.00932,4h3d2h
24.5724,0.54464,10.0779,0.45536,1.279906947,0.8351625659,F,0.19613,C,0.70807,R24.15,0.07423,R32.95,0.0142,RAI,0.00737,4d3h2h
25.5901,0.54432,9.05949,0.45568,1.333701878,0.7502360106,F,0.16961,C,0.68099,R24.15,0.11315,R32.95,0.0343,RAI,0.00195,4h3d2c
25.05,0.54569,9.60082,0.45431,1.302275286,0.7974622589,F,0.17091,C,0.6912,R24.15,0.13466,R32.95,0.00324,RAI,0,4h3h3d
26.418,0.55111,8.23206,0.44889,1.359885954,0.692026531,F,0.14956,C,0.65796,R24.15,0.14038,R32.95,0.05211,RAI,0,4h3d3c
24.7436,0.54444,9.90731,0.45556,1.289297303,0.8206619064,F,0.17412,C,0.73092,R24.15,0.09057,R32.95,0.00439,RAI,0.00001,4h4d2h
26.3345,0.54789,8.31681,0.45211,1.363556282,0.6941715046,F,0.1488,C,0.68837,R24.15,0.12354,R32.95,0.03929,RAI,0,4d4c2h
24.8142,0.54417,9.83517,0.45583,1.293620536,0.8142037084,F,0.17597,C,0.71668,R24.15,0.10049,R32.95,0.00686,RAI,0,4h4d3h
26.1998,0.54752,8.44895,0.45248,1.357496441,0.7046240786,F,0.15222,C,0.67793,R24.15,0.12462,R32.95,0.04524,RAI,0,4d4c3h
26.6023,0.5481,8.04831,0.4519,1.376892187,0.6720730655,F,0.15406,C,0.68269,R24.15,0.15725,R32.95,0.006,RAI,0,4h4d4c
24.7942,0.54761,9.85501,0.45239,1.284456603,0.8220499638,F,0.16634,C,0.71438,R24.15,0.11795,R32.95,0.00132,RAI,0,5h2h2d
26.2274,0.55319,8.42145,0.44681,1.344997523,0.7112431418,F,0.14856,C,0.66434,R24.15,0.13336,R32.95,0.05373,RAI,0,5h2d2c
23.7539,0.52305,10.8965,0.47695,1.288343559,0.8621211327,F,0.25726,C,0.74059,R24.15,0.00216,R32.95,0,RAI,0,5h3h2h
24.0933,0.54436,10.5599,0.45564,1.255598042,0.8745683544,F,0.18509,C,0.69162,R24.15,0.09264,R32.95,0.01282,RAI,0.01783,5d3h2h
24.2215,0.54387,10.4296,0.45613,1.263417855,0.8628448999,F,0.18414,C,0.69339,R24.15,0.07667,R32.95,0.02223,RAI,0.02357,5h3h2d
24.1994,0.54372,10.4506,0.45628,1.262610636,0.8642963577,F,0.18424,C,0.69308,R24.15,0.07742,R32.95,0.02125,RAI,0.02401,5h3d2h
25.0963,0.54499,9.55436,0.45501,1.306359086,0.7923823739,F,0.15464,C,0.69674,R24.15,0.09005,R32.95,0.05796,RAI,0.00061,5h3d2c
24.7605,0.5469,9.88822,0.4531,1.284378185,0.8235276418,F,0.17029,C,0.69954,R24.15,0.12658,R32.95,0.00358,RAI,0,5h3h3d
26.0358,0.55188,8.61333,0.44812,1.338344135,0.7253220521,F,0.15378,C,0.65455,R24.15,0.13251,R32.95,0.05915,RAI,0,5h3d3c
23.4912,0.52576,11.1594,0.47424,1.267528677,0.8879669134,F,0.25654,C,0.73832,R24.15,0.00513,R32.95,0,RAI,0,5h4h2h
24.651,0.54154,9.99691,0.45846,1.2913547,0.8228458051,F,0.18837,C,0.67521,R24.15,0.05964,R32.95,0.03652,RAI,0.04025,5h4h2d
24.5907,0.54133,10.0578,0.45867,1.288693164,0.8274761596,F,0.18689,C,0.67753,R24.15,0.06169,R32.95,0.03142,RAI,0.04247,5h4d2h
