oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
26.5948,0.55476,8.05662,0.44524,1.359979346,0.6828303589,F,0.14949,C,0.69661,R24.15,0.15265,R32.95,0.00124,R45.25,0,RAI,0,2h2d2c
25.5899,0.54958,9.05836,0.45043,1.320928252,0.7588857426,F,0.16949,C,0.71248,R24.15,0.10514,R32.95,0.00976,R45.25,0.00158,RAI,0.00155,3h2h2d
26.5876,0.55503,8.06306,0.44497,1.358948753,0.6837908169,F,0.14478,C,0.69432,R24.15,0.16043,R32.95,0.00046,R45.25,0.00001,RAI,0,3h2d2c
25.7099,0.54927,8.94007,0.45073,1.32786953,0.7484772277,F,0.17112,C,0.71724,R24.15,0.10375,R32.95,0.00638,R45.25,0.00079,RAI,0.00072,3h3d2h
26.6524,0.55416,8.00136,0.44584,1.364402998,0.6772342324,F,0.14516,C,0.69937,R24.15,0.15511,R32.95,0.00036,R45.25,0,RAI,0,3d3c2h
26.5504,0.55453,8.10028,0.44547,1.358271918,0.6861762465,F,0.1527,C,0.692,R24.15,0.15382,R32.95,0.00147,R45.25,0,RAI,0,3h3d3c
25.5603,0.55194,9.08879,0.44806,1.313756723,0.7654626629,F,0.17334,C,0.70245,R24.15,0.11165,R32.95,0.00958,R45.25,0.00151,RAI,0.00148,4h2h2d
26.6474,0.55703,8.00205,0.44297,1.357116937,0.681680838,F,0.14627,C,0.69433,R24.15,0.15599,R32.95,0.00299,R45.25,0.00039,RAI,0.00003,4h2d2c
24.6141,0.52597,10.0336,0.47403,1.327587531,0.7987370071,F,0.26193,C,0.73807,R24.15,0,R32.95,0.00001,R45.25,0,RAI,0,4h3h2h
24.3167,0.54199,10.3331,0.45801,1.272780581,0.8513532981,F,0.17254,C,0.77612,R24.15,0.02777,R32.95,0.00019,R45.25,0,RAI,0.02337,4h3h2d
24.2926,0.54226,10.3566,0.45774,1.270888638,0.8537927198,F,0.1731,C,0.77639,R24.15,0.02782,R32.95,0.00019,R45.25,0,RAI,0.02249,4h3d2h
24.1558,0.54261,10.4927,0.45739,1.262917245,0.8656762849,F,0.17451,C,0.77756,R24.15,0.02193,R32.95,0.00013,R45.25,0,RAI,0.02588,4d3h2h
24.927,0.54322,9.72572,0.45678,1.301771093,0.8034684705,F,0.15901,C,0.74029,R24.15,0.08894,R32.95,0.00778,R45.25,0.00033,RAI,0.00365,4h3d2c
25.6319,0.54812,9.01506,0.45188,1.326617342,0.7528347203,F,0.17691,C,0.70073,R24.15,0.10316,R32.95,0.01279,R45.25,0.00394,RAI,0.00246,4h3h3d
26.6632,0.55343,7.97744,0.44657,1.366752223,0.6741058762,F,0.15265,C,0.68315,R24.15,0.15001,R32.95,0.00993,R45.25,0.00342,RAI,0.00085,4h3d3c
24.9955,0.54755,9.65649,0.45245,1.295028759,0.8053837011,F,0.17519,C,0.74868,R24.15,0.07262,R32.95,0.00349,R45.25,0.00002,RAI,0,4h4d2h
25.963,0.55108,8.68967,0.44892,1.336539414,0.7304465212,F,0.14944,C,0.7345,R24.15,0.11522,R32.95,0.00084,R45.25,0,RAI,0,4d4c2h
24.9485,0.54519,9.70056,0.45481,1.29819016,0.8048610599,F,0.17776,C,0.73597,R24.15,0.07735,R32.95,0.00806,R45.25,0.00052,RAI,0.00033,4h4d3h
25.8884,0.54906,8.76642,0.45094,1.337601634,0.7335971663,F,0.15618,C,0.71317,R24.15,0.12594,R32.95,0.00471,R45.25,0,RAI,0,4d4c3h
26.3292,0.55475,8.3221,0.44525,1.346421003,0.7053149789,F,0.14851,C,0.72337,R24.15,0.12702,R32.95,0.0011,R45.25,0,RAI,0,4h4d4c
25.3464,0.55218,9.30549,0.44782,1.302195893,0.7841332289,F,0.1725,C,0.71135,R24.15,0.11413,R32.95,0.00162,R45.25,0.00018,RAI,0.00022,5h2h2d
26.4788,0.55733,8.16303,0.44267,1.347801972,0.6958656879,F,0.1447,C,0.69872,R24.15,0.15489,R32.95,0.0015,R45.25,0.00017,RAI,0.00001,5h2d2c
24.1634,0.52811,10.4846,0.47189,1.298001636,0.8384269289,F,0.25758,C,0.74241,R24.15,0.00001,R32.95,0,R45.25,0,RAI,0,5h3h2h
24.1874,0.54197,10.4635,0.45803,1.266062553,0.862056971,F,0.16235,C,0.75185,R24.15,0.0379,R32.95,0.00102,R45.25,0,RAI,0.04688,5d3h2h
24.4728,0.54239,10.1784,0.45761,1.280007029,0.8393403951,F,0.16328,C,0.74211,R24.15,0.03422,R32.95,0.00615,R45.25,0.00056,RAI,0.05368,5h3h2d
24.4527,0.54255,10.1986,0.45745,1.278582082,0.8413019498,F,0.16345,C,0.74318,R24.15,0.03314,R32.95,0.00584,R45.25,0.00041,RAI,0.05398,5h3d2h
25.0915,0.54878,9.55837,0.45122,1.297085792,0.7993732309,F,0.14474,C,0.71832,R24.15,0.10531,R32.95,0.03073,R45.25,0.00042,RAI,0.00049,5h3d2c
25.3928,0.54894,9.26024,0.45106,1.312280803,0.774715129,F,0.17662,C,0.70234,R24.15,0.11061,R32.95,0.00746,R45.25,0.00155,RAI,0.00142,5h3h3d
