oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
36.4959,0.55715,6.78816,0.44285,1.48874182,0.5784283143,F,0.31797,C,0.55215,R39,0.07873,R51.3,0.02807,RAI,0.02308,2h2d2c
36.539,0.55951,6.86262,0.44049,1.484211022,0.5879061578,F,0.34564,C,0.55474,R39,0.00057,R51.3,0.01212,RAI,0.08692,3h2h2d
37.6295,0.5578,5.77309,0.4422,1.533195842,0.4926559159,F,0.29447,C,0.63021,R39,0.05596,R51.3,0.00869,RAI,0.01067,3h2d2c
36.5001,0.55975,6.89955,0.44025,1.481997985,0.5913920963,F,0.34807,C,0.55667,R39,0.00055,R51.3,0.00795,RAI,0.08677,3h3d2h
37.5865,0.55719,5.81606,0.44281,1.533119035,0.4956391348,F,0.29705,C,0.62874,R39,0.0521,R51.3,0.01113,RAI,0.01099,3d3c2h
36.6693,0.55922,6.75121,0.44078,1.49027735,0.5779814002,F,0.32082,C,0.5475,R39,0.07916,R51.3,0.02857,RAI,0.02396,3h3d3c
36.5147,0.55795,6.88682,0.44205,1.487372939,0.5878972697,F,0.34565,C,0.55166,R39,0.00067,R51.3,0.00458,RAI,0.09744,4h2h2d
37.6543,0.55774,5.74543,0.44226,1.534371695,0.4902290064,F,0.29754,C,0.62946,R39,0.07225,R51.3,0.00037,RAI,0.00038,4h2d2c
34.882,0.57347,11.5304,0.42653,1.382412398,1.020115351,F,0.43331,C,0.55487,R39,0.00647,R51.3,0.0034,RAI,0.00194,4h3h2h
32.8372,0.55524,10.5629,0.44476,1.344103517,0.8962170625,F,0.36884,C,0.51089,R39,0,R51.3,0.0004,RAI,0.11987,4h3h2d
32.8448,0.55515,10.555,0.44485,1.344634236,0.8953605588,F,0.3691,C,0.51251,R39,0.00006,R51.3,0.00098,RAI,0.11735,4h3d2h
32.855,0.55497,10.5437,0.44503,1.345484993,0.8940427307,F,0.36708,C,0.52342,R39,0,R51.3,0.00048,RAI,0.10901,4d3h2h
33.8014,0.56253,9.59857,0.43747,1.365638771,0.827965787,F,0.34089,C,0.55941,R39,0.00774,R51.3,0.00662,RAI,0.08535,4h3d2c
36.2657,0.55734,7.13451,0.44266,1.478848302,0.608202213,F,0.34937,C,0.54723,R39,0.0005,R51.3,0.00342,RAI,0.09948,4h3h3d
37.2653,0.55341,6.13586,0.44659,1.530400782,0.5184663388,F,0.30122,C,0.6255,R39,0.07188,R51.3,0.00069,RAI,0.00071,4h3d3c
35.5769,0.55817,7.82283,0.44183,1.448599465,0.6681328417,F,0.35586,C,0.56744,R39,0.00003,R51.3,0.00025,RAI,0.07642,4h4d2h
36.5421,0.55279,6.85912,0.44721,1.502384675,0.5787766483,F,0.31015,C,0.63463,R39,0.05426,R51.3,0.00052,RAI,0.00044,4d4c2h
35.385,0.55673,8.01532,0.44327,1.444514481,0.6823491337,F,0.35473,C,0.56307,R39,0.00021,R51.3,0.00067,RAI,0.08132,4h4d3h
36.1803,0.54991,7.21925,0.45009,1.495296715,0.6052668162,F,0.31353,C,0.62601,R39,0.05902,R51.3,0.00067,RAI,0.00078,4d4c3h
36.6417,0.55873,6.70999,0.44127,1.490460443,0.5738146131,F,0.31774,C,0.57345,R39,0.06572,R51.3,0.02413,RAI,0.01897,4h4d4c
36.295,0.55579,7.10584,0.44421,1.484170289,0.6036444874,F,0.34776,C,0.55611,R39,0.00038,R51.3,0.00241,RAI,0.09335,5h2h2d
37.3219,0.55321,6.08237,0.44679,1.533280146,0.5137164749,F,0.30223,C,0.62882,R39,0.06879,R51.3,0.00012,RAI,0.00004,5h2d2c
32.7926,0.53531,10.8014,0.46469,1.392254027,0.8771406651,F,0.43349,C,0.55375,R39,0.00664,R51.3,0.00366,RAI,0.00246,5h3h2h
33.625,0.55611,9.77473,0.44389,1.374197141,0.8309665033,F,0.35527,C,0.5202,R39,0.00008,R51.3,0.00141,RAI,0.12305,5d3h2h
33.7021,0.55756,9.6991,0.44244,1.373765613,0.8272392949,F,0.35901,C,0.49878,R39,0.00005,R51.3,0.001,RAI,0.14116,5h3h2d
33.6947,0.55744,9.70661,0.44256,1.373759727,0.8276553913,F,0.35927,C,0.49911,R39,0.00002,R51.3,0.00114,RAI,0.14047,5h3d2h
34.5955,0.5663,8.80646,0.4337,1.388417317,0.7662422487,F,0.31953,C,0.58006,R39,0.00242,R51.3,0.01752,RAI,0.08047,5h3d2c
36.1224,0.55488,7.27762,0.44512,1.479534468,0.6169733095,F,0.3491,C,0.55457,R39,0.00059,R51.3,0.00279,RAI,0.09294,5h3h3d
37.1146,0.54986,6.28475,0.45014,1.534049954,0.5268591485,F,0.30034,C,0.63672,R39,0.06284,R51.3,0.00006,RAI,0.00005,5h3d3c
32.7773,0.53685,10.7479,0.46315,1.387610526,0.8757031046,F,0.43642,C,0.55201,R39,0.0053,R51.3,0.00363,RAI,0.00263,5h4h2h
