oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
25.2326,0.55573,6.76687,0.44427,1.392772129,0.6216912401,F,0.14133,C,0.76005,R22.35,0.09833,R30.5,0.00029,R41.9,0,R56.95,0,RAI,0,2h2d2c
23.3776,0.5393,8.59632,0.4607,1.329693975,0.7616023579,F,0.15073,C,0.76815,R22.35,0.04752,R30.5,0.01251,R41.9,0.00883,R56.95,0.00619,RAI,0.00607,3h2h2d
24.7068,0.55021,7.27352,0.44979,1.377432827,0.6600377208,F,0.1315,C,0.71753,R22.35,0.1352,R30.5,0.01077,R41.9,0.00247,R56.95,0.00132,RAI,0.00122,3h2d2c
23.4565,0.53901,8.58055,0.46099,1.334897975,0.7597269564,F,0.15112,C,0.77564,R22.35,0.0401,R30.5,0.01271,R41.9,0.00868,R56.95,0.00589,RAI,0.00586,3h3d2h
24.7378,0.549,7.25809,0.451,1.382200098,0.6568704411,F,0.1298,C,0.73069,R22.35,0.12324,R30.5,0.01239,R41.9,0.00177,R56.95,0.00106,RAI,0.00104,3d3c2h
25.151,0.55484,6.84816,0.44516,1.390494777,0.6279017099,F,0.14278,C,0.76765,R22.35,0.08915,R30.5,0.00042,R41.9,0,R56.95,0,RAI,0,3h3d3c
23.329,0.54322,8.63469,0.45678,1.317354369,0.7715669436,F,0.15327,C,0.75832,R22.35,0.06026,R30.5,0.0097,R41.9,0.00743,R56.95,0.00558,RAI,0.00544,4h2h2d
24.7593,0.55176,7.22942,0.44824,1.376482538,0.6583044062,F,0.13147,C,0.71951,R22.35,0.13606,R30.5,0.00876,R41.9,0.00217,R56.95,0.00106,RAI,0.00097,4h2d2c
23.2158,0.53599,8.78459,0.46401,1.328643921,0.7727305106,F,0.25944,C,0.74056,R22.35,0,R30.5,0,R41.9,0,R56.95,0,RAI,0,4h3h2h
22.4794,0.54446,9.52173,0.45554,1.266486486,0.8531458421,F,0.17653,C,0.77234,R22.35,0.00389,R30.5,0.00007,R41.9,0,R56.95,0.00005,RAI,0.04712,4h3h2d
