oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
24.6441,0.55419,7.35648,0.44581,1.364071177,0.6735257203,F,0.13763,C,0.82857,R22.35,0.03372,R30.5,0.00009,R41.9,0,R56.95,0,RAI,0,2h2d2c
23.5406,0.53706,8.44825,0.46294,1.344548696,0.7448622232,F,0.15221,C,0.79239,R22.35,0.01298,R30.5,0.01218,R41.9,0.01156,R56.95,0.00958,RAI,0.00909,3h2h2d
24.8648,0.54853,7.14465,0.45147,1.390488891,0.6459307919,F,0.1325,C,0.75532,R22.35,0.0966,R30.5,0.00761,R41.9,0.00364,R56.95,0.00219,RAI,0.00213,3h2d2c
23.565,0.53673,8.40562,0.46327,1.346773361,0.7405757092,F,0.15369,C,0.79407,R22.35,0.01047,R30.5,0.01179,R41.9,0.01118,R56.95,0.00961,RAI,0.00917,3h3d2h
24.8601,0.54741,7.14111,0.45259,1.393070936,0.6440130858,F,0.13195,C,0.76391,R22.35,0.08867,R30.5,0.00769,R41.9,0.00351,R56.95,0.00216,RAI,0.00211,3d3c2h
24.5849,0.55354,7.41614,0.44646,1.3623924,0.6779993487,F,0.14013,C,0.82761,R22.35,0.0322,R30.5,0.00006,R41.9,0,R56.95,0,RAI,0,3h3d3c
23.4341,0.54143,8.54277,0.45857,1.327665713,0.7603735588,F,0.15359,C,0.7845,R22.35,0.02434,R30.5,0.01059,R41.9,0.00972,R56.95,0.00868,RAI,0.00858,4h2h2d
24.8393,0.55042,7.17907,0.44958,1.384291526,0.6517711112,F,0.13145,C,0.76486,R22.35,0.08635,R30.5,0.00877,R41.9,0.00411,R56.95,0.00231,RAI,0.00215,4h2d2c
23.0684,0.54131,8.93303,0.45869,1.307237137,0.7949017516,F,0.25725,C,0.74275,R22.35,0,R30.5,0,R41.9,0,R56.95,0,RAI,0,4h3h2h
22.7749,0.54439,9.22368,0.45561,1.283302657,0.8263135361,F,0.18714,C,0.76979,R22.35,0.00665,R30.5,0.00164,R41.9,0,R56.95,0,RAI,0.03478,4h3h2d
22.7637,0.54448,9.23555,0.45552,1.282457288,0.8275404333,F,0.18729,C,0.77049,R22.35,0.00742,R30.5,0.00129,R41.9,0.00001,R56.95,0,RAI,0.03349,4h3d2h
22.69,0.54468,9.31262,0.45532,1.277835873,0.8348127578,F,0.1876,C,0.77631,R22.35,0.00673,R30.5,0.00041,R41.9,0,R56.95,0,RAI,0.02893,4d3h2h
23.4894,0.539,8.51464,0.461,1.336799687,0.7538748894,F,0.13683,C,0.82815,R22.35,0.01559,R30.5,0.01312,R41.9,0.0027,R56.95,0.00163,RAI,0.00198,4h3d2c
23.4168,0.53918,8.64127,0.46082,1.332219621,0.765385385,F,0.15295,C,0.77925,R22.35,0.02676,R30.5,0.01182,R41.9,0.01072,R56.95,0.00937,RAI,0.00913,4h3h3d
24.6057,0.5449,7.33578,0.4551,1.385162104,0.6579204521,F,0.13243,C,0.7529,R22.35,0.08881,R30.5,0.01097,R41.9,0.00583,R56.95,0.00455,RAI,0.00452,4h3d3c
23.1703,0.53977,8.81472,0.46023,1.316753703,0.7817493463,F,0.17141,C,0.79057,R22.35,0.00698,R30.5,0.00882,R41.9,0.00819,R56.95,0.00733,RAI,0.00671,4h4d2h
23.8985,0.54385,8.08425,0.45615,1.347952667,0.7233791724,F,0.13305,C,0.82571,R22.35,0.01939,R30.5,0.00951,R41.9,0.00539,R56.95,0.00352,RAI,0.00344,4d4c2h
22.838,0.5365,9.16163,0.4635,1.305780577,0.8067833312,F,0.16758,C,0.7865,R22.35,0.00916,R30.5,0.0103,R41.9,0.00958,R56.95,0.0087,RAI,0.00817,4h4d3h
23.805,0.54112,8.20174,0.45888,1.349448934,0.7295260274,F,0.13292,C,0.80018,R22.35,0.03868,R30.5,0.012,R41.9,0.00592,R56.95,0.00509,RAI,0.00522,4d4c3h
24.1099,0.55065,7.89113,0.44935,1.343079255,0.7167841059,F,0.14074,C,0.83871,R22.35,0.02035,R30.5,0.00019,R41.9,0,R56.95,0,RAI,0,4h4d4c
23.5166,0.54466,8.47765,0.45534,1.324439211,0.7599299851,F,0.15503,C,0.78284,R22.35,0.0292,R30.5,0.00973,R41.9,0.00907,R56.95,0.00741,RAI,0.00672,5h2h2d
24.9046,0.55194,7.08609,0.44806,1.384106643,0.6455121257,F,0.12957,C,0.76922,R22.35,0.08399,R30.5,0.0075,R41.9,0.00435,R56.95,0.00278,RAI,0.00259,5h2d2c
22.741,0.54613,9.25919,0.45387,1.277308812,0.8326747916,F,0.25098,C,0.74901,R22.35,0,R30.5,0,R41.9,0,R56.95,0,RAI,0,5h3h2h
23.5921,0.54592,8.40735,0.45408,1.325620078,0.7557195579,F,0.17257,C,0.76708,R22.35,0.00502,R30.5,0.00149,R41.9,0,R56.95,0,RAI,0.05383,5d3h2h
23.9772,0.54434,8.02574,0.45566,1.351169619,0.7189159053,F,0.1706,C,0.76381,R22.35,0.00564,R30.5,0.00171,R41.9,0,R56.95,0,RAI,0.05825,5h3h2d
23.9295,0.54439,8.0683,0.45561,1.348360053,0.7228076037,F,0.17059,C,0.76374,R22.35,0.00557,R30.5,0.00121,R41.9,0,R56.95,0.00004,RAI,0.05885,5h3d2h
24.4068,0.5433,7.59994,0.4567,1.378012659,0.6792240581,F,0.1225,C,0.81376,R22.35,0.01476,R30.5,0.02169,R41.9,0.01408,R56.95,0.0072,RAI,0.00601,5h3d2c
23.6396,0.54277,8.39356,0.45723,1.336002298,0.7492822019,F,0.15483,C,0.77395,R22.35,0.0344,R30.5,0.01108,R41.9,0.00943,R56.95,0.00852,RAI,0.00779,5h3h3d
24.8669,0.54883,7.14695,0.45117,1.389843983,0.646568338,F,0.12919,C,0.76131,R22.35,0.0861,R30.5,0.00908,R41.9,0.00587,R56.95,0.00442,RAI,0.00404,5h3d3c
22.629,0.54682,9.37157,0.45318,1.269417058,0.8440642983,F,0.25001,C,0.74998,R22.35,0.00001,R30.5,0,R41.9,0,R56.95,0,RAI,0,5h4h2h
24.476,0.545,7.52583,0.455,1.377612916,0.6751136645,F,0.17793,C,0.73141,R22.35,0.00578,R30.5,0.00596,R41.9,0.00745,R56.95,0.0122,RAI,0.05927,5h4h2d
24.459,0.54533,7.53977,0.45467,1.375820827,0.6768551066,F,0.17627,C,0.73344,R22.35,0.00532,R30.5,0.00528,R41.9,0.00708,R56.95,0.01004,RAI,0.06258,5h4d2h
24.3323,0.54673,7.66598,0.45327,1.365189739,0.6903107316,F,0.17727,C,0.73365,R22.35,0.00526,R30.5,0.00466,R41.9,0.0068,R56.95,0.0088,RAI,0.06356,5d4h2h
24.6054,0.54178,7.38679,0.45822,1.393124835,0.6579844204,F,0.1259,C,0.78601,R22.35,0.01622,R30.5,0.03762,R41.9,0.01303,R56.95,0.0106,RAI,0.01063,5h4d2c
22.611,0.54486,9.38954,0.45514,1.272966099,0.8420409625,F,0.25624,C,0.74374,R22.35,0.00001,R30.5,0.00001,R41.9,0,R56.95,0,RAI,0,5h4h3h
