oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
35.2055,0.57293,4.8415,0.42707,1.511639238,0.4627162778,F,0.28736,C,0.70536,R36.05,0.00728,R47.4,0,RAI,0,2h2d2c
34.3184,0.56691,5.73241,0.43309,1.489198536,0.5402477909,F,0.3296,C,0.61139,R36.05,0.00004,R47.4,0.00066,RAI,0.05831,3h2h2d
35.0041,0.56125,5.04695,0.43875,1.534270384,0.4695110067,F,0.2773,C,0.69557,R36.05,0.01063,R47.4,0.00504,RAI,0.01146,3h2d2c
34.3369,0.56741,5.71228,0.43259,1.488686664,0.5389728686,F,0.33109,C,0.61101,R36.05,0.00004,R47.4,0.00063,RAI,0.05724,3h3d2h
34.9687,0.56121,5.08281,0.43879,1.532826635,0.4728039214,F,0.27892,C,0.69509,R36.05,0.00572,R47.4,0.00481,RAI,0.01547,3d3c2h
35.1551,0.57242,4.89692,0.42758,1.510822628,0.4674547325,F,0.28959,C,0.7054,R36.05,0.00502,R47.4,0,RAI,0,3h3d3c
34.3152,0.56813,5.73677,0.43187,1.48586159,0.5421860201,F,0.32519,C,0.62379,R36.05,0.00005,R47.4,0.00047,RAI,0.0505,4h2h2d
35.0387,0.56374,5.01102,0.43626,1.529005495,0.4688292054,F,0.28301,C,0.68201,R36.05,0.03496,R47.4,0.00002,RAI,0.00001,4h2d2c
32.3372,0.52325,7.74583,0.47675,1.52031261,0.6631491095,F,0.43241,C,0.55698,R36.05,0.00449,R47.4,0.00371,RAI,0.0024,4h3h2h
31.4026,0.55539,8.64539,0.44461,1.390935079,0.7936687061,F,0.37417,C,0.53365,R36.05,0,R47.4,0.00001,RAI,0.09217,4h3h2d
31.4116,0.55557,8.63924,0.44443,1.390883806,0.7934254139,F,0.37391,C,0.53572,R36.05,0,R47.4,0,RAI,0.09037,4h3d2h
31.3541,0.55659,8.6978,0.44341,1.385793507,0.8006409973,F,0.37201,C,0.54925,R36.05,0,R47.4,0,RAI,0.07874,4d3h2h
31.6949,0.5555,8.3563,0.4445,1.403603312,0.7673194249,F,0.33536,C,0.57712,R36.05,0.00051,R47.4,0.00002,RAI,0.08698,4h3d2c
34.095,0.5646,5.9537,0.4354,1.485556909,0.5581262307,F,0.32564,C,0.6197,R36.05,0,R47.4,0.00045,RAI,0.05421,4h3h3d
34.7049,0.55895,5.34591,0.44105,1.527415758,0.4947294288,F,0.27974,C,0.68616,R36.05,0.03266,R47.4,0.00069,RAI,0.00075,4h3d3c
33.4856,0.56609,6.5649,0.43391,1.455163053,0.6175361049,F,0.34348,C,0.62031,R36.05,0.00002,R47.4,0.00037,RAI,0.03581,4h4d2h
33.9724,0.55932,6.07712,0.44068,1.494186551,0.5628703567,F,0.29731,C,0.7009,R36.05,0.00178,R47.4,0.00001,RAI,0.00001,4d4c2h
33.256,0.56229,6.79359,0.43771,1.454952949,0.6335002598,F,0.34091,C,0.61359,R36.05,0.00004,R47.4,0.00066,RAI,0.04481,4h4d3h
33.6673,0.55504,6.38326,0.44496,1.492185551,0.5855385121,F,0.29226,C,0.69662,R36.05,0.01042,R47.4,0.00033,RAI,0.00038,4d4c3h
34.6393,0.56847,5.40921,0.43153,1.498996076,0.5116309194,F,0.29941,C,0.70059,R36.05,0,R47.4,0,RAI,0,4h4d4c
34.2019,0.56659,5.84815,0.43341,1.484980915,0.5507487068,F,0.32839,C,0.61962,R36.05,0.00012,R47.4,0.00063,RAI,0.05124,5h2h2d
35.0252,0.565,5.02616,0.435,1.525007589,0.4716077632,F,0.28806,C,0.66751,R36.05,0.04441,R47.4,0.00002,RAI,0,5h2d2c
31.1753,0.52613,8.84789,0.47387,1.457661638,0.7621042823,F,0.43129,C,0.55554,R36.05,0.00605,R47.4,0.00395,RAI,0.00318,5h3h2h
32.3112,0.55862,7.73923,0.44138,1.422906866,0.7156802513,F,0.36627,C,0.52067,R36.05,0,R47.4,0,RAI,0.11306,5d3h2h
32.5384,0.5594,7.51103,0.4406,1.430913235,0.6958072077,F,0.36929,C,0.49563,R36.05,0,R47.4,0.00027,RAI,0.13481,5h3h2d
32.5201,0.55928,7.52929,0.44072,1.430414127,0.6973088876,F,0.36886,C,0.4973,R36.05,0.00001,R47.4,0.00031,RAI,0.13352,5h3d2h
32.9672,0.56154,7.08303,0.43846,1.444245679,0.6593606702,F,0.31355,C,0.58781,R36.05,0.00097,R47.4,0.00248,RAI,0.09519,5h3d2c
34.1266,0.56456,5.92334,0.43544,1.487040299,0.555229127,F,0.32538,C,0.62522,R36.05,0.00003,R47.4,0.00062,RAI,0.04876,5h3h3d
34.8325,0.56018,5.21868,0.43982,1.529664747,0.4843057322,F,0.28199,C,0.6795,R36.05,0.03851,R47.4,0.00001,RAI,0,5h3d3c
31.0057,0.52919,9.08426,0.47081,1.441350182,0.7875493829,F,0.43253,C,0.55623,R36.05,0.00497,R47.4,0.00343,RAI,0.00285,5h4h2h
32.8861,0.55672,7.16279,0.44328,1.453165559,0.6595351938,F,0.3733,C,0.47715,R36.05,0.00013,R47.4,0.0013,RAI,0.14813,5h4h2d
32.889,0.55677,7.16072,0.44323,1.453164145,0.6594189888,F,0.37051,C,0.4843,R36.05,0.0001,R47.4,0.00112,RAI,0.14398,5h4d2h
32.754,0.55673,7.29623,0.44327,1.44730335,0.6718372572,F,0.36822,C,0.49763,R36.05,0.00001,R47.4,0.00093,RAI,0.13322,5d4h2h
33.5362,0.56293,6.51492,0.43707,1.465544249,0.6084039267,F,0.30803,C,0.58332,R36.05,0.00036,R47.4,0.00218,RAI,0.10611,5h4d2c
31.3063,0.53424,8.9078,0.46576,1.441568213,0.7806245016,F,0.43607,C,0.54996,R36.05,0.00554,R47.4,0.00477,RAI,0.00366,5h4h3h
31.6933,0.55441,8.35785,0.44559,1.40629184,0.7655843844,F,0.38031,C,0.49805,R36.05,0,R47.4,0.00105,RAI,0.12058,5d4h3h
31.627,0.5536,8.42331,0.4464,1.405406371,0.77018054,F,0.38283,C,0.4845,R36.05,0.00008,R47.4,0.00166,RAI,0.13093,5h4h3d
31.7191,0.55404,8.3301,0.44596,1.408376498,0.7624093984,F,0.3805,C,0.4896,R36.05,0.0001,R47.4,0.00157,RAI,0.12824,5h4d3h
32.2681,0.55505,7.78225,0.44495,1.430146676,0.7138843554,F,0.33387,C,0.55362,R36.05,0.00029,R47.4,0.00305,RAI,0.10917,5h4d3c
32.9841,0.55849,7.06733,0.44151,1.452877876,0.6533542831,F,0.34206,C,0.6233,R36.05,0,R47.4,0.00029,RAI,0.03435,5h4h4d
33.7639,0.55262,6.28401,0.44738,1.503023313,0.5733161915,F,0.28931,C,0.68918,R36.05,0.02148,R47.4,0.00003,RAI,0.00001,5h4d4c
32.7621,0.56187,7.28705,0.43813,1.434418114,0.6788638276,F,0.35558,C,0.63963,R36.05,0.00012,R47.4,0.0003,RAI,0.00436,5h5d2h
33.2122,0.55343,6.83815,0.44657,1.476300043,0.625004274,F,0.3178,C,0.6822,R36.05,0,R47.4,0,RAI,0,5d5c2h
32.6525,0.56021,7.39656,0.43979,1.433853523,0.6864649238,F,0.35175,C,0.63623,R36.05,0.00008,R47.4,0.00025,RAI,0.01168,5h5d3h
33.023,0.5518,7.02582,0.4482,1.472223518,0.6398218703,F,0.31151,C,0.68633,R36.05,0.00216,R47.4,0,RAI,0,5d5c3h
32.4022,0.55738,7.64928,0.44262,1.430085567,0.7053804768,F,0.35002,C,0.63619,R36.05,0.00007,R47.4,0.00016,RAI,0.01355,5h5d4h
33.024,0.55045,7.02789,0.44955,1.475880196,0.6380884432,F,0.3036,C,0.68431,R36.05,0.01209,R47.4,0.00001,RAI,0,5d5c4h
34.151,0.5648,5.89846,0.4352,1.487469384,0.5532018901,F,0.31011,C,0.68989,R36.05,0,R47.4,0,RAI,0,5h5d5c
33.6998,0.56289,6.35101,0.43711,1.472799975,0.593042684,F,0.33908,C,0.63523,R36.05,0.00009,R47.4,0.00059,RAI,0.02501,6h2h2d
34.5174,0.55435,5.53065,0.44565,1.53177061,0.5065428392,F,0.29357,C,0.68682,R36.05,0.01958,R47.4,0.00003,RAI,0,6h2d2c
32.5726,0.51699,7.56723,0.48301,1.549919295,0.6394620062,F,0.4397,C,0.54964,R36.05,0.00455,R47.4,0.00342,RAI,0.0027,6h3h2h
31.9474,0.55086,8.10245,0.44913,1.42670351,0.7363397257,F,0.37087,C,0.58954,R36.05,0.00006,R47.4,0.00014,RAI,0.03939,6d3h2h
32.0051,0.55034,8.04464,0.44966,1.43063027,0.7302242448,F,0.36957,C,0.57973,R36.05,0.00013,R47.4,0.00016,RAI,0.05042,6h3h2d
32.0038,0.55035,8.04637,0.44965,1.43054797,0.7303975417,F,0.36992,C,0.58005,R36.05,0.0001,R47.4,0.00015,RAI,0.04978,6h3d2h
32.803,0.54566,7.24604,0.45434,1.478873408,0.6509590223,F,0.30419,C,0.66637,R36.05,0.02798,R47.4,0.00107,RAI,0.00039,6h3d2c
33.482,0.56259,6.56821,0.43741,1.464060785,0.6129037083,F,0.3401,C,0.63434,R36.05,0.00008,R47.4,0.00058,RAI,0.02491,6h3h3d
34.3463,0.55602,5.70114,0.44398,1.519597163,0.5241217723,F,0.28951,C,0.6979,R36.05,0.01258,R47.4,0.00001,RAI,0,6h3d3c
30.9491,0.52527,9.08962,0.47473,1.449455978,0.7815071126,F,0.44022,C,0.55068,R36.05,0.00408,R47.4,0.0028,RAI,0.00221,6h4h2h
32.8553,0.55304,7.1951,0.44696,1.461462506,0.6570555367,F,0.35906,C,0.58853,R36.05,0.00018,R47.4,0.00042,RAI,0.05181,6d4h2h
32.999,0.55331,7.05034,0.44669,1.467141956,0.6442252819,F,0.35644,C,0.58195,R36.05,0.00006,R47.4,0.00059,RAI,0.06096,6h4h2d
32.8172,0.55202,7.23242,0.44798,1.462467751,0.6589598281,F,0.36042,C,0.57946,R36.05,0.00016,R47.4,0.00042,RAI,0.05954,6h4d2h
33.9511,0.54985,6.09927,0.45015,1.518968203,0.5530373949,F,0.28545,C,0.68218,R36.05,0.02918,R47.4,0.00201,RAI,0.00118,6h4d2c
31.236,0.53213,8.70523,0.46787,1.444032561,0.7594321128,F,0.44167,C,0.54496,R36.05,0.00544,R47.4,0.00426,RAI,0.00367,6h4h3h
32.2305,0.54899,7.81992,0.45101,1.444248542,0.7077014227,F,0.37567,C,0.54564,R36.05,0,R47.4,0.00039,RAI,0.07829,6d4h3h
32.3282,0.54881,7.72202,0.45119,1.449099829,0.6985626887,F,0.37509,C,0.53679,R36.05,0,R47.4,0.00055,RAI,0.08758,6h4h3d
32.2198,0.54843,7.82957,0.45157,1.445241885,0.7076959834,F,0.37719,C,0.53792,R36.05,0,R47.4,0.00016,RAI,0.08473,6h4d3h
32.8415,0.54527,7.20893,0.45473,1.481669552,0.6470697751,F,0.30306,C,0.64675,R36.05,0.03894,R47.4,0.00111,RAI,0.01014,6h4d3c
32.7209,0.55909,7.32929,0.44091,1.439737196,0.6784937573,F,0.34824,C,0.64629,R36.05,0.00005,R47.4,0.00021,RAI,0.00521,6h4h4d
33.3165,0.55058,6.73234,0.44942,1.488599928,0.611431131,F,0.29764,C,0.70048,R36.05,0.00188,R47.4,0,RAI,0,6h4d4c
31.2131,0.52937,8.85746,0.47063,1.4504995,0.7681809236,F,0.44351,C,0.5434,R36.05,0.00574,R47.4,0.00407,RAI,0.00328,6h5h2h
32.3885,0.54809,7.66012,0.45191,1.453712165,0.6918589257,F,0.36864,C,0.5735,R36.05,0,R47.4,0.00064,RAI,0.05721,6h5d2h
32.4187,0.5489,7.63326,0.4511,1.452918527,0.6906708691,F,0.36707,C,0.57537,R36.05,0.00003,R47.4,0.00075,RAI,0.05678,6h5h2d
32.5396,0.55012,7.51102,0.44988,1.455106373,0.6814533869,F,0.36492,C,0.58253,R36.05,0,R47.4,0.00086,RAI,0.05169,6d5h2h
33.3509,0.5448,6.69964,0.4552,1.505948274,0.6007352671,F,0.28991,C,0.6886,R36.05,0.01786,R47.4,0.00243,RAI,0.00121,6h5d2c
31.5084,0.53472,8.62328,0.46528,1.449571027,0.756470507,F,0.44475,C,0.54349,R36.05,0.00488,R47.4,0.00386,RAI,0.00302,6h5h3h
31.9082,0.54555,8.14202,0.45445,1.438821555,0.7312737329,F,0.38102,C,0.54378,R36.05,0,R47.4,0.00004,RAI,0.07516,6h5h3d
31.953,0.54568,8.09654,0.45432,1.440500676,0.7273970527,F,0.38159,C,0.54448,R36.05,0,R47.4,0.00006,RAI,0.07387,6h5d3h
32.0302,0.54651,8.02134,0.45349,1.441788419,0.7219600337,F,0.37887,C,0.55033,R36.05,0,R47.4,0.00007,RAI,0.07073,6d5h3h
32.5676,0.54111,7.48256,0.45889,1.480607414,0.6655421226,F,0.30384,C,0.66407,R36.05,0.01282,R47.4,0.00151,RAI,0.01776,6h5d3c
32.2536,0.54019,7.87638,0.45981,1.468830387,0.6991690143,F,0.45255,C,0.5344,R36.05,0.00531,R47.4,0.00446,RAI,0.00328,6h5h4h
31.211,0.54642,8.83985,0.45358,1.405144008,0.7954720838,F,0.39392,C,0.5688,R36.05,0,R47.4,0,RAI,0.03728,6d5h4h
31.1875,0.54591,8.8615,0.45409,1.405395948,0.7965246305,F,0.39511,C,0.5624,R36.05,0,R47.4,0,RAI,0.04248,6h5h4d
31.3156,0.54616,8.73312,0.45384,1.410522997,0.785417517,F,0.3943,C,0.56241,R36.05,0,R47.4,0,RAI,0.04329,6h5d4h
31.1549,0.5312,8.89637,0.4688,1.44280633,0.7745672648,F,0.33655,C,0.63711,R36.05,0.02603,R47.4,0.00016,RAI,0.00014,6h5d4c
31.8939,0.55762,8.15499,0.44238,1.407047872,0.7524226556,F,0.36321,C,0.63679,R36.05,0,R47.4,0,RAI,0,6h5h5d
32.4249,0.54771,7.62489,0.45229,1.456356096,0.6880983327,F,0.31158,C,0.68832,R36.05,0.0001,R47.4,0,RAI,0,6h5d5c
33.373,0.56083,6.67715,0.43917,1.463872257,0.6205722695,F,0.35639,C,0.64361,R36.05,0,R47.4,0,RAI,0,6h6d2h
34.1897,0.54956,5.86216,0.45044,1.530449489,0.5311958322,F,0.31263,C,0.68724,R36.05,0.00013,R47.4,0,RAI,0,6d6c2h
33.1019,0.55933,6.94774,0.44067,1.455876869,0.6435228607,F,0.35621,C,0.64353,R36.05,0.00002,R47.4,0.0001,RAI,0.00013,6h6d3h
33.9082,0.55116,6.14362,0.44884,1.513443151,0.5586846201,F,0.31035,C,0.68636,R36.05,0.00326,R47.4,0.00003,RAI,0,6d6c3h
33.1754,0.55889,6.8736,0.44111,1.460258816,0.6360207471,F,0.35126,C,0.64846,R36.05,0,R47.4,0,RAI,0.00028,6h6d4h
