oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
11.9039,0.45493,13.998,0.54507,0.9874104151,0.9691003787,X,0.4538,R8.75,0.48489,R17.5,0.06131,R34.45,0,RAI,0,2h2d2c
10.8881,0.44842,15.0126,0.55158,0.9162645213,1.027074204,X,0.46833,R8.75,0.51444,R17.5,0.01722,R34.45,0,RAI,0,3h2h2d
11.4582,0.4572,14.4409,0.5428,0.9457270496,1.003944582,X,0.43934,R8.75,0.46764,R17.5,0.09296,R34.45,0.00006,RAI,0.00001,3h2d2c
10.8033,0.44704,15.0969,0.55296,0.9119348207,1.030260507,X,0.47106,R8.75,0.51512,R17.5,0.01383,R34.45,0,RAI,0,3h3d2h
11.365,0.45587,14.5355,0.54413,0.940770538,1.008049154,X,0.43783,R8.75,0.48103,R17.5,0.08112,R34.45,0.00002,RAI,0,3d3c2h
11.8916,0.4556,14.0103,0.5444,0.9849404309,0.9711429405,X,0.45357,R8.75,0.49252,R17.5,0.05391,R34.45,0,RAI,0,3h3d3c
10.8378,0.44894,15.0619,0.55106,0.9109751457,1.031422059,X,0.46224,R8.75,0.52226,R17.5,0.0155,R34.45,0,RAI,0,4h2h2d
11.4244,0.45979,14.4757,0.54021,0.9376249377,1.011186753,X,0.44581,R8.75,0.44549,R17.5,0.10868,R34.45,0.00002,RAI,0,4h2d2c
11.1498,0.4912,14.752,0.5088,0.856566917,1.094102994,X,0.66348,R8.75,0.32728,R17.5,0.00924,R34.45,0,RAI,0,4h3h2h
9.64109,0.43361,16.2594,0.56639,0.8390367803,1.083285838,X,0.51572,R8.75,0.46868,R17.5,0.0156,R34.45,0,RAI,0,4h3h2d
9.65358,0.43431,16.2458,0.56569,0.8387696252,1.083719136,X,0.50985,R8.75,0.49015,R17.5,0,R34.45,0,RAI,0,4h3d2h
9.62157,0.43364,16.2787,0.56636,0.8372799942,1.08462648,X,0.5093,R8.75,0.4907,R17.5,0,R34.45,0,RAI,0,4d3h2h
10.095,0.44564,15.8058,0.55436,0.85482061,1.075914239,X,0.46012,R8.75,0.51301,R17.5,0.02687,R34.45,0,RAI,0.00001,4h3d2c
10.8951,0.45411,15.0036,0.54589,0.9053661857,1.037157626,X,0.46071,R8.75,0.51644,R17.5,0.02285,R34.45,0,RAI,0,4h3h3d
11.5416,0.46537,14.3596,0.53463,0.9358850814,1.013545256,X,0.45915,R8.75,0.39255,R17.5,0.14814,R34.45,0.00016,RAI,0,4h3d3c
10.2921,0.43732,15.6071,0.56268,0.8880911461,1.04668221,X,0.48821,R8.75,0.50121,R17.5,0.01058,R34.45,0,RAI,0,4h4d2h
11.1332,0.45622,14.7676,0.54378,0.9208714796,1.024800518,X,0.44356,R8.75,0.50686,R17.5,0.04958,R34.45,0,RAI,0,4d4c2h
10.441,0.44415,15.4583,0.55585,0.8870842896,1.049438086,X,0.47867,R8.75,0.50674,R17.5,0.01459,R34.45,0,RAI,0,4h4d3h
11.1437,0.45854,14.7574,0.54146,0.9170780621,1.028482749,X,0.44936,R8.75,0.47886,R17.5,0.07178,R34.45,0,RAI,0,4d4c3h
11.6482,0.45405,14.2516,0.54595,0.9680739087,0.985067776,X,0.45677,R8.75,0.52059,R17.5,0.02264,R34.45,0,RAI,0,4h4d4c
10.6683,0.44838,15.2327,0.55162,0.897848593,1.04205655,X,0.46671,R8.75,0.52,R17.5,0.01329,R34.45,0,RAI,0,5h2h2d
11.4425,0.46586,14.4586,0.53414,0.9268740915,1.021471288,X,0.45647,R8.75,0.41288,R17.5,0.13062,R34.45,0.00003,RAI,0,5h2d2c
