oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
11.6256,0.45744,31.7759,0.54256,0.9590403194,1.331058564,F,0.51359,C,0.27627,R39,0.04567,R51.3,0.05434,RAI,0.11014,2h2d2c
9.9593,0.43383,33.4394,0.56617,0.8662901347,1.342328195,F,0.55328,C,0.18867,R39,0.07112,R51.3,0.07015,RAI,0.11679,3h2h2d
10.7333,0.43885,32.6678,0.56115,0.9229371439,1.323085749,F,0.48918,C,0.32919,R39,0.09619,R51.3,0.02101,RAI,0.06443,3h2d2c
10.0056,0.43267,33.3886,0.56733,0.8726525263,1.337549682,F,0.55757,C,0.17612,R39,0.07867,R51.3,0.07109,RAI,0.11656,3h3d2h
10.8535,0.43845,32.5467,0.56155,0.9341233969,1.31724279,F,0.49132,C,0.32369,R39,0.09268,R51.3,0.02921,RAI,0.06309,3d3c2h
11.7269,0.45882,31.6719,0.54118,0.964482347,1.330083813,F,0.51538,C,0.26894,R39,0.04844,R51.3,0.05374,RAI,0.11349,3h3d3c
9.96805,0.43122,33.439,0.56878,0.8722991388,1.336155235,F,0.54854,C,0.20661,R39,0.08045,R51.3,0.07045,RAI,0.09395,4h2h2d
10.7027,0.44323,32.6944,0.55677,0.9112062464,1.334579044,F,0.48661,C,0.34553,R39,0.12104,R51.3,0.01525,RAI,0.03157,4h2d2c
6.78238,0.46525,36.6183,0.53475,0.5501104349,1.556305089,F,0.49742,C,0.3435,R39,0.12125,R51.3,0.02241,RAI,0.01543,4h3h2h
7.77494,0.40812,35.6243,0.59188,0.7188914002,1.367916198,F,0.58146,C,0.17886,R39,0.0696,R51.3,0.05963,RAI,0.11044,4h3h2d
,,,,,,F,0.56591,C,0.21626,R39,0.06215,R51.3,0.04909,RAI,0.10659,4h3d2h
,,,,,,F,0.56741,C,0.21408,R39,0.0598,R51.3,0.05046,RAI,0.10825,4d3h2h
