oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
11.8116,0.45915,14.09,0.54085,0.9707552416,0.9830794026,X,0.44023,R8.75,0.55977,R17.5,0,R34.45,0,RAI,0,2h2d2c
10.8536,0.44974,15.0457,0.55026,0.9106829651,1.031804507,X,0.46717,R8.75,0.53217,R17.5,0.00066,R34.45,0,RAI,0,3h2h2d
11.7848,0.46394,14.1154,0.53606,0.9585494313,0.9936504197,X,0.42405,R8.75,0.57572,R17.5,0.00023,R34.45,0,RAI,0,3h2d2c
10.7496,0.44722,15.1503,0.55278,0.9070382821,1.034247503,X,0.471,R8.75,0.52838,R17.5,0.00062,R34.45,0,RAI,0,3h3d2h
11.628,0.46052,14.2719,0.53948,0.9528203405,0.9983017189,X,0.42771,R8.75,0.57223,R17.5,0.00006,R34.45,0,RAI,0,3d3c2h
11.6667,0.45634,14.2325,0.54366,0.964745809,0.9878892124,X,0.44189,R8.75,0.55811,R17.5,0,R34.45,0,RAI,0,3h3d3c
10.9279,0.45002,14.9717,0.54998,0.9163467532,1.027254548,X,0.46031,R8.75,0.53902,R17.5,0.00066,R34.45,0,RAI,0,4h2h2d
11.8639,0.46459,14.0368,0.53541,0.9636331691,0.9893148838,X,0.42889,R8.75,0.56929,R17.5,0.00181,R34.45,0,RAI,0,4h2d2c
11.0342,0.48139,14.8666,0.51861,0.8649629937,1.081742849,X,0.67392,R8.75,0.32483,R17.5,0.00125,R34.45,0,RAI,0,4h3h2h
8.96357,0.41536,16.9368,0.58464,0.8143487769,1.093190046,X,0.50927,R8.75,0.48752,R17.5,0.00321,R34.45,0,RAI,0,4h3h2d
8.94568,0.41499,16.9555,0.58501,0.8134480617,1.093710083,X,0.5097,R8.75,0.4874,R17.5,0.0029,R34.45,0,RAI,0,4h3d2h
8.94857,0.41564,16.9525,0.58436,0.8124384061,1.094731649,X,0.51222,R8.75,0.48468,R17.5,0.0031,R34.45,0,RAI,0,4d3h2h
9.54981,0.42485,16.3505,0.57515,0.848229293,1.072760356,X,0.47632,R8.75,0.52361,R17.5,0.00007,R34.45,0,RAI,0,4h3d2c
