oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
11.1881,0.45109,23.4629,0.54891,0.9359417224,1.212611235,F,0.37781,C,0.31594,R24.15,0.30396,R32.95,0.00229,R45.25,0,RAI,0,2h2d2c
9.96888,0.44529,24.6799,0.55471,0.8448070701,1.262170776,F,0.40559,C,0.36835,R24.15,0.10654,R32.95,0.00442,R45.25,0.00258,RAI,0.1125,3h2h2d
11.096,0.45685,23.5542,0.54315,0.9165280988,1.230239434,F,0.36319,C,0.37279,R24.15,0.1946,R32.95,0.06942,R45.25,0,RAI,0,3h2d2c
9.89574,0.44379,24.7543,0.55621,0.8414433485,1.26256109,F,0.41509,C,0.35031,R24.15,0.11568,R32.95,0.00246,R45.25,0.00106,RAI,0.1154,3h3d2h
10.9951,0.45472,23.6549,0.54528,0.9124537186,1.230669747,F,0.37922,C,0.34019,R24.15,0.21531,R32.95,0.06527,R45.25,0,RAI,0,3d3c2h
11.0838,0.44913,23.5649,0.55087,0.9312587025,1.213549674,F,0.39254,C,0.28843,R24.15,0.31765,R32.95,0.00139,R45.25,0,RAI,0,3h3d3c
9.97499,0.44647,24.6747,0.55353,0.8430907324,1.264595924,F,0.40283,C,0.36951,R24.15,0.13073,R32.95,0.00512,R45.25,0.00219,RAI,0.08961,4h2h2d
11.1638,0.45728,23.4876,0.54272,0.9212604095,1.22773181,F,0.36519,C,0.36573,R24.15,0.23643,R32.95,0.03265,R45.25,0,RAI,0,4h2d2c
8.53631,0.46243,26.1131,0.53757,0.6965917281,1.378047314,F,0.34587,C,0.57745,R24.15,0.07664,R32.95,0.00004,R45.25,0,RAI,0,4h3h2h
7.3423,0.40832,27.3085,0.59168,0.6785558278,1.309337219,F,0.48218,C,0.2618,R24.15,0.22952,R32.95,0.00007,R45.25,0.00083,RAI,0.02559,4h3h2d
7.33329,0.40812,27.3178,0.59188,0.6780552877,1.309340015,F,0.48313,C,0.26038,R24.15,0.23096,R32.95,0.00006,R45.25,0.00052,RAI,0.02495,4h3d2h
7.30364,0.40832,27.3477,0.59168,0.6749829689,1.311217707,F,0.48043,C,0.26365,R24.15,0.23559,R32.95,0.00015,R45.25,0.00021,RAI,0.01997,4d3h2h
8.5423,0.42199,26.1078,0.57801,0.7638829034,1.281371654,F,0.47756,C,0.24136,R24.15,0.281,R32.95,0.00008,R45.25,0,RAI,0,4h3d2c
9.76341,0.442,24.8885,0.558,0.8335532808,1.265334117,F,0.397,C,0.38631,R24.15,0.11777,R32.95,0.00722,R45.25,0.00386,RAI,0.08783,4h3h3d
10.8957,0.45618,23.7548,0.54382,0.9013076024,1.239185562,F,0.35566,C,0.40447,R24.15,0.1838,R32.95,0.05607,R45.25,0,RAI,0,4h3d3c
9.01316,0.43682,25.6381,0.56318,0.7786256023,1.291458051,F,0.45666,C,0.2744,R24.15,0.19634,R32.95,0.00536,R45.25,0.00132,RAI,0.06592,4h4d2h
10.1749,0.44827,24.4757,0.55173,0.8565331223,1.258486946,F,0.44507,C,0.21593,R24.15,0.32802,R32.95,0.01098,R45.25,0,RAI,0,4d4c2h
8.92061,0.43479,25.7298,0.56521,0.7742285239,1.291421364,F,0.43812,C,0.31941,R24.15,0.16353,R32.95,0.0079,R45.25,0.00159,RAI,0.06945,4h4d3h
