oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
,,,,,,F,0.55058,C,0.11568,R39,0.11024,R51.3,0.11674,RAI,0.10675,2h2d2c
10.9833,0.45351,32.3131,0.54649,0.9139013815,1.343829323,F,0.55574,C,0.1784,R39,0.10318,R51.3,0.06222,RAI,0.10046,3h2h2d
12.4595,0.43565,32.8774,0.56435,1.079234067,1.324025951,F,0.5225,C,0.23873,R39,0.09364,R51.3,0.06498,RAI,0.08015,3h2d2c
10.8317,0.45835,32.2904,0.54165,0.8917746646,1.354883715,F,0.56314,C,0.15953,R39,0.1056,R51.3,0.0638,RAI,0.10793,3h3d2h
17.6839,0.54645,28.9907,0.45355,1.221186475,1.452717932,F,0.53278,C,0.20929,R39,0.10204,R51.3,0.06911,RAI,0.08678,3d3c2h
,,,,,,F,0.55289,C,0.12615,R39,0.09544,R51.3,0.12026,RAI,0.10526,3h3d3c
11.054,0.462,32.0736,0.538,0.9028816121,1.354915976,F,0.546,C,0.20895,R39,0.09106,R51.3,0.05863,RAI,0.09537,4h2h2d
12.3371,0.47252,30.9888,0.52748,0.9852513134,1.335197938,F,0.50863,C,0.28583,R39,0.10119,R51.3,0.04363,RAI,0.06071,4h2d2c
6.86679,0.45315,36.8469,0.54685,0.5718286256,1.531371298,F,0.50444,C,0.34736,R39,0.12071,R51.3,0.01554,RAI,0.01195,4h3h2h
6.10259,0.39012,37.2508,0.60988,0.5902963664,1.38815808,F,0.60201,C,0.16457,R39,0.07055,R51.3,0.05664,RAI,0.10622,4h3h2d
6.02737,0.38905,37.3906,0.61095,0.5846238777,1.390926581,F,0.60439,C,0.16413,R39,0.0699,R51.3,0.05633,RAI,0.10525,4h3d2h
5.95044,0.39015,37.4749,0.60985,0.5755347864,1.396577079,F,0.60221,C,0.17343,R39,0.0686,R51.3,0.05353,RAI,0.10224,4d3h2h
2.94317,0.26325,44.3373,0.73675,0.4218918304,1.367719053,F,0.58918,C,0.20416,R39,0.06491,R51.3,0.06055,RAI,0.0812,4h3d2c
10.7232,0.43823,32.8417,0.56177,0.9233688425,1.328662771,F,0.53891,C,0.23458,R39,0.0768,R51.3,0.05195,RAI,0.09777,4h3h3d
12.5664,0.47029,30.7915,0.52971,1.008321232,1.321114422,F,0.49656,C,0.32306,R39,0.08897,R51.3,0.03849,RAI,0.05292,4h3d3c
8.84343,0.41128,34.6453,0.58872,0.8114041972,1.33746547,F,0.58177,C,0.13792,R39,0.09206,R51.3,0.0632,RAI,0.12506,4h4d2h
14.8964,0.50596,29.9048,0.49404,1.111014097,1.375705228,F,0.55983,C,0.17294,R39,0.11172,R51.3,0.06312,RAI,0.09238,4d4c2h
9.65155,0.43282,33.7014,0.56718,0.84148018,1.350435186,F,0.57203,C,0.1787,R39,0.07852,R51.3,0.05633,RAI,0.11442,4h4d3h
13.365,0.43671,33.1572,0.56329,1.154864248,1.337807662,F,0.54352,C,0.22453,R39,0.1013,R51.3,0.05503,RAI,0.07562,4d4c3h
,,,,,,F,0.57036,C,0.10628,R39,0.09674,R51.3,0.10383,RAI,0.12278,4h4d4c
11.1213,0.4669,31.8627,0.5331,0.898847069,1.358379352,F,0.55137,C,0.20086,R39,0.07719,R51.3,0.0775,RAI,0.09308,5h2h2d
12.1136,0.46591,31.2551,0.53409,0.9811304679,1.330006979,F,0.51247,C,0.28148,R39,0.1397,R51.3,0.03154,RAI,0.0348,5h2d2c
7.43295,0.47288,35.8963,0.52712,0.5931497981,1.547700544,F,0.51009,C,0.34637,R39,0.10425,R51.3,0.01969,RAI,0.0196,5h3h2h
6.33902,0.40027,37.1147,0.59973,0.5976173639,1.406491591,F,0.57244,C,0.19224,R39,0.05263,R51.3,0.05558,RAI,0.1271,5d3h2h
6.06361,0.36707,37.7692,0.63293,0.6233565292,1.356219563,F,0.57003,C,0.17718,R39,0.05884,R51.3,0.0545,RAI,0.13946,5h3h2d
,,,,,,F,0.5677,C,0.18797,R39,0.055,R51.3,0.0501,RAI,0.13924,5h3d2h
9.14875,0.4332,34.3389,0.5668,0.79694335,1.376906227,F,0.547,C,0.23909,R39,0.04915,R51.3,0.07048,RAI,0.09427,5h3d2c
11.1211,0.44944,32.2321,0.55056,0.9337515138,1.330548235,F,0.5439,C,0.22008,R39,0.08868,R51.3,0.0568,RAI,0.09054,5h3h3d
12.2527,0.46621,31.2184,0.53379,0.9917540693,1.329190998,F,0.50046,C,0.31592,R39,0.11965,R51.3,0.02989,RAI,0.03409,5h3d3c
7.5545,0.47647,35.7183,0.52353,0.5983073004,1.550589204,F,0.51288,C,0.33139,R39,0.10795,R51.3,0.02675,RAI,0.02103,5h4h2h
8.7368,0.41212,34.6435,0.58788,0.7999868043,1.339309295,F,0.53929,C,0.23973,R39,0.03492,R51.3,0.05075,RAI,0.13531,5h4h2d
8.69509,0.41441,34.7468,0.58559,0.7917681011,1.348556342,F,0.53875,C,0.24156,R39,0.03559,R51.3,0.04825,RAI,0.13585,5h4d2h
8.51453,0.41465,34.8798,0.58535,0.7748776824,1.354272977,F,0.54346,C,0.23436,R39,0.03735,R51.3,0.05089,RAI,0.13393,5d4h2h
10.5883,0.43807,32.8191,0.56193,0.9120839376,1.327370519,F,0.51637,C,0.30823,R39,0.02592,R51.3,0.04592,RAI,0.10355,5h4d2c
7.2473,0.47441,35.7539,0.52559,0.5764697749,1.54605249,F,0.50628,C,0.34261,R39,0.10427,R51.3,0.02114,RAI,0.02571,5h4h3h
6.94808,0.40675,36.4324,0.59325,0.6446016094,1.395718182,F,0.55772,C,0.21387,R39,0.0515,R51.3,0.04972,RAI,0.1272,5d4h3h
7.02421,0.40493,36.3892,0.59507,0.6545934614,1.389799388,F,0.5575,C,0.21111,R39,0.04924,R51.3,0.05283,RAI,0.12932,5h4h3d
7.0779,0.40678,36.2994,0.59322,0.6565970809,1.390690947,F,0.5567,C,0.21589,R39,0.05534,R51.3,0.05104,RAI,0.12103,5h4d3h
9.17328,0.43553,34.2229,0.56447,0.7948051684,1.377916004,F,0.54163,C,0.25795,R39,0.03795,R51.3,0.05608,RAI,0.10638,5h4d3c
8.1007,0.40003,36.4432,0.59997,0.7641597295,1.380492118,F,0.55721,C,0.20076,R39,0.08554,R51.3,0.06034,RAI,0.09614,5h4h4d
11.515,0.45658,31.887,0.54342,0.951699923,1.333600923,F,0.51412,C,0.3001,R39,0.10563,R51.3,0.03895,RAI,0.04119,5h4d4c
8.19197,0.42802,35.043,0.57198,0.7222347979,1.39241046,F,0.60239,C,0.0946,R39,0.11777,R51.3,0.07519,RAI,0.11005,5h5d2h
11.2768,0.48218,33.1756,0.51782,0.8825358592,1.456086798,F,0.5846,C,0.12675,R39,0.14447,R51.3,0.05956,RAI,0.08463,5d5c2h
,,,,,,F,0.59399,C,0.12668,R39,0.10656,R51.3,0.06517,RAI,0.1076,5h5d3h
10.3982,0.4499,33.6561,0.5501,0.8721636305,1.390495095,F,0.5683,C,0.17806,R39,0.13658,R51.3,0.05129,RAI,0.06577,5d5c3h
11.9391,0.55274,27.7725,0.44726,0.8150865723,1.411244985,F,0.57709,C,0.1663,R39,0.08914,R51.3,0.06629,RAI,0.10118,5h5d4h
10.6719,0.44499,32.6521,0.55501,0.9049895959,1.337079113,F,0.5392,C,0.26049,R39,0.09485,R51.3,0.0478,RAI,0.05767,5d5c4h
,,,,,,F,0.5916,C,0.10084,R39,0.09176,R51.3,0.10347,RAI,0.11233,5h5d5c
9.03178,0.43113,35.2479,0.56887,0.7905316315,1.40821028,F,0.55037,C,0.18579,R39,0.13368,R51.3,0.06066,RAI,0.0695,6h2h2d
11.7178,0.46745,31.6507,0.53255,0.9459399564,1.35073747,F,0.51444,C,0.26615,R39,0.14969,R51.3,0.03333,RAI,0.0364,6h2d2c
6.7994,0.4473,36.7046,0.5527,0.5736220298,1.509309298,F,0.50602,C,0.36081,R39,0.11524,R51.3,0.01143,RAI,0.0065,6h3h2h
7.03243,0.41978,36.7266,0.58022,0.6321757402,1.438584041,F,0.57159,C,0.18108,R39,0.0825,R51.3,0.06455,RAI,0.10027,6d3h2h
7.8248,0.43919,35.5866,0.56081,0.6723182951,1.442176572,F,0.56849,C,0.19698,R39,0.0778,R51.3,0.06608,RAI,0.09066,6h3h2d
6.43102,0.3946,37.8085,0.6054,0.6150025073,1.419364305,F,0.57162,C,0.19203,R39,0.08032,R51.3,0.06523,RAI,0.0908,6h3d2h
