oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
10.7731,0.44307,13.1305,0.55693,0.9924382476,0.9623068553,X,0.47782,R8.1,0.52217,R16.15,0.00001,R31.85,0,RAI,0,2h2d2c
9.28628,0.42792,14.6152,0.57208,0.8857539061,1.0427562,X,0.47172,R8.1,0.52554,R16.15,0.00274,R31.85,0,RAI,0,3h2h2d
10.7017,0.45294,13.2,0.54706,0.9643724488,0.9848563042,X,0.41565,R8.1,0.58354,R16.15,0.00081,R31.85,0,RAI,0,3h2d2c
9.19535,0.42473,14.7039,0.57527,0.8836681965,1.043268092,X,0.47656,R8.1,0.51981,R16.15,0.00364,R31.85,0,RAI,0,3h3d2h
10.6326,0.45091,13.2681,0.54909,0.962457343,0.9862767061,X,0.42096,R8.1,0.5788,R16.15,0.00024,R31.85,0,RAI,0,3d3c2h
10.5264,0.43816,13.3745,0.56184,0.9805727472,0.9716224151,X,0.48692,R8.1,0.51308,R16.15,0,R31.85,0,RAI,0,3h3d3c
9.45292,0.4274,14.4488,0.5726,0.902745611,1.029943572,X,0.45981,R8.1,0.53996,R16.15,0.00023,R31.85,0,RAI,0,4h2h2d
10.7665,0.45171,13.1343,0.54829,0.972856507,0.9777545745,X,0.42305,R8.1,0.57594,R16.15,0.001,R31.85,0,RAI,0,4h2d2c
9.90042,0.47017,13.9988,0.52983,0.8594737876,1.078418323,X,0.65896,R8.1,0.33998,R16.15,0.00106,R31.85,0,RAI,0,4h3h2h
8.28238,0.41397,15.617,0.58603,0.8166203735,1.087709134,X,0.50893,R8.1,0.48935,R16.15,0.00172,R31.85,0,RAI,0,4h3h2d
8.27895,0.41385,15.6213,0.58615,0.8165188066,1.08778034,X,0.50901,R8.1,0.48934,R16.15,0.00165,R31.85,0,RAI,0,4h3d2h
