oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
34.5585,0.56552,5.45385,0.43448,1.503301248,0.5123506447,F,0.29029,C,0.64923,R36.05,0.05715,R47.4,0.00173,RAI,0.00161,2h2d2c
33.9141,0.56255,6.13536,0.43745,1.48305915,0.5724605149,F,0.32755,C,0.61451,R36.05,0.00016,R47.4,0.00243,RAI,0.05535,3h2h2d
34.8135,0.55899,5.23563,0.44101,1.532085476,0.484567665,F,0.27254,C,0.67842,R36.05,0.04466,R47.4,0.00198,RAI,0.00239,3h2d2c
33.921,0.56339,6.12859,0.43661,1.481150912,0.5729289924,F,0.32785,C,0.61792,R36.05,0.00013,R47.4,0.0013,RAI,0.05281,3h3d2h
34.8006,0.55894,5.24927,0.44106,1.531654735,0.4857749821,F,0.27425,C,0.67945,R36.05,0.03892,R47.4,0.0037,RAI,0.00367,3d3c2h
34.4182,0.56557,5.64078,0.43443,1.497067078,0.5299724134,F,0.29293,C,0.64971,R36.05,0.05355,R47.4,0.00206,RAI,0.00176,3h3d3c
33.9729,0.56305,6.07779,0.43695,1.484311781,0.5677378497,F,0.32391,C,0.62006,R36.05,0.00032,R47.4,0.00393,RAI,0.05177,4h2h2d
34.7365,0.55854,5.31384,0.44146,1.529928347,0.4913048032,F,0.27565,C,0.67635,R36.05,0.04799,R47.4,0.00001,RAI,0,4h2d2c
32.3646,0.53164,7.86711,0.46836,1.497584719,0.685597653,F,0.436,C,0.55348,R36.05,0.00474,R47.4,0.00357,RAI,0.00222,4h3h2h
31.1467,0.55826,8.90308,0.44174,1.372506891,0.8226355203,F,0.36908,C,0.52289,R36.05,0,R47.4,0.00006,RAI,0.10797,4h3h2d
31.1554,0.55854,8.89399,0.44146,1.372205198,0.8223167924,F,0.36835,C,0.52643,R36.05,0,R47.4,0.00003,RAI,0.1052,4h3d2h
31.1181,0.55934,8.93072,0.44066,1.368598545,0.8272119031,F,0.36531,C,0.54136,R36.05,0,R47.4,0.00009,RAI,0.09324,4d3h2h
31.0415,0.55643,9.00845,0.44357,1.372370879,0.8289375487,F,0.32942,C,0.56664,R36.05,0.01039,R47.4,0.00093,RAI,0.09262,4h3d2c
33.7545,0.56162,6.29473,0.43838,1.478524197,0.5860845864,F,0.32514,C,0.61923,R36.05,0.00008,R47.4,0.00249,RAI,0.05306,4h3h3d
34.395,0.55502,5.65548,0.44498,1.524494688,0.5187557125,F,0.27426,C,0.68227,R36.05,0.04326,R47.4,0.00009,RAI,0.00011,4h3d3c
33.0769,0.5642,6.97302,0.4358,1.442220578,0.6530818573,F,0.3389,C,0.62154,R36.05,0.0001,R47.4,0.00086,RAI,0.0386,4h4d2h
33.7094,0.55772,6.33941,0.44228,1.48687429,0.5850398498,F,0.29235,C,0.68584,R36.05,0.02177,R47.4,0.00004,RAI,0,4d4c2h
32.9062,0.56194,7.14517,0.43806,1.440545494,0.6657526596,F,0.3381,C,0.61563,R36.05,0,R47.4,0.00054,RAI,0.04572,4h4d3h
33.3445,0.55423,6.7065,0.44577,1.480038535,0.6140716039,F,0.29131,C,0.68216,R36.05,0.02633,R47.4,0.00009,RAI,0.00011,4d4c3h
34.3014,0.56346,5.74756,0.43654,1.497572023,0.5373947007,F,0.29234,C,0.6782,R36.05,0.02939,R47.4,0.00004,RAI,0.00002,4h4d4c
33.84,0.56176,6.21112,0.43824,1.481901643,0.5784846479,F,0.32704,C,0.61422,R36.05,0.0005,R47.4,0.00271,RAI,0.05554,5h2h2d
34.6608,0.55762,5.39086,0.44238,1.529115141,0.4973893481,F,0.28321,C,0.663,R36.05,0.05376,R47.4,0.00003,RAI,0,5h2d2c
31.4742,0.53251,8.52107,0.46749,1.454007159,0.7439704922,F,0.43466,C,0.55174,R36.05,0.00541,R47.4,0.00461,RAI,0.00358,5h3h2h
31.7481,0.55963,8.30275,0.44037,1.39558612,0.7695522974,F,0.36385,C,0.52653,R36.05,0,R47.4,0.00002,RAI,0.1096,5d3h2h
31.8815,0.56009,8.16813,0.43991,1.400296364,0.7578665229,F,0.36996,C,0.49431,R36.05,0,R47.4,0.00005,RAI,0.13568,5h3h2d
31.8759,0.56024,8.17378,0.43976,1.399679154,0.7586494721,F,0.36922,C,0.49722,R36.05,0,R47.4,0.00008,RAI,0.13349,5h3d2h
31.9144,0.56034,8.13551,0.43966,1.4011152,0.7552691652,F,0.31532,C,0.57823,R36.05,0.00383,R47.4,0.00282,RAI,0.0998,5h3d2c
33.7267,0.5622,6.32284,0.4378,1.475782313,0.5894817646,F,0.32391,C,0.62727,R36.05,0.0002,R47.4,0.00203,RAI,0.04659,5h3h3d
34.3889,0.55456,5.66094,0.44544,1.525488568,0.5187203336,F,0.27961,C,0.67487,R36.05,0.04551,R47.4,0.00001,RAI,0,5h3d3c
30.9865,0.53429,9.01696,0.46571,1.426708802,0.790275447,F,0.43543,C,0.55112,R36.05,0.00581,R47.4,0.00441,RAI,0.00322,5h4h2h
32.4345,0.5602,7.61604,0.4398,1.424307788,0.7068185288,F,0.37334,C,0.46789,R36.05,0.00007,R47.4,0.00062,RAI,0.15807,5h4h2d
32.4595,0.55985,7.59108,0.44015,1.42629412,0.7039418672,F,0.3712,C,0.47634,R36.05,0.00011,R47.4,0.00089,RAI,0.15146,5h4d2h
32.3723,0.56,7.67775,0.44,1.422084413,0.712221721,F,0.36963,C,0.4863,R36.05,0.00006,R47.4,0.00063,RAI,0.14338,5d4h2h
32.6872,0.56227,7.36311,0.43773,1.430121081,0.6865764167,F,0.30833,C,0.5741,R36.05,0.00098,R47.4,0.00276,RAI,0.11383,5h4d2c
30.7535,0.53368,9.08614,0.46632,1.417596996,0.7952968726,F,0.43835,C,0.54753,R36.05,0.0058,R47.4,0.00457,RAI,0.00375,5h4h3h
31.5534,0.55786,8.4957,0.44214,1.391428611,0.7842838249,F,0.37157,C,0.50384,R36.05,0.00005,R47.4,0.00127,RAI,0.12326,5d4h3h
31.5259,0.55825,8.52399,0.44175,1.389243878,0.7875901616,F,0.37552,C,0.48732,R36.05,0.00007,R47.4,0.00085,RAI,0.13624,5h4h3d
31.5927,0.55843,8.4582,0.44157,1.391736131,0.7818299723,F,0.37287,C,0.49405,R36.05,0.00007,R47.4,0.00077,RAI,0.13223,5h4d3h
31.5463,0.55395,8.50366,0.44605,1.400933262,0.7781373851,F,0.32898,C,0.55328,R36.05,0.00043,R47.4,0.00328,RAI,0.11403,5h4d3c
32.609,0.55984,7.4418,0.44016,1.432889158,0.6900830135,F,0.33751,C,0.62571,R36.05,0.00005,R47.4,0.00045,RAI,0.03628,5h4h4d
33.3319,0.55126,6.71807,0.44874,1.487453208,0.6110597153,F,0.28959,C,0.68543,R36.05,0.02498,R47.4,0,RAI,0,5h4d4c
32.6272,0.56309,7.4237,0.43691,1.425413527,0.693525337,F,0.34837,C,0.62327,R36.05,0.00016,R47.4,0.00063,RAI,0.02757,5h5d2h
33.1862,0.55468,6.86517,0.44532,1.47182107,0.6292351884,F,0.30671,C,0.68166,R36.05,0.01161,R47.4,0.00002,RAI,0,5d5c2h
