oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
10.1142,0.42298,13.7865,0.57702,0.9759943724,0.9752069352,X,0.51631,R8.1,0.48369,R16.15,0,R31.85,0,RAI,0,2h2d2c
8.71647,0.40951,15.1823,0.59049,0.8687804638,1.04944597,X,0.47053,R8.1,0.52859,R16.15,0.00088,R31.85,0,RAI,0,3h2h2d
10.3092,0.43883,13.5902,0.56117,0.9588772092,0.9884719966,X,0.4326,R8.1,0.56671,R16.15,0.00069,R31.85,0,RAI,0,3h2d2c
8.65041,0.40666,15.2518,0.59334,0.8682387131,1.049184079,X,0.47414,R8.1,0.5243,R16.15,0.00156,R31.85,0,RAI,0,3h3d2h
10.2748,0.43696,13.6255,0.56304,0.9597665527,0.9877501209,X,0.43652,R8.1,0.56331,R16.15,0.00017,R31.85,0,RAI,0,3d3c2h
10.0137,0.42065,13.8858,0.57935,0.9716420254,0.9782814653,X,0.52383,R8.1,0.47617,R16.15,0,R31.85,0,RAI,0,3h3d3c
8.89473,0.40836,15.0046,0.59164,0.8890444324,1.035145456,X,0.4617,R8.1,0.53775,R16.15,0.00055,R31.85,0,RAI,0,4h2h2d
10.354,0.43718,13.5451,0.56282,0.9666778823,0.9823070139,X,0.43882,R8.1,0.5607,R16.15,0.00048,R31.85,0,RAI,0,4h2d2c
9.78131,0.46413,14.1189,0.53587,0.8601838579,1.075415371,X,0.66285,R8.1,0.3363,R16.15,0.00085,R31.85,0,RAI,0,4h3h2h
7.93895,0.39141,15.9633,0.60859,0.8278755875,1.070607837,X,0.5266,R8.1,0.47285,R16.15,0.00055,R31.85,0,RAI,0,4h3h2d
7.91827,0.39068,15.9809,0.60932,0.8272619806,1.070510201,X,0.52713,R8.1,0.47287,R16.15,0,R31.85,0,RAI,0,4h3d2h
7.82047,0.38798,16.0765,0.61202,0.8227301399,1.072157168,X,0.5322,R8.1,0.4672,R16.15,0.0006,R31.85,0,RAI,0,4d3h2h
8.60296,0.40702,15.2962,0.59298,0.8627124153,1.052875759,X,0.48079,R8.1,0.51859,R16.15,0.00062,R31.85,0,RAI,0,4h3d2c
8.71811,0.40778,15.1824,0.59222,0.8726304263,1.046384413,X,0.45137,R8.1,0.54789,R16.15,0.00074,R31.85,0,RAI,0,4h3h3d
10.1143,0.43598,13.7873,0.56402,0.9468933105,0.9977458247,X,0.42432,R8.1,0.57484,R16.15,0.00085,R31.85,0,RAI,0,4h3d3c
8.2092,0.38961,15.6922,0.61039,0.8600122952,1.049322425,X,0.48927,R8.1,0.51056,R16.15,0.00016,R31.85,0,RAI,0,4h4d2h
9.33991,0.41594,14.5635,0.58406,0.9165283702,1.017753984,X,0.47963,R8.1,0.52034,R16.15,0.00003,R31.85,0,RAI,0,4d4c2h
8.09318,0.39188,15.8061,0.60812,0.842946465,1.060884815,X,0.4734,R8.1,0.52615,R16.15,0.00044,R31.85,0,RAI,0,4h4d3h
9.23202,0.41819,14.6674,0.58181,0.9010668741,1.028979584,X,0.45706,R8.1,0.54283,R16.15,0.00011,R31.85,0,RAI,0,4d4c3h
9.59329,0.41191,14.3082,0.58809,0.9506029788,0.9930563708,X,0.53569,R8.1,0.46431,R16.15,0,R31.85,0,RAI,0,4h4d4c
9.02566,0.40838,14.8755,0.59162,0.902086944,1.026270931,X,0.46106,R8.1,0.53837,R16.15,0.00057,R31.85,0,RAI,0,5h2h2d
10.3504,0.43523,13.5495,0.56477,0.9706695315,0.9792319912,X,0.43867,R8.1,0.56042,R16.15,0.00092,R31.85,0,RAI,0,5h2d2c
9.17849,0.43883,14.724,0.56117,0.8537069983,1.070936768,X,0.65701,R8.1,0.34182,R16.15,0.00117,R31.85,0,RAI,0,5h3h2h
8.29571,0.39839,15.6049,0.60161,0.8499219268,1.058719666,X,0.50554,R8.1,0.49418,R16.15,0.00028,R31.85,0,RAI,0,5d3h2h
8.44057,0.40184,15.4599,0.59816,0.8573388788,1.054930303,X,0.50296,R8.1,0.49594,R16.15,0.0011,R31.85,0,RAI,0,5h3h2d
8.44983,0.40212,15.4517,0.59788,0.8576818553,1.054861875,X,0.50229,R8.1,0.49685,R16.15,0.00087,R31.85,0,RAI,0,5h3d2h
9.29654,0.4168,14.6041,0.5832,0.9103901868,1.022094167,X,0.44304,R8.1,0.55686,R16.15,0.0001,R31.85,0,RAI,0,5h3d2c
8.89925,0.40755,15.0009,0.59245,0.8912641119,1.033471154,X,0.4497,R8.1,0.5494,R16.15,0.0009,R31.85,0,RAI,0,5h3h3d
10.2499,0.43639,13.6495,0.56361,0.9586865502,0.9884871114,X,0.4288,R8.1,0.57039,R16.15,0.00081,R31.85,0,RAI,0,5h3d3c
8.95168,0.43015,14.9482,0.56985,0.8494122968,1.070689859,X,0.65055,R8.1,0.34885,R16.15,0.0006,R31.85,0,RAI,0,5h4h2h
8.81365,0.40978,15.0865,0.59022,0.8778877092,1.043301106,X,0.50202,R8.1,0.48867,R16.15,0.00703,R31.85,0.00001,RAI,0.00228,5h4h2d
8.8274,0.40947,15.0724,0.59053,0.8799229648,1.041776736,X,0.5014,R8.1,0.48771,R16.15,0.00669,R31.85,0.00001,RAI,0.00419,5h4d2h
8.68041,0.40777,15.2196,0.59223,0.8688781859,1.048927114,X,0.50094,R8.1,0.49168,R16.15,0.00661,R31.85,0.00002,RAI,0.00075,5d4h2h
9.52294,0.42602,14.376,0.57398,0.9123783364,1.022291258,X,0.42697,R8.1,0.56912,R16.15,0.00391,R31.85,0,RAI,0,5h4d2c
9.53827,0.45346,14.3633,0.54654,0.8585479115,1.072667138,X,0.65841,R8.1,0.34049,R16.15,0.0011,R31.85,0,RAI,0,5h4h3h
8.38562,0.40503,15.5132,0.59497,0.8450490053,1.064243722,X,0.51466,R8.1,0.48411,R16.15,0.00124,R31.85,0,RAI,0,5d4h3h
8.50936,0.40746,15.3905,0.59254,0.8524047161,1.060153996,X,0.51353,R8.1,0.4851,R16.15,0.00136,R31.85,0,RAI,0,5h4h3d
8.47905,0.4063,15.4221,0.5937,0.8517933878,1.060256524,X,0.51203,R8.1,0.48717,R16.15,0.0008,R31.85,0,RAI,0,5h4d3h
9.23908,0.42289,14.6593,0.57711,0.8917338243,1.036782538,X,0.46002,R8.1,0.53619,R16.15,0.00378,R31.85,0,RAI,0,5h4d3c
8.47309,0.40189,15.4262,0.59811,0.8605349894,1.052718746,X,0.46917,R8.1,0.53081,R16.15,0.00003,R31.85,0,RAI,0,5h4h4d
9.63768,0.43009,14.2645,0.56991,0.9146334181,1.021607774,X,0.44145,R8.1,0.55768,R16.15,0.00087,R31.85,0,RAI,0,5h4d4c
7.90905,0.37798,15.993,0.62202,0.8540620459,1.049441931,X,0.52404,R8.1,0.47595,R16.15,0.00001,R31.85,0,RAI,0,5h5d2h
8.64874,0.40175,15.2533,0.59825,0.8786802485,1.040674136,X,0.50247,R8.1,0.4975,R16.15,0.00003,R31.85,0,RAI,0,5d5c2h
7.90311,0.3804,16.0003,0.6196,0.8479913717,1.054024289,X,0.50779,R8.1,0.49199,R16.15,0.00022,R31.85,0,RAI,0,5h5d3h
8.57794,0.40272,15.3247,0.59728,0.8693881499,1.047242716,X,0.48739,R8.1,0.51245,R16.15,0.00016,R31.85,0,RAI,0,5d5c3h
8.05018,0.38929,15.8502,0.61071,0.8440463127,1.059335692,X,0.49685,R8.1,0.5031,R16.15,0.00005,R31.85,0,RAI,0,5h5d4h
8.92245,0.41384,14.9798,0.58616,0.8800058935,1.043097529,X,0.4655,R8.1,0.53398,R16.15,0.00052,R31.85,0,RAI,0,5d5c4h
9.32919,0.40631,14.5708,0.59369,0.9371742835,1.001748035,X,0.54759,R8.1,0.45241,R16.15,0,R31.85,0,RAI,0,5h5d5c
9.19017,0.42076,14.7101,0.57924,0.8915034373,1.036549585,X,0.48352,R8.1,0.51401,R16.15,0.00247,R31.85,0,RAI,0,6h2h2d
10.2738,0.44291,13.6302,0.55709,0.9467801483,0.9986471846,X,0.45023,R8.1,0.54846,R16.15,0.00132,R31.85,0,RAI,0,6h2d2c
10.0619,0.47819,13.8379,0.52181,0.8588440053,1.082408977,X,0.68867,R8.1,0.30771,R16.15,0.00359,R31.85,0.00002,RAI,0,6h3h2h
8.78243,0.41106,15.1193,0.58894,0.8720539907,1.047841039,X,0.52282,R8.1,0.47711,R16.15,0.00007,R31.85,0,RAI,0,6d3h2h
8.90335,0.41507,14.999,0.58493,0.8755198837,1.046626511,X,0.51162,R8.1,0.48816,R16.15,0.00022,R31.85,0,RAI,0,6h3h2d
8.88037,0.41459,15.0174,0.58541,0.8742711749,1.047055447,X,0.51237,R8.1,0.4875,R16.15,0.00013,R31.85,0,RAI,0,6h3d2h
9.29347,0.43011,14.6078,0.56989,0.8819262865,1.046230506,X,0.44202,R8.1,0.55705,R16.15,0.00094,R31.85,0,RAI,0,6h3d2c
9.08682,0.41908,14.8137,0.58092,0.8850114715,1.04083039,X,0.48414,R8.1,0.51585,R16.15,0.00001,R31.85,0,RAI,0,6h3h3d
10.0997,0.441,13.805,0.559,0.9347632977,1.007992397,X,0.45296,R8.1,0.54586,R16.15,0.00118,R31.85,0,RAI,0,6h3d3c
9.69063,0.46413,14.2105,0.53587,0.8522093047,1.082391623,X,0.67459,R8.1,0.3238,R16.15,0.00161,R31.85,0,RAI,0,6h4h2h
9.2017,0.42213,14.6982,0.57787,0.8897249911,1.038165839,X,0.48782,R8.1,0.51201,R16.15,0.00017,R31.85,0,RAI,0,6d4h2h
9.31141,0.42507,14.5909,0.57493,0.8941058177,1.035862018,X,0.47991,R8.1,0.51988,R16.15,0.00022,R31.85,0,RAI,0,6h4h2d
9.24703,0.42479,14.6529,0.57521,0.8885091714,1.039754484,X,0.48456,R8.1,0.51486,R16.15,0.00058,R31.85,0,RAI,0,6h4d2h
10.013,0.44448,13.8873,0.55552,0.9194876188,1.020358172,X,0.42249,R8.1,0.57614,R16.15,0.00137,R31.85,0,RAI,0,6h4d2c
9.8013,0.46845,14.101,0.53155,0.8539930725,1.082775636,X,0.67679,R8.1,0.32065,R16.15,0.00256,R31.85,0,RAI,0,6h4h3h
9.18119,0.42803,14.7183,0.57197,0.8755050295,1.05030913,X,0.49702,R8.1,0.50212,R16.15,0.00085,R31.85,0,RAI,0,6d4h3h
9.29191,0.431,14.6086,0.569,0.8799574123,1.047927265,X,0.49214,R8.1,0.50679,R16.15,0.00107,R31.85,0,RAI,0,6h4h3d
9.20422,0.42994,14.6961,0.57006,0.8738020524,1.052238669,X,0.49601,R8.1,0.50304,R16.15,0.00095,R31.85,0,RAI,0,6h4d3h
9.77565,0.44262,14.125,0.55738,0.90146427,1.034355298,X,0.42704,R8.1,0.57083,R16.15,0.00213,R31.85,0,RAI,0,6h4d3c
8.75731,0.40903,15.1422,0.59097,0.8738753376,1.045820586,X,0.50211,R8.1,0.49782,R16.15,0.00007,R31.85,0,RAI,0,6h4h4d
9.44962,0.42903,14.4532,0.57097,0.8990018986,1.033199849,X,0.46647,R8.1,0.5334,R16.15,0.00013,R31.85,0,RAI,0,6h4d4c
9.90624,0.47174,13.9928,0.52826,0.8571169269,1.081159007,X,0.68155,R8.1,0.31593,R16.15,0.00253,R31.85,0,RAI,0,6h5h2h
9.18012,0.43086,14.7204,0.56914,0.8696532134,1.055687993,X,0.49058,R8.1,0.50872,R16.15,0.0007,R31.85,0,RAI,0,6h5d2h
9.19683,0.4303,14.7011,0.5697,0.8723699984,1.053264717,X,0.48832,R8.1,0.51087,R16.15,0.00081,R31.85,0,RAI,0,6h5h2d
9.16639,0.42838,14.7325,0.57162,0.8733796478,1.051969047,X,0.48917,R8.1,0.51011,R16.15,0.00072,R31.85,0,RAI,0,6d5h2h
9.77449,0.44669,14.1267,0.55331,0.8931446779,1.042092209,X,0.42789,R8.1,0.5704,R16.15,0.00171,R31.85,0,RAI,0,6h5d2c
9.96871,0.47394,13.9321,0.52606,0.8585181827,1.080977086,X,0.68379,R8.1,0.31248,R16.15,0.00373,R31.85,0,RAI,0,6h5h3h
9.23543,0.43486,14.6638,0.56514,0.8668452482,1.05906714,X,0.50433,R8.1,0.49465,R16.15,0.00102,R31.85,0,RAI,0,6h5h3d
9.16409,0.43404,14.7353,0.56596,0.8617742318,1.062694985,X,0.50452,R8.1,0.49458,R16.15,0.0009,R31.85,0,RAI,0,6h5d3h
9.22845,0.43362,14.672,0.56638,0.868667073,1.057340876,X,0.50313,R8.1,0.49605,R16.15,0.00081,R31.85,0,RAI,0,6d5h3h
9.60621,0.44592,14.2926,0.55408,0.8792837334,1.052863464,X,0.43401,R8.1,0.5642,R16.15,0.00179,R31.85,0,RAI,0,6h5d3c
10.3011,0.48465,13.5996,0.51535,0.8675379074,1.077105932,X,0.70997,R8.1,0.28346,R16.15,0.00655,R31.85,0.00002,RAI,0,6h5h4h
8.76341,0.42552,15.136,0.57448,0.8405954737,1.075399525,X,0.55321,R8.1,0.44578,R16.15,0.00101,R31.85,0,RAI,0,6d5h4h
