oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
10.032,0.43878,21.9687,0.56122,0.9331969441,1.200750162,F,0.50374,C,0.07551,R22.35,0.4206,R30.5,0.00015,R41.9,0,R56.95,0,RAI,0,2h2d2c
8.13213,0.41479,23.8671,0.58521,0.8002209705,1.251034794,F,0.48967,C,0.27412,R22.35,0.07603,R30.5,0.04397,R41.9,0.00891,R56.95,0.01477,RAI,0.09252,3h2h2d
10.1188,0.44306,21.8808,0.55694,0.9321821669,1.205137941,F,0.44253,C,0.22649,R22.35,0.2916,R30.5,0.03938,R41.9,0,R56.95,0,RAI,0,3h2d2c
8.09446,0.41256,23.9079,0.58744,0.8008195524,1.2484204,F,0.49774,C,0.26248,R22.35,0.08125,R30.5,0.04286,R41.9,0.00851,R56.95,0.00909,RAI,0.09806,3h3d2h
10.0902,0.44186,21.9103,0.55814,0.9320710729,1.204168327,F,0.44971,C,0.21248,R22.35,0.30343,R30.5,0.03425,R41.9,0.00014,R56.95,0,RAI,0,3d3c2h
9.97034,0.43678,22.029,0.56322,0.9317107894,1.199775177,F,0.51413,C,0.05609,R22.35,0.42953,R30.5,0.00025,R41.9,0,R56.95,0,RAI,0,3h3d3c
8.24688,0.41377,23.7532,0.58623,0.8135131538,1.242900923,F,0.48999,C,0.26101,R22.35,0.12795,R30.5,0.05267,R41.9,0.00414,R56.95,0.00762,RAI,0.05663,4h2h2d
10.1213,0.44187,21.8782,0.55813,0.9349189506,1.202425548,F,0.44482,C,0.22823,R22.35,0.29385,R30.5,0.03311,R41.9,0,R56.95,0,RAI,0,4h2d2c
7.81161,0.45234,24.1904,0.54766,0.704870736,1.354923026,F,0.38753,C,0.54301,R22.35,0.06925,R30.5,0.00022,R41.9,0,R56.95,0,RAI,0,4h3h2h
6.57752,0.38828,25.4246,0.61172,0.6914345235,1.274923141,F,0.51329,C,0.24316,R22.35,0.22237,R30.5,0.00287,R41.9,0.00016,R56.95,0.00301,RAI,0.01514,4h3h2d
6.56239,0.38785,25.437,0.61215,0.6906088855,1.274647425,F,0.51564,C,0.24016,R22.35,0.22329,R30.5,0.00278,R41.9,0.00027,R56.95,0.0018,RAI,0.01606,4h3d2h
6.48339,0.38675,25.5145,0.61325,0.6842356785,1.276237107,F,0.52436,C,0.22854,R22.35,0.23273,R30.5,0.00504,R41.9,0.00005,R56.95,0.00085,RAI,0.00842,4d3h2h
7.70833,0.40944,24.2914,0.59056,0.7684293481,1.261740965,F,0.49732,C,0.1983,R22.35,0.30374,R30.5,0.00065,R41.9,0,R56.95,0,RAI,0,4h3d2c
8.01343,0.4092,23.9864,0.5908,0.7993126851,1.245395668,F,0.48662,C,0.27551,R22.35,0.09812,R30.5,0.07734,R41.9,0.00419,R56.95,0.00941,RAI,0.04882,4h3h3d
9.83697,0.4378,22.1651,0.5622,0.9171059891,1.209377393,F,0.42744,C,0.28515,R22.35,0.21033,R30.5,0.07708,R41.9,0,R56.95,0,RAI,0,4h3d3c
7.44124,0.39795,24.5604,0.60205,0.7632217106,1.251370204,F,0.53969,C,0.18829,R22.35,0.18968,R30.5,0.05866,R41.9,0.00235,R56.95,0.00145,RAI,0.01989,4h4d2h
8.95754,0.42448,23.0455,0.57552,0.8613217751,1.228309885,F,0.51679,C,0.10135,R22.35,0.37448,R30.5,0.00736,R41.9,0.00002,R56.95,0,RAI,0,4d4c2h
7.24895,0.39536,24.7513,0.60464,0.7483698797,1.25569467,F,0.53192,C,0.21646,R22.35,0.14035,R30.5,0.09099,R41.9,0.00215,R56.95,0.00074,RAI,0.0174,4h4d3h
8.81242,0.42502,23.1864,0.57498,0.846290998,1.236979276,F,0.49545,C,0.16143,R22.35,0.3122,R30.5,0.03059,R41.9,0.00033,R56.95,0,RAI,0,4d4c3h
9.53765,0.4294,22.4638,0.5706,0.9065948856,1.207632131,F,0.52932,C,0.04707,R22.35,0.42338,R30.5,0.00023,R41.9,0,R56.95,0,RAI,0,4h4d4c
8.40641,0.41419,23.5944,0.58581,0.8284091578,1.235477701,F,0.48418,C,0.2539,R22.35,0.18332,R30.5,0.02711,R41.9,0.00289,R56.95,0.00791,RAI,0.04069,5h2h2d
10.1054,0.43934,21.895,0.56066,0.9388294122,1.197918238,F,0.44774,C,0.22097,R22.35,0.30868,R30.5,0.02261,R41.9,0,R56.95,0,RAI,0,5h2d2c
7.38921,0.43471,24.6134,0.56529,0.6937968303,1.335619398,F,0.43589,C,0.41665,R22.35,0.14684,R30.5,0.00056,R41.9,0.00006,R56.95,0,RAI,0,5h3h2h
6.99283,0.39323,25.0072,0.60677,0.7258389006,1.264219617,F,0.49406,C,0.26518,R22.35,0.1792,R30.5,0.00174,R41.9,0.00195,R56.95,0.01088,RAI,0.047,5d3h2h
7.10986,0.39558,24.8901,0.60442,0.7336022287,1.263195931,F,0.48074,C,0.2852,R22.35,0.15273,R30.5,0.0009,R41.9,0.00293,R56.95,0.01993,RAI,0.05756,5h3h2d
7.11863,0.39597,24.882,0.60403,0.7337837043,1.263599174,F,0.48018,C,0.28514,R22.35,0.15469,R30.5,0.00086,R41.9,0.00281,R56.95,0.01889,RAI,0.05743,5h3d2h
8.6001,0.41473,23.3999,0.58527,0.846392741,1.226423629,F,0.469,C,0.23735,R22.35,0.25295,R30.5,0.00544,R41.9,0,R56.95,0.00007,RAI,0.03519,5h3d2c
8.29588,0.4107,23.7044,0.5893,0.8244640014,1.23388678,F,0.48725,C,0.25762,R22.35,0.16154,R30.5,0.04588,R41.9,0.00297,R56.95,0.00955,RAI,0.03518,5h3h3d
9.99025,0.43914,22.0091,0.56086,0.9285542164,1.203731512,F,0.42853,C,0.27126,R22.35,0.24907,R30.5,0.05113,R41.9,0,R56.95,0,RAI,0,5h3d3c
7.25926,0.42806,24.7424,0.57194,0.6921841263,1.32701023,F,0.45597,C,0.36795,R22.35,0.17595,R30.5,0.00013,R41.9,0,R56.95,0,RAI,0,5h4h2h
7.51514,0.39754,24.4849,0.60246,0.7715963378,1.246674854,F,0.4439,C,0.34176,R22.35,0.10102,R30.5,0.00096,R41.9,0.00465,R56.95,0.02945,RAI,0.07826,5h4h2d
7.53379,0.39801,24.4661,0.60199,0.7725977947,1.246690367,F,0.446,C,0.33978,R22.35,0.10048,R30.5,0.00131,R41.9,0.00533,R56.95,0.02711,RAI,0.07999,5h4d2h
7.33394,0.39588,24.6665,0.60412,0.7561495418,1.25247023,F,0.4526,C,0.3332,R22.35,0.10436,R30.5,0.00199,R41.9,0.00544,R56.95,0.02829,RAI,0.07412,5d4h2h
8.63559,0.41612,23.3635,0.58388,0.8470466477,1.227431435,F,0.4223,C,0.32075,R22.35,0.1702,R30.5,0.01055,R41.9,0.00065,R56.95,0.00437,RAI,0.07118,5h4d2c
7.59971,0.44472,24.4048,0.55528,0.6975000998,1.348172939,F,0.41122,C,0.4664,R22.35,0.12203,R30.5,0.00035,R41.9,0,R56.95,0,RAI,0,5h4h3h
6.88933,0.39556,25.1093,0.60444,0.7108836631,1.274275916,F,0.47316,C,0.29844,R22.35,0.18228,R30.5,0.00071,R41.9,0.00006,R56.95,0.01127,RAI,0.03408,5d4h3h
7.02137,0.39705,24.9788,0.60295,0.7217895297,1.270785799,F,0.46312,C,0.30609,R22.35,0.18612,R30.5,0.00011,R41.9,0.00013,R56.95,0.01284,RAI,0.03159,5h4h3d
6.99924,0.39638,25.0023,0.60362,0.7207307555,1.27056793,F,0.46772,C,0.30154,R22.35,0.18629,R30.5,0.00015,R41.9,0.00024,R56.95,0.01324,RAI,0.03082,5h4d3h
8.30162,0.41769,23.696,0.58231,0.8112274803,1.248254058,F,0.43808,C,0.27323,R22.35,0.28707,R30.5,0.00143,R41.9,0.00001,R56.95,0.00008,RAI,0.00011,5h4d3c
7.79811,0.40412,24.2004,0.59588,0.7876130996,1.245793742,F,0.51325,C,0.22706,R22.35,0.17915,R30.5,0.07288,R41.9,0.0002,R56.95,0.0006,RAI,0.00686,5h4h4d
9.3012,0.43121,22.7017,0.56879,0.8804081605,1.224303758,F,0.44077,C,0.26417,R22.35,0.25056,R30.5,0.0445,R41.9,0,R56.95,0,RAI,0,5h4d4c
7.01672,0.38816,24.9855,0.61184,0.737831653,1.252660662,F,0.56687,C,0.12843,R22.35,0.29107,R30.5,0.01297,R41.9,0.00049,R56.95,0,RAI,0.00016,5h5d2h
7.95166,0.40982,24.0498,0.59018,0.7919515031,1.24999926,F,0.54641,C,0.06618,R22.35,0.38182,R30.5,0.00559,R41.9,0,R56.95,0,RAI,0,5d5c2h
