oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
,,,,,,F,0.60228,C,0.05223,R36.05,0.11639,R47.4,0.12494,RAI,0.10416,2h2d2c
7.74931,0.39792,32.3758,0.60208,0.7948792675,1.32283407,F,0.60913,C,0.15526,R36.05,0.04663,R47.4,0.09144,RAI,0.09753,3h2h2d
10.7831,0.46608,29.1154,0.53392,0.9443171642,1.341486539,F,0.56209,C,0.16256,R36.05,0.16174,R47.4,0.04562,RAI,0.06799,3h2d2c
7.62905,0.4058,32.439,0.5942,0.7673478944,1.342994197,F,0.61598,C,0.13635,R36.05,0.08815,R47.4,0.0703,RAI,0.08923,3h3d2h
9.90329,0.42387,31.0677,0.57613,0.9536318036,1.326564492,F,0.56786,C,0.1462,R36.05,0.15789,R47.4,0.05765,RAI,0.0704,3d3c2h
,,,,,,F,0.60541,C,0.05229,R36.05,0.11614,R47.4,0.11773,RAI,0.10843,3h3d3c
8.74703,0.44092,31.0521,0.55908,0.8097197836,1.366333181,F,0.61068,C,0.14637,R36.05,0.11925,R47.4,0.06313,RAI,0.06057,4h2h2d
10.0262,0.44369,30.422,0.55631,0.9223400404,1.34527406,F,0.55787,C,0.19309,R36.05,0.14786,R47.4,0.04607,RAI,0.05511,4h2d2c
6.06542,0.46328,33.6062,0.53672,0.5343813105,1.540320034,F,0.53194,C,0.38966,R36.05,0.06463,R47.4,0.00889,RAI,0.00489,4h3h2h
5.21035,0.35398,35.0417,0.64602,0.6007891563,1.334375825,F,0.62261,C,0.18303,R36.05,0.06831,R47.4,0.04001,RAI,0.08605,4h3h2d
-5.40368,0.13063,47.425,0.86937,-1.688420414,1.341966863,F,0.6138,C,0.18947,R36.05,0.07798,R47.4,0.03062,RAI,0.08812,4h3d2h
5.06796,0.34534,35.5948,0.65466,0.5989908304,1.337550531,F,0.63053,C,0.17738,R36.05,0.06912,R47.4,0.04341,RAI,0.07956,4d3h2h
6.44886,0.40248,33.6972,0.59752,0.6539921942,1.387334944,F,0.60419,C,0.16679,R36.05,0.09537,R47.4,0.06017,RAI,0.07349,4h3d2c
8.05833,0.4097,32.1131,0.5903,0.8028103649,1.338284963,F,0.61457,C,0.15845,R36.05,0.10216,R47.4,0.05798,RAI,0.06684,4h3h3d
10.3502,0.44106,29.7477,0.55894,0.9578251709,1.309266212,F,0.551,C,0.22089,R36.05,0.13473,R47.4,0.04365,RAI,0.04974,4h3d3c
5.14879,0.32387,36.4529,0.67613,0.6488859326,1.326296851,F,0.63729,C,0.13227,R36.05,0.10074,R47.4,0.05149,RAI,0.07821,4h4d2h
14.5179,0.67345,25.034,0.32655,0.8798998867,1.885908149,F,0.60435,C,0.10173,R36.05,0.16292,R47.4,0.05468,RAI,0.07631,4d4c2h
6.97198,0.39512,33.2839,0.60488,0.7202131499,1.353642773,F,0.63398,C,0.14397,R36.05,0.08844,R47.4,0.05377,RAI,0.07985,4h4d3h
7.38961,0.33584,33.8085,0.66416,0.8980965309,1.252255366,F,0.59558,C,0.13304,R36.05,0.16751,R47.4,0.04534,RAI,0.05853,4d4c3h
,,,,,,F,0.6169,C,0.0436,R36.05,0.13516,R47.4,0.09108,RAI,0.11326,4h4d4c
8.93612,0.45023,30.7655,0.54977,0.8101183645,1.376648117,F,0.60706,C,0.15868,R36.05,0.10346,R47.4,0.05464,RAI,0.07616,5h2h2d
10.4745,0.44773,29.744,0.55227,0.9548848537,1.32491174,F,0.55653,C,0.20324,R36.05,0.15769,R47.4,0.03741,RAI,0.04512,5h2d2c
6.34869,0.43335,34.3106,0.56665,0.5979697873,1.489540328,F,0.56208,C,0.34555,R36.05,0.06384,R47.4,0.01746,RAI,0.01107,5h3h2h
3.38173,0.28446,38.3508,0.71554,0.4852344626,1.318500131,F,0.61017,C,0.18765,R36.05,0.05119,R47.4,0.05314,RAI,0.09786,5d3h2h
5.83985,0.36869,34.161,0.63131,0.6465084852,1.331151106,F,0.60087,C,0.19679,R36.05,0.05004,R47.4,0.05219,RAI,0.10011,5h3h2d
6.22473,0.37855,33.6598,0.62145,0.6711679237,1.332429266,F,0.6007,C,0.19625,R36.05,0.04969,R47.4,0.05239,RAI,0.10098,5h3d2h
5.39769,0.39762,35.4129,0.60238,0.5540814706,1.446208059,F,0.58387,C,0.17655,R36.05,0.08921,R47.4,0.07582,RAI,0.07456,5h3d2c
8.32771,0.40817,31.8773,0.59183,0.8327572448,1.325024768,F,0.61227,C,0.16733,R36.05,0.05965,R47.4,0.07562,RAI,0.08513,5h3h3d
10.6392,0.4519,29.3645,0.5481,0.960953086,1.317960958,F,0.54735,C,0.2283,R36.05,0.14277,R47.4,0.03982,RAI,0.04175,5h3d3c
6.35229,0.45822,33.4123,0.54178,0.5658355076,1.517130738,F,0.58067,C,0.31238,R36.05,0.07919,R47.4,0.01748,RAI,0.01029,5h4h2h
7.1959,0.37854,32.855,0.62146,0.7759026666,1.300553961,F,0.56485,C,0.2442,R36.05,0.03597,R47.4,0.046,RAI,0.10898,5h4h2d
