oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
15.8287,0.55577,8.57106,0.44423,1.139225949,0.7717678112,X,0.12229,R8.25,0.59918,R16.5,0.27853,R32.5,0,RAI,0,2h2d2c
14.0167,0.53969,10.3833,0.46031,1.038872675,0.9022858098,X,0.37428,R8.25,0.32456,R16.5,0.30042,R32.5,0.00074,RAI,0,3h2h2d
14.7577,0.5465,9.64249,0.4535,1.080160271,0.8504952883,X,0.33842,R8.25,0.22603,R16.5,0.43555,R32.5,0,RAI,0,3h2d2c
14.2532,0.54153,10.1472,0.45847,1.052806687,0.8853072486,X,0.35879,R8.25,0.32422,R16.5,0.31619,R32.5,0.0008,RAI,0,3h3d2h
15.0115,0.5483,9.38887,0.4517,1.095128147,0.8314252999,X,0.32504,R8.25,0.23019,R16.5,0.44477,R32.5,0,RAI,0,3d3c2h
15.9977,0.55687,8.40216,0.44313,1.149117046,0.758437474,X,0.08703,R8.25,0.63397,R16.5,0.27901,R32.5,0,RAI,0,3h3d3c
13.8714,0.53662,10.5284,0.46338,1.033983812,0.9088341946,X,0.38089,R8.25,0.35687,R16.5,0.26223,R32.5,0.00001,RAI,0,4h2h2d
14.5715,0.54282,9.82849,0.45718,1.073765926,0.8599230412,X,0.36606,R8.25,0.23987,R16.5,0.39406,R32.5,0,RAI,0,4h2d2c
11.4279,0.51508,12.9719,0.48492,0.8874645367,1.070021493,X,0.92154,R8.25,0.07584,R16.5,0.00262,R32.5,0,RAI,0,4h3h2h
11.6554,0.51881,12.7444,0.48119,0.8986280465,1.05940444,X,0.50832,R8.25,0.30759,R16.5,0.18394,R32.5,0.00013,RAI,0.00003,4h3h2d
11.6838,0.51906,12.7163,0.48094,0.9003798685,1.057622922,X,0.50383,R8.25,0.31006,R16.5,0.1859,R32.5,0.0002,RAI,0.00001,4h3d2h
11.6303,0.51864,12.77,0.48136,0.8969859636,1.061156782,X,0.51068,R8.25,0.31852,R16.5,0.17074,R32.5,0.00006,RAI,0,4d3h2h
12.022,0.52383,12.3779,0.47617,0.9180085087,1.039786631,X,0.47203,R8.25,0.28576,R16.5,0.24221,R32.5,0,RAI,0,4h3d2c
13.6903,0.53447,10.7093,0.46553,1.024592514,0.9201803849,X,0.41338,R8.25,0.28182,R16.5,0.30449,R32.5,0.00031,RAI,0,4h3h3d
14.3762,0.54065,10.0239,0.45935,1.063624152,0.8728794877,X,0.40877,R8.25,0.20192,R16.5,0.38931,R32.5,0,RAI,0,4h3d3c
13.7257,0.5372,10.6744,0.4628,1.02202093,0.9225955041,X,0.34711,R8.25,0.40439,R16.5,0.24847,R32.5,0.00003,RAI,0,4h4d2h
14.4441,0.54362,9.95572,0.45638,1.062810802,0.8725815976,X,0.32243,R8.25,0.30253,R16.5,0.37503,R32.5,0,RAI,0,4d4c2h
13.3203,0.53296,11.0797,0.46704,0.9997245365,0.9489319954,X,0.3973,R8.25,0.32936,R16.5,0.27312,R32.5,0.00022,RAI,0,4h4d3h
14.0048,0.53936,10.3953,0.46064,1.03861989,0.9026841007,X,0.37773,R8.25,0.25941,R16.5,0.36286,R32.5,0.00001,RAI,0,4d4c3h
15.5738,0.55143,8.82619,0.44857,1.129704259,0.787051273,X,0.10502,R8.25,0.62412,R16.5,0.27086,R32.5,0,RAI,0,4h4d4c
13.8212,0.534,10.5786,0.466,1.035298162,0.908037785,X,0.38389,R8.25,0.35795,R16.5,0.25816,R32.5,0,RAI,0,5h2h2d
14.4273,0.53919,9.97293,0.46081,1.070297276,0.865686928,X,0.41244,R8.25,0.21589,R16.5,0.37167,R32.5,0,RAI,0,5h2d2c
11.8963,0.52199,12.5036,0.47801,0.9116151558,1.046306957,X,0.77698,R8.25,0.2116,R16.5,0.01142,R32.5,0,RAI,0,5h3h2h
12.6008,0.52531,11.7992,0.47469,0.959494397,0.9942665602,X,0.48659,R8.25,0.25951,R16.5,0.22907,R32.5,0.0038,RAI,0.02102,5d3h2h
12.7516,0.52635,11.6485,0.47365,0.9690623607,0.9837238689,X,0.49426,R8.25,0.23605,R16.5,0.23332,R32.5,0.00478,RAI,0.03159,5h3h2d
12.7786,0.52658,11.6217,0.47342,0.970687861,0.9819391226,X,0.49145,R8.25,0.23607,R16.5,0.23601,R32.5,0.00392,RAI,0.03255,5h3d2h
13.1858,0.53138,11.2143,0.46862,0.9925710524,0.9572233103,X,0.45208,R8.25,0.22878,R16.5,0.31913,R32.5,0.00001,RAI,0,5h3d2c
13.6986,0.53274,10.7014,0.46726,1.028541533,0.9161006934,X,0.41582,R8.25,0.29484,R16.5,0.28933,R32.5,0,RAI,0,5h3h3d
14.3045,0.53801,10.0956,0.46199,1.063514069,0.874095947,X,0.43689,R8.25,0.19809,R16.5,0.36502,R32.5,0,RAI,0,5h3d3c
11.6042,0.51689,12.797,0.48311,0.8980038434,1.05954831,X,0.79778,R8.25,0.18949,R16.5,0.01273,R32.5,0,RAI,0,5h4h2h
12.2748,0.52003,12.1258,0.47997,0.9441639785,1.01054895,X,0.60467,R8.25,0.10468,R16.5,0.19509,R32.5,0.01851,RAI,0.07705,5h4h2d
12.4545,0.52186,11.9457,0.47814,0.9546207842,0.9993500059,X,0.58209,R8.25,0.10728,R16.5,0.21237,R32.5,0.01232,RAI,0.08593,5h4d2h
12.3442,0.52103,12.056,0.47897,0.9476805187,1.006828024,X,0.58099,R8.25,0.11824,R16.5,0.21397,R32.5,0.01034,RAI,0.07646,5d4h2h
12.752,0.52647,11.6485,0.47353,0.9688650572,0.9839706112,X,0.55251,R8.25,0.11683,R16.5,0.32827,R32.5,0.00239,RAI,0,5h4d2c
10.9327,0.5056,13.4675,0.4944,0.8649311906,1.08960517,X,0.96043,R8.25,0.03564,R16.5,0.00393,R32.5,0,RAI,0,5h4h3h
10.8071,0.5068,13.5924,0.4932,0.8529676704,1.102386011,X,0.65131,R8.25,0.23867,R16.5,0.04663,R32.5,0.02778,RAI,0.03561,5d4h3h
10.7729,0.50612,13.6269,0.49388,0.8514122421,1.103662399,X,0.66352,R8.25,0.21529,R16.5,0.05226,R32.5,0.0273,RAI,0.04163,5h4h3d
10.9001,0.50761,13.5001,0.49239,0.8589357775,1.096700541,X,0.64573,R8.25,0.2321,R16.5,0.05695,R32.5,0.02525,RAI,0.03997,5h4d3h
11.0009,0.51117,13.3995,0.48883,0.8608376529,1.09645643,X,0.61463,R8.25,0.23011,R16.5,0.13862,R32.5,0.01664,RAI,0,5h4d3c
12.7631,0.5261,11.6371,0.4739,0.9703949961,0.9822452035,X,0.44284,R8.25,0.30893,R16.5,0.24819,R32.5,0.00004,RAI,0,5h4h4d
13.6566,0.53414,10.7434,0.46586,1.022701186,0.9224530818,X,0.44927,R8.25,0.19261,R16.5,0.35812,R32.5,0,RAI,0,5h4d4c
13.1184,0.53187,11.2816,0.46813,0.9865876944,0.9639681392,X,0.37224,R8.25,0.44825,R16.5,0.17951,R32.5,0,RAI,0,5h5d2h
13.7171,0.5376,10.6829,0.4624,1.020616826,0.924122891,X,0.35944,R8.25,0.31145,R16.5,0.32911,R32.5,0,RAI,0,5d5c2h
12.7747,0.52849,11.6257,0.47151,0.9668822121,0.9862543908,X,0.41416,R8.25,0.38919,R16.5,0.19665,R32.5,0,RAI,0,5h5d3h
