oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
32.602,0.56152,8.29862,0.43848,1.399040829,0.7570352507,F,0.30473,C,0.56973,R36.8,0.12554,R48.4,0,RAI,0,2h2d2c
33.3304,0.56471,7.56972,0.43529,1.4222193,0.6956024387,F,0.33623,C,0.59744,R36.8,0.00022,R48.4,0.00472,RAI,0.06138,3h2h2d
32.9066,0.56245,7.99453,0.43755,1.409776798,0.7308449365,F,0.30458,C,0.5919,R36.8,0.08362,R48.4,0.00061,RAI,0.01928,3h2d2c
33.5238,0.56562,7.37701,0.43438,1.428172864,0.6793139607,F,0.33558,C,0.60038,R36.8,0.0003,R48.4,0.00471,RAI,0.05903,3h3d2h
33.1159,0.56356,7.7842,0.43644,1.41595214,0.7134268492,F,0.30559,C,0.59005,R36.8,0.08563,R48.4,0.00131,RAI,0.01742,3d3c2h
32.6003,0.56086,8.30102,0.43914,1.400615883,0.7561160286,F,0.30645,C,0.56501,R36.8,0.12854,R48.4,0,RAI,0,3h3d3c
33.2341,0.56277,7.66584,0.43723,1.422998154,0.7013096363,F,0.33555,C,0.5967,R36.8,0.00034,R48.4,0.00273,RAI,0.06468,4h2h2d
32.8018,0.55879,8.09835,0.44121,1.414492919,0.7341945595,F,0.30977,C,0.58045,R36.8,0.1095,R48.4,0.00014,RAI,0.00016,4h2d2c
31.3312,0.54157,9.7035,0.45843,1.394037493,0.8466723346,F,0.43848,C,0.53619,R36.8,0.01062,R48.4,0.00881,RAI,0.0059,4h3h2h
31.2266,0.57097,9.67548,0.42903,1.317840245,0.9020795621,F,0.36697,C,0.54974,R36.8,0,R48.4,0.00015,RAI,0.08313,4h3h2d
31.2562,0.57102,9.64343,0.42898,1.318975132,0.8991962251,F,0.36735,C,0.54963,R36.8,0,R48.4,0.00008,RAI,0.08295,4h3d2h
31.2313,0.57083,9.66815,0.42917,1.318361869,0.9011020963,F,0.36703,C,0.55365,R36.8,0,R48.4,0.00004,RAI,0.07929,4d3h2h
31.4777,0.56101,9.42364,0.43899,1.352023625,0.8586656022,F,0.31376,C,0.62563,R36.8,0.00028,R48.4,0.00012,RAI,0.06021,4h3d2c
33.1311,0.56247,7.76777,0.43753,1.419345013,0.7101473837,F,0.34129,C,0.58383,R36.8,0.00015,R48.4,0.00099,RAI,0.07373,4h3h3d
33.0581,0.56023,7.84165,0.43977,1.421881126,0.7132500876,F,0.30529,C,0.59329,R36.8,0.09898,R48.4,0.00075,RAI,0.00168,4h3d3c
33.0876,0.56338,7.8116,0.43662,1.415193587,0.7156429171,F,0.34344,C,0.5984,R36.8,0.00001,R48.4,0.00049,RAI,0.05767,4h4d2h
32.5161,0.5581,8.38424,0.4419,1.403908243,0.758926442,F,0.31522,C,0.58368,R36.8,0.10108,R48.4,0.00001,RAI,0.00001,4d4c2h
32.7703,0.56192,8.12853,0.43808,1.405264146,0.7421958831,F,0.34884,C,0.58304,R36.8,0.00015,R48.4,0.00133,RAI,0.06665,4h4d3h
32.5546,0.55802,8.3454,0.44198,1.405770749,0.755273974,F,0.30978,C,0.59915,R36.8,0.09037,R48.4,0.00019,RAI,0.00051,4d4c3h
32.3171,0.55609,8.58404,0.44391,1.4003576,0.7734936934,F,0.30038,C,0.58458,R36.8,0.11505,R48.4,0,RAI,0,4h4d4c
33.1248,0.55977,7.77396,0.44023,1.425922525,0.7063543968,F,0.33433,C,0.59427,R36.8,0.00128,R48.4,0.00238,RAI,0.06774,5h2h2d
32.8916,0.5566,8.00858,0.4434,1.423945737,0.7224700305,F,0.31112,C,0.57493,R36.8,0.11375,R48.4,0.00011,RAI,0.00009,5h2d2c
30.9691,0.54842,9.94995,0.45158,1.360715109,0.8813455408,F,0.44024,C,0.52682,R36.8,0.01333,R48.4,0.01185,RAI,0.00775,5h3h2h
32.5246,0.57338,8.37493,0.42662,1.366852819,0.7852355964,F,0.36036,C,0.54891,R36.8,0,R48.4,0.00002,RAI,0.09072,5d3h2h
32.6838,0.574,8.21777,0.426,1.372060337,0.7716215626,F,0.36085,C,0.54462,R36.8,0,R48.4,0.0002,RAI,0.09433,5h3h2d
