oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
24.6711,0.56193,7.97952,0.43807,1.320429933,0.7286068307,F,0.15438,C,0.67692,R22.8,0.156,R31.1,0.01269,R42.7,0,R58.05,0,RAI,0,2h2d2c
23.3974,0.56045,9.25893,0.43955,1.255563573,0.8425826364,F,0.17204,C,0.70996,R22.8,0.08729,R31.1,0.01956,R42.7,0.0049,R58.05,0.00318,RAI,0.00306,3h2h2d
24.8499,0.5679,7.80315,0.4321,1.31601583,0.7223466987,F,0.1464,C,0.68162,R22.8,0.11188,R31.1,0.05453,R42.7,0.00379,R58.05,0.00102,RAI,0.00076,3h2d2c
23.488,0.56101,9.16976,0.43899,1.2591705,0.8355324554,F,0.17252,C,0.71315,R22.8,0.08711,R31.1,0.01953,R42.7,0.00364,R58.05,0.00204,RAI,0.00201,3h3d2h
24.9282,0.56782,7.72592,0.43218,1.320346869,0.7150650585,F,0.14784,C,0.68233,R22.8,0.1101,R31.1,0.05652,R42.7,0.00259,R58.05,0.00039,RAI,0.00023,3d3c2h
24.5299,0.55988,8.12063,0.44012,1.317676544,0.7380378125,F,0.15521,C,0.67488,R22.8,0.16268,R31.1,0.00724,R42.7,0,R58.05,0,RAI,0,3h3d3c
23.5305,0.5608,9.1265,0.4392,1.261917413,0.8311930639,F,0.17213,C,0.69432,R22.8,0.12083,R31.1,0.00884,R42.7,0.00184,R58.05,0.00084,RAI,0.00119,4h2h2d
25.1479,0.56777,7.4961,0.43223,1.332102946,0.693713997,F,0.14436,C,0.68045,R22.8,0.11574,R31.1,0.05296,R42.7,0.00392,R58.05,0.00141,RAI,0.00116,4h2d2c
23.8247,0.55346,8.8312,0.44654,1.29463937,0.7910780387,F,0.26471,C,0.73528,R22.8,0.00001,R31.1,0,R42.7,0,R58.05,0,RAI,0,4h3h2h
22.2506,0.56002,10.4009,0.43998,1.194939554,0.9455802874,F,0.17888,C,0.75057,R22.8,0.02994,R31.1,0.00114,R42.7,0.00001,R58.05,0.00137,RAI,0.0381,4h3h2d
22.2462,0.56001,10.4042,0.43999,1.194727781,0.9458577943,F,0.1787,C,0.75083,R22.8,0.03055,R31.1,0.00085,R42.7,0.00001,R58.05,0.00125,RAI,0.03781,4h3d2h
22.1629,0.56014,10.4881,0.43986,1.189975299,0.9537689634,F,0.17992,C,0.75159,R22.8,0.02982,R31.1,0.00034,R42.7,0.00001,R58.05,0.00035,RAI,0.03798,4d3h2h
22.2665,0.55554,10.3806,0.44446,1.205437718,0.9342176857,F,0.13965,C,0.76205,R22.8,0.03752,R31.1,0.05982,R42.7,0.00095,R58.05,0,RAI,0,4h3d2c
23.5556,0.55897,9.08998,0.44103,1.267402587,0.8244319175,F,0.17421,C,0.69703,R22.8,0.09461,R31.1,0.0155,R42.7,0.0076,R58.05,0.00541,RAI,0.00564,4h3h3d
25.1346,0.56523,7.51845,0.43477,1.337381386,0.6917174589,F,0.15227,C,0.67236,R22.8,0.09833,R31.1,0.06099,R42.7,0.00732,R58.05,0.00466,RAI,0.00407,4h3d3c
22.7748,0.55955,9.87561,0.44045,1.224118535,0.8968654846,F,0.17259,C,0.72691,R22.8,0.09829,R31.1,0.00215,R42.7,0.00005,R58.05,0,RAI,0.00001,4h4d2h
24.1778,0.56327,8.47417,0.43673,1.29094894,0.7761472564,F,0.14753,C,0.70543,R22.8,0.11442,R31.1,0.03263,R42.7,0,R58.05,0,RAI,0,4d4c2h
22.797,0.55832,9.85179,0.44168,1.228014337,0.8922106605,F,0.17553,C,0.71511,R22.8,0.09914,R31.1,0.00933,R42.7,0.00017,R58.05,0.00009,RAI,0.00063,4h4d3h
24.1013,0.56246,8.54899,0.43754,1.288715819,0.7815505191,F,0.15485,C,0.69639,R22.8,0.08861,R31.1,0.05604,R42.7,0.00305,R58.05,0.00066,RAI,0.0004,4d4c3h
24.1273,0.55409,8.52248,0.44591,1.309593701,0.7645022432,F,0.14638,C,0.69722,R22.8,0.15331,R31.1,0.00309,R42.7,0,R58.05,0,RAI,0,4h4d4c
23.491,0.55965,9.16027,0.44035,1.26238722,0.832089912,F,0.16717,C,0.70158,R22.8,0.1272,R31.1,0.00398,R42.7,0.00003,R58.05,0,RAI,0.00005,5h2h2d
25.262,0.56682,7.38937,0.43318,1.340391205,0.6823371245,F,0.14194,C,0.67929,R22.8,0.12323,R31.1,0.04477,R42.7,0.00552,R58.05,0.00281,RAI,0.00243,5h2d2c
23.2836,0.55452,9.36976,0.44548,1.262821082,0.8413181099,F,0.26275,C,0.73725,R22.8,0,R31.1,0,R42.7,0,R58.05,0,RAI,0,5h3h2h
22.7933,0.56027,9.85929,0.43973,1.223537905,0.8968494648,F,0.17554,C,0.7377,R22.8,0.02577,R31.1,0.00813,R42.7,0.00073,R58.05,0.00346,RAI,0.04868,5d3h2h
23.2429,0.56083,9.40677,0.43917,1.246429225,0.856777074,F,0.17821,C,0.72954,R22.8,0.01678,R31.1,0.02381,R42.7,0.00199,R58.05,0.01172,RAI,0.03795,5h3h2d
23.2286,0.56092,9.41905,0.43908,1.245461404,0.858071442,F,0.17818,C,0.73007,R22.8,0.01581,R31.1,0.0246,R42.7,0.00177,R58.05,0.01062,RAI,0.03895,5h3d2h
23.4137,0.55662,9.23837,0.44338,1.26508735,0.8334494095,F,0.1421,C,0.7353,R22.8,0.02761,R31.1,0.0867,R42.7,0.00608,R58.05,0.00115,RAI,0.00106,5h3d2c
23.5814,0.5593,9.06879,0.4407,1.268039945,0.8231259857,F,0.17143,C,0.69765,R22.8,0.10532,R31.1,0.01306,R42.7,0.00531,R58.05,0.00359,RAI,0.00365,5h3h3d
25.3075,0.56443,7.32694,0.43557,1.348487221,0.6728599337,F,0.14948,C,0.66987,R22.8,0.11172,R31.1,0.0548,R42.7,0.00676,R58.05,0.0039,RAI,0.00349,5h3d3c
23.1084,0.55694,9.54392,0.44306,1.247868655,0.8616367384,F,0.2609,C,0.73907,R22.8,0.00003,R31.1,0,R42.7,0,R58.05,0,RAI,0,5h4h2h
23.3142,0.56026,9.34058,0.43974,1.251526324,0.8496456943,F,0.17537,C,0.72357,R22.8,0.01076,R31.1,0.01756,R42.7,0.01528,R58.05,0.02539,RAI,0.03206,5h4h2d
23.3898,0.55966,9.25309,0.44034,1.25692959,0.8405404593,F,0.17384,C,0.72611,R22.8,0.01029,R31.1,0.01689,R42.7,0.0147,R58.05,0.02409,RAI,0.03409,5h4d2h
23.1737,0.55928,9.46519,0.44072,1.246161375,0.8590660834,F,0.17318,C,0.72967,R22.8,0.01152,R31.1,0.01516,R42.7,0.01437,R58.05,0.02143,RAI,0.03468,5d4h2h
23.474,0.55688,9.1796,0.44312,1.267751186,0.8286333007,F,0.14758,C,0.7144,R22.8,0.02699,R31.1,0.07272,R42.7,0.01531,R58.05,0.01202,RAI,0.01098,5h4d2c
23.2069,0.55497,9.42581,0.44502,1.257641544,0.8472257487,F,0.25968,C,0.74029,R22.8,0.00003,R31.1,0,R42.7,0,R58.05,0,RAI,0,5h4h3h
22.0206,0.55628,10.6242,0.44372,1.190537931,0.9577408803,F,0.17174,C,0.74117,R22.8,0.01258,R31.1,0.00346,R42.7,0.00079,R58.05,0.01853,RAI,0.05173,5d4h3h
