oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
33.1469,0.56832,7.758,0.43168,1.405407128,0.7188658272,F,0.28879,C,0.62845,R36.8,0.07054,R48.4,0.00627,RAI,0.00595,2h2d2c
33.3068,0.56412,7.59337,0.43588,1.422697878,0.6968312258,F,0.34518,C,0.57487,R36.8,0,R48.4,0.00167,RAI,0.07828,3h2h2d
33.6333,0.56506,7.26639,0.43494,1.434256784,0.6682659378,F,0.28832,C,0.6383,R36.8,0.05069,R48.4,0.00086,RAI,0.02183,3h2d2c
33.3701,0.56463,7.53066,0.43537,1.424115166,0.6918859989,F,0.34573,C,0.57623,R36.8,0,R48.4,0.00051,RAI,0.07753,3h3d2h
33.692,0.56524,7.20715,0.43476,1.436302133,0.6630922727,F,0.28966,C,0.63717,R36.8,0.05261,R48.4,0.00097,RAI,0.01958,3d3c2h
32.9642,0.56556,7.93291,0.43444,1.404479344,0.7304032966,F,0.29564,C,0.61033,R36.8,0.07157,R48.4,0.01243,RAI,0.01003,3h3d3c
33.32,0.56278,7.58138,0.43722,1.426653375,0.6935986246,F,0.34299,C,0.57193,R36.8,0.00108,R48.4,0.00367,RAI,0.08033,4h2h2d
33.7472,0.56442,7.1527,0.43558,1.440746295,0.6568437658,F,0.29177,C,0.63224,R36.8,0.076,R48.4,0,RAI,0,4h2d2c
30.2219,0.52981,9.82926,0.47019,1.374527776,0.8361947392,F,0.44356,C,0.53785,R36.8,0.00689,R48.4,0.00697,RAI,0.00473,4h3h2h
31.0747,0.56612,9.8239,0.43388,1.322667288,0.9056790074,F,0.37001,C,0.53712,R36.8,0,R48.4,0,RAI,0.09287,4h3h2d
31.107,0.56637,9.79256,0.43363,1.323458966,0.9033101822,F,0.37014,C,0.53701,R36.8,0,R48.4,0,RAI,0.09285,4h3d2h
31.0948,0.5666,9.8056,0.4334,1.322401181,0.9049930827,F,0.36953,C,0.54201,R36.8,0,R48.4,0,RAI,0.08846,4d3h2h
31.2445,0.55979,9.65517,0.44021,1.344933303,0.8773240154,F,0.32144,C,0.59436,R36.8,0,R48.4,0,RAI,0.0842,4h3d2c
33.1269,0.56225,7.77361,0.43775,1.419720058,0.7103241492,F,0.34575,C,0.56571,R36.8,0.00026,R48.4,0.00261,RAI,0.08567,4h3h3d
33.4816,0.56144,7.41708,0.43856,1.436994258,0.6764939596,F,0.29271,C,0.63286,R36.8,0.07408,R48.4,0.00013,RAI,0.00022,4h3d3c
32.8167,0.56347,8.08333,0.43653,1.403382828,0.7406895531,F,0.35145,C,0.57944,R36.8,0,R48.4,0,RAI,0.06911,4h4d2h
32.8211,0.55993,8.08153,0.44007,1.412443238,0.7345676422,F,0.30049,C,0.6393,R36.8,0.0602,R48.4,0.00002,RAI,0,4d4c2h
32.598,0.56222,8.30153,0.43778,1.397127598,0.758511583,F,0.35441,C,0.56729,R36.8,0,R48.4,0.00014,RAI,0.07815,4h4d3h
32.7124,0.55795,8.18609,0.44205,1.41276246,0.7407388562,F,0.3058,C,0.62831,R36.8,0.06491,R48.4,0.00019,RAI,0.00079,4d4c3h
32.5025,0.55847,8.37256,0.44153,1.402389963,0.7585042694,F,0.29543,C,0.61487,R36.8,0.0681,R48.4,0.01183,RAI,0.00977,4h4d4c
33.2915,0.56064,7.61005,0.43936,1.430872072,0.6928305105,F,0.34166,C,0.57168,R36.8,0.0048,R48.4,0.00343,RAI,0.07842,5h2h2d
33.6899,0.56079,7.21069,0.43921,1.44760927,0.6566963466,F,0.2974,C,0.61542,R36.8,0.08718,R48.4,0,RAI,0,5h2d2c
30.9504,0.54611,9.8501,0.45389,1.365643966,0.8680605129,F,0.44391,C,0.54228,R36.8,0.00553,R48.4,0.00462,RAI,0.00366,5h3h2h
32.0927,0.56834,8.8079,0.43166,1.360660223,0.8161887133,F,0.36825,C,0.5149,R36.8,0,R48.4,0.00007,RAI,0.11678,5d3h2h
32.2658,0.56846,8.63418,0.43154,1.367710526,0.80031328,F,0.37191,C,0.49813,R36.8,0,R48.4,0,RAI,0.12997,5h3h2d
32.2821,0.56855,8.61839,0.43145,1.368183881,0.7990163307,F,0.37207,C,0.49792,R36.8,0,R48.4,0,RAI,0.13002,5h3d2h
32.4485,0.56488,8.45209,0.43512,1.384171107,0.7769893845,F,0.30623,C,0.60013,R36.8,0,R48.4,0.00045,RAI,0.09319,5h3d2c
33.1639,0.56055,7.73651,0.43945,1.425616271,0.7041993287,F,0.34472,C,0.56584,R36.8,0.0024,R48.4,0.00419,RAI,0.08285,5h3h3d
33.5796,0.55997,7.32031,0.44003,1.444980612,0.6654373541,F,0.29546,C,0.62617,R36.8,0.07837,R48.4,0,RAI,0,5h3d3c
30.9821,0.54857,9.80937,0.45143,1.360915437,0.8691819502,F,0.44013,C,0.55055,R36.8,0.00445,R48.4,0.00299,RAI,0.00188,5h4h2h
32.3173,0.56725,8.58315,0.43275,1.372817324,0.7933587683,F,0.3675,C,0.49482,R36.8,0,R48.4,0.00018,RAI,0.1375,5h4h2d
32.4692,0.56677,8.43116,0.43323,1.380437597,0.7784465274,F,0.36526,C,0.49799,R36.8,0,R48.4,0.00042,RAI,0.13632,5h4d2h
32.3793,0.56667,8.5205,0.43333,1.376859214,0.7865137603,F,0.3648,C,0.50154,R36.8,0,R48.4,0.00051,RAI,0.13315,5d4h2h
32.643,0.5669,8.25677,0.4331,1.387508404,0.76257404,F,0.3011,C,0.59849,R36.8,0,R48.4,0.0002,RAI,0.10021,5h4d2c
30.9785,0.5541,10.1545,0.4459,1.34717504,0.9109172973,F,0.44288,C,0.53781,R36.8,0.00679,R48.4,0.00655,RAI,0.00598,5h4h3h
