oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
24.5664,0.56479,8.083,0.43521,1.308164419,0.7429057583,F,0.15449,C,0.74968,R22.8,0.09503,R31.1,0.0008,R42.7,0,R58.05,0,RAI,0,2h2d2c
23.3557,0.55794,9.29213,0.44206,1.25896469,0.8408026604,F,0.16712,C,0.72692,R22.8,0.07204,R31.1,0.01881,R42.7,0.00038,R58.05,0.00105,RAI,0.01367,3h2h2d
24.7722,0.56495,7.87954,0.43505,1.318750333,0.7244721088,F,0.13784,C,0.69971,R22.8,0.11426,R31.1,0.04818,R42.7,0,R58.05,0,RAI,0,3h2d2c
23.4723,0.55831,9.17712,0.44169,1.264412501,0.8310915123,F,0.16776,C,0.72796,R22.8,0.07166,R31.1,0.02042,R42.7,0.0004,R58.05,0.00088,RAI,0.01093,3h3d2h
24.9018,0.5652,7.75056,0.4348,1.32506169,0.713022983,F,0.1399,C,0.69859,R22.8,0.11127,R31.1,0.05023,R42.7,0.00001,R58.05,0,RAI,0,3d3c2h
24.5875,0.56429,8.06243,0.43571,1.310452393,0.7401648016,F,0.15667,C,0.74806,R22.8,0.09475,R31.1,0.00051,R42.7,0,R58.05,0,RAI,0,3h3d3c
23.3747,0.55939,9.27193,0.44061,1.256722784,0.841735768,F,0.16808,C,0.70883,R22.8,0.1193,R31.1,0.00275,R42.7,0.00022,R58.05,0.00035,RAI,0.00047,4h2h2d
24.9114,0.56585,7.74663,0.43415,1.324054959,0.7137284355,F,0.14051,C,0.68509,R22.8,0.14852,R31.1,0.02463,R42.7,0.00119,R58.05,0.00004,RAI,0.00003,4h2d2c
23.7584,0.56248,8.89106,0.43752,1.270337761,0.8128597485,F,0.27091,C,0.72909,R22.8,0,R31.1,0,R42.7,0,R58.05,0,RAI,0,4h3h2h
22.8765,0.56373,9.77156,0.43627,1.220470667,0.8959185594,F,0.17877,C,0.74921,R22.8,0.03504,R31.1,0.00079,R42.7,0.00002,R58.05,0.00123,RAI,0.03494,4h3h2d
22.8799,0.56383,9.77019,0.43617,1.220432316,0.895998347,F,0.17861,C,0.74988,R22.8,0.03523,R31.1,0.00078,R42.7,0.00002,R58.05,0.00129,RAI,0.0342,4h3d2h
22.7413,0.56358,9.90841,0.43642,1.213577996,0.9081536334,F,0.17893,C,0.75285,R22.8,0.03333,R31.1,0.00028,R42.7,0.00001,R58.05,0.0005,RAI,0.0341,4d3h2h
22.3643,0.55569,10.2874,0.44431,1.210405521,0.9261470201,F,0.13511,C,0.77855,R22.8,0.04615,R31.1,0.04011,R42.7,0.00009,R58.05,0,RAI,0,4h3d2c
23.4463,0.55695,9.20392,0.44305,1.266097117,0.8309599752,F,0.17029,C,0.70365,R22.8,0.10281,R31.1,0.00918,R42.7,0.00511,R58.05,0.00435,RAI,0.00462,4h3h3d
25.0263,0.56323,7.60924,0.43677,1.336348626,0.696864729,F,0.14556,C,0.68274,R22.8,0.12413,R31.1,0.03332,R42.7,0.00606,R58.05,0.00436,RAI,0.00384,4h3d3c
22.8445,0.55717,9.80617,0.44283,1.233109189,0.8857729191,F,0.17207,C,0.73714,R22.8,0.0901,R31.1,0.00044,R42.7,0.00005,R58.05,0.00007,RAI,0.00012,4h4d2h
24.0983,0.56163,8.55496,0.43837,1.290457618,0.7806155036,F,0.14758,C,0.70874,R22.8,0.13768,R31.1,0.00599,R42.7,0,R58.05,0,RAI,0,4d4c2h
22.7728,0.55456,9.87546,0.44544,1.235027446,0.8868049386,F,0.17524,C,0.72112,R22.8,0.09839,R31.1,0.0024,R42.7,0.00022,R58.05,0.00072,RAI,0.00191,4h4d3h
24.0831,0.56061,8.56896,0.43939,1.291994345,0.7800778459,F,0.14959,C,0.70172,R22.8,0.12784,R31.1,0.02029,R42.7,0.00049,R58.05,0.00006,RAI,0.00001,4d4c3h
24.05,0.55684,8.60045,0.44316,1.298951149,0.7762839256,F,0.14888,C,0.76589,R22.8,0.08458,R31.1,0.00065,R42.7,0,R58.05,0,RAI,0,4h4d4c
23.4581,0.55831,9.19594,0.44169,1.26364602,0.8327958578,F,0.16639,C,0.71284,R22.8,0.11968,R31.1,0.00091,R42.7,0.00005,R58.05,0.00005,RAI,0.00007,5h2h2d
24.9604,0.56422,7.67819,0.43578,1.330487714,0.7047767616,F,0.13235,C,0.70477,R22.8,0.1388,R31.1,0.01726,R42.7,0.00444,R58.05,0.00166,RAI,0.00071,5h2d2c
23.2604,0.56336,9.3895,0.43664,1.241764789,0.8601593794,F,0.26398,C,0.73602,R22.8,0,R31.1,0,R42.7,0,R58.05,0,RAI,0,5h3h2h
23.3583,0.56258,9.29112,0.43742,1.248719614,0.84962913,F,0.16884,C,0.75684,R22.8,0.00998,R31.1,0.00282,R42.7,0.00024,R58.05,0.00206,RAI,0.05923,5d3h2h
23.7241,0.5629,8.9226,0.4371,1.267557233,0.8165271042,F,0.17058,C,0.7522,R22.8,0.00446,R31.1,0.00827,R42.7,0.00025,R58.05,0.00809,RAI,0.05615,5h3h2d
23.7366,0.56312,8.91293,0.43688,1.267729664,0.8160528922,F,0.17053,C,0.75279,R22.8,0.00395,R31.1,0.00719,R42.7,0.0002,R58.05,0.00742,RAI,0.05791,5h3d2h
23.5726,0.5585,9.07959,0.4415,1.26938242,0.8226128813,F,0.13218,C,0.76215,R22.8,0.00277,R31.1,0.1027,R42.7,0.00021,R58.05,0,RAI,0,5h3d2c
