oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
33.401,0.57239,7.49146,0.42761,1.406110437,0.7007749747,F,0.28685,C,0.68755,R36.8,0.02288,R48.4,0.00096,RAI,0.00176,2h2d2c
33.5341,0.56709,7.36552,0.43291,1.424906397,0.680559015,F,0.34656,C,0.56976,R36.8,0,R48.4,0,RAI,0.08369,3h2h2d
33.3318,0.56145,7.56769,0.43855,1.430540339,0.6902464918,F,0.2884,C,0.64397,R36.8,0.00974,R48.4,0.00073,RAI,0.05715,3h2d2c
33.6482,0.5677,7.24955,0.4323,1.428219424,0.6707887895,F,0.34657,C,0.57065,R36.8,0,R48.4,0,RAI,0.08279,3h3d2h
33.4654,0.56205,7.43486,0.43795,1.434738801,0.6790602105,F,0.28953,C,0.64137,R36.8,0.00954,R48.4,0.00044,RAI,0.05912,3d3c2h
33.373,0.57147,7.51852,0.42853,1.407192668,0.7017963499,F,0.2895,C,0.6849,R36.8,0.02141,R48.4,0.00223,RAI,0.00196,3h3d3c
33.4545,0.56542,7.44597,0.43458,1.425724708,0.6853486206,F,0.34008,C,0.57788,R36.8,0,R48.4,0.00018,RAI,0.08187,4h2h2d
33.4104,0.56123,7.49125,0.43877,1.43447227,0.6829318416,F,0.29272,C,0.62984,R36.8,0.07724,R48.4,0.00021,RAI,0,4h2d2c
32.1446,0.56216,9.16742,0.43784,1.377843767,0.8375132541,F,0.44509,C,0.54188,R36.8,0.00554,R48.4,0.00426,RAI,0.00324,4h3h2h
31.9577,0.57334,8.94156,0.42666,1.343119866,0.8382843261,F,0.373,C,0.53166,R36.8,0,R48.4,0.00017,RAI,0.09516,4h3h2d
31.9863,0.57352,8.91347,0.42648,1.34390117,0.8360035985,F,0.37296,C,0.53176,R36.8,0,R48.4,0.00041,RAI,0.09487,4h3d2h
31.9618,0.57398,8.93725,0.42602,1.341797757,0.8391390275,F,0.37007,C,0.54398,R36.8,0,R48.4,0.00014,RAI,0.08581,4d3h2h
31.6732,0.56338,9.22793,0.43662,1.354699028,0.8453969247,F,0.32066,C,0.5928,R36.8,0,R48.4,0,RAI,0.08654,4h3d2c
33.4114,0.5653,7.48941,0.4347,1.424189721,0.6891566334,F,0.34164,C,0.57156,R36.8,0.00001,R48.4,0.00159,RAI,0.08521,4h3h3d
33.3906,0.55949,7.50987,0.44051,1.438082021,0.6819250388,F,0.28746,C,0.64593,R36.8,0.06357,R48.4,0.00046,RAI,0.00257,4h3d3c
33.2311,0.56933,7.66937,0.43067,1.406478487,0.7123199012,F,0.35006,C,0.5849,R36.8,0,R48.4,0,RAI,0.06504,4h4d2h
32.662,0.5583,8.23744,0.4417,1.409700707,0.7459759923,F,0.30236,C,0.64037,R36.8,0.05712,R48.4,0.00014,RAI,0,4d4c2h
33.0585,0.56856,7.84104,0.43144,1.401068186,0.7269646033,F,0.35073,C,0.57664,R36.8,0,R48.4,0.00001,RAI,0.07263,4h4d3h
