oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
22.6315,0.56925,7.36697,0.43075,1.299237972,0.7435938177,F,0.17535,C,0.7755,R20.95,0.04207,R28.6,0.00709,R39.3,0,R53.45,0,RAI,0,2h2d2c
20.9074,0.55815,9.10021,0.44185,1.224132179,0.8954652183,F,0.17025,C,0.72688,R20.95,0.07093,R28.6,0.01489,R39.3,0.00632,R53.45,0.00456,RAI,0.00618,3h2h2d
22.29,0.56129,7.71318,0.43871,1.297780771,0.7644130562,F,0.1472,C,0.70495,R20.95,0.1043,R28.6,0.03104,R39.3,0.00558,R53.45,0.00377,RAI,0.00316,3h2d2c
20.886,0.55836,9.12889,0.44164,1.222418054,0.8987145001,F,0.17176,C,0.72453,R20.95,0.07786,R28.6,0.01211,R39.3,0.00466,R53.45,0.00356,RAI,0.00551,3h3d2h
22.1604,0.56126,7.84888,0.43874,1.290302934,0.7778083958,F,0.14573,C,0.71308,R20.95,0.09533,R28.6,0.03507,R39.3,0.005,R53.45,0.00321,RAI,0.00259,3d3c2h
22.5775,0.56856,7.42227,0.43144,1.29771202,0.74797744,F,0.1769,C,0.77555,R20.95,0.04418,R28.6,0.00337,R39.3,0,R53.45,0,RAI,0,3h3d3c
20.9064,0.55932,9.08571,0.44068,1.221509033,0.8964120302,F,0.17028,C,0.71555,R20.95,0.09902,R28.6,0.00558,R39.3,0.00388,R53.45,0.00311,RAI,0.00259,4h2h2d
22.3733,0.56129,7.63971,0.43871,1.302633021,0.7571318161,F,0.15017,C,0.68998,R20.95,0.13679,R28.6,0.01116,R39.3,0.0054,R53.45,0.00375,RAI,0.00274,4h2d2c
22.3639,0.56154,7.63822,0.43846,1.301503669,0.7574157739,F,0.27416,C,0.72583,R20.95,0.00002,R28.6,0,R39.3,0,R53.45,0,RAI,0,4h3h2h
20.574,0.56544,9.42674,0.43456,1.189078613,0.9431568636,F,0.19263,C,0.73182,R20.95,0.07013,R28.6,0.00006,R39.3,0,R53.45,0,RAI,0.00536,4h3h2d
20.5604,0.5654,9.4381,0.4346,1.188380107,0.9442065624,F,0.19266,C,0.73179,R20.95,0.07002,R28.6,0.00006,R39.3,0,R53.45,0,RAI,0.00547,4h3d2h
20.5378,0.56585,9.46125,0.43415,1.186124586,0.9475036257,F,0.19391,C,0.73243,R20.95,0.06944,R28.6,0.00008,R39.3,0,R53.45,0.00002,RAI,0.0041,4d3h2h
20.3326,0.55825,9.66405,0.44175,1.190259575,0.9511626507,F,0.15488,C,0.75128,R20.95,0.09348,R28.6,0.00037,R39.3,0,R53.45,0,RAI,0,4h3d2c
20.8999,0.55808,9.10895,0.44192,1.22384349,0.8961831975,F,0.1691,C,0.71044,R20.95,0.09388,R28.6,0.00789,R39.3,0.00671,R53.45,0.00598,RAI,0.00599,4h3h3d
22.0746,0.55632,7.91921,0.44369,1.296724492,0.7760226169,F,0.14418,C,0.69941,R20.95,0.11906,R28.6,0.01749,R39.3,0.00696,R53.45,0.0066,RAI,0.00629,4h3d3c
20.5497,0.56012,9.44147,0.43988,1.198957063,0.9332060777,F,0.18309,C,0.72202,R20.95,0.09469,R28.6,0.00016,R39.3,0.00003,R53.45,0,RAI,0,4h4d2h
21.4926,0.561,8.5084,0.439,1.251999861,0.8426661147,F,0.15717,C,0.71216,R20.95,0.12733,R28.6,0.00329,R39.3,0.00006,R53.45,0,RAI,0,4d4c2h
20.6102,0.55848,9.38143,0.44152,1.206015566,0.9238273273,F,0.18157,C,0.70847,R20.95,0.10617,R28.6,0.00209,R39.3,0.00068,R53.45,0.0005,RAI,0.00053,4h4d3h
21.5159,0.55764,8.4725,0.44236,1.260909626,0.8327370177,F,0.15378,C,0.70543,R20.95,0.11733,R28.6,0.01121,R39.3,0.0056,R53.45,0.00364,RAI,0.003,4d4c3h
22.0664,0.56177,7.93411,0.43823,1.283662664,0.7871695349,F,0.17474,C,0.7749,R20.95,0.04849,R28.6,0.00187,R39.3,0,R53.45,0,RAI,0,4h4d4c
21.0913,0.56038,8.903,0.43962,1.229981289,0.8805035294,F,0.17151,C,0.71062,R20.95,0.11428,R28.6,0.0023,R39.3,0.0007,R53.45,0.00028,RAI,0.00031,5h2h2d
22.5216,0.5625,7.50068,0.4375,1.308446149,0.7454091895,F,0.14489,C,0.70029,R20.95,0.12919,R28.6,0.01208,R39.3,0.00641,R53.45,0.00408,RAI,0.00305,5h2d2c
21.6822,0.56691,8.31941,0.43309,1.24987842,0.835192434,F,0.26417,C,0.73582,R20.95,0.00001,R28.6,0,R39.3,0,R53.45,0,RAI,0,5h3h2h
20.6807,0.56481,9.3125,0.43519,1.196579765,0.9303782523,F,0.17919,C,0.73526,R20.95,0.03289,R28.6,0.00006,R39.3,0,R53.45,0,RAI,0.05261,5d3h2h
21.0832,0.56569,8.92087,0.43431,1.217972407,0.8930577587,F,0.18309,C,0.72775,R20.95,0.0238,R28.6,0.00415,R39.3,0.00186,R53.45,0.00228,RAI,0.05707,5h3h2d
21.0488,0.56551,8.95028,0.43449,1.216368164,0.8956307883,F,0.18296,C,0.72853,R20.95,0.02296,R28.6,0.00415,R39.3,0.00188,R53.45,0.00224,RAI,0.05727,5h3d2h
20.6984,0.55912,9.30023,0.44088,1.209793294,0.9171607392,F,0.13075,C,0.75782,R20.95,0.06759,R28.6,0.03252,R39.3,0.00753,R53.45,0.00194,RAI,0.00185,5h3d2c
21.1295,0.56003,8.86803,0.43997,1.232980223,0.8763472868,F,0.16853,C,0.70582,R20.95,0.10852,R28.6,0.00586,R39.3,0.00456,R53.45,0.00364,RAI,0.00307,5h3h3d
22.3871,0.55785,7.61272,0.44215,1.311469515,0.7485871968,F,0.14492,C,0.69001,R20.95,0.13485,R28.6,0.01331,R39.3,0.00635,R53.45,0.00554,RAI,0.00502,5h3d3c
21.5098,0.56746,8.48999,0.43254,1.238739866,0.8534008661,F,0.26223,C,0.73774,R20.95,0.00003,R28.6,0,R39.3,0,R53.45,0,RAI,0,5h4h2h
20.8715,0.56489,9.13301,0.43511,1.207446597,0.9126137871,F,0.1783,C,0.7194,R20.95,0.01064,R28.6,0.00778,R39.3,0.00924,R53.45,0.01153,RAI,0.06311,5h4h2d
20.9035,0.56539,9.13319,0.43461,1.208226698,0.9136817278,F,0.17555,C,0.725,R20.95,0.00751,R28.6,0.00717,R39.3,0.00855,R53.45,0.01164,RAI,0.06458,5h4d2h
20.7629,0.56509,9.24322,0.43491,1.200738269,0.9240512872,F,0.17528,C,0.72786,R20.95,0.01127,R28.6,0.00687,R39.3,0.00851,R53.45,0.01134,RAI,0.05887,5d4h2h
20.5625,0.5556,9.46128,0.4444,1.209461533,0.9256525264,F,0.12811,C,0.75625,R20.95,0.04062,R28.6,0.03645,R39.3,0.01358,R53.45,0.01262,RAI,0.01238,5h4d2c
21.6478,0.56419,8.35502,0.43581,1.253911243,0.8335323206,F,0.26814,C,0.73181,R20.95,0.00005,R28.6,0,R39.3,0,R53.45,0,RAI,0,5h4h3h
20.5283,0.56301,9.47148,0.43699,1.191561058,0.9423636721,F,0.17505,C,0.73479,R20.95,0.05347,R28.6,0.0048,R39.3,0.00164,R53.45,0.00186,RAI,0.02839,5d4h3h
20.58,0.5625,9.41171,0.4375,1.195643251,0.9353251961,F,0.17555,C,0.73002,R20.95,0.05695,R28.6,0.01058,R39.3,0.00692,R53.45,0.00652,RAI,0.01345,5h4h3d
