oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
30.7838,0.57487,6.8179,0.42513,1.401811114,0.697270096,F,0.3284,C,0.6716,R33.9,0,R44.55,0,R59.5,0,RAI,0,2h2d2c
30.6437,0.57083,6.95677,0.42917,1.405305098,0.7047749135,F,0.34747,C,0.59092,R33.9,0,R44.55,0,R59.5,0.00126,RAI,0.06034,3h2h2d
30.3692,0.56393,7.23082,0.43607,1.409756913,0.720947301,F,0.28351,C,0.68937,R33.9,0.01534,R44.55,0.00077,R59.5,0.00057,RAI,0.01044,3h2d2c
30.5952,0.57146,7.00479,0.42854,1.401536402,0.7106829833,F,0.34887,C,0.5892,R33.9,0,R44.55,0,R59.5,0.00111,RAI,0.06083,3h3d2h
30.2556,0.56408,7.34451,0.43592,1.404109992,0.7325346969,F,0.28589,C,0.6875,R33.9,0.01203,R44.55,0.00092,R59.5,0.00049,RAI,0.01317,3d3c2h
30.6273,0.57318,6.97213,0.42682,1.398796205,0.7102199338,F,0.32843,C,0.67157,R33.9,0,R44.55,0,R59.5,0,RAI,0,3h3d3c
30.4857,0.56875,7.11364,0.43125,1.403173988,0.7171911514,F,0.34299,C,0.5949,R33.9,0,R44.55,0,R59.5,0.00157,RAI,0.06054,4h2h2d
30.3012,0.56349,7.29988,0.43651,1.407700564,0.7270992431,F,0.28646,C,0.67296,R33.9,0.04057,R44.55,0,R59.5,0,RAI,0,4h2d2c
30.3279,0.54578,7.0289,0.45422,1.454657607,0.6728113167,F,0.44619,C,0.5408,R33.9,0.00409,R44.55,0.00367,R59.5,0.00296,RAI,0.0023,4h3h2h
29.0066,0.5742,8.59159,0.4258,1.322424061,0.8772836824,F,0.37578,C,0.56764,R33.9,0,R44.55,0,R59.5,0.0009,RAI,0.05568,4h3h2d
29.0055,0.57419,8.59413,0.42581,1.322394551,0.8775223667,F,0.37584,C,0.56768,R33.9,0,R44.55,0,R59.5,0.00078,RAI,0.05571,4h3d2h
28.9925,0.5747,8.60731,0.4253,1.320631248,0.8799221269,F,0.3768,C,0.56785,R33.9,0,R44.55,0,R59.5,0.00017,RAI,0.05518,4d3h2h
