oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
12.2894,0.51002,12.1082,0.48998,0.9638374348,0.9884623254,X,0.47991,R8.25,0.34923,R16.5,0.17086,R32.5,0,RAI,0,2h2d2c
10.8539,0.49929,13.5459,0.50071,0.8695483756,1.082137734,X,0.47822,R8.25,0.50375,R16.5,0.01802,R32.5,0,RAI,0,3h2h2d
11.5575,0.50982,12.8426,0.49018,0.9067890794,1.047990554,X,0.44064,R8.25,0.40659,R16.5,0.15274,R32.5,0.00003,RAI,0,3h2d2c
10.9539,0.50045,13.4458,0.49955,0.875526392,1.076628953,X,0.48059,R8.25,0.5014,R16.5,0.01801,R32.5,0,RAI,0,3h3d2h
11.6987,0.51121,12.7018,0.48879,0.9153725363,1.039446812,X,0.44346,R8.25,0.39896,R16.5,0.15753,R32.5,0.00005,RAI,0,3d3c2h
12.2763,0.50909,12.1241,0.49091,0.9645704957,0.9878837504,X,0.4824,R8.25,0.34615,R16.5,0.17145,R32.5,0,RAI,0,3h3d3c
10.7547,0.49564,13.6442,0.50436,0.8679468982,1.082100826,X,0.46927,R8.25,0.51355,R16.5,0.01718,R32.5,0,RAI,0,4h2h2d
11.5122,0.50846,12.888,0.49154,0.9056531665,1.048783828,X,0.44495,R8.25,0.39273,R16.5,0.16232,R32.5,0.00001,RAI,0,4h2d2c
11.1292,0.51232,13.2704,0.48768,0.8689218286,1.088447406,X,0.64434,R8.25,0.34299,R16.5,0.01267,R32.5,0,RAI,0,4h3h2h
9.34335,0.47559,15.0566,0.52441,0.7858323846,1.148457069,X,0.50741,R8.25,0.48264,R16.5,0.00995,R32.5,0,RAI,0,4h3h2d
9.33543,0.47519,15.0641,0.52481,0.7858271325,1.148157987,X,0.50754,R8.25,0.48296,R16.5,0.00951,R32.5,0,RAI,0,4h3d2h
9.33489,0.47563,15.0658,0.52436,0.7850548244,1.149272996,X,0.50836,R8.25,0.48223,R16.5,0.00941,R32.5,0,RAI,0,4d3h2h
9.39523,0.48515,15.0036,0.51485,0.7746247644,1.165664521,X,0.45282,R8.25,0.52485,R16.5,0.02233,R32.5,0,RAI,0,4h3d2c
10.6304,0.4953,13.7699,0.5047,0.8585035203,1.091334236,X,0.47519,R8.25,0.50107,R16.5,0.02374,R32.5,0,RAI,0,4h3h3d
11.395,0.50811,13.0042,0.49189,0.8970499108,1.057486029,X,0.44777,R8.25,0.38888,R16.5,0.16336,R32.5,0,RAI,0,4h3d3c
10.472,0.4917,13.929,0.5083,0.8519023628,1.096123564,X,0.48266,R8.25,0.50616,R16.5,0.01118,R32.5,0,RAI,0,4h4d2h
11.1493,0.50548,13.2497,0.49452,0.8822750891,1.071723642,X,0.44325,R8.25,0.44319,R16.5,0.11348,R32.5,0.00008,RAI,0,4d4c2h
10.265,0.49025,14.1364,0.50975,0.8375286461,1.109283339,X,0.48084,R8.25,0.50372,R16.5,0.01543,R32.5,0,RAI,0,4h4d3h
10.9127,0.50368,13.4866,0.49632,0.8666351918,1.086929376,X,0.44232,R8.25,0.44492,R16.5,0.11268,R32.5,0.00008,RAI,0,4d4c3h
11.7509,0.50332,12.6416,0.49668,0.9338719147,1.018085714,X,0.46998,R8.25,0.40603,R16.5,0.124,R32.5,0,RAI,0,4h4d4c
10.7002,0.49239,13.7003,0.50761,0.8692459175,1.079594147,X,0.46125,R8.25,0.52144,R16.5,0.01731,R32.5,0,RAI,0,5h2h2d
11.5127,0.50746,12.8867,0.49254,0.9074764611,1.046546476,X,0.44285,R8.25,0.39448,R16.5,0.16263,R32.5,0.00004,RAI,0,5h2d2c
11.0924,0.51426,13.3077,0.48574,0.8627884557,1.095874302,X,0.64875,R8.25,0.34102,R16.5,0.01023,R32.5,0,RAI,0,5h3h2h
9.82674,0.47953,14.5736,0.52047,0.8196976313,1.120036097,X,0.50462,R8.25,0.48313,R16.5,0.01225,R32.5,0,RAI,0,5d3h2h
9.95474,0.4813,14.4443,0.5187,0.8273209762,1.113883945,X,0.50602,R8.25,0.48221,R16.5,0.01177,R32.5,0,RAI,0,5h3h2d
9.95495,0.48117,14.4454,0.51883,0.8275620143,1.113694258,X,0.50565,R8.25,0.48246,R16.5,0.01189,R32.5,0,RAI,0,5h3d2h
10.1013,0.49127,14.2984,0.50873,0.822460974,1.124242729,X,0.44691,R8.25,0.50994,R16.5,0.04315,R32.5,0.00001,RAI,0,5h3d2c
10.6323,0.49348,13.7679,0.50652,0.8618221969,1.087251889,X,0.46384,R8.25,0.5139,R16.5,0.02226,R32.5,0,RAI,0,5h3h3d
11.4049,0.50716,12.9941,0.49284,0.8995109566,1.054627892,X,0.44548,R8.25,0.38228,R16.5,0.17212,R32.5,0.00012,RAI,0,5h3d3c
10.9011,0.5082,13.4994,0.4918,0.858018135,1.097958508,X,0.63716,R8.25,0.35447,R16.5,0.00838,R32.5,0,RAI,0,5h4h2h
9.90927,0.48244,14.4915,0.51756,0.821596086,1.119982974,X,0.49573,R8.25,0.48468,R16.5,0.01957,R32.5,0.00001,RAI,0,5h4h2d
9.93259,0.48192,14.4669,0.51808,0.8244181151,1.11696263,X,0.49793,R8.25,0.48323,R16.5,0.01884,R32.5,0,RAI,0,5h4d2h
9.87381,0.48149,14.526,0.51851,0.8202712495,1.120591763,X,0.49654,R8.25,0.48606,R16.5,0.0174,R32.5,0,RAI,0,5d4h2h
10.1728,0.49379,14.2272,0.50621,0.8240628317,1.124213171,X,0.46477,R8.25,0.43228,R16.5,0.10283,R32.5,0.00011,RAI,0.00001,5h4d2c
10.7964,0.50393,13.6038,0.49607,0.856973797,1.096922598,X,0.60692,R8.25,0.38646,R16.5,0.00662,R32.5,0,RAI,0,5h4h3h
9.26201,0.47726,15.138,0.52274,0.7762653267,1.158356374,X,0.48266,R8.25,0.50308,R16.5,0.01426,R32.5,0,RAI,0,5d4h3h
9.2751,0.47743,15.1253,0.52257,0.7770856483,1.157760261,X,0.4832,R8.25,0.50304,R16.5,0.01375,R32.5,0,RAI,0,5h4h3d
9.30843,0.47732,15.0918,0.52268,0.7800578227,1.154951449,X,0.4835,R8.25,0.50258,R16.5,0.01392,R32.5,0,RAI,0,5h4d3h
9.24522,0.48279,15.155,0.51721,0.7659827513,1.172058547,X,0.43969,R8.25,0.53236,R16.5,0.02796,R32.5,0,RAI,0,5h4d3c
9.95582,0.48435,14.4449,0.51566,0.8222004888,1.120500362,X,0.46574,R8.25,0.51987,R16.5,0.0144,R32.5,0,RAI,0,5h4h4d
10.7929,0.5027,13.6077,0.4973,0.8587961592,1.094529695,X,0.44083,R8.25,0.43181,R16.5,0.12633,R32.5,0.00103,RAI,0,5h4d4c
10.1512,0.48482,14.2481,0.51518,0.837522349,1.106264224,X,0.48691,R8.25,0.5081,R16.5,0.00499,R32.5,0,RAI,0,5h5d2h
10.6644,0.50125,13.7362,0.49875,0.8510235612,1.101649308,X,0.43685,R8.25,0.50196,R16.5,0.06119,R32.5,0,RAI,0,5d5c2h
9.96456,0.48436,14.436,0.51564,0.8229052243,1.119847158,X,0.47884,R8.25,0.51401,R16.5,0.00715,R32.5,0,RAI,0,5h5d3h
10.491,0.50036,13.9073,0.49964,0.838672945,1.113384061,X,0.43393,R8.25,0.50411,R16.5,0.06195,R32.5,0.00001,RAI,0,5d5c3h
9.66195,0.48061,14.7387,0.51939,0.8041405589,1.135080059,X,0.47302,R8.25,0.51903,R16.5,0.00794,R32.5,0,RAI,0,5h5d4h
10.3792,0.49996,14.0202,0.50004,0.8304040243,1.121526272,X,0.4391,R8.25,0.47877,R16.5,0.08208,R32.5,0.00006,RAI,0,5d5c4h
11.3617,0.50315,13.0323,0.49685,0.9032471744,1.049195505,X,0.44958,R8.25,0.47667,R16.5,0.07375,R32.5,0,RAI,0,5h5d5c
10.2676,0.48759,14.1322,0.51241,0.8423109841,1.103192376,X,0.46938,R8.25,0.52751,R16.5,0.0031,R32.5,0,RAI,0,6h2h2d
10.7502,0.50047,13.6504,0.49953,0.8592083957,1.09306028,X,0.41018,R8.25,0.5319,R16.5,0.05792,R32.5,0,RAI,0,6h2d2c
