oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
10.029,0.4687,22.6193,0.5313,0.8558984399,1.280403744,F,0.15075,C,0.67891,R22.8,0.08916,R31.1,0.08117,RAI,0,2h2d2c
9.44466,0.48593,23.204,0.51407,0.7774502722,1.357530241,F,0.31271,C,0.48203,R22.8,0.05517,R31.1,0.03442,RAI,0.11567,3h2h2d
9.6844,0.48266,22.9658,0.51734,0.8025856457,1.335099623,F,0.24651,C,0.55624,R22.8,0.09138,R31.1,0.10586,RAI,0,3h2d2c
9.60039,0.48678,23.0482,0.51322,0.7888894921,1.350648474,F,0.31007,C,0.48464,R22.8,0.05586,R31.1,0.02834,RAI,0.12109,3h3d2h
9.87419,0.48282,22.7763,0.51718,0.8180431833,1.324491044,F,0.23959,C,0.56852,R22.8,0.08687,R31.1,0.10502,RAI,0,3d3c2h
10.061,0.46829,22.5891,0.53171,0.859385415,1.277708658,F,0.15677,C,0.66834,R22.8,0.09472,R31.1,0.08017,RAI,0,3h3d3c
9.29624,0.48416,23.3529,0.51584,0.7680303814,1.361551745,F,0.31856,C,0.47479,R22.8,0.06953,R31.1,0.04678,RAI,0.09034,4h2h2d
9.54579,0.48332,23.1049,0.51668,0.7900181877,1.344901935,F,0.26021,C,0.52495,R22.8,0.12827,R31.1,0.08657,RAI,0,4h2d2c
8.67426,0.49063,23.9742,0.50937,0.7071936184,1.415531225,F,0.3054,C,0.64879,R22.8,0.04572,R31.1,0.00008,RAI,0,4h3h2h
7.05481,0.46263,25.5945,0.53737,0.6099742767,1.432455163,F,0.3746,C,0.41657,R22.8,0.09955,R31.1,0.02068,RAI,0.08859,4h3h2d
7.06309,0.46252,25.587,0.53748,0.6108354058,1.431741357,F,0.37607,C,0.41473,R22.8,0.09979,R31.1,0.02006,RAI,0.08934,4h3d2h
7.01803,0.4624,25.6321,0.5376,0.6070960491,1.433949837,F,0.37468,C,0.41715,R22.8,0.10139,R31.1,0.01906,RAI,0.08771,4d3h2h
7.36919,0.46908,25.279,0.53092,0.6283951734,1.431987794,F,0.33853,C,0.42634,R22.8,0.11394,R31.1,0.1212,RAI,0,4h3d2c
9.11637,0.48205,23.5334,0.51795,0.7564667707,1.366487208,F,0.32233,C,0.47949,R22.8,0.06148,R31.1,0.04302,RAI,0.09368,4h3h3d
9.4256,0.48344,23.2241,0.51656,0.7798775296,1.352152045,F,0.25927,C,0.53706,R22.8,0.10601,R31.1,0.09766,RAI,0,4h3d3c
8.8908,0.48223,23.7599,0.51777,0.7374738473,1.380115848,F,0.34024,C,0.44119,R22.8,0.0775,R31.1,0.06512,RAI,0.07596,4h4d2h
9.07306,0.48271,23.5749,0.51729,0.7518435469,1.370645162,F,0.2848,C,0.49107,R22.8,0.15604,R31.1,0.06808,RAI,0.00001,4d4c2h
8.61304,0.4792,24.0377,0.5208,0.7189515752,1.38813283,F,0.34513,C,0.44608,R22.8,0.06863,R31.1,0.06732,RAI,0.07285,4h4d3h
8.82401,0.48216,23.826,0.51784,0.732039975,1.38377221,F,0.28915,C,0.49541,R22.8,0.13132,R31.1,0.08412,RAI,0,4d4c3h
9.54748,0.46842,23.0927,0.53158,0.8152922294,1.30651457,F,0.20066,C,0.61464,R22.8,0.0952,R31.1,0.08949,RAI,0,4h4d4c
9.29953,0.48324,23.3512,0.51676,0.7697649092,1.359029951,F,0.32835,C,0.45407,R22.8,0.09657,R31.1,0.05249,RAI,0.06852,5h2h2d
9.54252,0.48397,23.1068,0.51603,0.7886868886,1.346710131,F,0.26695,C,0.50219,R22.8,0.15568,R31.1,0.07518,RAI,0,5h2d2c
8.62827,0.49362,24.0232,0.50637,0.6991831778,1.426826095,F,0.30302,C,0.62097,R22.8,0.07586,R31.1,0.00015,RAI,0,5h3h2h
7.76792,0.46589,24.8838,0.53411,0.6669316945,1.401180156,F,0.36325,C,0.44092,R22.8,0.05847,R31.1,0.01337,RAI,0.124,5d3h2h
8.03151,0.46805,24.6179,0.53195,0.6863805406,1.391837578,F,0.3571,C,0.44847,R22.8,0.04986,R31.1,0.01278,RAI,0.13179,5h3h2d
8.04184,0.468,24.6096,0.532,0.6873367256,1.391236296,F,0.35816,C,0.44758,R22.8,0.04971,R31.1,0.01278,RAI,0.13177,5h3d2h
8.16459,0.47188,24.4851,0.52812,0.6920903682,1.394369908,F,0.30499,C,0.49023,R22.8,0.07639,R31.1,0.12741,RAI,0.00097,5h3d2c
9.16654,0.48201,23.4839,0.51799,0.7606929329,1.363503594,F,0.32587,C,0.46826,R22.8,0.0793,R31.1,0.0552,RAI,0.07138,5h3h3d
9.38935,0.48407,23.26,0.51593,0.7758671166,1.355896495,F,0.26732,C,0.51633,R22.8,0.12716,R31.1,0.08894,RAI,0.00024,5h3d3c
8.53343,0.48984,24.1179,0.51016,0.6968340752,1.421808314,F,0.31551,C,0.57011,R22.8,0.1141,R31.1,0.00026,RAI,0.00002,5h4h2h
7.90574,0.46158,24.7443,0.53842,0.6851024431,1.382175019,F,0.32934,C,0.48831,R22.8,0.02786,R31.1,0.01004,RAI,0.14445,5h4h2d
7.96134,0.46168,24.6873,0.53832,0.6897712732,1.379245541,F,0.33205,C,0.48697,R22.8,0.02688,R31.1,0.0091,RAI,0.145,5h4d2h
7.84295,0.46082,24.8071,0.53918,0.6807820882,1.383730336,F,0.33486,C,0.48528,R22.8,0.02796,R31.1,0.00829,RAI,0.1436,5d4h2h
