oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
11.2028,0.49188,13.1952,0.50812,0.911019785,1.038746749,X,0.42627,R8.25,0.56823,R16.5,0.0055,R32.5,0,RAI,0,2h2d2c
10.8175,0.49588,13.5819,0.50412,0.8725941386,1.077674393,X,0.47333,R8.25,0.52302,R16.5,0.00365,R32.5,0,RAI,0,3h2h2d
11.6785,0.50832,12.7218,0.49168,0.9189856985,1.034965827,X,0.40548,R8.25,0.56133,R16.5,0.03319,R32.5,0,RAI,0,3h2d2c
10.8018,0.49541,13.5979,0.50459,0.8721487131,1.077939802,X,0.47416,R8.25,0.52281,R16.5,0.00303,R32.5,0,RAI,0,3h3d2h
11.6859,0.50828,12.7141,0.49172,0.9196411572,1.034252872,X,0.40511,R8.25,0.56601,R16.5,0.02888,R32.5,0,RAI,0,3d3c2h
11.0731,0.48708,13.3268,0.51292,0.9093446187,1.03928638,X,0.42611,R8.25,0.5711,R16.5,0.0028,R32.5,0,RAI,0,3h3d3c
10.8416,0.49163,13.5565,0.50837,0.8820967189,1.06666329,X,0.45549,R8.25,0.54343,R16.5,0.00108,R32.5,0,RAI,0,4h2h2d
11.7441,0.50493,12.6565,0.49507,0.930350708,1.022606068,X,0.41868,R8.25,0.52933,R16.5,0.05199,R32.5,0,RAI,0,4h2d2c
11.1671,0.50859,13.2338,0.49141,0.8782768645,1.077212983,X,0.6635,R8.25,0.33487,R16.5,0.00163,R32.5,0,RAI,0,4h3h2h
9.13448,0.46232,15.2654,0.53768,0.7903167051,1.135653204,X,0.51143,R8.25,0.48857,R16.5,0,R32.5,0,RAI,0,4h3h2d
9.12123,0.46184,15.2789,0.53816,0.7899904774,1.135639135,X,0.5114,R8.25,0.4886,R16.5,0,R32.5,0,RAI,0,4h3d2h
9.08539,0.46104,15.3143,0.53896,0.7882518033,1.136580089,X,0.5127,R8.25,0.48661,R16.5,0.00069,R32.5,0,RAI,0,4d3h2h
9.36095,0.47203,15.0399,0.52797,0.7932504456,1.139451057,X,0.4468,R8.25,0.5472,R16.5,0.006,R32.5,0,RAI,0,4h3d2c
10.6679,0.48936,13.7314,0.51064,0.8719870438,1.075621912,X,0.4571,R8.25,0.54073,R16.5,0.00217,R32.5,0,RAI,0,4h3h3d
11.54,0.50318,12.8608,0.49682,0.9173647447,1.035447823,X,0.42083,R8.25,0.52387,R16.5,0.0553,R32.5,0,RAI,0,4h3d3c
10.098,0.47807,14.3032,0.52193,0.8448988468,1.096178478,X,0.47635,R8.25,0.52355,R16.5,0.0001,R32.5,0,RAI,0,4h4d2h
11.0742,0.49826,13.324,0.50174,0.8890298131,1.062224296,X,0.42591,R8.25,0.5657,R16.5,0.00839,R32.5,0,RAI,0,4d4c2h
