oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
9.40761,0.46929,23.2404,0.53071,0.8018589933,1.317025872,F,0.25595,C,0.53563,R22.8,0.11069,R31.1,0.09773,R42.7,0,R58.05,0,RAI,0,2h2d2c
9.53955,0.48524,23.1092,0.51476,0.7863778405,1.350171757,F,0.30299,C,0.5137,R22.8,0.02026,R31.1,0.00618,R42.7,0.00182,R58.05,0.01859,RAI,0.13646,3h2h2d
10.3488,0.4901,22.3015,0.5099,0.844626831,1.315399926,F,0.25573,C,0.53711,R22.8,0.10382,R31.1,0.10332,R42.7,0.00002,R58.05,0,RAI,0,3h2d2c
9.54464,0.48517,23.1052,0.51483,0.7869109347,1.349754031,F,0.30595,C,0.50912,R22.8,0.02137,R31.1,0.00607,R42.7,0.0016,R58.05,0.0182,RAI,0.13768,3h3d2h
10.3804,0.49003,22.2696,0.50997,0.8473277066,1.313338645,F,0.25708,C,0.53333,R22.8,0.10869,R31.1,0.10087,R42.7,0.00002,R58.05,0,RAI,0,3d3c2h
9.31006,0.46463,23.3386,0.53537,0.8015030792,1.311078094,F,0.27316,C,0.49346,R22.8,0.14793,R31.1,0.08545,R42.7,0,R58.05,0,RAI,0,3h3d3c
9.58695,0.48218,23.0614,0.51782,0.7953005363,1.339412765,F,0.31101,C,0.49603,R22.8,0.05879,R31.1,0.0092,R42.7,0.00382,R58.05,0.01918,RAI,0.10197,4h2h2d
10.3949,0.48838,22.2556,0.51162,0.8513771665,1.308280149,F,0.26416,C,0.51913,R22.8,0.14897,R31.1,0.06774,R42.7,0,R58.05,0,RAI,0,4h2d2c
8.61747,0.48245,24.0338,0.51755,0.7144756669,1.396617866,F,0.30866,C,0.64859,R22.8,0.04268,R31.1,0.00006,R42.7,0,R58.05,0,RAI,0,4h3h2h
7.01083,0.45031,25.6399,0.54969,0.622755884,1.402838506,F,0.38729,C,0.38975,R22.8,0.12774,R31.1,0.00883,R42.7,0.00662,R58.05,0.02762,RAI,0.05215,4h3h2d
7.00385,0.45006,25.6454,0.54994,0.6224814317,1.402498319,F,0.38868,C,0.38744,R22.8,0.12888,R31.1,0.0089,R42.7,0.00619,R58.05,0.02723,RAI,0.05267,4h3d2h
6.93464,0.44923,25.7153,0.55077,0.6174690163,1.404204469,F,0.39181,C,0.38368,R22.8,0.13352,R31.1,0.01342,R42.7,0.00312,R58.05,0.02587,RAI,0.04858,4d3h2h
7.72658,0.46074,24.9238,0.53926,0.6707974253,1.390032857,F,0.35237,C,0.39209,R22.8,0.23201,R31.1,0.02352,R42.7,0.00001,R58.05,0,RAI,0,4h3d2c
9.43612,0.47893,23.2135,0.52107,0.7881001484,1.339839285,F,0.31947,C,0.49311,R22.8,0.04938,R31.1,0.00979,R42.7,0.00463,R58.05,0.02064,RAI,0.10297,4h3h3d
10.2327,0.48755,22.4181,0.51245,0.8395233804,1.315696378,F,0.27035,C,0.53212,R22.8,0.10603,R31.1,0.09148,R42.7,0,R58.05,0,RAI,0,4h3d3c
8.61421,0.47447,24.0368,0.52553,0.7262174906,1.375585796,F,0.36624,C,0.40486,R22.8,0.12451,R31.1,0.01566,R42.7,0.00047,R58.05,0.00423,RAI,0.08403,4h4d2h
9.78404,0.48716,22.864,0.51284,0.8033533547,1.340847727,F,0.30773,C,0.44191,R22.8,0.21128,R31.1,0.03908,R42.7,0,R58.05,0,RAI,0,4d4c2h
8.52878,0.47381,24.1216,0.52619,0.7200169023,1.378706653,F,0.3596,C,0.42622,R22.8,0.10816,R31.1,0.01404,R42.7,0.00104,R58.05,0.00986,RAI,0.08107,4h4d3h
9.58021,0.48673,23.0707,0.51327,0.787312025,1.351834101,F,0.29833,C,0.48075,R22.8,0.16366,R31.1,0.05726,R42.7,0,R58.05,0,RAI,0,4d4c3h
9.41665,0.4695,23.2448,0.5305,0.8022704761,1.31779892,F,0.28229,C,0.46288,R22.8,0.17569,R31.1,0.07914,R42.7,0,R58.05,0,RAI,0,4h4d4c
9.57986,0.48035,23.0693,0.51965,0.7977399794,1.335152616,F,0.32563,C,0.46768,R22.8,0.09879,R31.1,0.00781,R42.7,0.00291,R58.05,0.0152,RAI,0.08197,5h2h2d
10.4321,0.48795,22.2176,0.51205,0.8551753121,1.304948373,F,0.27035,C,0.50299,R22.8,0.172,R31.1,0.05466,R42.7,0,R58.05,0,RAI,0,5h2d2c
8.51837,0.48357,24.1336,0.51643,0.7046234885,1.405463379,F,0.31062,C,0.61141,R22.8,0.07769,R31.1,0.00028,R42.7,0,R58.05,0,RAI,0,5h3h2h
7.5725,0.4528,25.0766,0.5472,0.6689487751,1.378258087,F,0.35512,C,0.45293,R22.8,0.0413,R31.1,0.00114,R42.7,0.01023,R58.05,0.04818,RAI,0.09112,5d3h2h
7.88073,0.45589,24.7693,0.54411,0.6914589181,1.369100673,F,0.34289,C,0.46834,R22.8,0.01981,R31.1,0.00184,R42.7,0.0204,R58.05,0.0537,RAI,0.09301,5h3h2d
7.87376,0.45585,24.7769,0.54415,0.6909079859,1.369418981,F,0.34252,C,0.46912,R22.8,0.01904,R31.1,0.00187,R42.7,0.0191,R58.05,0.05341,RAI,0.09493,5h3d2h
8.61682,0.4681,24.034,0.5319,0.7363230187,1.358950725,F,0.29464,C,0.48275,R22.8,0.16489,R31.1,0.03243,R42.7,0.00258,R58.05,0.00763,RAI,0.0151,5h3d2c
9.53696,0.47941,23.1133,0.52059,0.7957247278,1.335287134,F,0.32753,C,0.47249,R22.8,0.08775,R31.1,0.00993,R42.7,0.00396,R58.05,0.01516,RAI,0.08319,5h3h3d
10.3101,0.48735,22.3412,0.51265,0.8462132172,1.310669197,F,0.27446,C,0.51855,R22.8,0.12966,R31.1,0.07732,R42.7,0,R58.05,0,RAI,0,5h3d3c
8.4593,0.48152,24.1932,0.51848,0.7027164057,1.403361212,F,0.32066,C,0.58308,R22.8,0.09621,R31.1,0.00005,R42.7,0,R58.05,0,RAI,0,5h4h2h
7.94207,0.45385,24.7086,0.54615,0.6999731178,1.360645685,F,0.332,C,0.47561,R22.8,0.00903,R31.1,0.00234,R42.7,0.02251,R58.05,0.07118,RAI,0.08732,5h4h2d
7.92992,0.45287,24.7198,0.54713,0.7004146884,1.358821044,F,0.3345,C,0.47408,R22.8,0.00785,R31.1,0.00065,R42.7,0.01587,R58.05,0.06761,RAI,0.09944,5h4d2h
7.81303,0.45178,24.8383,0.54822,0.6917552716,1.362622448,F,0.33631,C,0.47396,R22.8,0.01216,R31.1,0.00138,R42.7,0.01287,R58.05,0.06494,RAI,0.09839,5d4h2h
8.30491,0.46462,24.3462,0.53538,0.7149851328,1.367657024,F,0.28458,C,0.52881,R22.8,0.05746,R31.1,0.05282,R42.7,0.00502,R58.05,0.03287,RAI,0.03843,5h4d2c
8.40917,0.47961,24.2426,0.52039,0.7013340188,1.401064969,F,0.32301,C,0.58965,R22.8,0.08685,R31.1,0.00049,R42.7,0,R58.05,0,RAI,0,5h4h3h
7.27012,0.45858,25.3798,0.54142,0.6341419465,1.409814856,F,0.35442,C,0.44534,R22.8,0.06462,R31.1,0.00476,R42.7,0.01433,R58.05,0.05488,RAI,0.06165,5d4h3h
7.37683,0.45966,25.2736,0.54034,0.6419379718,1.406722157,F,0.3516,C,0.44781,R22.8,0.05774,R31.1,0.00488,R42.7,0.02323,R58.05,0.05352,RAI,0.06122,5h4h3d
7.34213,0.45913,25.3071,0.54087,0.6396559021,1.407204279,F,0.355,C,0.44333,R22.8,0.05578,R31.1,0.00308,R42.7,0.01814,R58.05,0.05829,RAI,0.06639,5h4d3h
7.50792,0.46201,25.1438,0.53799,0.6500222809,1.405610829,F,0.30585,C,0.48601,R22.8,0.1167,R31.1,0.05938,R42.7,0.0044,R58.05,0.01274,RAI,0.01491,5h4d3c
8.48481,0.47271,24.1654,0.52729,0.7179716642,1.378329267,F,0.37289,C,0.40184,R22.8,0.14357,R31.1,0.01626,R42.7,0.00113,R58.05,0.00331,RAI,0.061,5h4h4d
9.7745,0.4853,22.8737,0.5147,0.8056459759,1.336568901,F,0.29956,C,0.48731,R22.8,0.15266,R31.1,0.06046,R42.7,0,R58.05,0,RAI,0,5h4d4c
8.12154,0.46832,24.5295,0.53168,0.6936743987,1.387543845,F,0.40611,C,0.32922,R22.8,0.19773,R31.1,0.01924,R42.7,0.00008,R58.05,0.00064,RAI,0.04698,5h5d2h
