oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
9.89767,0.46748,30.9776,0.53252,0.8468956713,1.401725767,F,0.44489,C,0.37049,R36.8,0.09782,R48.4,0.03697,RAI,0.04982,2h2d2c
10.3105,0.49442,30.5977,0.50558,0.834147509,1.458315068,F,0.48261,C,0.30795,R36.8,0.04346,R48.4,0.08037,RAI,0.08561,3h2h2d
11.3715,0.48713,29.5311,0.51287,0.9337581664,1.387472929,F,0.41146,C,0.43111,R36.8,0.07784,R48.4,0.01843,RAI,0.06115,3h2d2c
10.2849,0.49167,30.711,0.50833,0.8367311338,1.45579236,F,0.48533,C,0.30116,R36.8,0.0391,R48.4,0.08754,RAI,0.08687,3h3d2h
11.4045,0.48741,29.4875,0.51259,0.9359241899,1.386182188,F,0.41455,C,0.42309,R36.8,0.08235,R48.4,0.01971,RAI,0.0603,3d3c2h
9.7875,0.46554,31.0664,0.53446,0.8409589339,1.400645358,F,0.45218,C,0.36049,R36.8,0.10102,R48.4,0.03958,RAI,0.04673,3h3d3c
10.3012,0.49333,30.6829,0.50667,0.8352340449,1.459229308,F,0.48412,C,0.3227,R36.8,0.04362,R48.4,0.06836,RAI,0.0812,4h2h2d
11.3522,0.48621,29.5471,0.51379,0.9339314499,1.385739824,F,0.41557,C,0.4399,R36.8,0.10325,R48.4,0.01371,RAI,0.02758,4h2d2c
7.5994,0.49771,33.1475,0.50229,0.6107492478,1.590187662,F,0.47193,C,0.43112,R36.8,0.07592,R48.4,0.01098,RAI,0.01005,4h3h2h
-37.1504,0.12512,55.4382,0.87488,-11.87673929,1.526907898,F,0.53559,C,0.22768,R36.8,0.07607,R48.4,0.05103,RAI,0.10962,4h3h2d
-11.0083,0.18936,49.9521,0.81064,-2.325365488,1.484834527,F,0.53648,C,0.2267,R36.8,0.07656,R48.4,0.05127,RAI,0.109,4h3d2h
6.54745,0.46965,34.1055,0.53035,0.55764506,1.54957985,F,0.54867,C,0.21526,R36.8,0.07091,R48.4,0.05749,RAI,0.10767,4d3h2h
7.30621,0.45949,33.6549,0.54051,0.6360277718,1.500365641,F,0.51239,C,0.28689,R36.8,0.04971,R48.4,0.06621,RAI,0.0848,4h3d2c
10.3463,0.48827,30.5641,0.51173,0.8475908314,1.439206783,F,0.48831,C,0.32226,R36.8,0.03901,R48.4,0.07012,RAI,0.08029,4h3h3d
11.4406,0.48387,29.4569,0.51613,0.9457573243,1.375245745,F,0.41902,C,0.4434,R36.8,0.096,R48.4,0.01011,RAI,0.03147,4h3d3c
6.31862,0.36993,37.1982,0.63007,0.6832233363,1.422606186,F,0.52345,C,0.24032,R36.8,0.07872,R48.4,0.06566,RAI,0.09186,4h4d2h
11.1814,0.49109,29.7021,0.50891,0.9107454762,1.406365567,F,0.45694,C,0.35583,R36.8,0.1326,R48.4,0.02384,RAI,0.03079,4d4c2h
7.82264,0.43865,34.5985,0.56135,0.713337716,1.485165898,F,0.51858,C,0.2543,R36.8,0.06731,R48.4,0.06911,RAI,0.0907,4h4d3h
11.3068,0.48881,29.5864,0.51119,0.9252527445,1.394637206,F,0.44171,C,0.40421,R36.8,0.10376,R48.4,0.02296,RAI,0.02735,4d4c3h
10.5156,0.47711,30.416,0.52289,0.8816080349,1.401664156,F,0.46112,C,0.33221,R36.8,0.07744,R48.4,0.05552,RAI,0.07372,4h4d4c
10.4749,0.49541,30.4364,0.50459,0.8457528342,1.453469722,F,0.4941,C,0.30926,R36.8,0.08263,R48.4,0.05284,RAI,0.06118,5h2h2d
11.2826,0.48682,29.611,0.51318,0.9270432677,1.390384103,F,0.42148,C,0.43209,R36.8,0.12328,R48.4,0.01089,RAI,0.01226,5h2d2c
7.78246,0.52224,32.5701,0.47776,0.5960830626,1.642710192,F,0.47646,C,0.41125,R36.8,0.08492,R48.4,0.01324,RAI,0.01414,5h3h2h
7.11347,0.40613,34.5447,0.59387,0.7006101812,1.401655669,F,0.52057,C,0.25294,R36.8,0.09476,R48.4,0.0602,RAI,0.07153,5d3h2h
8.88326,0.45155,31.9828,0.54845,0.7869126022,1.405180186,F,0.50746,C,0.27363,R36.8,0.08218,R48.4,0.05704,RAI,0.0797,5h3h2d
8.86189,0.45019,32.0391,0.54981,0.7873910738,1.404170016,F,0.50755,C,0.27336,R36.8,0.08218,R48.4,0.0569,RAI,0.08001,5h3d2h
9.33776,0.46057,31.5665,0.53943,0.8109742118,1.410080475,F,0.45837,C,0.37455,R36.8,0.04242,R48.4,0.05546,RAI,0.06919,5h3d2c
