oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
11.0972,0.4743,13.3079,0.5257,0.9358785945,1.012583685,X,0.46158,R8.25,0.53709,R16.5,0.00133,R32.5,0,RAI,0,2h2d2c
10.6618,0.48877,13.7393,0.51123,0.8725445721,1.074997943,X,0.47599,R8.25,0.51976,R16.5,0.00425,R32.5,0,RAI,0,3h2h2d
11.4726,0.50063,12.9276,0.49937,0.9166553394,1.035514325,X,0.39957,R8.25,0.58006,R16.5,0.02037,R32.5,0,RAI,0,3h2d2c
10.6748,0.4882,13.7281,0.5118,0.8746234902,1.072923799,X,0.47702,R8.25,0.51917,R16.5,0.00381,R32.5,0,RAI,0,3h3d2h
11.5128,0.5003,12.887,0.4997,0.9204701512,1.03158214,X,0.39869,R8.25,0.5825,R16.5,0.01881,R32.5,0,RAI,0,3d3c2h
10.9612,0.46857,13.4443,0.53143,0.9357150395,1.011935312,X,0.467,R8.25,0.53191,R16.5,0.00109,R32.5,0,RAI,0,3h3d3c
10.7407,0.48507,13.66,0.51493,0.8857030932,1.061112774,X,0.45741,R8.25,0.54169,R16.5,0.00091,R32.5,0,RAI,0,4h2h2d
11.5949,0.49868,12.8025,0.50132,0.9300489502,1.021504802,X,0.40664,R8.25,0.56643,R16.5,0.02693,R32.5,0,RAI,0,4h2d2c
11.0001,0.50455,13.3995,0.49545,0.8720761201,1.081804433,X,0.65926,R8.25,0.33954,R16.5,0.0012,R32.5,0,RAI,0,4h3h2h
9.40423,0.46358,14.9972,0.53642,0.8114439681,1.118318474,X,0.51169,R8.25,0.48683,R16.5,0.00148,R32.5,0,RAI,0,4h3h2d
9.39618,0.46301,15.0038,0.53699,0.8117474687,1.117624561,X,0.51197,R8.25,0.48621,R16.5,0.00182,R32.5,0,RAI,0,4h3d2h
9.36159,0.46188,15.0394,0.53812,0.8107378901,1.117918742,X,0.51382,R8.25,0.48498,R16.5,0.0012,R32.5,0,RAI,0,4d3h2h
9.43263,0.45904,14.966,0.54096,0.8219440459,1.106626682,X,0.44879,R8.25,0.54952,R16.5,0.00169,R32.5,0,RAI,0,4h3d2c
10.5891,0.48481,13.811,0.51519,0.8736700976,1.07230266,X,0.45288,R8.25,0.54452,R16.5,0.0026,R32.5,0,RAI,0,4h3h3d
11.5035,0.49932,12.8973,0.50068,0.9215300746,1.0303826,X,0.40722,R8.25,0.55399,R16.5,0.03878,R32.5,0,RAI,0,4h3d3c
10.1133,0.47105,14.2865,0.52895,0.8587878524,1.080366091,X,0.48039,R8.25,0.5191,R16.5,0.00051,R32.5,0,RAI,0,4h4d2h
10.9722,0.4873,13.4277,0.5127,0.900652592,1.047607492,X,0.42546,R8.25,0.56741,R16.5,0.00713,R32.5,0,RAI,0,4d4c2h
10.0414,0.47481,14.3606,0.52519,0.8459265653,1.093745166,X,0.47315,R8.25,0.52634,R16.5,0.00051,R32.5,0,RAI,0,4h4d3h
10.9782,0.49383,13.4212,0.50617,0.8892283194,1.06060655,X,0.42076,R8.25,0.57143,R16.5,0.00781,R32.5,0,RAI,0,4d4c3h
10.7728,0.46187,13.623,0.53813,0.9329724904,1.012616319,X,0.46466,R8.25,0.53412,R16.5,0.00122,R32.5,0,RAI,0,4h4d4c
10.6344,0.47699,13.7632,0.52301,0.8917922848,1.052614627,X,0.454,R8.25,0.54528,R16.5,0.00072,R32.5,0,RAI,0,5h2h2d
11.643,0.49635,12.7583,0.50365,0.9382855069,1.01326954,X,0.40822,R8.25,0.55814,R16.5,0.03364,R32.5,0,RAI,0,5h2d2c
10.7967,0.49668,13.6047,0.50332,0.8695103648,1.081197664,X,0.65631,R8.25,0.34281,R16.5,0.00088,R32.5,0,RAI,0,5h3h2h
9.64995,0.46422,14.7513,0.53578,0.8314980216,1.101293064,X,0.51333,R8.25,0.48052,R16.5,0.00614,R32.5,0,RAI,0,5d3h2h
9.83586,0.4665,14.5646,0.5335,0.8433749158,1.092001499,X,0.51782,R8.25,0.4752,R16.5,0.00698,R32.5,0,RAI,0,5h3h2d
9.82363,0.46615,14.5742,0.53385,0.8429587585,1.092004064,X,0.51806,R8.25,0.47551,R16.5,0.00643,R32.5,0,RAI,0,5h3d2h
10.1291,0.47322,14.2693,0.52678,0.8561835947,1.083509638,X,0.43078,R8.25,0.55453,R16.5,0.01469,R32.5,0,RAI,0,5h3d2c
10.6787,0.48205,13.7201,0.51795,0.8861080758,1.059569491,X,0.44833,R8.25,0.55034,R16.5,0.00133,R32.5,0,RAI,0,5h3h3d
11.6396,0.49781,12.7605,0.50219,0.9352628215,1.016392178,X,0.41253,R8.25,0.53944,R16.5,0.04803,R32.5,0,RAI,0,5h3d3c
10.6937,0.49282,13.706,0.50718,0.8679591263,1.080960688,X,0.65181,R8.25,0.34748,R16.5,0.0007,R32.5,0,RAI,0,5h4h2h
9.83253,0.46685,14.5682,0.53315,0.8424572996,1.092992907,X,0.5049,R8.25,0.487,R16.5,0.0081,R32.5,0,RAI,0,5h4h2d
9.79787,0.46557,14.6029,0.53443,0.841795616,1.09297149,X,0.50577,R8.25,0.48574,R16.5,0.00849,R32.5,0,RAI,0,5h4d2h
9.7296,0.46487,14.6718,0.53513,0.8371888769,1.096688239,X,0.50529,R8.25,0.48633,R16.5,0.00838,R32.5,0,RAI,0,5d4h2h
10.2759,0.47889,14.1238,0.52111,0.8583107051,1.084135781,X,0.45596,R8.25,0.46001,R16.5,0.08404,R32.5,0,RAI,0,5h4d2c
10.7996,0.4965,13.6004,0.5035,0.8700592511,1.080467992,X,0.65963,R8.25,0.33959,R16.5,0.00078,R32.5,0,RAI,0,5h4h3h
9.47119,0.4717,14.9299,0.5283,0.8031537162,1.130409997,X,0.49817,R8.25,0.49772,R16.5,0.00411,R32.5,0,RAI,0,5d4h3h
9.5065,0.472,14.8931,0.528,0.805635609,1.128266659,X,0.49719,R8.25,0.49685,R16.5,0.00596,R32.5,0,RAI,0,5h4h3d
