oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
9.93488,0.46126,22.7207,0.53874,0.86154277,1.268383182,F,0.32743,C,0.40742,R22.8,0.24725,R31.1,0.0179,R42.7,0,R58.05,0,RAI,0,2h2d2c
9.3836,0.47698,23.2671,0.52302,0.786917709,1.337927765,F,0.30765,C,0.51214,R22.8,0.01869,R31.1,0.00788,R42.7,0.0046,R58.05,0.0332,RAI,0.11584,3h2h2d
10.2587,0.48265,22.3921,0.51735,0.8501962162,1.30172224,F,0.25618,C,0.54075,R22.8,0.09246,R31.1,0.1106,R42.7,0.00002,R58.05,0,RAI,0,3h2d2c
9.43037,0.47668,23.2229,0.52332,0.7913375952,1.334616635,F,0.30876,C,0.51002,R22.8,0.01911,R31.1,0.0073,R42.7,0.00461,R58.05,0.03559,RAI,0.1146,3h3d2h
10.3382,0.48237,22.312,0.51763,0.8572830243,1.296363082,F,0.25748,C,0.53752,R22.8,0.09731,R31.1,0.10766,R42.7,0.00004,R58.05,0,RAI,0,3d3c2h
9.80946,0.45568,22.8461,0.54432,0.8610831647,1.262312025,F,0.34524,C,0.37196,R22.8,0.27008,R31.1,0.01272,R42.7,0,R58.05,0,RAI,0,3h3d3c
9.52143,0.4758,23.129,0.5242,0.8004564829,1.326989826,F,0.32172,C,0.48362,R22.8,0.07053,R31.1,0.01442,R42.7,0.00146,R58.05,0.02413,RAI,0.08412,4h2h2d
10.44,0.48262,22.2077,0.51738,0.8652762028,1.290928863,F,0.27019,C,0.5118,R22.8,0.14924,R31.1,0.06877,R42.7,0,R58.05,0,RAI,0,4h2d2c
8.37608,0.47656,24.2734,0.52344,0.703045125,1.394670226,F,0.31394,C,0.63861,R22.8,0.04714,R31.1,0.00031,R42.7,0,R58.05,0,RAI,0,4h3h2h
7.16979,0.44593,25.4812,0.55407,0.6431314085,1.383130295,F,0.36714,C,0.43686,R22.8,0.08935,R31.1,0.01158,R42.7,0.00375,R58.05,0.03529,RAI,0.05603,4h3h2d
7.17543,0.4456,25.4755,0.5544,0.6441139832,1.382001483,F,0.36919,C,0.43404,R22.8,0.08967,R31.1,0.01222,R42.7,0.00437,R58.05,0.03397,RAI,0.05653,4h3d2h
7.13283,0.4449,25.518,0.5551,0.6412973743,1.382556498,F,0.37425,C,0.42322,R22.8,0.10375,R31.1,0.01864,R42.7,0.00287,R58.05,0.0326,RAI,0.04467,4d3h2h
7.74521,0.44446,24.9043,0.55554,0.6970445116,1.348239814,F,0.36031,C,0.38473,R22.8,0.22001,R31.1,0.02675,R42.7,0,R58.05,0.00003,RAI,0.00817,4h3d2c
9.37109,0.47365,23.2794,0.52635,0.7913936255,1.330167195,F,0.32315,C,0.4893,R22.8,0.05292,R31.1,0.01711,R42.7,0.00379,R58.05,0.03985,RAI,0.07387,4h3h3d
10.423,0.48433,22.2286,0.51567,0.8608188553,1.296430325,F,0.27366,C,0.52246,R22.8,0.11263,R31.1,0.09123,R42.7,0.00002,R58.05,0,RAI,0,4h3d3c
8.66047,0.46602,23.9896,0.53398,0.7433560989,1.351158639,F,0.37147,C,0.40889,R22.8,0.1269,R31.1,0.02494,R42.7,0.00026,R58.05,0.00934,RAI,0.05818,4h4d2h
9.89353,0.47718,22.7577,0.52282,0.8293331495,1.309135833,F,0.32109,C,0.42274,R22.8,0.23149,R31.1,0.02468,R42.7,0,R58.05,0,RAI,0,4d4c2h
8.54506,0.46677,24.1067,0.53323,0.7322715925,1.359662123,F,0.36663,C,0.4251,R22.8,0.10323,R31.1,0.03371,R42.7,0.00192,R58.05,0.00831,RAI,0.0611,4h4d3h
9.85916,0.48317,22.7906,0.51683,0.8162063347,1.326222983,F,0.30424,C,0.46507,R22.8,0.17928,R31.1,0.05141,R42.7,0,R58.05,0,RAI,0,4d4c3h
9.79701,0.45234,22.8488,0.54766,0.8663403877,1.25476127,F,0.35277,C,0.36779,R22.8,0.26462,R31.1,0.01482,R42.7,0,R58.05,0,RAI,0,4h4d4c
9.47639,0.4711,23.171,0.5289,0.8046181137,1.317586607,F,0.34584,C,0.43851,R22.8,0.12476,R31.1,0.0112,R42.7,0.00022,R58.05,0.01547,RAI,0.06399,5h2h2d
10.6592,0.48307,21.9921,0.51693,0.8826207783,1.279506606,F,0.28107,C,0.48468,R22.8,0.19257,R31.1,0.04169,R42.7,0,R58.05,0,RAI,0,5h2d2c
8.31787,0.47285,24.3351,0.52715,0.7036371137,1.388376097,F,0.32349,C,0.5976,R22.8,0.0787,R31.1,0.00021,R42.7,0,R58.05,0,RAI,0,5h3h2h
7.64287,0.44562,25.0083,0.55438,0.6860437093,1.356705162,F,0.34681,C,0.47198,R22.8,0.01605,R31.1,0.00532,R42.7,0.01344,R58.05,0.05311,RAI,0.09328,5d3h2h
7.99659,0.44842,24.6548,0.55158,0.7133125506,1.344316378,F,0.33778,C,0.48055,R22.8,0.00808,R31.1,0.00049,R42.7,0.01897,R58.05,0.05952,RAI,0.09459,5h3h2d
7.98557,0.44823,24.6627,0.55177,0.71263146,1.344283661,F,0.33856,C,0.47937,R22.8,0.0081,R31.1,0.00046,R42.7,0.0174,R58.05,0.06011,RAI,0.09599,5h3d2h
8.34435,0.45278,24.3033,0.54722,0.7371659268,1.335706202,F,0.2832,C,0.49976,R22.8,0.11051,R31.1,0.06251,R42.7,0.00061,R58.05,0.00212,RAI,0.04129,5h3d2c
9.50926,0.47313,23.1389,0.52687,0.8039448291,1.320830291,F,0.3343,C,0.45944,R22.8,0.11078,R31.1,0.0174,R42.7,0.00075,R58.05,0.02253,RAI,0.05481,5h3h3d
10.7022,0.48515,21.948,0.51485,0.8823810946,1.282104307,F,0.28262,C,0.49758,R22.8,0.15998,R31.1,0.05982,R42.7,0,R58.05,0,RAI,0,5h3d3c
8.33638,0.47089,24.3144,0.52911,0.7081382285,1.382058084,F,0.33279,C,0.57592,R22.8,0.09118,R31.1,0.00011,R42.7,0,R58.05,0,RAI,0,5h4h2h
8.08577,0.44599,24.5651,0.55401,0.725197401,1.333547809,F,0.3271,C,0.48668,R22.8,0.0057,R31.1,0.00087,R42.7,0.02234,R58.05,0.06667,RAI,0.09065,5h4h2d
8.02106,0.44461,24.6301,0.55539,0.7216265937,1.333756786,F,0.32743,C,0.48698,R22.8,0.00537,R31.1,0.00101,R42.7,0.01624,R58.05,0.0673,RAI,0.09567,5h4d2h
7.89259,0.44346,24.7593,0.55654,0.7119100046,1.337980512,F,0.33143,C,0.48443,R22.8,0.00618,R31.1,0.00116,R42.7,0.02087,R58.05,0.06234,RAI,0.09359,5d4h2h
8.26535,0.45421,24.3842,0.54579,0.7278879904,1.343666944,F,0.26265,C,0.53822,R22.8,0.043,R31.1,0.06709,R42.7,0.0061,R58.05,0.03495,RAI,0.048,5h4d2c
8.25368,0.47269,24.3966,0.52731,0.698443417,1.391462307,F,0.32897,C,0.58917,R22.8,0.08137,R31.1,0.00049,R42.7,0,R58.05,0,RAI,0,5h4h3h
7.18193,0.45188,25.468,0.54812,0.635737801,1.397421335,F,0.33942,C,0.48339,R22.8,0.03799,R31.1,0.00787,R42.7,0.0069,R58.05,0.04944,RAI,0.07499,5d4h3h
7.28461,0.45233,25.3653,0.54767,0.6441854313,1.392930291,F,0.33679,C,0.48691,R22.8,0.03315,R31.1,0.0078,R42.7,0.00969,R58.05,0.04886,RAI,0.0768,5h4h3d
7.27949,0.45227,25.3714,0.54773,0.6438180711,1.393112682,F,0.33936,C,0.48354,R22.8,0.02976,R31.1,0.00721,R42.7,0.00867,R58.05,0.05378,RAI,0.07768,5h4d3h
7.61922,0.45197,25.0308,0.54803,0.674311976,1.373656151,F,0.29485,C,0.48839,R22.8,0.11496,R31.1,0.07536,R42.7,0.00072,R58.05,0.00846,RAI,0.01727,5h4d3c
8.64196,0.46402,24.0049,0.53598,0.7449644314,1.34697373,F,0.37271,C,0.40934,R22.8,0.14468,R31.1,0.03526,R42.7,0.00074,R58.05,0.00891,RAI,0.02836,5h4h4d
10.2381,0.4845,22.4116,0.5155,0.8452524475,1.307532637,F,0.31592,C,0.44652,R22.8,0.20126,R31.1,0.0363,R42.7,0,R58.05,0,RAI,0,5h4d4c
8.34904,0.46072,24.3003,0.53928,0.7248688994,1.355208214,F,0.39851,C,0.35885,R22.8,0.19233,R31.1,0.02974,R42.7,0.00064,R58.05,0.00169,RAI,0.01824,5h5d2h
9.40146,0.47276,23.2491,0.52724,0.7954530718,1.326188419,F,0.35771,C,0.35238,R22.8,0.28512,R31.1,0.00479,R42.7,0,R58.05,0,RAI,0,5d5c2h
8.33391,0.46376,24.3178,0.53624,0.7188123335,1.363872023,F,0.38655,C,0.38649,R22.8,0.1646,R31.1,0.04213,R42.7,0.00104,R58.05,0.00219,RAI,0.01699,5h5d3h
9.41161,0.47898,23.2388,0.52102,0.7859709846,1.341426589,F,0.34441,C,0.38772,R22.8,0.25259,R31.1,0.01527,R42.7,0,R58.05,0,RAI,0,5d5c3h
8.18582,0.46133,24.4653,0.53867,0.7097582803,1.365952368,F,0.38549,C,0.39379,R22.8,0.14658,R31.1,0.05729,R42.7,0.001,R58.05,0.0019,RAI,0.01396,5h5d4h
9.60462,0.48194,23.0432,0.51806,0.7971631286,1.337740269,F,0.33346,C,0.4139,R22.8,0.22979,R31.1,0.02284,R42.7,0,R58.05,0,RAI,0,5d5c4h
9.83759,0.45656,22.8119,0.54344,0.861888078,1.262461153,F,0.36286,C,0.33974,R22.8,0.28705,R31.1,0.01036,R42.7,0,R58.05,0,RAI,0,5h5d5c
9.00848,0.47089,23.6427,0.52911,0.7652301258,1.343875569,F,0.37636,C,0.4065,R22.8,0.12476,R31.1,0.03926,R42.7,0.00104,R58.05,0.00664,RAI,0.04543,6h2h2d
10.4673,0.48846,22.1833,0.51154,0.8571641705,1.304235084,F,0.31019,C,0.44562,R22.8,0.21335,R31.1,0.03084,R42.7,0,R58.05,0,RAI,0,6h2d2c
8.29842,0.48183,24.3531,0.51817,0.688908531,1.413482724,F,0.32373,C,0.64483,R22.8,0.03053,R31.1,0.00091,R42.7,0,R58.05,0,RAI,0,6h3h2h
7.82645,0.45957,24.8225,0.54043,0.6811976439,1.381386745,F,0.42696,C,0.32529,R22.8,0.21644,R31.1,0.02303,R42.7,0.0001,R58.05,0.00049,RAI,0.00769,6d3h2h
7.87578,0.46032,24.7725,0.53968,0.6843743636,1.380517909,F,0.42212,C,0.33601,R22.8,0.1987,R31.1,0.02478,R42.7,0.00006,R58.05,0.00051,RAI,0.01782,6h3h2d
7.88524,0.46029,24.7631,0.53971,0.6852410285,1.379914571,F,0.42319,C,0.33473,R22.8,0.19952,R31.1,0.02415,R42.7,0.00011,R58.05,0.00059,RAI,0.0177,6h3d2h
8.90158,0.47998,23.7486,0.52002,0.7418292435,1.373491451,F,0.35078,C,0.38785,R22.8,0.24489,R31.1,0.01648,R42.7,0,R58.05,0,RAI,0,6h3d2c
