oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
9.96611,0.46523,30.7317,0.53477,0.8568759955,1.38475112,F,0.48089,C,0.31672,R36.8,0.08087,R48.4,0.04689,RAI,0.07464,2h2d2c
9.64162,0.48486,31.2745,0.51518,0.7954147278,1.462793508,F,0.48374,C,0.31582,R36.8,0.06384,R48.4,0.05358,RAI,0.08302,3h2h2d
11.0989,0.48251,29.8066,0.51749,0.9200936583,1.387912854,F,0.41741,C,0.42319,R36.8,0.06709,R48.4,0.02162,RAI,0.07069,3h2d2c
9.69413,0.48549,31.1933,0.51451,0.798708938,1.460897863,F,0.48491,C,0.31448,R36.8,0.06171,R48.4,0.05586,RAI,0.08304,3h3d2h
11.1092,0.48261,29.7859,0.51739,0.9207592284,1.387218046,F,0.41891,C,0.42115,R36.8,0.06566,R48.4,0.02289,RAI,0.07138,3d3c2h
9.717,0.45652,31.0707,0.54348,0.8513975463,1.377587267,F,0.49189,C,0.30617,R36.8,0.0864,R48.4,0.04313,RAI,0.07241,3h3d3c
9.82538,0.48677,31.2141,0.51323,0.8073940665,1.465518661,F,0.49332,C,0.30504,R36.8,0.07301,R48.4,0.06015,RAI,0.06847,4h2h2d
11.0512,0.48474,29.8457,0.51526,0.9119297099,1.395746882,F,0.42521,C,0.42337,R36.8,0.09952,R48.4,0.02245,RAI,0.02945,4h2d2c
7.35687,0.48588,34,0.51412,0.6056532777,1.593553784,F,0.47651,C,0.46299,R36.8,0.03945,R48.4,0.01226,RAI,0.00878,4h3h2h
7.47856,0.45431,33.3309,0.54569,0.6584543569,1.471815842,F,0.53135,C,0.23977,R36.8,0.10837,R48.4,0.05391,RAI,0.0666,4h3h2d
7.28367,0.4504,33.7094,0.5496,0.6468623474,1.477935772,F,0.53316,C,0.23678,R36.8,0.10728,R48.4,0.05469,RAI,0.06809,4h3d2h
7.23344,0.45119,33.7904,0.54881,0.6412766245,1.483620892,F,0.5341,C,0.23642,R36.8,0.11079,R48.4,0.05309,RAI,0.0656,4d3h2h
7.66875,0.44799,33.3112,0.55201,0.6847250881,1.454105016,F,0.5227,C,0.25329,R36.8,0.06352,R48.4,0.0688,RAI,0.09168,4h3d2c
9.81517,0.48368,31.0728,0.51632,0.811707748,1.450149984,F,0.50013,C,0.29559,R36.8,0.0421,R48.4,0.07673,RAI,0.08545,4h3h3d
11.293,0.4865,29.6063,0.5135,0.928511438,1.389300093,F,0.42463,C,0.42988,R36.8,0.09031,R48.4,0.01905,RAI,0.03612,4h3d3c
8.57707,0.48312,32.277,0.51688,0.7101399516,1.504719391,F,0.52268,C,0.26046,R36.8,0.07254,R48.4,0.05816,RAI,0.08616,4h4d2h
10.4498,0.48416,30.3993,0.51584,0.8633369072,1.420038223,F,0.4639,C,0.35615,R36.8,0.11529,R48.4,0.02587,RAI,0.03878,4d4c2h
8.72985,0.4936,31.7372,0.5064,0.7074432434,1.510174415,F,0.52127,C,0.26633,R36.8,0.06659,R48.4,0.05931,RAI,0.0865,4h4d3h
10.7637,0.48889,30.149,0.51111,0.8806659764,1.421382649,F,0.45293,C,0.37631,R36.8,0.09767,R48.4,0.03218,RAI,0.04092,4d4c3h
10.098,0.46356,30.3792,0.53644,0.8713444116,1.364606209,F,0.50749,C,0.27568,R36.8,0.10007,R48.4,0.04414,RAI,0.07262,4h4d4c
9.70094,0.48065,31.2132,0.51935,0.807318421,1.448203212,F,0.50967,C,0.27981,R36.8,0.05604,R48.4,0.07119,RAI,0.08329,5h2h2d
11.1006,0.48577,29.8015,0.51423,0.9140639039,1.396473219,F,0.43054,C,0.4171,R36.8,0.10896,R48.4,0.02226,RAI,0.02114,5h2d2c
7.32483,0.50194,32.7366,0.49806,0.5837215508,1.583811175,F,0.48702,C,0.41584,R36.8,0.07363,R48.4,0.01348,RAI,0.01002,5h3h2h
8.13973,0.44226,32.7224,0.55774,0.7361941398,1.413724003,F,0.52106,C,0.25886,R36.8,0.05468,R48.4,0.06085,RAI,0.10455,5d3h2h
8.44468,0.44007,32.4913,0.55993,0.7675760812,1.398253384,F,0.51054,C,0.27472,R36.8,0.06608,R48.4,0.0497,RAI,0.09896,5h3h2d
8.42627,0.44018,32.4565,0.55982,0.765711251,1.397028271,F,0.51116,C,0.27294,R36.8,0.05671,R48.4,0.06751,RAI,0.09168,5h3d2h
9.34912,0.45332,31.548,0.54668,0.8249466346,1.390564464,F,0.45955,C,0.35319,R36.8,0.03016,R48.4,0.07463,RAI,0.08248,5h3d2c
9.87027,0.48046,31.1439,0.51954,0.8217350056,1.444463559,F,0.50199,C,0.29333,R36.8,0.04407,R48.4,0.07538,RAI,0.08524,5h3h3d
11.3677,0.48689,29.5341,0.51311,0.9339004979,1.386965388,F,0.43023,C,0.42233,R36.8,0.11591,R48.4,0.01672,RAI,0.01481,5h3d3c
7.71833,0.52222,31.7156,0.47778,0.591193725,1.599546979,F,0.49085,C,0.41206,R36.8,0.06156,R48.4,0.01805,RAI,0.01749,5h4h2h
8.40294,0.44117,32.4583,0.55883,0.7618777037,1.399581911,F,0.50573,C,0.27985,R36.8,0.03399,R48.4,0.06706,RAI,0.11339,5h4h2d
8.28692,0.43821,32.6295,0.5618,0.7564336181,1.399523504,F,0.50776,C,0.27897,R36.8,0.03194,R48.4,0.0609,RAI,0.12043,5h4d2h
8.23153,0.43842,32.6626,0.56158,0.7510177668,1.401491221,F,0.51052,C,0.27791,R36.8,0.03281,R48.4,0.06058,RAI,0.11819,5d4h2h
9.71174,0.45446,31.1878,0.54554,0.8547937901,1.377557676,F,0.43366,C,0.39696,R36.8,0.00216,R48.4,0.03376,RAI,0.13345,5h4d2c
7.4597,0.51201,32.2448,0.48799,0.5827777132,1.592211232,F,0.49083,C,0.39529,R36.8,0.08225,R48.4,0.01458,RAI,0.01706,5h4h3h
7.73048,0.45413,33.1581,0.54587,0.680904613,1.463699453,F,0.51599,C,0.25071,R36.8,0.05988,R48.4,0.06419,RAI,0.10923,5d4h3h
7.83926,0.45323,33.063,0.54677,0.6918571332,1.457098282,F,0.51398,C,0.25403,R36.8,0.06293,R48.4,0.06557,RAI,0.10348,5h4h3d
7.8452,0.45272,33.0451,0.54728,0.6931613621,1.454953119,F,0.51488,C,0.25112,R36.8,0.06135,R48.4,0.06328,RAI,0.10938,5h4d3h
8.61517,0.45779,32.2666,0.54221,0.752761726,1.433961418,F,0.472,C,0.3245,R36.8,0.02913,R48.4,0.08213,RAI,0.09225,5h4d3c
8.80882,0.48487,31.7955,0.51513,0.7266954038,1.487309245,F,0.53122,C,0.25595,R36.8,0.07283,R48.4,0.06644,RAI,0.07356,5h4h4d
11.1252,0.48946,29.7616,0.51054,0.9091807278,1.404681362,F,0.45464,C,0.38072,R36.8,0.11535,R48.4,0.02513,RAI,0.02417,5h4d4c
6.88959,0.4353,34.8818,0.5647,0.6330888954,1.488447402,F,0.54115,C,0.23332,R36.8,0.10362,R48.4,0.04956,RAI,0.07235,5h5d2h
9.72493,0.48256,31.1621,0.51744,0.8061115412,1.451171037,F,0.49016,C,0.29443,R36.8,0.15615,R48.4,0.02484,RAI,0.03442,5d5c2h
8.28432,0.49329,32.0968,0.50671,0.671760608,1.526350584,F,0.53364,C,0.25008,R36.8,0.08984,R48.4,0.04994,RAI,0.0765,5h5d3h
9.82227,0.48567,31.0988,0.51433,0.8089666141,1.456981582,F,0.47664,C,0.32888,R36.8,0.14154,R48.4,0.02339,RAI,0.02956,5d5c3h
4.41635,0.3808,38.1231,0.6192,0.4639022885,1.48357312,F,0.54116,C,0.23503,R36.8,0.08899,R48.4,0.06004,RAI,0.07478,5h5d4h
10.5596,0.49152,30.2784,0.50848,0.8593440894,1.434865132,F,0.46731,C,0.35654,R36.8,0.13151,R48.4,0.02157,RAI,0.02308,5d5c4h
10.7098,0.47395,30.355,0.52605,0.9038776094,1.390447908,F,0.51179,C,0.26735,R36.8,0.11215,R48.4,0.04335,RAI,0.06535,5h5d5c
9.38331,0.50455,31.3482,0.49545,0.7438954068,1.524628842,F,0.52415,C,0.26907,R36.8,0.06727,R48.4,0.06442,RAI,0.07508,6h2h2d
10.9431,0.49522,29.973,0.50478,0.8838940481,1.430803897,F,0.45235,C,0.37691,R36.8,0.13031,R48.4,0.0208,RAI,0.01962,6h2d2c
7.13634,0.49034,33.7532,0.50966,0.5821544416,1.595829196,F,0.48813,C,0.44628,R36.8,0.05009,R48.4,0.00981,RAI,0.00569,6h3h2h
7.72535,0.4772,33.3294,0.5228,0.6475565699,1.536186463,F,0.56459,C,0.19345,R36.8,0.13253,R48.4,0.048,RAI,0.06144,6d3h2h
6.70908,0.45376,34.9816,0.54624,0.5914210373,1.543150243,F,0.56367,C,0.18825,R36.8,0.1303,R48.4,0.05364,RAI,0.06413,6h3h2d
5.7945,0.42448,36.4038,0.57552,0.5460327925,1.524187238,F,0.56493,C,0.18514,R36.8,0.1318,R48.4,0.05381,RAI,0.06432,6h3d2h
9.95715,0.49421,30.8522,0.50579,0.805904402,1.469830983,F,0.4825,C,0.32182,R36.8,0.13287,R48.4,0.03471,RAI,0.0281,6h3d2c
13.8759,0.63681,27.0299,0.36319,0.8715911972,1.793337248,F,0.53027,C,0.25286,R36.8,0.07498,R48.4,0.06582,RAI,0.07607,6h3h3d
10.9982,0.49741,29.931,0.50259,0.8844397977,1.435024849,F,0.44798,C,0.38283,R36.8,0.12449,R48.4,0.02325,RAI,0.02145,6h3d3c
7.25284,0.47638,34.0982,0.52362,0.6089961951,1.569160927,F,0.49592,C,0.42673,R36.8,0.05871,R48.4,0.01242,RAI,0.00623,6h4h2h
9.03325,0.47265,31.9241,0.52735,0.7644768871,1.458720242,F,0.53636,C,0.24792,R36.8,0.10426,R48.4,0.04946,RAI,0.06199,6d4h2h
9.18572,0.46275,32.0408,0.53725,0.7940115125,1.437072625,F,0.53039,C,0.2604,R36.8,0.09745,R48.4,0.04922,RAI,0.06254,6h4h2d
8.77139,0.47365,32.4237,0.52635,0.7407486376,1.484362986,F,0.54181,C,0.23726,R36.8,0.1037,R48.4,0.05288,RAI,0.06436,6h4d2h
10.2747,0.48955,30.6203,0.51045,0.839522033,1.445465859,F,0.4645,C,0.37185,R36.8,0.11331,R48.4,0.02505,RAI,0.02529,6h4d2c
7.10589,0.47276,33.7222,0.52724,0.6012259852,1.541201596,F,0.49695,C,0.42291,R36.8,0.05736,R48.4,0.01369,RAI,0.00909,6h4h3h
7.74613,0.45476,34.1127,0.54524,0.6813378698,1.507577978,F,0.53917,C,0.23801,R36.8,0.11585,R48.4,0.05058,RAI,0.05639,6d4h3h
8.91934,0.48096,32.0211,0.51904,0.7417947373,1.486574921,F,0.53463,C,0.24969,R36.8,0.11044,R48.4,0.04917,RAI,0.05607,6h4h3d
8.78902,0.48785,32.0786,0.51215,0.720632932,1.509279239,F,0.54157,C,0.23319,R36.8,0.11816,R48.4,0.051,RAI,0.05607,6h4d3h
10.1375,0.49406,30.7291,0.50594,0.8207529553,1.463533155,F,0.47696,C,0.34784,R36.8,0.12152,R48.4,0.02717,RAI,0.02651,6h4d3c
7.89279,0.47591,33.3134,0.52409,0.6633850693,1.531670149,F,0.54443,C,0.23609,R36.8,0.1015,R48.4,0.05851,RAI,0.05947,6h4h4d
10.5583,0.49712,30.3528,0.50288,0.8495534741,1.454408692,F,0.47369,C,0.34616,R36.8,0.1415,R48.4,0.01876,RAI,0.01989,6h4d4c
7.2918,0.48701,33.0315,0.51299,0.5989035125,1.551570184,F,0.49904,C,0.4202,R36.8,0.06142,R48.4,0.01148,RAI,0.00785,6h5h2h
8.65552,0.4792,32.0782,0.5208,0.7224975241,1.484193508,F,0.55015,C,0.22552,R36.8,0.11404,R48.4,0.04939,RAI,0.0609,6h5d2h
8.73117,0.47617,32.1843,0.52383,0.7334497879,1.480492695,F,0.54512,C,0.23651,R36.8,0.10022,R48.4,0.05317,RAI,0.06498,6h5h2d
8.85303,0.47924,31.8938,0.52076,0.7389224773,1.475778256,F,0.5437,C,0.23844,R36.8,0.10517,R48.4,0.05001,RAI,0.06269,6d5h2h
10.3156,0.49212,30.5718,0.50788,0.8384662305,1.450481729,F,0.4791,C,0.3456,R36.8,0.12626,R48.4,0.02545,RAI,0.02359,6h5d2c
6.44594,0.45075,34.5408,0.54925,0.5720190894,1.515354858,F,0.49814,C,0.41269,R36.8,0.06711,R48.4,0.01287,RAI,0.00919,6h5h3h
8.1313,0.46849,33.0773,0.53151,0.6942560049,1.499583949,F,0.54363,C,0.23706,R36.8,0.1027,R48.4,0.05836,RAI,0.05825,6h5h3d
7.00818,0.43171,35.2602,0.56829,0.6493414619,1.495087707,F,0.54845,C,0.2284,R36.8,0.08464,R48.4,0.06301,RAI,0.0755,6h5d3h
8.27744,0.46875,32.7762,0.53125,0.7063415527,1.486661893,F,0.54208,C,0.23829,R36.8,0.10826,R48.4,0.05393,RAI,0.05744,6d5h3h
10.218,0.49281,30.7236,0.50719,0.8293687019,1.459666389,F,0.48526,C,0.33419,R36.8,0.13386,R48.4,0.02315,RAI,0.02354,6h5d3c
6.84798,0.45267,34.2447,0.54733,0.6051189522,1.50763298,F,0.4993,C,0.42716,R36.8,0.04468,R48.4,0.01578,RAI,0.01308,6h5h4h
7.46195,0.48137,33.4159,0.51863,0.6200593966,1.552558306,F,0.55137,C,0.22806,R36.8,0.11446,R48.4,0.05375,RAI,0.05236,6d5h4h
6.90848,0.45186,34.5865,0.54814,0.611559333,1.520430856,F,0.5536,C,0.22125,R36.8,0.1117,R48.4,0.06093,RAI,0.05252,6h5h4d
7.06439,0.45796,34.3484,0.54204,0.6170311848,1.526957477,F,0.55275,C,0.22599,R36.8,0.11089,R48.4,0.05788,RAI,0.05249,6h5d4h
9.43692,0.48919,31.6761,0.51081,0.7716363728,1.494255108,F,0.50148,C,0.30122,R36.8,0.15308,R48.4,0.02325,RAI,0.02098,6h5d4c
