oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
9.4977,0.43589,12.9031,0.56411,0.9473570789,0.9944923541,X,0.50892,R7.6,0.48639,R15.2,0.00469,R29.9,0,RAI,0,2h2d2c
9.43221,0.48304,12.9666,0.51696,0.8489899002,1.090540125,X,0.47317,R7.6,0.5182,R15.2,0.00863,R29.9,0,RAI,0,3h2h2d
9.94335,0.48531,12.4559,0.51469,0.8908111694,1.052210422,X,0.41143,R7.6,0.57693,R15.2,0.01164,R29.9,0,RAI,0,3h2d2c
9.40412,0.48331,12.9953,0.51669,0.8459886825,1.093524239,X,0.47503,R7.6,0.51658,R15.2,0.00839,R29.9,0,RAI,0,3h3d2h
9.89183,0.4851,12.5078,0.5149,0.8865792281,1.056165317,X,0.4129,R7.6,0.57722,R15.2,0.00988,R29.9,0,RAI,0,3d3c2h
9.46948,0.43609,12.9341,0.56391,0.9441090364,0.9972343664,X,0.51432,R7.6,0.48036,R15.2,0.00532,R29.9,0,RAI,0,3h3d3c
9.43456,0.47907,12.9676,0.52093,0.8562386425,1.082308481,X,0.45557,R7.6,0.53668,R15.2,0.00775,R29.9,0,RAI,0,4h2h2d
9.95738,0.48082,12.439,0.51918,0.9003984399,1.041695324,X,0.41455,R7.6,0.57242,R15.2,0.01303,R29.9,0,RAI,0,4h2d2c
10.2992,0.51053,12.1007,0.48947,0.8771080729,1.074868043,X,0.65569,R7.6,0.34019,R15.2,0.00409,R29.9,0.00004,RAI,0,4h3h2h
8.72299,0.46668,13.6772,0.53332,0.8126777326,1.115018644,X,0.51396,R7.6,0.48325,R15.2,0.0028,R29.9,0,RAI,0,4h3h2d
8.71974,0.46675,13.681,0.53325,0.8122530905,1.115469974,X,0.514,R7.6,0.48331,R15.2,0.00269,R29.9,0,RAI,0,4h3d2h
8.72595,0.46632,13.6749,0.53368,0.813581091,1.114081479,X,0.51791,R7.6,0.47944,R15.2,0.00265,R29.9,0,RAI,0,4d3h2h
8.84683,0.46971,13.555,0.53029,0.8188984795,1.111369714,X,0.4676,R7.6,0.52083,R15.2,0.01157,R29.9,0,RAI,0,4h3d2c
9.27479,0.47846,13.1255,0.52154,0.8428117694,1.094212635,X,0.44595,R7.6,0.54513,R15.2,0.00892,R29.9,0,RAI,0,4h3h3d
9.73997,0.4813,12.6605,0.5187,0.8798607287,1.061224128,X,0.40719,R7.6,0.57553,R15.2,0.01727,R29.9,0,RAI,0,4h3d3c
9.29746,0.47882,13.1061,0.52118,0.8442366177,1.093349231,X,0.48305,R7.6,0.51178,R15.2,0.00517,R29.9,0,RAI,0,4h4d2h
9.59193,0.47646,12.8081,0.52354,0.8752895167,1.063668507,X,0.44577,R7.6,0.54782,R15.2,0.0064,R29.9,0,RAI,0,4d4c2h
9.20326,0.47918,13.1986,0.52082,0.8350551998,1.10182018,X,0.47011,R7.6,0.52417,R15.2,0.00572,R29.9,0,RAI,0,4h4d3h
9.49126,0.47988,12.9089,0.52012,0.8599305147,1.079087066,X,0.42844,R7.6,0.56178,R15.2,0.00979,R29.9,0,RAI,0,4d4c3h
9.48019,0.43732,12.9226,0.56268,0.9425185028,0.9985249213,X,0.51903,R7.6,0.47605,R15.2,0.00492,R29.9,0,RAI,0,4h4d4c
9.46871,0.47473,12.9333,0.52527,0.8671940435,1.070531876,X,0.45366,R7.6,0.53916,R15.2,0.00719,R29.9,0,RAI,0,5h2h2d
9.93673,0.47539,12.4613,0.52461,0.9087943951,1.032756486,X,0.41486,R7.6,0.57252,R15.2,0.01262,R29.9,0,RAI,0,5h2d2c
10.1385,0.5032,12.2622,0.4968,0.8760048634,1.073143746,X,0.64808,R7.6,0.34975,R15.2,0.00218,R29.9,0,RAI,0,5h3h2h
8.75992,0.4713,13.6417,0.5287,0.808118157,1.12183702,X,0.49679,R7.6,0.49735,R15.2,0.00586,R29.9,0,RAI,0,5d3h2h
8.86261,0.47449,13.5381,0.52551,0.8120948266,1.120080406,X,0.50553,R7.6,0.48398,R15.2,0.01049,R29.9,0,RAI,0,5h3h2d
8.8674,0.47496,13.533,0.52504,0.8117297001,1.120658361,X,0.50453,R7.6,0.48527,R15.2,0.0102,R29.9,0,RAI,0,5h3d2h
8.97516,0.4758,13.4255,0.5242,0.8201436027,1.113541949,X,0.43533,R7.6,0.53867,R15.2,0.026,R29.9,0,RAI,0,5h3d2c
9.34739,0.4757,13.0557,0.5243,0.8543373474,1.08266512,X,0.44184,R7.6,0.55034,R15.2,0.00782,R29.9,0,RAI,0,5h3h3d
9.8416,0.48021,12.5591,0.51979,0.8910594631,1.050516245,X,0.40924,R7.6,0.57136,R15.2,0.0194,R29.9,0,RAI,0,5h3d3c
10.0299,0.49908,12.3714,0.50092,0.8737720897,1.07379903,X,0.64187,R7.6,0.35663,R15.2,0.0015,R29.9,0,RAI,0,5h4h2h
8.69338,0.47234,13.7083,0.52766,0.8002139746,1.129542396,X,0.50661,R7.6,0.48058,R15.2,0.01263,R29.9,0.00002,RAI,0.00016,5h4h2d
8.66375,0.47204,13.7346,0.52796,0.7979933295,1.131063084,X,0.50357,R7.6,0.4837,R15.2,0.01196,R29.9,0.00003,RAI,0.00074,5h4d2h
8.62262,0.47202,13.7788,0.52798,0.7942386031,1.13466005,X,0.50095,R7.6,0.48706,R15.2,0.01175,R29.9,0.00002,RAI,0.00021,5d4h2h
8.63042,0.47034,13.7697,0.52966,0.7977965508,1.130314107,X,0.43165,R7.6,0.52383,R15.2,0.04452,R29.9,0,RAI,0,5h4d2c
10.0873,0.50162,12.313,0.49838,0.8743202766,1.074178609,X,0.64503,R7.6,0.3534,R15.2,0.00157,R29.9,0,RAI,0,5h4h3h
8.68987,0.47269,13.7106,0.52731,0.799298569,1.130479269,X,0.49241,R7.6,0.5037,R15.2,0.00389,R29.9,0,RAI,0,5d4h3h
8.71607,0.47294,13.6841,0.52706,0.8012846757,1.12883365,X,0.4924,R7.6,0.50284,R15.2,0.00477,R29.9,0,RAI,0,5h4h3d
8.70666,0.47292,13.6935,0.52708,0.8004534511,1.129559576,X,0.49155,R7.6,0.50415,R15.2,0.0043,R29.9,0,RAI,0,5h4d3h
8.52665,0.47155,13.8744,0.52845,0.7861816165,1.141516357,X,0.43048,R7.6,0.55319,R15.2,0.01633,R29.9,0,RAI,0,5h4d3c
9.22689,0.47581,13.1733,0.52419,0.8431288136,1.092644809,X,0.45924,R7.6,0.53364,R15.2,0.00712,R29.9,0,RAI,0,5h4h4d
9.49305,0.47702,12.9061,0.52298,0.8652494483,1.072959017,X,0.42032,R7.6,0.56498,R15.2,0.01469,R29.9,0,RAI,0,5h4d4c
9.12263,0.46886,13.279,0.53114,0.8459584776,1.086998194,X,0.50227,R7.6,0.49412,R15.2,0.00361,R29.9,0,RAI,0,5h5d2h
9.09986,0.46341,13.3012,0.53659,0.8537711827,1.077758415,X,0.47156,R7.6,0.52265,R15.2,0.00578,R29.9,0,RAI,0,5d5c2h
9.15987,0.47396,13.2405,0.52604,0.8402717815,1.094355453,X,0.49013,R7.6,0.50681,R15.2,0.00306,R29.9,0,RAI,0,5h5d3h
9.31174,0.47468,13.0893,0.52532,0.8529077524,1.083341363,X,0.45329,R7.6,0.54165,R15.2,0.00506,R29.9,0,RAI,0,5d5c3h
9.16079,0.47467,13.2399,0.52533,0.8390992534,1.095782437,X,0.48555,R7.6,0.50983,R15.2,0.00461,R29.9,0,RAI,0,5h5d4h
