oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
8.52677,0.41735,21.473,0.58265,0.888293087,1.204381709,F,0.38908,C,0.38066,R20.95,0.22789,R28.6,0.00237,R39.3,0,R53.45,0,RAI,0,2h2d2c
7.86834,0.4645,22.13,0.5355,0.73649458,1.350515951,F,0.30201,C,0.53483,R20.95,0.01342,R28.6,0.03425,R39.3,0.0345,R53.45,0.0034,RAI,0.07759,3h2h2d
8.81899,0.46965,21.1797,0.53035,0.8164257146,1.305073516,F,0.29015,C,0.50307,R20.95,0.05422,R28.6,0.15224,R39.3,0.00031,R53.45,0,RAI,0.00001,3h2d2c
7.76891,0.46393,22.2295,0.53607,0.7280811433,1.355149407,F,0.3013,C,0.53678,R20.95,0.01201,R28.6,0.04352,R39.3,0.03203,R53.45,0.00252,RAI,0.07184,3h3d2h
8.71963,0.46885,21.2801,0.53115,0.8086048182,1.309288916,F,0.28948,C,0.504,R20.95,0.05294,R28.6,0.15324,R39.3,0.00034,R53.45,0,RAI,0,3d3c2h
8.46517,0.41691,21.5403,0.58309,0.8828065337,1.207245339,F,0.39318,C,0.36376,R20.95,0.24014,R28.6,0.00293,R39.3,0,R53.45,0,RAI,0,3h3d3c
7.9218,0.46209,22.0808,0.53791,0.7453658457,1.341476878,F,0.31334,C,0.51304,R20.95,0.03183,R28.6,0.08725,R39.3,0.00905,R53.45,0.00273,RAI,0.04276,4h2h2d
8.94127,0.46719,21.055,0.53281,0.8321044249,1.291404534,F,0.30717,C,0.46863,R20.95,0.11277,R28.6,0.11138,R39.3,0.00005,R53.45,0,RAI,0,4h2d2c
8.00235,0.47986,21.996,0.52014,0.7250619949,1.381977793,F,0.30353,C,0.68535,R20.95,0.01069,R28.6,0.00043,R39.3,0,R53.45,0,RAI,0,4h3h2h
6.60045,0.44496,23.4004,0.55504,0.6449480624,1.37777146,F,0.35371,C,0.46476,R20.95,0.07716,R28.6,0.08431,R39.3,0.00079,R53.45,0.00466,RAI,0.0146,4h3h2d
