oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
7.92678,0.40312,29.7399,0.59688,0.8549380059,1.304334882,F,0.51838,C,0.32185,R33.9,0.10319,R44.55,0.01457,R59.5,0.01309,RAI,0.02892,2h2d2c
7.50022,0.46166,30.0935,0.53834,0.7063564433,1.463365163,F,0.47203,C,0.36205,R33.9,0.01815,R44.55,0.02205,R59.5,0.05584,RAI,0.06988,3h2h2d
9.10252,0.47499,28.466,0.52501,0.8332001307,1.419370678,F,0.44807,C,0.38825,R33.9,0.08575,R44.55,0.02369,R59.5,0.0243,RAI,0.02994,3h2d2c
7.38264,0.46183,30.2059,0.53817,0.6950270655,1.469295762,F,0.47123,C,0.36306,R33.9,0.01829,R44.55,0.02214,R59.5,0.05728,RAI,0.068,3h3d2h
8.9763,0.47353,28.6185,0.52647,0.8241799421,1.423015801,F,0.44869,C,0.38042,R33.9,0.08875,R44.55,0.02365,R59.5,0.02596,RAI,0.03253,3d3c2h
8.11615,0.40866,29.4959,0.59134,0.86349554,1.305753459,F,0.52473,C,0.30387,R33.9,0.10379,R44.55,0.02043,R59.5,0.01697,RAI,0.03021,3h3d3c
7.64506,0.46254,29.9678,0.53746,0.718627395,1.45963615,F,0.48254,C,0.34899,R33.9,0.04077,R44.55,0.02692,R59.5,0.04314,RAI,0.05763,4h2h2d
9.09794,0.4715,28.4971,0.5285,0.8389451119,1.411535622,F,0.45684,C,0.37581,R33.9,0.11655,R44.55,0.01851,R59.5,0.01716,RAI,0.01513,4h2d2c
6.68357,0.4959,30.9463,0.5041,0.5859850636,1.60704937,F,0.47243,C,0.48156,R33.9,0.02665,R44.55,0.00706,R59.5,0.00789,RAI,0.00442,4h3h2h
6.16691,0.45533,31.3867,0.54467,0.58886197,1.508510338,F,0.51785,C,0.29288,R33.9,0.0727,R44.55,0.04894,R59.5,0.03053,RAI,0.0371,4h3h2d
6.11778,0.45609,31.4354,0.54391,0.583197268,1.512963892,F,0.51847,C,0.29096,R33.9,0.07485,R44.55,0.04871,R59.5,0.03007,RAI,0.03693,4h3d2h
5.95563,0.45243,31.6693,0.54757,0.5723325632,1.514031057,F,0.52202,C,0.28809,R33.9,0.08044,R44.55,0.04245,R59.5,0.03054,RAI,0.03646,4d3h2h
6.99171,0.45192,30.5909,0.54808,0.6726575446,1.461115299,F,0.49623,C,0.29948,R33.9,0.11661,R44.55,0.02898,R59.5,0.03185,RAI,0.02685,4h3d2c
7.60202,0.46071,30.0141,0.53929,0.7174200848,1.456933995,F,0.48814,C,0.34152,R33.9,0.03648,R44.55,0.03096,R59.5,0.04461,RAI,0.05829,4h3h3d
9.1189,0.47306,28.4591,0.52694,0.8381049256,1.413828241,F,0.45643,C,0.37732,R33.9,0.12194,R44.55,0.01589,R59.5,0.01378,RAI,0.01464,4h3d3c
