oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R60,actions/4/action_code,AI,flop
2.5784,0.47174,30.0209,0.52826,0.2732861169,1.711742082,F,0.45827,C,0.30227,R29.45,0.22982,R41.05,0.00964,RAI,0,2h2d2c
3.45143,0.46372,29.1478,0.53628,0.3721459208,1.637104516,F,0.42283,C,0.44568,R29.45,0.13109,R41.05,0.00002,RAI,0.00038,3h2h2d
2.06241,0.46349,30.5367,0.53651,0.2224870089,1.714376461,F,0.43376,C,0.37081,R29.45,0.19412,R41.05,0.00129,RAI,0.00002,3h2d2c
3.74574,0.46474,28.8539,0.53526,0.4029930576,1.62368332,F,0.41841,C,0.46282,R29.45,0.11401,R41.05,0.00004,RAI,0.00472,3h3d2h
2.45585,0.46477,30.1451,0.53523,0.2642005662,1.696438305,F,0.43145,C,0.38173,R29.45,0.18501,R41.05,0.00179,RAI,0.00002,3d3c2h
2.73474,0.46997,29.8653,0.53003,0.2909483679,1.697180557,F,0.45532,C,0.30771,R29.45,0.23643,R41.05,0.00054,RAI,0,3h3d3c
4.0299,0.46654,28.5706,0.53346,0.4318922277,1.613168905,F,0.41946,C,0.46218,R29.45,0.11715,R41.05,0.00006,RAI,0.00115,4h2h2d
2.79782,0.46873,29.8007,0.53127,0.2984468751,1.689557268,F,0.43548,C,0.37727,R29.45,0.18565,R41.05,0.00159,RAI,0.00001,4h2d2c
7.38986,0.52835,25.0183,0.47165,0.6993337953,1.597715773,F,0.50411,C,0.25756,R29.45,0.22801,R41.05,0.00797,RAI,0.00235,4h3h2h
6.3286,0.46959,26.2709,0.53041,0.6738431204,1.491850084,F,0.45002,C,0.4041,R29.45,0.08139,R41.05,0.00755,RAI,0.05693,4h3h2d
6.25049,0.46933,26.3507,0.53067,0.6658950012,1.495647355,F,0.45161,C,0.39796,R29.45,0.08439,R41.05,0.01168,RAI,0.05436,4h3d2h
6.27842,0.47041,26.319,0.52959,0.6673348902,1.496897905,F,0.45017,C,0.40118,R29.45,0.09293,R41.05,0.00748,RAI,0.04823,4d3h2h
5.35147,0.47384,27.2488,0.52616,0.5646916695,1.559879266,F,0.44443,C,0.39417,R29.45,0.12333,R41.05,0.00035,RAI,0.03772,4h3d2c
4.51057,0.46775,28.0904,0.53225,0.4821560583,1.589662064,F,0.41594,C,0.47283,R29.45,0.10739,R41.05,0.00001,RAI,0.00383,4h3h3d
3.32422,0.46946,29.2765,0.53054,0.3540471891,1.662122771,F,0.43039,C,0.39001,R29.45,0.17926,R41.05,0.00032,RAI,0.00002,4h3d3c
4.35213,0.46802,28.248,0.53198,0.4649512852,1.599388717,F,0.41641,C,0.47867,R29.45,0.09313,R41.05,0,RAI,0.01179,4h4d2h
3.25481,0.46973,29.345,0.53027,0.3464554282,1.66686063,F,0.43396,C,0.38973,R29.45,0.17459,R41.05,0.00169,RAI,0.00003,4d4c2h
4.49531,0.46761,28.105,0.53239,0.4806686998,1.590065416,F,0.41702,C,0.47394,R29.45,0.09318,R41.05,0.00001,RAI,0.01585,4h4d3h
3.35734,0.46856,29.2428,0.53144,0.3582614846,1.657396699,F,0.43228,C,0.38865,R29.45,0.17841,R41.05,0.00061,RAI,0.00005,4d4c3h
3.53535,0.47591,29.0648,0.52409,0.3714305252,1.670409443,F,0.45232,C,0.31084,R29.45,0.23684,R41.05,0,RAI,0,4h4d4c
4.6361,0.47438,27.9643,0.52562,0.4886483354,1.602482815,F,0.41873,C,0.47015,R29.45,0.10875,R41.05,0.00003,RAI,0.00234,5h2h2d
3.4695,0.47688,29.1309,0.52312,0.3637707561,1.677316791,F,0.43401,C,0.38579,R29.45,0.17931,R41.05,0.00089,RAI,0,5h2d2c
7.9037,0.51563,24.7208,0.48437,0.7664119398,1.537259599,F,0.50033,C,0.29854,R29.45,0.18576,R41.05,0.01043,RAI,0.00495,5h3h2h
6.00658,0.47096,26.5919,0.52904,0.6376953444,1.513989247,F,0.43456,C,0.432,R29.45,0.05632,R41.05,0.00021,RAI,0.07691,5d3h2h
6.09401,0.46964,26.5073,0.53036,0.6487958913,1.505416431,F,0.43528,C,0.43174,R29.45,0.03734,R41.05,0.00114,RAI,0.0945,5h3h2d
6.01274,0.46914,26.5862,0.53086,0.64082579,1.508475244,F,0.43567,C,0.4286,R29.45,0.04102,R41.05,0.00183,RAI,0.09288,5h3d2h
4.75963,0.46469,27.8412,0.53531,0.5121296138,1.566549261,F,0.42591,C,0.41788,R29.45,0.08867,R41.05,0.00029,RAI,0.06726,5h3d2c
4.97901,0.474,27.6206,0.526,0.5252120287,1.581648732,F,0.41676,C,0.47741,R29.45,0.09883,R41.05,0.00001,RAI,0.00699,5h3h3d
3.85641,0.476,28.7445,0.524,0.4050850775,1.652286616,F,0.42925,C,0.39967,R29.45,0.17092,R41.05,0.00016,RAI,0,5h3d3c
