oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,AI,flop
5.23913,0.56553,2.23518,0.43447,1.15801328,0.8574354624,F,0.13934,C,0.65192,R7,0.20489,R12,0.00343,RAI,0.00042,2h2d2c
5.24151,0.56309,2.25888,0.43691,1.163559482,0.8616877169,F,0.22747,C,0.53071,R7,0.23202,R12,0.0098,RAI,0,3h2h2d
5.22339,0.56748,2.2689,0.43252,1.150566947,0.8742947942,F,0.20193,C,0.54117,R7,0.24823,R12,0.00867,RAI,0,3h2d2c
5.23111,0.56196,2.2717,0.43804,1.16358599,0.8643426651,F,0.23934,C,0.49396,R7,0.25773,R12,0.00898,RAI,0,3h3d2h
5.22751,0.56636,2.26728,0.43364,1.15375159,0.8714141089,F,0.2137,C,0.50949,R7,0.26771,R12,0.0091,RAI,0,3d3c2h
5.13026,0.56304,2.34115,0.43696,1.138964333,0.8929688387,F,0.13673,C,0.6508,R7,0.21108,R12,0.00138,RAI,0,3h3d3c
5.23247,0.56315,2.2672,0.43685,1.161429047,0.8649803267,F,0.22445,C,0.53506,R7,0.22944,R12,0.01105,RAI,0,4h2h2d
5.21625,0.56858,2.27459,0.43142,1.146771387,0.8787222134,F,0.19729,C,0.54917,R7,0.24362,R12,0.00992,RAI,0,4h2d2c
5.34205,0.54915,2.16826,0.45085,1.215981556,0.8015452478,F,0.26107,C,0.71434,R7,0.02316,R12,0.00143,RAI,0,4h3h2h
5.24865,0.55051,2.25281,0.44949,1.191769944,0.8353207515,F,0.22823,C,0.57872,R7,0.19232,R12,0.00072,RAI,0,4h3h2d
5.25283,0.55021,2.2488,0.44979,1.193369358,0.8332777647,F,0.22902,C,0.57622,R7,0.19403,R12,0.00073,RAI,0,4h3d2h
5.25501,0.55067,2.24674,0.44933,1.192867294,0.8333667507,F,0.22808,C,0.58263,R7,0.18885,R12,0.00045,RAI,0,4d3h2h
5.21893,0.55001,2.27962,0.44999,1.186098781,0.8443224332,F,0.21691,C,0.57941,R7,0.20259,R12,0.0011,RAI,0,4h3d2c
5.24973,0.56023,2.24958,0.43977,1.171333638,0.8525592315,F,0.23075,C,0.50297,R7,0.26079,R12,0.0055,RAI,0,4h3h3d
5.2464,0.56572,2.24641,0.43428,1.159230644,0.8621203875,F,0.21172,C,0.50028,R7,0.28207,R12,0.00593,RAI,0,4h3d3c
5.27078,0.5592,2.23292,0.4408,1.178196574,0.8442679503,F,0.24296,C,0.50576,R7,0.24546,R12,0.00582,RAI,0,4h4d2h
